,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.03706381212061095,3.9472974692959215e-05,0.018789135953848585,-1
1,2,15,2020-02-03,-0.028018436361565452,0.0002887118409051714,0.12963161656642194,0
2,3,16,2020-02-04,-0.020435290152677938,0.0010524050510589704,0.4483245517511214,0
3,4,17,2020-02-05,-0.015358468671763157,0.0013849395645262241,0.5761348588429093,0
4,5,18,2020-02-06,-0.013899551728995853,0.0009783926913722193,0.41875207190730984,0
5,6,19,2020-02-07,-0.017289547981649,0.002447684603748808,0.9986553183295137,0
6,7,20,2020-02-08,-0.027071577068967876,0.003637687838323609,1.0,0
7,8,21,2020-02-09,-0.04572087017955005,0.0025207571143668547,1.0,0
8,9,22,2020-02-10,-0.07936061081662897,0.001695164914119053,0.6984079446170498,0
9,10,23,2020-02-11,-0.18451428328969482,0.007471163338244226,1.0,0
10,11,24,2020-02-12,0.39113994178486877,0.28800057544434954,1.0,0
11,12,25,2020-02-13,0.8833783117685393,0.06118729310367847,1.0,0
12,13,26,2020-02-14,1.2924457484525775,0.013817351516959809,1.0,0
13,14,27,2020-02-15,1.6184097842231184,0.003289687929343738,1.0,0
14,15,28,2020-02-16,1.8611172092034196,0.0008940013684895801,0.38352658708202986,0
15,16,29,2020-02-17,2.020162580020882,0.00032304229745090923,0.14439990696055643,0
16,17,30,2020-02-18,2.09485415939791,0.00018843766455758527,0.0870582010256044,0
17,18,31,2020-02-19,2.084159237672047,0.00020409746593174022,0.09408893179453225,0
18,19,32,2020-02-20,1.986606913434858,0.00040410395596910716,0.17901805249431446,0
19,20,33,2020-02-21,1.8001150042623955,0.001248654879409969,0.5281810139904168,0
20,21,34,2020-02-22,1.5215995830761067,0.004980038399836572,1.0,0
21,22,35,2020-02-23,1.1459918122676909,0.02240487647988974,1.0,0
22,23,36,2020-02-24,0.662643186892617,0.10886430106296399,1.0,0
23,24,37,2020-02-25,0.0,1.0,1.0,0
24,25,38,2020-02-26,0.0,1.0,1.0,0
25,26,39,2020-02-27,0.0,1.0,1.0,0
26,27,40,2020-02-28,0.0,1.0,1.0,0
27,28,41,2020-02-29,0.0,1.0,1.0,0
28,29,42,2020-03-01,0.0,1.0,1.0,0
29,30,43,2020-03-02,0.0,1.0,1.0,0
30,31,44,2020-03-03,0.0,1.0,1.0,0
31,32,45,2020-03-04,0.0,1.0,1.0,0
32,33,46,2020-03-05,0.0,1.0,1.0,0
33,34,47,2020-03-06,0.0,1.0,1.0,0
34,35,48,2020-03-07,0.0,1.0,1.0,0
35,36,49,2020-03-08,0.0,1.0,1.0,0
36,37,50,2020-03-09,0.0,1.0,1.0,0
37,38,51,2020-03-10,0.0,1.0,1.0,0
38,39,52,2020-03-11,0.0,1.0,1.0,0
39,40,53,2020-03-12,0.0,1.0,1.0,0
40,41,54,2020-03-13,0.0,1.0,1.0,0
41,42,55,2020-03-14,0.0,1.0,1.0,0
42,43,56,2020-03-15,0.0,1.0,1.0,0
43,44,57,2020-03-16,0.0,1.0,1.0,0
44,45,58,2020-03-17,0.0,1.0,1.0,0
45,46,59,2020-03-18,0.0,1.0,1.0,0
46,47,60,2020-03-19,0.0,1.0,1.0,0
47,48,61,2020-03-20,0.0,1.0,1.0,0
48,49,62,2020-03-21,0.0,1.0,1.0,0
49,50,63,2020-03-22,0.0,1.0,1.0,0
50,51,64,2020-03-23,0.0,1.0,1.0,0
51,52,65,2020-03-24,0.0,1.0,1.0,0
52,53,66,2020-03-25,0.0,1.0,1.0,0
53,54,67,2020-03-26,0.0,1.0,1.0,0
54,55,68,2020-03-27,0.0,1.0,1.0,0
55,56,69,2020-03-28,0.0,1.0,1.0,0
56,57,70,2020-03-29,0.0,1.0,1.0,0
57,58,71,2020-03-30,0.0,1.0,1.0,0
58,59,72,2020-03-31,0.0,1.0,1.0,0
59,60,73,2020-04-01,0.0,1.0,1.0,0
60,61,74,2020-04-02,0.0,1.0,1.0,0
61,62,75,2020-04-03,0.0,1.0,1.0,0
62,63,76,2020-04-04,0.0,1.0,1.0,0
63,64,77,2020-04-05,0.0,1.0,1.0,0
64,65,78,2020-04-06,0.0,1.0,1.0,0
65,66,79,2020-04-07,0.0,1.0,1.0,0
66,67,80,2020-04-08,0.0,1.0,1.0,0
67,68,81,2020-04-09,0.0,1.0,1.0,0
68,69,82,2020-04-10,0.0,1.0,1.0,0
69,70,83,2020-04-11,0.0,1.0,1.0,0
70,71,84,2020-04-12,0.0,1.0,1.0,0
