,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.017829330904660493,6.159887969059423e-09,1.5954109839863905e-06,1
1,2,15,2020-02-03,0.02000996067782623,7.070649389249808e-10,2.0965017678115663e-07,1
2,3,16,2020-02-04,0.0220393864157758,6.412965117380819e-11,2.1996470352616208e-08,1
3,4,17,2020-02-05,0.023872419372113977,4.690834865857509e-12,1.8294255976844284e-09,1
4,5,18,2020-02-06,0.025483510311625775,2.9530031153436174e-13,1.3495224237120332e-10,1
5,6,19,2020-02-07,0.026867530040764104,1.8186365115819675e-14,9.784264432310985e-12,1
6,7,20,2020-02-08,0.02803889859972924,1.2965003183423538e-15,7.999406964172323e-13,1
7,8,21,2020-02-09,0.029026323500043517,1.2026510876618834e-16,7.997629732951525e-14,1
8,9,22,2020-02-10,0.029859852574028452,1.4649836870540036e-17,1.0137687114413705e-14,1
9,10,23,2020-02-11,0.030562969557962023,2.0718355339174294e-18,1.4896497488866318e-15,1
10,11,24,2020-02-12,0.031147932820443397,2.6391854839918873e-19,1.9952242258978669e-16,1
11,12,25,2020-02-13,0.031612236158043754,2.0893834381049726e-20,1.671506750483978e-17,1
12,13,26,2020-02-14,0.03194241110893883,7.174712124123635e-22,5.919137502401999e-19,1
13,14,27,2020-02-15,0.03212301522948312,1.4911705985526812e-23,1.271968520565437e-20,1
14,15,28,2020-02-16,0.03214304663455111,7.253020416316692e-24,6.208585476367088e-21,1
15,16,29,2020-02-17,0.03199000236199606,5.766382046800973e-22,4.774564334751206e-19,1
16,17,30,2020-02-18,0.03164877064986242,7.550756123436007e-20,5.904691288526958e-17,1
17,18,31,2020-02-19,0.0311127940672705,3.841969987144046e-18,2.7277986908722728e-15,1
18,19,32,2020-02-20,0.030389397210299554,8.089979241222125e-17,5.4364660501012675e-14,1
19,20,33,2020-02-21,0.02949696783714532,8.553435648793513e-16,5.4057713300375e-13,1
20,21,34,2020-02-22,0.028461374573375803,5.295806830021044e-15,3.0503847340921214e-12,1
21,22,35,2020-02-23,0.02731353134899487,2.140349982737947e-14,1.1429468907820636e-11,1
22,23,36,2020-02-24,0.026083435464913447,6.245667873516546e-14,3.185290615493439e-11,1
23,24,37,2020-02-25,0.024800268651561555,1.4377946332080178e-13,6.901414239398486e-11,1
24,25,38,2020-02-26,0.023493669630602138,2.76520150836625e-13,1.2719926938484748e-10,1
25,26,39,2020-02-27,0.022188702333733153,4.532981566082799e-13,2.0063978209560616e-10,1
26,27,40,2020-02-28,0.020907716975620022,6.25910988998258e-13,2.7227128021424226e-10,1
27,28,41,2020-02-29,0.019673540936540078,7.182337973212958e-13,3.095587666454785e-10,1
28,29,42,2020-03-01,0.01850826505210083,7.002746190312467e-13,3.032189100405298e-10,1
29,30,43,2020-03-02,0.01742613554411535,5.963654985389004e-13,2.6061172286149945e-10,1
30,31,44,2020-03-03,0.016430348558193406,4.346442408252466e-13,1.9428597564888524e-10,1
31,32,45,2020-03-04,0.015519076281200464,2.628395765399911e-13,1.2169472393801588e-10,1
32,33,46,2020-03-05,0.014687437231537074,1.3469993702255607e-13,6.479066970784946e-11,1
33,34,47,2020-03-06,0.013928039666505599,6.376323227060221e-14,3.2455485225736524e-11,1
34,35,48,2020-03-07,0.013232655228283778,3.2174910824601166e-14,1.6956178004564815e-11,1
35,36,49,2020-03-08,0.01259127669781882,2.1670119029058532e-14,1.1550173442488198e-11,1
36,37,50,2020-03-09,0.011985450960258761,2.4355509812245744e-14,1.293277571030249e-11,1
37,38,51,2020-03-10,0.011390967906180898,5.024783034474096e-14,2.5877632627541595e-11,1
38,39,52,2020-03-11,0.010785230888849274,1.7919900856178467e-13,8.422353402403879e-11,1
39,40,53,2020-03-12,0.010152104550349346,8.939840635603348e-13,3.7994322701314226e-10,1
40,41,54,2020-03-13,0.00948849575041595,4.720917647987659e-12,1.8364369650671995e-09,1
41,42,55,2020-03-14,0.008804674873479098,2.084545758527565e-11,7.642471127609558e-09,1
42,43,56,2020-03-15,0.008116471872282212,6.710954779771271e-11,2.2951465346817747e-08,1
43,44,57,2020-03-16,0.007438333453576684,1.510360952301044e-10,4.9841911425934454e-08,1
44,45,58,2020-03-17,0.006780078989235185,2.481152532165582e-10,7.815630476321583e-08,1
45,46,59,2020-03-18,0.00614542152435319,3.3486726660039743e-10,1.0380885264612321e-07,1
46,47,60,2020-03-19,0.005530578303903301,4.4553113701025744e-10,1.3633252792513877e-07,1
47,48,61,2020-03-20,0.00492613223709568,7.773108955812518e-10,2.2775209240530678e-07,1
48,49,62,2020-03-21,0.004322352582226365,2.636606426611389e-09,7.197935544649092e-07,1
49,50,63,2020-03-22,0.0037091073450030484,2.3808833900774717e-08,5.523649464979735e-06,1
50,51,64,2020-03-23,0.0030724634107435786,5.563249716121752e-07,0.00010125114483341589,1
51,52,65,2020-03-24,0.002395326051349864,2.5534769200606662e-05,0.0033450547652794727,1
52,53,66,2020-03-25,0.0016610640000066558,0.001646171223863203,0.1390640016624605,0
53,54,67,2020-03-26,0.0008607646004342977,0.08320365532442375,1.0,0
54,55,68,2020-03-27,-2.3636126628719371e-07,0.9996210047901288,1.0,0
