,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.05190116320527151,4.040115347325467e-16,2.7634388975706195e-13,-1
1,2,15,2020-02-03,-0.05022628019516185,2.2182194457456303e-13,1.2643850840750094e-10,-1
2,3,16,2020-02-04,-0.04707899680358595,6.848171359915811e-11,3.020043569722873e-08,-1
3,4,17,2020-02-05,-0.04238758745721659,9.206236912909468e-09,2.877465115433421e-06,-1
4,5,18,2020-02-06,-0.036146923540515984,7.726650341100217e-07,0.0001746222977088649,-1
5,6,19,2020-02-07,-0.028407178023691557,5.4427919862491203e-05,0.008871750937586066,-1
6,7,20,2020-02-08,-0.019287190398714592,0.0036177186633862433,0.3726250223287831,0
7,8,21,2020-02-09,-0.009000641059278202,0.15236450874380533,1.0,0
8,9,22,2020-02-10,0.0021299770656853755,0.738607601355352,1.0,0
9,10,23,2020-02-11,0.013699154636866466,0.05230769415474166,1.0,0
10,11,24,2020-02-12,0.02528644929628712,0.001638624516037364,0.19008044386033424,0
11,12,25,2020-02-13,0.03650210733314349,5.06293342118597e-05,0.00830321081074499,1
12,13,26,2020-02-14,0.0470094780689946,1.800655149691183e-06,0.00039254282263267786,1
13,14,27,2020-02-15,0.056543508873239355,6.930022463533514e-08,1.8988261550081826e-05,1
14,15,28,2020-02-16,0.06492922214302853,2.548490998822381e-09,8.741324125960767e-07,1
15,16,29,2020-02-17,0.07205829780955914,7.840165688795636e-11,3.433992571692488e-08,1
16,17,30,2020-02-18,0.07787151150854638,1.785226084795462e-12,9.42599372772004e-10,1
17,18,31,2020-02-19,0.08237298669863727,2.5739054433738062e-14,1.567508415014648e-11,1
18,19,32,2020-02-20,0.08562397615881939,1.9975009996016605e-16,1.3962531987215606e-13,1
19,20,33,2020-02-21,0.08775151467557468,6.933204937431526e-19,5.456432285758612e-16,1
20,21,34,2020-02-22,0.08893438702745607,1.0561362471952659e-21,8.871544476440234e-19,1
21,22,35,2020-02-23,0.0893571443812571,9.32841453662315e-24,7.929152356129678e-21,1
22,23,36,2020-02-24,0.08916955030324233,8.144179628556921e-23,6.898120145387712e-20,1
23,24,37,2020-02-25,0.08847883138188282,4.176536993747753e-21,3.479055315791878e-18,1
24,25,38,2020-02-26,0.08737068809622359,8.401526791804806e-20,6.763229067402869e-17,1
25,26,39,2020-02-27,0.08592188833442463,7.708775056543147e-19,6.059097194442913e-16,1
26,27,40,2020-02-28,0.08420193130147738,4.229306165916797e-18,3.2142726860967655e-15,1
