,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.6362728861445728,0.005005753551791749,1.0,0
1,2,15,2020-02-03,-0.52269994966575,0.018620039218178633,1.0,0
2,3,16,2020-02-04,-0.3785199249640863,0.07322743932275938,1.0,0
3,4,17,2020-02-05,-0.20443594037457505,0.2827657406112959,1.0,0
4,5,18,2020-02-06,-0.00106593824842286,0.9943902457545767,1.0,0
5,6,19,2020-02-07,0.2310530028234302,3.448208284544921e-05,0.013241119812652496,1
6,7,20,2020-02-08,0.16393673574977452,1.3314745552285833e-07,5.712025841930622e-05,1
7,8,21,2020-02-09,0.13639603424820954,5.747336994682379e-09,2.638027680559212e-06,1
8,9,22,2020-02-10,0.11910454543180654,5.064090571275879e-10,2.4864684704964565e-07,1
9,10,23,2020-02-11,0.10670055764477039,7.36079254567093e-11,3.768725783383516e-08,1
10,11,24,2020-02-12,0.0969713793562942,1.9302607608607994e-11,1.028828985538806e-08,1
11,12,25,2020-02-13,0.08875352817290813,1.1140504590126701e-11,6.082715506209179e-09,1
12,13,26,2020-02-14,0.08138137336049621,1.5189735417626033e-11,8.172077654682806e-09,1
13,14,27,2020-02-15,0.0744825075540671,3.99371971147255e-11,2.084721689388671e-08,1
14,15,28,2020-02-16,0.06787647793987277,1.42305108570906e-10,7.214869004544933e-08,1
15,16,29,2020-02-17,0.061497827503213726,5.09762955717528e-10,2.497838483015887e-07,1
16,17,30,2020-02-18,0.05535167369689941,1.5169828013733125e-09,7.190498478509502e-07,1
17,18,31,2020-02-19,0.049488479513684895,3.2974989299529295e-09,1.539932000288018e-06,1
18,19,32,2020-02-20,0.04399666306351428,4.621754638710404e-09,2.1352506430842064e-06,1
19,20,33,2020-02-21,0.039006954307604036,3.644823190755433e-09,1.6948427837012763e-06,1
20,21,34,2020-02-22,0.0346687300429317,1.394751826539959e-09,6.639018694330205e-07,1
21,22,35,2020-02-23,0.03110123461246294,2.240765400531573e-10,1.1203827002657865e-07,1
22,23,36,2020-02-24,0.028347891381786318,1.3389211486757416e-11,7.2703418373092765e-09,1
