,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.021211544573909582,1.1666794289566639e-13,6.603405567894717e-11,1
1,2,15,2020-02-03,0.022233606265291264,7.238299534064e-15,4.552890406926256e-12,1
2,3,16,2020-02-04,0.023100879225991435,3.960685588615181e-16,2.72891237055586e-13,1
3,4,17,2020-02-05,0.023835202374825615,2.3615484013637695e-17,1.7050379457846415e-14,1
4,5,18,2020-02-06,0.024467030147279533,2.213059790221782e-18,1.6907776797294415e-15,1
5,6,19,2020-02-07,0.02502927853032593,4.990603512033103e-19,3.912633153433953e-16,1
6,7,20,2020-02-08,0.025549240660703743,3.2566513103383736e-19,2.579267837787992e-16,1
7,8,21,2020-02-09,0.026049826057801168,4.37498974572296e-19,3.4431169298839696e-16,1
8,9,22,2020-02-10,0.026545043335651768,7.141328569311413e-19,5.570236284062902e-16,1
9,10,23,2020-02-11,0.027037509124190857,9.05011456459619e-19,7.022888902126644e-16,1
10,11,24,2020-02-12,0.027516629174569186,6.581638037651185e-19,5.146840945443226e-16,1
11,12,25,2020-02-13,0.027958206928508374,2.1783509117922905e-19,1.7339673257866633e-16,1
12,13,26,2020-02-14,0.028327062348263054,2.6017063695388755e-20,2.1438060485000335e-17,1
13,14,27,2020-02-15,0.02858069366577139,1.009750531049827e-21,8.502099471439543e-19,1
14,15,28,2020-02-16,0.02867490586168089,7.942353241708246e-23,6.774827315177134e-20,1
15,16,29,2020-02-17,0.02857470414679562,1.7682693294433363e-21,1.4853462367324025e-18,1
16,17,30,2020-02-18,0.028258782667819546,3.7690955057587264e-19,2.9775854495493937e-16,1
17,18,31,2020-02-19,0.02771679478410099,3.2345913785497515e-17,2.3256712011772713e-14,1
18,19,32,2020-02-20,0.02695136391510608,1.0205905938525998e-15,6.868574696627997e-13,1
19,20,33,2020-02-21,0.02597515575401596,1.5551853955353235e-14,9.51773462067618e-12,1
20,21,34,2020-02-22,0.02480626879554788,1.4239517687547032e-13,7.988369422713885e-11,1
21,22,35,2020-02-23,0.023468139372049838,9.129074899278043e-13,4.804276803030069e-10,1
22,23,36,2020-02-24,0.02198970150200331,4.562235276886528e-12,2.221808579843739e-09,1
23,24,37,2020-02-25,0.020401983336030834,1.9238139107737665e-11,8.637924459374212e-09,1
24,25,38,2020-02-26,0.018739927798851985,7.200057308887806e-11,2.8800229235551224e-08,1
25,26,39,2020-02-27,0.01703969642884688,2.4842476273028866e-10,9.067503839655536e-08,1
26,27,40,2020-02-28,0.015337420910446157,8.088641463463188e-10,2.7582267390409475e-07,1
27,28,41,2020-02-29,0.013663437686490688,2.513368284064839e-09,7.816575363441649e-07,1
28,29,42,2020-03-01,0.012037769619292833,7.418225648934817e-09,2.0103391508613355e-06,1
29,30,43,2020-03-02,0.010472885171363255,2.101569629439672e-08,5.401033947659957e-06,1
30,31,44,2020-03-03,0.008975018882755675,6.100765203600418e-08,1.4336798228460982e-05,1
31,32,45,2020-03-04,0.007542606312552837,2.0282928332696125e-07,4.259414949866186e-05,1
32,33,46,2020-03-05,0.006173043243753021,8.935628709794614e-07,0.00016352200538924142,1
33,34,47,2020-03-06,0.004860629286321275,6.270384589736185e-06,0.0009530984576399001,1
34,35,48,2020-03-07,0.003592015692861076,8.565709607577292e-05,0.010021880240865432,1
35,36,49,2020-03-08,0.0023492654900092056,0.002495609532171435,0.1996487625737148,0
36,37,50,2020-03-09,0.0011132295682577467,0.10164258494076453,1.0,0
37,38,51,2020-03-10,-0.0001348560528741215,0.8386858937549072,1.0,0
38,39,52,2020-03-11,-0.0014066723831729657,0.058084723374770386,1.0,0
39,40,53,2020-03-12,-0.0027079937844637554,0.0020623721622177083,0.16705214513963437,0
40,41,54,2020-03-13,-0.004038877649212375,9.680801954328435e-05,0.0111329222474777,-1
41,42,55,2020-03-14,-0.005394544450934393,6.758474943212085e-06,0.0010205297164250248,-1
42,43,56,2020-03-15,-0.006766511470040079,6.621053995639765e-07,0.00012381370971846362,-1
43,44,57,2020-03-16,-0.008146719524643535,8.690081910329128e-08,1.9465783479137247e-05,-1
44,45,58,2020-03-17,-0.009534310236321212,1.4857991885408318e-08,3.892793873976979e-06,-1
45,46,59,2020-03-18,-0.010934497806078245,3.232386048697872e-09,9.73433088180285e-07,-1
46,47,60,2020-03-19,-0.012353866586339994,8.973146757389579e-10,3.039010318574577e-07,-1
47,48,61,2020-03-20,-0.013796097599899136,3.1441937908173157e-10,1.1287655709034163e-07,-1
48,49,62,2020-03-21,-0.015257666120642324,1.283696256291266e-10,4.929393624158461e-08,-1
49,50,63,2020-03-22,-0.016724123728580266,5.3894455237975895e-11,2.193504328185619e-08,-1
50,51,64,2020-03-23,-0.01817161117682985,2.0419779558984586e-11,9.066382124189156e-09,-1
51,52,65,2020-03-24,-0.01956843737206238,6.176901073731971e-12,2.964912515391346e-09,-1
52,53,66,2020-03-25,-0.020879634848144285,1.3671980281680918e-12,7.027397864783992e-10,-1
53,54,67,2020-03-26,-0.02207160785176214,2.0593619044372216e-13,1.1388271331537836e-10,-1
54,55,68,2020-03-27,-0.023114258819902953,1.9092060405907797e-14,1.1607972726791941e-11,-1
55,56,69,2020-03-28,-0.02398441889492417,9.43129035214281e-16,6.384983568400683e-13,-1
56,57,70,2020-03-29,-0.024666807974088465,2.0072675719914654e-17,1.4612907924097868e-14,-1
57,58,71,2020-03-30,-0.02515668586862621,1.3591136228147558e-19,1.0968046936115079e-16,-1
58,59,72,2020-03-31,-0.025463716642158477,2.0882820966950626e-22,1.766686653804023e-19,-1
59,60,73,2020-04-01,-0.025608423147951993,2.4989923480861437e-25,2.159129388746428e-22,-1
60,61,74,2020-04-02,-0.02562357020984028,1.0088051521236462e-25,8.72616456586954e-23,-1
61,62,75,2020-04-03,-0.02554820550495253,9.012339954332888e-25,7.777649380589282e-22,-1
62,63,76,2020-04-04,-0.02541892515799076,2.6443085879700023e-24,2.279394002830142e-21,-1
63,64,77,2020-04-05,-0.02526053400559598,2.843206937595779e-24,2.4480011732699656e-21,-1
64,65,78,2020-04-06,-0.025081366466967434,2.8587862814877175e-24,2.458556202079437e-21,-1
65,66,79,2020-04-07,-0.024871775739217693,9.206327555721503e-24,7.889822715253328e-21,-1
66,67,80,2020-04-08,-0.0246125250418631,1.8538271610841111e-22,1.5701916054382422e-19,-1
67,68,81,2020-04-09,-0.024284171484712257,9.647336832674572e-21,8.045878918450594e-18,-1
68,69,82,2020-04-10,-0.023867154900362668,4.74879577426955e-19,3.7325534785758663e-16,-1
69,70,83,2020-04-11,-0.02334468754826763,1.5296384722271908e-17,1.1212250001425308e-14,-1
70,71,84,2020-04-12,-0.022704213029259908,3.036274166700295e-16,2.1132468200234054e-13,-1
71,72,85,2020-04-13,-0.021938537110418252,3.879706378528886e-15,2.5024106141511317e-12,-1
72,73,86,2020-04-14,-0.021050913093292878,3.3323262578425175e-14,1.9760694709006128e-11,-1
73,74,87,2020-04-15,-0.02005044668641368,2.0125873227946522e-13,1.1149733768282372e-10,-1
74,75,88,2020-04-16,-0.018954630864668427,8.822849274101487e-13,4.667287265999686e-10,-1
75,76,89,2020-04-17,-0.01779470286758771,2.76418869614767e-12,1.382094348073835e-09,-1
76,77,90,2020-04-18,-0.01661080304370274,6.193308759750934e-12,2.9665948959206973e-09,-1
77,78,91,2020-04-19,-0.01544520964501776,1.002480502632248e-11,4.721683167397888e-09,-1
78,79,92,2020-04-20,-0.014341773513987226,1.1280551379749291e-11,5.234175840203671e-09,-1
79,80,93,2020-04-21,-0.013341420024119269,7.927003473011025e-12,3.757399646207226e-09,-1
80,81,94,2020-04-22,-0.01247587360454928,2.949404276604453e-12,1.4688033297490176e-09,-1
81,82,95,2020-04-23,-0.011770220432857139,4.701636416918396e-13,2.5185683345384094e-10,-1
82,83,96,2020-04-24,-0.011239831910496073,2.502677358695474e-14,1.4915957057825024e-11,-1
83,84,97,2020-04-25,-0.010892868329038484,3.7268429187335985e-16,2.5752484568449163e-13,-1
84,85,98,2020-04-26,-0.010731203324615048,5.59925355999445e-18,4.210638677115826e-15,-1
85,86,99,2020-04-27,-0.010743687449361078,8.499074122488558e-18,6.3318102212539755e-15,-1
86,87,100,2020-04-28,-0.010904949161403537,1.805429681041958e-16,1.2692170657724965e-13,-1
87,88,101,2020-04-29,-0.011173763150901279,1.2735982747328763e-15,8.520372457962942e-13,-1
88,89,102,2020-04-30,-0.011498039454535288,2.0559463359657544e-15,1.3507567427295006e-12,-1
89,90,103,2020-05-01,-0.011826123345962055,8.409897497053933e-16,5.701910503002567e-13,-1
90,91,104,2020-05-02,-0.012099486910022593,8.383475913485128e-17,5.960651374487926e-14,-1
91,92,105,2020-05-03,-0.012259580996005298,3.717752685237094e-18,2.8143387827244803e-15,-1
92,93,106,2020-05-04,-0.012261966716561084,3.4415393562809266e-18,2.615569910773504e-15,-1
93,94,107,2020-05-05,-0.0120844937525559,3.1496956259715985e-16,2.1858887644242895e-13,-1
94,95,108,2020-05-06,-0.011724375748953653,3.419829374440461e-14,2.024538989668753e-11,-1
95,96,109,2020-05-07,-0.011195870469409808,1.3103791825030553e-12,6.748452789890735e-10,-1
96,97,110,2020-05-08,-0.010525063936274955,1.9613996899680993e-11,8.777417424651764e-09,-1
97,98,111,2020-05-09,-0.009751040693008722,1.3366678391355629e-10,5.092704467106495e-08,-1
98,99,112,2020-05-10,-0.008923372220279875,4.606628015426786e-10,1.6215330614302287e-07,-1
99,100,113,2020-05-11,-0.00809525162989782,8.318411108061958e-10,2.828259776741066e-07,-1
100,101,114,2020-05-12,-0.007319031152084545,7.346651399308282e-10,2.5199014299627407e-07,-1
101,102,115,2020-05-13,-0.006638510561914638,2.7021402522785836e-10,9.781747713248472e-08,-1
102,103,116,2020-05-14,-0.006083418320382674,3.281171683439133e-11,1.4010603088285097e-08,-1
103,104,117,2020-05-15,-0.005666873163608728,1.0841061628210797e-12,5.626510985041404e-10,-1
104,105,118,2020-05-16,-0.005373292337182452,8.698382718094724e-15,5.4277908160911076e-12,-1
105,106,119,2020-05-17,-0.005163715118029812,2.4486795800109528e-17,1.765497977187897e-14,-1
106,107,120,2020-05-18,-0.004986998081051338,2.715722804191965e-18,2.072096499598469e-15,-1
107,108,121,2020-05-19,-0.0047859230512301365,1.8535055475715308e-15,1.2214601558496387e-12,-1
108,109,122,2020-05-20,-0.004504884892268893,2.9579371917181342e-12,1.4688033297490176e-09,-1
109,110,123,2020-05-21,-0.0040939654180929454,1.8114483506118128e-09,5.760405754945565e-07,-1
110,111,124,2020-05-22,-0.003510383027546464,5.80049586037035e-07,0.00011136952051911072,-1
111,112,125,2020-05-23,-0.002724883178012772,0.00012403198591448683,0.013891582422422525,-1
112,113,126,2020-05-24,-0.0017175979826254027,0.01645923112281332,0.9710946362459859,0
113,114,127,2020-05-25,-0.0004799758824168702,0.5274189523247572,1.0,0
114,115,128,2020-05-26,0.000978327264458442,0.2698533917013093,1.0,0
115,116,129,2020-05-27,0.002632321643197707,0.01567005078578665,0.9558730979329856,0
116,117,130,2020-05-28,0.004447383393499457,0.0008314491955771084,0.07649332599309397,0
117,118,131,2020-05-29,0.006383145387629212,5.7464090090949726e-05,0.007068083081186816,1
118,119,132,2020-05-30,0.008397688571288708,5.201412260262029e-06,0.0008166217248611385,1
119,120,133,2020-05-31,0.010450998226872186,5.74440854740178e-07,0.00011086708496485435,1
120,121,134,2020-06-01,0.012501635443053933,7.248942353811075e-08,1.660007799022736e-05,1
121,122,135,2020-06-02,0.014507867287319768,9.744950230328195e-09,2.5726668608066435e-06,1
122,123,136,2020-06-03,0.01642493355411209,1.2948549093945353e-09,4.258962976358129e-07,1
123,124,137,2020-06-04,0.01820731793723227,1.5681966728693208e-10,5.9121014567173395e-08,1
124,125,138,2020-06-05,0.019814323627549306,1.5682330604857562e-11,7.1354604252101905e-09,1
125,126,139,2020-06-06,0.021208597145315422,1.168040899758759e-12,6.027091042755197e-10,1
126,127,140,2020-06-07,0.0223604934357842,5.609037287267207e-14,3.275677775764049e-11,1
127,128,141,2020-06-08,0.02324826887853205,1.387348188763807e-15,9.253612419054592e-13,1
128,129,142,2020-06-09,0.023857546701685398,1.3577263886359886e-17,9.979288956474517e-15,1
129,130,143,2020-06-10,0.024189368797338615,7.806680257720824e-20,6.393671131073355e-17,1
130,131,144,2020-06-11,0.024262562558412894,1.2187388425979872e-20,1.0127719781989274e-17,1
131,132,145,2020-06-12,0.024109194556777687,2.4190617844453557e-19,1.923154118634058e-16,1
132,133,146,2020-06-13,0.023764780540209415,6.0484268203614275e-18,4.530271688450709e-15,1
133,134,147,2020-06-14,0.023262930078133258,6.10108965583743e-17,4.356178014267925e-14,1
134,135,148,2020-06-15,0.022632792337103552,3.182287725910544e-16,2.205325394056007e-13,1
135,136,149,2020-06-16,0.021897252551502766,1.1960658709104177e-15,8.037562652518008e-13,1
136,137,150,2020-06-17,0.021069885836743702,4.270740559649899e-15,2.7460861798548853e-12,1
137,138,151,2020-06-18,0.020155212887997535,1.7741878934948228e-14,1.080480427138347e-11,1
138,139,152,2020-06-19,0.019156133556519104,9.208048903854644e-14,5.257795924101002e-11,1
139,140,153,2020-06-20,0.018075795610148878,5.752107868518863e-13,3.065873493920554e-10,1
140,141,154,2020-06-21,0.016915085071109438,4.006515816731637e-12,1.9591862343817706e-09,1
141,142,155,2020-06-22,0.01567014040663042,2.8891806223650017e-11,1.2394584869945858e-08,1
142,143,156,2020-06-23,0.014333595150218056,2.0330611380133648e-10,7.583318044789851e-08,1
143,144,157,2020-06-24,0.012906942964964302,1.351866690131567e-09,4.420604076730224e-07,1
144,145,158,2020-06-25,0.011402612650061938,8.65187078923966e-09,2.3013976299377496e-06,1
145,146,159,2020-06-26,0.009839129138390643,5.755296488601337e-08,1.3582499713099155e-05,1
146,147,160,2020-06-27,0.008236576740002194,4.46077819817102e-07,8.78773305039691e-05,1
147,148,161,2020-06-28,0.00661161634202155,4.596224171279659e-06,0.0007399920915760251,1
148,149,162,2020-06-29,0.004977713391869621,7.158949761912143e-05,0.008662329211913693,1
149,150,163,2020-06-30,0.003343782135423781,0.001849894512566289,0.15539113905556828,0
150,151,164,2020-07-01,0.0017130036475995446,0.0645388751345999,1.0,0
151,152,165,2020-07-02,8.403890751833369e-05,0.9221311211588512,1.0,0
152,153,166,2020-07-03,-0.0015421415520279504,0.09151495847974397,1.0,0
153,154,167,2020-07-04,-0.0031602419693820987,0.002649051829866729,0.2092750945594716,0
154,155,168,2020-07-05,-0.004762302165237447,9.354725817075245e-05,0.010851481947807285,-1
155,156,169,2020-07-06,-0.006336822745809728,5.152561771809089e-06,0.0008141047599458361,-1
156,157,170,2020-07-07,-0.007868168729342461,3.9512500034777255e-07,7.90250000695545e-05,-1
157,158,171,2020-07-08,-0.009332749415051373,3.639188111773402e-08,8.952402754962568e-06,-1
158,159,172,2020-07-09,-0.010704224314179027,3.5721323607272794e-09,1.0644954434967294e-06,-1
159,160,173,2020-07-10,-0.01196125640274092,3.3881594825805397e-10,1.2095729352812527e-07,-1
160,161,174,2020-07-11,-0.013085480184352473,2.8116918674441816e-11,1.2090275030009981e-08,-1
161,162,175,2020-07-12,-0.01405950349307172,1.7981597831435194e-12,9.134651698369078e-10,-1
162,163,176,2020-07-13,-0.014864371075668755,7.565616966820134e-14,4.3653609898552174e-11,-1
163,164,177,2020-07-14,-0.015480394970530964,1.6401190199524036e-15,1.0873989102284437e-12,-1
164,165,178,2020-07-15,-0.015889174755678664,1.3495374984694668e-17,9.932595988735276e-15,-1
165,166,179,2020-07-16,-0.01607196314390118,1.2850307446900733e-19,1.0408749031989593e-16,-1
166,167,180,2020-07-17,-0.016007371135623,1.1378482111006607e-18,8.761431225475088e-16,-1
167,168,181,2020-07-18,-0.015672532205661196,5.586342815030001e-16,3.8266448282955507e-13,-1
168,169,182,2020-07-19,-0.01504863714101654,1.283759473017401e-13,7.227565833087969e-11,-1
169,170,183,2020-07-20,-0.014124546769350457,1.2439147717173221e-11,5.734447097616855e-09,-1
170,171,184,2020-07-21,-0.01289652186301373,7.032684500832285e-10,2.419243468286306e-07,-1
171,172,185,2020-07-22,-0.011365338557831901,2.973115943644351e-08,7.492252177983765e-06,-1
172,173,186,2020-07-23,-0.009542898795888747,1.1213470846957002e-06,0.00020072112816053034,-1
173,174,187,2020-07-24,-0.0074579187034244,4.3689276558264274e-05,0.005679605952574355,-1
174,175,188,2020-07-25,-0.005150456839022959,0.001924772102409682,0.15975608450000361,0
175,176,189,2020-07-26,-0.00267054353511289,0.07640617190784736,1.0,0
176,177,190,2020-07-27,-7.880635045310878e-05,0.956489899632578,1.0,0
177,178,191,2020-07-28,0.002556174146325484,0.09562652118305828,1.0,0
178,179,192,2020-07-29,0.005162779591393231,0.002750258825121557,0.21452018835948142,0
179,180,193,2020-07-30,0.0076706707147165785,7.461260808880455e-05,0.008878900362567742,1
180,181,194,2020-07-31,0.010015037721853257,2.529749325721304e-06,0.0004199383880697364,1
181,182,195,2020-08-01,0.012143017394625297,1.004716013149796e-07,2.200328068798053e-05,1
182,183,196,2020-08-02,0.014014773762134796,4.0486945828228714e-09,1.1647380080770583e-06,1
183,184,197,2020-08-03,0.015604506926634459,1.4316392679012652e-10,5.425912825345795e-08,1
184,185,198,2020-08-04,0.01690239302989165,3.8711069439208836e-12,1.900713509465154e-09,1
185,186,199,2020-08-05,0.01791327830774926,6.657199252715409e-14,3.861175566574937e-11,1
186,187,200,2020-08-06,0.018653439543743964,5.631583809260337e-16,3.852003325534071e-13,1
187,188,201,2020-08-07,0.019147287917161634,1.6970969254178916e-18,1.3050675356463587e-15,1
188,189,202,2020-08-08,0.01942639660468477,1.5199764239492572e-21,1.2783001725413254e-18,1
189,190,203,2020-08-09,0.019525812501743622,8.440662546545685e-24,7.242088464936198e-21,1
190,191,204,2020-08-10,0.019477158524716667,9.392098360852858e-23,8.002067803446635e-20,1
191,192,205,2020-08-11,0.019304984048350078,4.5385544326738e-21,3.794231505715297e-18,1
192,193,206,2020-08-12,0.019028613749116553,1.0580377293369141e-19,8.644168248682589e-17,1
193,194,207,2020-08-13,0.018663062357665475,1.6976058849866127e-18,1.3050675356463587e-15,1
194,195,208,2020-08-14,0.018218081370321902,2.2509107411995767e-17,1.6296593766284935e-14,1
195,196,209,2020-08-15,0.01769613818410458,2.5749488823916467e-16,1.7947393710269778e-13,1
196,197,210,2020-08-16,0.01709214101318506,2.5402725421999478e-15,1.658797970056566e-12,1
197,198,211,2020-08-17,0.01640021004726059,2.1480517573591615e-14,1.2931271579302152e-11,1
198,199,212,2020-08-18,0.015619624908930842,1.5522521497385025e-13,8.64604447404346e-11,1
199,200,213,2020-08-19,0.014754882108339475,9.338961241722504e-13,4.874937768179147e-10,1
200,201,214,2020-08-20,0.013817495906874989,4.591387237071103e-12,2.226822809979485e-09,1
201,202,215,2020-08-21,0.012825696371510868,1.8524206889166354e-11,8.33589310012486e-09,1
202,203,216,2020-08-22,0.01180021317595843,6.288160238395346e-11,2.546704896550115e-08,1
203,204,217,2020-08-23,0.010762498247827117,1.8658920217470103e-10,7.002963557355013e-08,1
204,205,218,2020-08-24,0.009730613372371022,5.038633536756478e-10,1.7584831043280108e-07,1
205,206,219,2020-08-25,0.00871739356340353,1.2844961921915195e-09,4.2388374342320146e-07,1
206,207,220,2020-08-26,0.007729799582612985,3.2232883714578975e-09,9.73433088180285e-07,1
207,208,221,2020-08-27,0.006771453182422217,8.45114720791119e-09,2.27335859892811e-06,1
208,209,222,2020-08-28,0.0058460603550199745,2.5610522595712035e-08,6.5306832619065685e-06,1
209,210,223,2020-08-29,0.004957030360745668,9.913508502284442e-08,2.1809718705025775e-05,1
210,211,224,2020-08-30,0.0041059044731019,5.199668381719046e-07,0.0001019135002816933,1
211,212,225,2020-08-31,0.0032941219948824287,3.703236941513617e-06,0.0006036276214667196,1
212,213,226,2020-09-01,0.0025258723804666735,3.431362891725134e-05,0.0044950853881599254,1
213,214,227,2020-09-02,0.0018081174004787321,0.00040107933659762725,0.04091009233295798,1
214,215,228,2020-09-03,0.0011486527317620754,0.0058728839391546505,0.40941714562381754,0
215,216,229,2020-09-04,0.0005556957691907525,0.09527819390355913,1.0,0
216,217,230,2020-09-05,3.570599569755887e-05,0.894554940747131,1.0,0
217,218,231,2020-09-06,-0.00040744979874122626,0.08469235261349128,1.0,0
218,219,232,2020-09-07,-0.0007713469725556365,0.0006507739362265733,0.061172750005297885,0
219,220,233,2020-09-08,-0.0010554549602404268,1.9357524769875758e-06,0.00033101367356487544,-1
220,221,234,2020-09-09,-0.0012635531594509882,3.769642305141516e-09,1.1158141223218886e-06,-1
221,222,235,2020-09-10,-0.001406521509593337,4.631756869888605e-12,2.241770325026085e-09,-1
222,223,236,2020-09-11,-0.0014993618447129444,3.3291545830495702e-15,2.1572921698161213e-12,-1
223,224,237,2020-09-12,-0.001555785936604068,2.0249440685833695e-18,1.5490822124662777e-15,-1
224,225,238,2020-09-13,-0.001586647890425395,2.0382013846946583e-21,1.7100509617588183e-18,-1
225,226,239,2020-09-14,-0.0015970733350745754,5.831191497561104e-24,5.0089934964049884e-21,-1
226,227,240,2020-09-15,-0.0015858884818061342,1.2969017493529557e-20,1.0764284519629532e-17,-1
227,228,241,2020-09-16,-0.0015490275354704366,1.5858820849672603e-16,1.1180468699019186e-13,-1
228,229,242,2020-09-17,-0.0014830482663502906,1.5198283128552484e-13,8.495840268860839e-11,-1
229,230,243,2020-09-18,-0.0013834802493741679,3.8549824066801614e-11,1.6190926108056677e-08,-1
230,231,244,2020-09-19,-0.0012449114709403826,5.257326878648665e-09,1.4773088529002748e-06,-1
231,232,245,2020-09-20,-0.0010636091681486281,5.523675178203777e-07,0.00010771166597497364,-1
232,233,246,2020-09-21,-0.0008352797028632104,5.6603193173666814e-05,0.007018795953534685,-1
233,234,247,2020-09-22,-0.0005572979057139805,0.005405907648140542,0.39463125831425955,0
234,235,248,2020-09-23,-0.00023185009768202412,0.24088029811623424,1.0,0
235,236,249,2020-09-24,0.00013211857725415238,0.5323845933440916,1.0,0
236,237,250,2020-09-25,0.0005223566377205758,0.032769108990794917,1.0,0
237,238,251,2020-09-26,0.0009235290461882294,0.0012406709153592428,0.10669769872089488,0
238,239,252,2020-09-27,0.001315258869695782,5.121550647194156e-05,0.0065043693219365775,1
239,240,253,2020-09-28,0.0016769530168445953,2.1871132862371518e-06,0.0003674350320878415,1
240,241,254,2020-09-29,0.001990524065308959,7.575781460569131e-08,1.7197023915491927e-05,1
241,242,255,2020-09-30,0.0022412578640600097,1.5933385409424366e-09,5.14579410242149e-07,1
242,243,256,2020-10-01,0.002418648765242556,1.6811977188889803e-11,7.59901368937819e-09,1
243,244,257,2020-10-02,0.0025191635376168365,1.5117078860173685e-13,8.465564161697263e-11,1
244,245,258,2020-10-03,0.0025479650923896664,2.0264443836743896e-14,1.2239724077393314e-11,1
245,246,259,2020-10-04,0.0025149636516465044,1.2926297429514402e-13,7.264579155387094e-11,1
246,247,260,2020-10-05,0.0024327733590037205,1.4381057137817892e-12,7.377482311700579e-10,1
247,248,261,2020-10-06,0.002313547597450412,7.952067378743646e-12,3.761327870145745e-09,1
248,249,262,2020-10-07,0.0021689709365152296,1.959244960859769e-11,8.777417424651764e-09,1
249,250,263,2020-10-08,0.0020119081616712144,2.1064470830991797e-11,9.331560578129365e-09,1
250,251,264,2020-10-09,0.0018575425603390653,1.0155030443876557e-11,4.758217723938548e-09,1
251,252,265,2020-10-10,0.001721229846038199,2.3888447367804838e-12,1.2015889026005833e-09,1
252,253,266,2020-10-11,0.0016110530194009141,3.2206038523688773e-13,1.758449703393407e-10,1
253,254,267,2020-10-12,0.0015260586657064705,3.778546811498195e-14,2.229342618783935e-11,1
254,255,268,2020-10-13,0.0014560926136177018,9.795391208100666e-15,6.073142549022413e-12,1
255,256,269,2020-10-14,0.0013864222862640476,1.931616459048361e-14,1.1724911906423551e-11,1
256,257,270,2020-10-15,0.001304055793386892,3.909601342255805e-13,2.1100093401343786e-10,1
257,258,271,2020-10-16,0.0012016744937079864,2.2028663980858622e-11,9.736669479539511e-09,1
258,259,272,2020-10-17,0.0010807086235171417,1.1009207011993482e-09,3.688084349017816e-07,1
259,260,273,2020-10-18,0.0009450818642709162,4.0972461162672746e-08,9.99728052369215e-06,1
260,261,274,2020-10-19,0.0007928507508827342,1.5757552448574537e-06,0.00027418141260519694,1
261,262,275,2020-10-20,0.0006165049768445622,8.164707691022228e-05,0.009634355075406229,1
262,263,276,2020-10-21,0.0004095408123496928,0.005499364189176805,0.39463125831425955,0
263,264,277,2020-10-22,0.0001694852517948598,0.2357061513092036,1.0,0
