,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.05891996493162097,2.7519488682595137e-10,1.896092770230805e-07,-1
1,2,15,2020-02-03,-0.06322548655073781,3.8902168726376075e-12,2.7659441964453387e-09,-1
2,3,16,2020-02-04,-0.06555759283406909,4.353092254460198e-14,3.247406821827308e-11,-1
3,4,17,2020-02-05,-0.06576538623537226,2.3044490707354198e-14,1.728336803051565e-11,-1
4,5,18,2020-02-06,-0.06383157755884532,2.0341133950656787e-12,1.4543910774719603e-09,-1
5,6,19,2020-02-07,-0.059905832064971305,2.1646487069029548e-10,1.495772256469942e-07,-1
6,7,20,2020-02-08,-0.054316127953693186,8.996936184259652e-09,5.9289809454271106e-06,-1
7,8,21,2020-02-09,-0.04755612307896899,1.6437801899365065e-07,0.00010438004206096817,-1
8,9,22,2020-02-10,-0.040252051815799966,1.4913773932823572e-06,0.0009171970968686497,-1
9,10,23,2020-02-11,-0.03311542332354168,6.709251768540275e-06,0.004045678816429785,-1
10,11,24,2020-02-12,-0.026887599035246616,1.267807045031221e-05,0.007556129988386077,-1
11,12,25,2020-02-13,-0.022280660658071532,6.997690319500367e-06,0.004212609572339221,-1
12,13,26,2020-02-14,-0.019917245789934614,1.3138239386014025e-06,0.0008106293701170654,-1
13,14,27,2020-02-15,-0.02027054410092755,2.0188577371722494e-06,0.0012355409351494167,-1
14,15,28,2020-02-16,-0.02360327114016905,1.747689414116927e-05,0.010398752013995717,-1
15,16,29,2020-02-17,-0.02992335990940816,4.231905352341838e-05,0.024714327257676336,-1
16,17,30,2020-02-18,-0.039003886481492736,3.214326444136125e-05,0.01896452602040314,-1
17,18,31,2020-02-19,-0.05027261927252298,1.1802051745395246e-05,0.007045824892000962,-1
18,19,32,2020-02-20,-0.06270115685250002,2.4752058301157032e-06,0.0015049251447103475,-1
19,20,33,2020-02-21,-0.07433709129349439,2.570105261068677e-07,0.00016217364197343353,-1
20,21,34,2020-02-22,-0.08258447153949548,1.2140892686295712e-08,7.976566494896282e-06,-1
