,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.000348356595837807,0.249705608197756,1.0,0
1,2,15,2020-02-03,-0.0002537479800382476,0.4121582976442266,1.0,0
2,3,16,2020-02-04,-0.0009335810717685302,0.01515975208180808,1.0,0
3,4,17,2020-02-05,-0.0017036423023140933,0.0008203683171895827,0.10746824955183533,0
4,5,18,2020-02-06,-0.002560257250308856,0.00010716037932526118,0.018324424864619663,-1
5,6,19,2020-02-07,-0.0034760222911785514,2.117728920355184e-05,0.004193103262303264,-1
6,7,20,2020-02-08,-0.00440930392235079,4.180195469244432e-06,0.0009489043715184861,-1
7,8,21,2020-02-09,-0.005309070432502326,6.37431913530612e-07,0.00017146918473973463,-1
8,9,22,2020-02-10,-0.006127128217431453,6.199596955107784e-08,1.9900706225895986e-05,-1
9,10,23,2020-02-11,-0.006823351131784026,3.1924263376607234e-09,1.270585682388968e-06,-1
10,11,24,2020-02-12,-0.0073515169701739765,7.556964189557626e-11,3.740697273831025e-08,-1
11,12,25,2020-02-13,-0.0076611761527292386,1.437494414985698e-12,8.452467160115904e-10,-1
12,13,26,2020-02-14,-0.007723605399416316,4.485826807279062e-13,2.758783486476623e-10,-1
13,14,27,2020-02-15,-0.0075398483706318785,6.8426545712484725e-12,3.790830632471654e-09,-1
14,15,28,2020-02-16,-0.007129990768989708,1.7944533206700613e-10,8.48776420676939e-08,-1
15,16,29,2020-02-17,-0.006530247308992798,2.398610880428688e-09,9.73149913023776e-07,-1
16,17,30,2020-02-18,-0.005796553168435448,1.7090360576731444e-08,6.15252980762332e-06,-1
17,18,31,2020-02-19,-0.0050054449832842626,7.260219815121634e-08,2.301489681393558e-05,-1
18,19,32,2020-02-20,-0.004232791553737062,2.0374250896926032e-07,5.9085327601085495e-05,-1
19,20,33,2020-02-21,-0.0035257268567937326,4.260367414829154e-07,0.0001188642508737334,-1
20,21,34,2020-02-22,-0.002892809490384304,8.353999784406384e-07,0.0002180393943730066,-1
21,22,35,2020-02-23,-0.0023126906888358595,2.2335724458047537e-06,0.0005405245318847503,-1
22,23,36,2020-02-24,-0.0017430093276456652,1.8448335514927866e-05,0.0037634604450452846,-1
23,24,37,2020-02-25,-0.0011304473248928068,0.001489179879576581,0.1816799453083429,0
24,25,38,2020-02-26,-0.00041764844759196643,0.252415210137077,1.0,0
25,26,39,2020-02-27,0.0004466229996459763,0.3468493621958366,1.0,0
26,27,40,2020-02-28,0.0014889523236639665,0.025417457637401827,1.0,0
27,28,41,2020-02-29,0.002713727326837783,0.00255417778755904,0.2835137344190534,0
28,29,42,2020-03-01,0.004122582285182778,0.0003632768031651523,0.05483957620151815,0
29,30,43,2020-03-02,0.005719498534222865,6.072028850084568e-05,0.010868931641651376,1
30,31,44,2020-03-03,0.007505479240679839,1.0258597531375845e-05,0.0022158570667771826,1
31,32,45,2020-03-04,0.009467930063048883,1.6936313636287379e-06,0.00042171420954355575,1
32,33,46,2020-03-05,0.011583741222935887,2.8827573375198004e-07,8.158203265181035e-05,1
33,34,47,2020-03-06,0.013813664567175709,5.3893745642787814e-08,1.7723428915611866e-05,1
34,35,48,2020-03-07,0.016101270867401814,1.1131818840006068e-08,4.129904789642251e-06,1
35,36,49,2020-03-08,0.018375474616972927,2.463592139289848e-09,9.90364039994519e-07,1
36,37,50,2020-03-09,0.020570633289426054,5.514832465325912e-10,2.443070782139379e-07,1
37,38,51,2020-03-10,0.022643096941066847,1.1305710240173981e-10,5.483269466484381e-08,1
38,39,52,2020-03-11,0.024565681723075532,1.888669597654094e-11,9.896628691707451e-09,1
39,40,53,2020-03-12,0.026314442722550686,2.2992719522797575e-12,1.32667991646542e-09,1
40,41,54,2020-03-13,0.02786017805443608,1.8251591567406162e-13,1.1480251095898476e-10,1
41,42,55,2020-03-14,0.029172439383612976,8.4008237228258e-15,5.922580724592189e-12,1
42,43,56,2020-03-15,0.030225480738230285,1.8294805530766911e-16,1.4160179480813588e-13,1
43,44,57,2020-03-16,0.030993822111639216,1.2849649404776562e-18,1.0639509707154993e-15,1
44,45,58,2020-03-17,0.031453465665754896,1.9386288288443808e-21,1.6575276486619457e-18,1
45,46,59,2020-03-18,0.03159162056177424,2.2000123765083627e-23,1.898610680926717e-20,1
