,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0,1.0,1.0,0
1,2,15,2020-02-03,0.0,1.0,1.0,0
2,3,16,2020-02-04,0.0,1.0,1.0,0
3,4,17,2020-02-05,0.0,1.0,1.0,0
4,5,18,2020-02-06,0.0,1.0,1.0,0
5,6,19,2020-02-07,0.0,1.0,1.0,0
6,7,20,2020-02-08,0.0,1.0,1.0,0
7,8,21,2020-02-09,0.0,1.0,1.0,0
8,9,22,2020-02-10,0.0,1.0,1.0,0
9,10,23,2020-02-11,0.0,1.0,1.0,0
10,11,24,2020-02-12,-0.13269573296189327,0.10886430106296381,1.0,0
11,12,25,2020-02-13,-0.25008609347841204,0.02094168921354337,1.0,0
12,13,26,2020-02-14,-0.3726688804533234,0.0038444931060222136,1.0,0
13,14,27,2020-02-15,-0.4651267966580745,0.0006976843244723041,0.3718657449437381,0
14,15,28,2020-02-16,-0.5267352499703056,0.00015241663880437707,0.08824923386773433,0
15,16,29,2020-02-17,-0.5592975621338225,5.5030078903929885e-05,0.03263283679003042,-1
16,17,30,2020-02-18,-0.5632519227723051,4.77875426197686e-05,0.028433587858762314,-1
17,18,31,2020-02-19,-0.5379242487462744,0.00011660473566810485,0.06798056089450513,0
18,19,32,2020-02-20,-0.48479107729944376,0.0005782116587465412,0.3116560840643857,0
19,20,33,2020-02-21,-0.4061856526674998,0.0037404605464722773,1.0,0
20,21,34,2020-02-22,-0.3042555110654706,0.024184363972720117,1.0,0
21,22,35,2020-02-23,-0.18068875907282725,0.14082308212784125,1.0,0
22,23,36,2020-02-24,-0.03672245317562592,0.7082009970501353,1.0,0
23,24,37,2020-02-25,0.12678282570402108,0.00040297962883112333,0.22163879585711782,0
24,25,38,2020-02-26,0.15615416478520086,2.1822134974905047e-06,0.0013420613009566603,1
25,26,39,2020-02-27,0.17785731675837965,5.4766839506934924e-11,3.718668402520881e-08,1
26,27,40,2020-02-28,0.16637607690698447,4.0077726971260165e-10,2.641122207406045e-07,1
27,28,41,2020-02-29,0.15363909918447166,1.0257798395516438e-09,6.70860015066775e-07,1
28,29,42,2020-03-01,0.14203634509747692,1.1769737033140913e-09,7.662098808574735e-07,1
29,30,43,2020-03-02,0.13145654742300067,3.2803525599485353e-10,2.1715933946859303e-07,1
30,31,44,2020-03-03,0.12291284292218774,8.272328506680412e-12,5.7658129691562466e-09,1
31,32,45,2020-03-04,0.11855814513223252,1.1001800306579314e-13,8.218344829014748e-11,1
32,33,46,2020-03-05,0.11823767085428533,7.606071064675925e-14,5.71215936957162e-11,1
