,date,Case
0,2020-03-01,35
1,2020-03-02,43
2,2020-03-03,84
3,2020-03-04,157
4,2020-03-05,186
5,2020-03-06,187
6,2020-03-07,142
7,2020-03-08,106
8,2020-03-09,348
9,2020-03-10,595
10,2020-03-11,757
11,2020-03-12,991
12,2020-03-13,1464
13,2020-03-14,1303
14,2020-03-15,979
15,2020-03-16,2037
16,2020-03-17,3034
17,2020-03-18,3597
18,2020-03-19,4055
19,2020-03-20,4050
20,2020-03-21,3356
21,2020-03-22,2263
22,2020-03-23,3732
23,2020-03-24,4876
24,2020-03-25,5683
25,2020-03-26,5897
26,2020-03-27,5981
27,2020-03-28,4719
28,2020-03-29,3079
29,2020-03-30,4128
30,2020-03-31,6061
31,2020-04-01,6260
32,2020-04-02,6548
33,2020-04-03,6186
34,2020-04-04,4341
35,2020-04-05,2536
36,2020-04-06,3664
37,2020-04-07,5187
38,2020-04-08,5277
39,2020-04-09,4913
40,2020-04-10,3351
41,2020-04-11,2881
42,2020-04-12,1868
43,2020-04-13,1598
44,2020-04-14,2468
45,2020-04-15,3324
46,2020-04-16,3419
47,2020-04-17,3047
48,2020-04-18,2106
49,2020-04-19,1377
50,2020-04-20,1711
51,2020-04-21,2184
52,2020-04-22,2486
53,2020-04-23,2094
54,2020-04-24,1903
55,2020-04-25,1272
56,2020-04-26,698
57,2020-04-27,1120
58,2020-04-28,1468
59,2020-04-29,1427
60,2020-04-30,1462
61,2020-05-01,919
62,2020-05-02,621
63,2020-05-03,423
64,2020-05-04,729
65,2020-05-05,1093
66,2020-05-06,1220
67,2020-05-07,1203
68,2020-05-08,979
69,2020-05-09,677
70,2020-05-10,341
71,2020-05-11,687
72,2020-05-12,856
73,2020-05-13,913
74,2020-05-14,809
75,2020-05-15,728
76,2020-05-16,462
77,2020-05-17,315
78,2020-05-18,543
79,2020-05-19,730
80,2020-05-20,832
81,2020-05-21,419
82,2020-05-22,525
83,2020-05-23,337
84,2020-05-24,219
85,2020-05-25,411
86,2020-05-26,618
87,2020-05-27,653
88,2020-05-28,529
89,2020-05-29,444
90,2020-05-30,374
91,2020-05-31,178
92,2020-06-01,136
93,2020-06-02,307
94,2020-06-03,497
95,2020-06-04,528
96,2020-06-05,437
97,2020-06-06,285
98,2020-06-07,164
99,2020-06-08,295
100,2020-06-09,426
101,2020-06-10,518
102,2020-06-11,281
103,2020-06-12,353
104,2020-06-13,299
105,2020-06-14,172
106,2020-06-15,261
107,2020-06-16,519
108,2020-06-17,867
109,2020-06-18,764
110,2020-06-19,990
111,2020-06-20,570
112,2020-06-21,223
113,2020-06-22,446
114,2020-06-23,539
115,2020-06-24,506
116,2020-06-25,570
117,2020-06-26,574
118,2020-06-27,326
119,2020-06-28,200
120,2020-06-29,415
121,2020-06-30,458
122,2020-07-01,482
123,2020-07-02,471
124,2020-07-03,427
125,2020-07-04,294
126,2020-07-05,144
127,2020-07-06,322
128,2020-07-07,396
129,2020-07-08,451
130,2020-07-09,424
131,2020-07-10,425
132,2020-07-11,277
133,2020-07-12,131
134,2020-07-13,330
135,2020-07-14,469
136,2020-07-15,542
137,2020-07-16,559
138,2020-07-17,522
139,2020-07-18,442
140,2020-07-19,179
141,2020-07-20,456
142,2020-07-21,526
143,2020-07-22,698
144,2020-07-23,692
145,2020-07-24,809
146,2020-07-25,543
147,2020-07-26,212
148,2020-07-27,529
149,2020-07-28,753
150,2020-07-29,912
151,2020-07-30,865
