,date,Death
0,2020-03-01,0
1,2020-03-02,0
2,2020-03-03,0
3,2020-03-04,2
4,2020-03-05,1
5,2020-03-06,4
6,2020-03-07,4
7,2020-03-08,1
8,2020-03-09,7
9,2020-03-10,4
10,2020-03-11,10
11,2020-03-12,12
12,2020-03-13,16
13,2020-03-14,20
14,2020-03-15,15
15,2020-03-16,35
16,2020-03-17,44
17,2020-03-18,63
18,2020-03-19,65
19,2020-03-20,96
20,2020-03-21,95
21,2020-03-22,80
22,2020-03-23,130
23,2020-03-24,167
24,2020-03-25,218
25,2020-03-26,267
26,2020-03-27,264
27,2020-03-28,247
28,2020-03-29,166
29,2020-03-30,267
30,2020-03-31,384
31,2020-04-01,376
32,2020-04-02,420
33,2020-04-03,398
34,2020-04-04,246
35,2020-04-05,182
36,2020-04-06,291
37,2020-04-07,338
38,2020-04-08,343
39,2020-04-09,325
40,2020-04-10,208
41,2020-04-11,201
42,2020-04-12,170
43,2020-04-13,165
44,2020-04-14,219
45,2020-04-15,233
46,2020-04-16,192
47,2020-04-17,174
48,2020-04-18,125
49,2020-04-19,119
50,2020-04-20,150
51,2020-04-21,141
52,2020-04-22,125
53,2020-04-23,117
54,2020-04-24,84
55,2020-04-25,80
56,2020-04-26,30
57,2020-04-27,75
58,2020-04-28,83
59,2020-04-29,58
60,2020-04-30,71
61,2020-05-01,48
62,2020-05-02,36
63,2020-05-03,16
64,2020-05-04,41
65,2020-05-05,45
66,2020-05-06,40
67,2020-05-07,49
68,2020-05-08,45
69,2020-05-09,24
70,2020-05-10,14
71,2020-05-11,26
72,2020-05-12,33
73,2020-05-13,27
74,2020-05-14,20
75,2020-05-15,31
76,2020-05-16,20
77,2020-05-17,8
78,2020-05-18,23
79,2020-05-19,26
80,2020-05-20,23
81,2020-05-21,7
82,2020-05-22,16
83,2020-05-23,11
84,2020-05-24,5
85,2020-05-25,13
86,2020-05-26,15
87,2020-05-27,12
88,2020-05-28,10
89,2020-05-29,8
90,2020-05-30,4
91,2020-05-31,3
92,2020-06-01,5
93,2020-06-02,8
94,2020-06-03,10
95,2020-06-04,7
96,2020-06-05,5
97,2020-06-06,5
98,2020-06-07,4
99,2020-06-08,3
100,2020-06-09,1
101,2020-06-10,10
102,2020-06-11,1
103,2020-06-12,12
104,2020-06-13,1
105,2020-06-14,6
106,2020-06-15,4
107,2020-06-16,11
108,2020-06-17,7
109,2020-06-18,3
110,2020-06-19,9
111,2020-06-20,4
112,2020-06-21,3
113,2020-06-22,1
