,date,Hosp
0,2020-03-01,24
1,2020-03-02,29
2,2020-03-03,47
3,2020-03-04,65
4,2020-03-05,77
5,2020-03-06,92
6,2020-03-07,134
7,2020-03-08,150
8,2020-03-09,161
9,2020-03-10,183
10,2020-03-11,223
11,2020-03-12,265
12,2020-03-13,324
13,2020-03-14,397
14,2020-03-15,455
15,2020-03-16,529
16,2020-03-17,690
17,2020-03-18,861
18,2020-03-19,1131
19,2020-03-20,1406
20,2020-03-21,1693
21,2020-03-22,2021
22,2020-03-23,2237
23,2020-03-24,2539
24,2020-03-25,3004
25,2020-03-26,3495
26,2020-03-27,3983
27,2020-03-28,4470
28,2020-03-29,4869
29,2020-03-30,5151
30,2020-03-31,5482
31,2020-04-01,5909
32,2020-04-02,6131
33,2020-04-03,6261
34,2020-04-04,6354
35,2020-04-05,6238
36,2020-04-06,6108
37,2020-04-07,6039
38,2020-04-08,5790
39,2020-04-09,5631
40,2020-04-10,5455
41,2020-04-11,4988
42,2020-04-12,4814
43,2020-04-13,4749
44,2020-04-14,4371
45,2020-04-15,4077
46,2020-04-16,3873
47,2020-04-17,3661
48,2020-04-18,3654
49,2020-04-19,3514
50,2020-04-20,3393
51,2020-04-21,3426
52,2020-04-22,3249
53,2020-04-23,3004
54,2020-04-24,2734
55,2020-04-25,2529
56,2020-04-26,2389
57,2020-04-27,2238
58,2020-04-28,2059
59,2020-04-29,1969
60,2020-04-30,1772
61,2020-05-01,1715
62,2020-05-02,1545
63,2020-05-03,1416
64,2020-05-04,1368
65,2020-05-05,1292
66,2020-05-06,1192
67,2020-05-07,1164
68,2020-05-08,1104
69,2020-05-09,1110
70,2020-05-10,1093
71,2020-05-11,1082
72,2020-05-12,1065
73,2020-05-13,1005
74,2020-05-14,921
75,2020-05-15,841
76,2020-05-16,810
77,2020-05-17,780
78,2020-05-18,762
79,2020-05-19,687
80,2020-05-20,650
81,2020-05-21,625
82,2020-05-22,559
83,2020-05-23,529
84,2020-05-24,520
85,2020-05-25,515
86,2020-05-26,522
87,2020-05-27,489
88,2020-05-28,456
89,2020-05-29,479
90,2020-05-30,445
91,2020-05-31,435
92,2020-06-01,419
93,2020-06-02,366
94,2020-06-03,337
95,2020-06-04,340
96,2020-06-05,317
97,2020-06-06,308
98,2020-06-07,307
99,2020-06-08,306
100,2020-06-09,311
101,2020-06-10,300
102,2020-06-11,284
103,2020-06-12,266
104,2020-06-13,283
105,2020-06-14,277
106,2020-06-15,292
107,2020-06-16,298
108,2020-06-17,319
109,2020-06-18,310
110,2020-06-19,327
111,2020-06-20,327
112,2020-06-21,333
113,2020-06-22,324
114,2020-06-23,327
115,2020-06-24,319
116,2020-06-25,322
117,2020-06-26,326
118,2020-06-27,323
119,2020-06-28,309
120,2020-06-29,297
121,2020-06-30,304
122,2020-07-01,293
123,2020-07-02,280
124,2020-07-03,268
125,2020-07-04,263
126,2020-07-05,262
127,2020-07-06,262
128,2020-07-07,254
129,2020-07-08,249
130,2020-07-09,267
131,2020-07-10,261
132,2020-07-11,250
133,2020-07-12,257
134,2020-07-13,258
135,2020-07-14,262
136,2020-07-15,264
137,2020-07-16,273
138,2020-07-17,293
139,2020-07-18,310
140,2020-07-19,314
141,2020-07-20,323
142,2020-07-21,332
143,2020-07-22,344
144,2020-07-23,342
145,2020-07-24,331
146,2020-07-25,334
147,2020-07-26,347
148,2020-07-27,335
149,2020-07-28,343
150,2020-07-29,346
151,2020-07-30,358
152,2020-07-31,370
153,2020-08-01,371
154,2020-08-02,366
155,2020-08-03,387
156,2020-08-04,386
157,2020-08-05,412
158,2020-08-06,404
159,2020-08-07,404
160,2020-08-08,413
161,2020-08-09,419
162,2020-08-10,407
163,2020-08-11,427
164,2020-08-12,408
165,2020-08-13,424
166,2020-08-14,441
167,2020-08-15,448
168,2020-08-16,437
169,2020-08-17,446
170,2020-08-18,446
171,2020-08-19,456
172,2020-08-20,444
173,2020-08-21,442
174,2020-08-22,440
175,2020-08-23,447
176,2020-08-24,436
177,2020-08-25,426
178,2020-08-26,412
179,2020-08-27,397
180,2020-08-28,394
181,2020-08-29,380
182,2020-08-30,369
183,2020-08-31,373
184,2020-09-01,367
185,2020-09-02,377
186,2020-09-03,377
187,2020-09-04,372
188,2020-09-05,379
189,2020-09-06,400
190,2020-09-07,407
191,2020-09-08,406
192,2020-09-09,405
193,2020-09-10,428
194,2020-09-11,445
195,2020-09-12,448
196,2020-09-13,457
197,2020-09-14,473
198,2020-09-15,503
199,2020-09-16,547
200,2020-09-17,578
201,2020-09-18,642
202,2020-09-19,687
203,2020-09-20,685
204,2020-09-21,687
205,2020-09-22,716
206,2020-09-23,713
207,2020-09-24,748
208,2020-09-25,756
209,2020-09-26,754
210,2020-09-27,780
211,2020-09-28,787
212,2020-09-29,797
213,2020-09-30,826
214,2020-10-01,837
215,2020-10-02,830
216,2020-10-03,848
217,2020-10-04,881
218,2020-10-05,891
219,2020-10-06,960
220,2020-10-07,1068
221,2020-10-08,1211
222,2020-10-09,1348
223,2020-10-10,1482
224,2020-10-11,1559
225,2020-10-12,1618
226,2020-10-13,1730
227,2020-10-14,1784
228,2020-10-15,1889
229,2020-10-16,2026
230,2020-10-17,2180
231,2020-10-18,2264
232,2020-10-19,2368
233,2020-10-20,2538
234,2020-10-21,2805
235,2020-10-22,3112
236,2020-10-23,3418
237,2020-10-24,3713
238,2020-10-25,3989
239,2020-10-26,4174
240,2020-10-27,4503
241,2020-10-28,4856
242,2020-10-29,5138
243,2020-10-30,5381
244,2020-10-31,5674
245,2020-11-01,5845
246,2020-11-02,6011
247,2020-11-03,6258
248,2020-11-04,6497
249,2020-11-05,6641
250,2020-11-06,6831
251,2020-11-07,6894
252,2020-11-08,6919
253,2020-11-09,6943
254,2020-11-10,6940
255,2020-11-11,6949
256,2020-11-12,7084
257,2020-11-13,7284
258,2020-11-14,7461
259,2020-11-15,7654
260,2020-11-16,7647
261,2020-11-17,7789
262,2020-11-18,8098
263,2020-11-19,8146
264,2020-11-20,8190
265,2020-11-21,8258
266,2020-11-22,8158
267,2020-11-23,8206
268,2020-11-24,8295
269,2020-11-25,8207
270,2020-11-26,8361
271,2020-11-27,8347
272,2020-11-28,8327
273,2020-11-29,8431
274,2020-11-30,8424
275,2020-12-01,8404
276,2020-12-02,8534
277,2020-12-03,8616
278,2020-12-04,8900
279,2020-12-05,9119
280,2020-12-06,9154
281,2020-12-07,9276
282,2020-12-08,9542
283,2020-12-09,9862
284,2020-12-10,10202
285,2020-12-11,10543
286,2020-12-12,10837
287,2020-12-13,11190
288,2020-12-14,11363
289,2020-12-15,11596
290,2020-12-16,11883
291,2020-12-17,12139
292,2020-12-18,12279
293,2020-12-19,12568
294,2020-12-20,12626
295,2020-12-21,12681
296,2020-12-22,12758
297,2020-12-23,12985
298,2020-12-24,13138
299,2020-12-25,12291
300,2020-12-26,11199
301,2020-12-27,11007
302,2020-12-28,11156
303,2020-12-29,11189
304,2020-12-30,11378
305,2020-12-31,11250
306,2021-01-01,11343
307,2021-01-02,11216
308,2021-01-03,11164
309,2021-01-04,11078
310,2021-01-05,10911
311,2021-01-06,10556
312,2021-01-07,10218
313,2021-01-08,10742
314,2021-01-09,11681
315,2021-01-10,11670
316,2021-01-11,11325
317,2021-01-12,11070
318,2021-01-13,10780
319,2021-01-14,10678
320,2021-01-15,10458
321,2021-01-16,10209
322,2021-01-17,10094
323,2021-01-18,10074
324,2021-01-19,9862
325,2021-01-20,9674
326,2021-01-21,9603
327,2021-01-22,9378
328,2021-01-23,9156
329,2021-01-24,9118
330,2021-01-25,8970
331,2021-01-26,8843
332,2021-01-27,8550
333,2021-01-28,8366
334,2021-01-29,8136
335,2021-01-30,7929
336,2021-01-31,7690
337,2021-02-01,7604
338,2021-02-02,7435
339,2021-02-03,7268
340,2021-02-04,6977
