,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-03-01,0.12450579093268142,0.04667966543933857,1.0,0
1,2,15,2020-03-02,0.21337541191492526,5.040026417043724e-09,1.4716877137767674e-06,1
2,3,16,2020-03-03,0.19489559398224782,3.0479529626387146e-12,1.4051063157764475e-09,1
3,4,17,2020-03-04,0.19178378047115544,3.506870859223273e-13,1.8165591050776554e-10,1
4,5,18,2020-03-05,0.19368051880435472,6.944628248082372e-13,3.486203380537351e-10,1
5,6,19,2020-03-06,0.19685627269398043,7.021068074138288e-13,3.5105340370691437e-10,1
6,7,20,2020-03-07,0.19945722314904704,3.7971348423886795e-13,1.949274020214299e-10,1
7,8,21,2020-03-08,0.1996879622755532,3.4337469295413084e-13,1.7855484033614805e-10,1
8,9,22,2020-03-09,0.19781908966409265,7.66326412655226e-13,3.800979006769921e-10,1
9,10,23,2020-03-10,0.19505304050586028,2.207857885349294e-12,1.0354853482288188e-09,1
10,11,24,2020-03-11,0.19065959253716724,9.070215796328674e-12,4.0362460293662604e-09,1
11,12,25,2020-03-12,0.1838517434323652,4.5270253892199917e-11,1.8243912318556567e-08,1
12,13,26,2020-03-13,0.17416193490551393,1.886690667162223e-10,7.018489281843469e-08,1
13,14,27,2020-03-14,0.16159772820762536,4.1186373638715625e-10,1.4374044399911754e-07,1
14,15,28,2020-03-15,0.1465834795078745,1.9615515035419388e-10,7.211937273594848e-08,1
15,16,29,2020-03-16,0.1312348578186182,3.371172338531915e-12,1.543996931047617e-09,1
16,17,30,2020-03-17,0.12093059988155049,7.325192650133306e-13,3.65527113241652e-10,1
17,18,31,2020-03-18,0.1129704232118006,2.9256077206356634e-12,1.357481982374948e-09,1
18,19,32,2020-03-19,0.10425179778780959,5.782635257740269e-11,2.2957061973228867e-08,1
19,20,33,2020-03-20,0.09460889585826825,1.0986856900543022e-09,3.6146759202786545e-07,1
20,21,34,2020-03-21,0.08427844029722,1.3176406566242795e-08,3.58398258601804e-06,1
21,22,35,2020-03-22,0.0727464750400224,7.217331215580173e-08,1.7249421605236613e-05,1
22,23,36,2020-03-23,0.061669753394480796,2.261073262636713e-07,4.974361177800768e-05,1
23,24,37,2020-03-24,0.05252801351690821,3.788081910328499e-07,7.992852830793132e-05,1
24,25,38,2020-03-25,0.04385273685264469,8.181594671549815e-07,0.00016199557449668634,1
25,26,39,2020-03-26,0.03494692015714994,4.202563560301125e-06,0.0007270434959320946,1
26,27,40,2020-03-27,0.025963549917006272,5.024063969706724e-05,0.006882967638498212,1
27,28,41,2020-03-28,0.017121447091293866,0.0012860485568858984,0.12217461290416035,0
28,29,42,2020-03-29,0.008656060686713695,0.051559746396683065,1.0,0
29,30,43,2020-03-30,0.000796398977002581,0.8442604574953784,1.0,0
30,31,44,2020-03-31,-0.006146882846765054,0.15336955308793326,1.0,0
31,32,45,2020-04-01,-0.012199469156326167,0.012514428354148163,0.8546001378353143,0
32,33,46,2020-04-02,-0.018412945415532993,0.0006564528145316506,0.06892754552582332,0
33,34,47,2020-04-03,-0.02455836603537069,2.277859588226915e-05,0.0032980990641916248,-1
34,35,48,2020-04-04,-0.030372420869822163,4.403387559359173e-07,9.15904612346708e-05,-1
35,36,49,2020-04-05,-0.035715184982816096,1.921932612066035e-09,5.977210423525369e-07,-1
36,37,50,2020-04-06,-0.04009272457476354,3.266924322398152e-13,1.7053344962918353e-10,-1
37,38,51,2020-04-07,-0.04248854316470022,2.8980721704196967e-15,1.796804745660212e-12,-1
38,39,52,2020-04-08,-0.04404184934383049,7.755196554567297e-16,5.009856974250474e-13,-1
39,40,53,2020-04-09,-0.045505557772850834,2.390948613252764e-16,1.6114993653323628e-13,-1
40,41,54,2020-04-10,-0.04693720902012484,9.972188483414963e-17,6.880810053556325e-14,-1
41,42,55,2020-04-11,-0.04838782392999717,7.190155968276602e-17,4.975587930047409e-14,-1
42,43,56,2020-04-12,-0.0499044310968494,8.919440263124128e-17,6.163333221818772e-14,-1
43,44,57,2020-04-13,-0.05149986848626076,1.1377654613270802e-16,7.827826373930312e-14,-1
44,45,58,2020-04-14,-0.05311568106842801,1.4193548470676634e-16,9.722580702413495e-14,-1
45,46,59,2020-04-15,-0.05475221655367949,2.1334935185676802e-16,1.4443751120703195e-13,-1
46,47,60,2020-04-16,-0.0564445111766283,3.234479592312373e-16,2.1638668472569775e-13,-1
47,48,61,2020-04-17,-0.05818101225353968,3.718875907242514e-16,2.473052478316272e-13,-1
48,49,62,2020-04-18,-0.05996324601202668,3.1131404882941806e-16,2.085804127157101e-13,-1
49,50,63,2020-04-19,-0.0617506278195695,1.5018685064243578e-16,1.0257761898878363e-13,-1
50,51,64,2020-04-20,-0.06331496343658316,2.1544141917292483e-17,1.544714975469871e-14,-1
51,52,65,2020-04-21,-0.0643673465510166,8.799620045412916e-19,6.696510854559229e-16,-1
52,53,66,2020-04-22,-0.06481535338715019,5.148888309956859e-20,4.0573239882460047e-17,-1
53,54,67,2020-04-23,-0.06461760125764097,2.539772812732974e-19,1.960704611429856e-16,-1
54,55,68,2020-04-24,-0.06382803245175026,1.4244898090900015e-17,1.032755111590251e-14,-1
55,56,69,2020-04-25,-0.06242381952180726,7.011751397766431e-16,4.578673662741479e-13,-1
56,57,70,2020-04-26,-0.06036931633830894,2.1833277176473413e-14,1.2575967653648686e-11,-1
57,58,71,2020-04-27,-0.0577672367391105,2.9372420070691104e-13,1.542052053711283e-10,-1
58,59,72,2020-04-28,-0.054781009115256886,1.5561942547542524e-12,7.485294365367954e-10,-1
59,60,73,2020-04-29,-0.05168374064352632,3.1380631688188172e-12,1.443509057656656e-09,-1
60,61,74,2020-04-30,-0.04876795948518293,2.173802472331984e-12,1.0216871619960325e-09,-1
61,62,75,2020-05-01,-0.04628500939473532,3.9410978547664554e-13,2.0178421016404252e-10,-1
62,63,76,2020-05-02,-0.04451738295838455,1.655535017239591e-14,9.63521380033442e-12,-1
63,64,77,2020-05-03,-0.043665956421958134,6.793915789907483e-16,4.450014842389401e-13,-1
64,65,78,2020-05-04,-0.04368555293351672,7.496027494206868e-16,4.849929788751843e-13,-1
65,66,79,2020-05-05,-0.044398516998836304,9.2282291500622e-15,5.472339885986885e-12,-1
66,67,80,2020-05-06,-0.04566913122101717,7.404379735077737e-14,4.0798132340278334e-11,-1
