,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.01993486333528401,9.04299673272507e-18,5.805603902409495e-15,1
1,2,15,2020-02-03,0.019433835777370106,1.0009628574423232e-18,6.786528173458951e-16,1
2,3,16,2020-02-04,0.01913502988522256,1.9810088850450775e-19,1.4005732817268698e-16,1
3,4,17,2020-02-05,0.019064599525272164,5.1932746624422994e-20,3.754737580945782e-17,1
4,5,18,2020-02-06,0.019380085103045303,7.392985575850461e-17,4.376647460903473e-14,1
5,6,19,2020-02-07,0.020245097288306,2.432429437611872e-13,8.197287204752008e-11,1
6,7,20,2020-02-08,0.021559903956758244,1.639466240230643e-11,4.279006887001978e-09,1
7,8,21,2020-02-09,0.022800433316052814,3.4985573607708875e-11,8.641436681104093e-09,1
8,9,22,2020-02-10,0.023474185227219495,1.448244988936977e-11,3.8088843209042494e-09,1
9,10,23,2020-02-11,0.023377632016024955,1.9666740265579202e-11,5.015018767722697e-09,1
10,11,24,2020-02-12,0.02255239752640758,3.5363624467189313e-10,7.532452011511323e-08,1
11,12,25,2020-02-13,0.021081736415993795,1.514792556008034e-08,2.7872183030547825e-06,1
12,13,26,2020-02-14,0.019036033335938767,4.893296216882127e-07,7.927139871349045e-05,1
13,14,27,2020-02-15,0.0164840322753746,9.864554928700599e-06,0.0014303604646615869,1
14,15,28,2020-02-16,0.013507114083944442,0.0001329991212965738,0.01755588401114774,1
15,16,29,2020-02-17,0.010214607640771554,0.0013321897104131338,0.15453400640792353,0
16,17,30,2020-02-18,0.006767870167680287,0.011071338309836623,1.0,0
17,18,31,2020-02-19,0.0034071460983673496,0.0871284916820795,1.0,0
18,19,32,2020-02-20,0.0004843873502260314,0.6985261160977901,1.0,0
19,20,33,2020-02-21,-0.0015883316322368507,0.020789076636390638,1.0,0
20,21,34,2020-02-22,-0.0026358018884222287,8.832947971752036e-09,1.6694271666611348e-06,-1
21,22,35,2020-02-23,-0.0029775307117298673,3.4451632110501913e-19,2.397833594890933e-16,-1
22,23,36,2020-02-24,-0.003039288915222022,8.981360806020062e-24,7.33777177851839e-21,-1
23,24,37,2020-02-25,-0.0030655318438155233,2.0492387158507827e-22,1.6148001080904168e-19,-1
24,25,38,2020-02-26,-0.0030982509188400217,2.8772538799841785e-21,2.1665721716280863e-18,-1
25,26,39,2020-02-27,-0.003138845082098616,2.3093766863362826e-20,1.6927731110844952e-17,-1
26,27,40,2020-02-28,-0.0031872088485540564,1.176271578550997e-19,8.375053639283099e-17,-1
27,28,41,2020-02-29,-0.0032425815755682606,4.1201788091592007e-19,2.8470435571290078e-16,-1
28,29,42,2020-03-01,-0.003303861518526241,1.0158357952043677e-18,6.877208333533569e-16,-1
29,30,43,2020-03-02,-0.0033696151458205968,1.7433759778691502e-18,1.1628317772387232e-15,-1
30,31,44,2020-03-03,-0.0034380468827649585,2.027553868579431e-18,1.3462957687367422e-15,-1
