,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.0016079027969970368,1.9367059215251158e-06,0.0004067082435202743,-1
1,2,15,2020-02-03,-0.0012118959870771491,1.3904602993092921e-05,0.0025584469507290977,-1
2,3,16,2020-02-04,-0.0008669923723741518,0.0004052794845025264,0.053496891954333485,0
3,4,17,2020-02-05,-0.000515811340364693,0.017135847560448673,1.0,0
4,5,18,2020-02-06,-0.000156496008993055,0.43288199041005815,1.0,0
5,6,19,2020-02-07,0.00021063508184334726,0.30504909636276956,1.0,0
6,7,20,2020-02-08,0.0005832981031584382,0.012074220095788813,0.965937607663105,0
7,8,21,2020-02-09,0.000958884544334642,0.0003763551476324401,0.051184300078011856,0
8,9,22,2020-02-10,0.0013361535512207117,1.7154193551210804e-05,0.0030877548392179445,1
9,10,23,2020-02-11,0.0017144959581759955,1.2529989352569995e-06,0.00027565976575653987,1
10,11,24,2020-02-12,0.002092157919549881,1.392413945854682e-07,3.550655561929439e-05,1
11,12,25,2020-02-13,0.002465034778139159,2.0927775338583383e-08,6.131838174204931e-06,1
12,13,26,2020-02-14,0.0028259146516997373,3.607741670699659e-09,1.1941624930015873e-06,1
13,14,27,2020-02-15,0.003163998662674291,5.866845924030541e-10,2.1707329918913004e-07,1
14,15,28,2020-02-16,0.0034656726157543385,7.2179957525746e-11,3.07486619059678e-08,1
15,16,29,2020-02-17,0.003716424747791919,5.253734789515575e-12,2.5112852293884447e-09,1
16,17,30,2020-02-18,0.0039020914359440303,1.810927962847527e-13,1.00325409141753e-10,1
17,18,31,2020-02-19,0.004009295499631771,4.1350088976436854e-15,2.617460632208453e-12,1
18,19,32,2020-02-20,0.004027198360772339,1.46827589213752e-15,9.54379329889388e-13,1
19,20,33,2020-02-21,0.0039487591014666715,6.83528301974195e-14,3.943958302391105e-11,1
20,21,34,2020-02-22,0.0037715461069102053,7.16779449902652e-12,3.376031209041491e-09,1
21,22,35,2020-02-23,0.003498516758267049,3.737272037563693e-10,1.446324278537149e-07,1
22,23,36,2020-02-24,0.0031391426078633444,1.0527324194489159e-08,3.2318885277081716e-06,1
23,24,37,2020-02-25,0.002708493898124051,2.0504419829561992e-07,5.105600537560936e-05,1
24,25,38,2020-02-26,0.0022245679132573,3.4832080405871835e-06,0.0007140576483203726,1
25,26,39,2020-02-27,0.001706190955874342,6.37542697947448e-05,0.010391945976543403,1
26,27,40,2020-02-28,0.0011710256681769567,0.001500595146262027,0.17406903696639514,0
27,28,41,2020-02-29,0.0006334638905286552,0.04413424157085218,1.0,0
28,29,42,2020-03-01,0.0001037860609826432,0.7107247776495436,1.0,0
29,30,43,2020-03-02,-0.00041126577358514523,0.14310770632427963,1.0,0
30,31,44,2020-03-03,-0.0009075747636635727,0.0035200718580945516,0.36373485470734146,0
31,32,45,2020-03-04,-0.0013833925149842345,8.679966104046745e-05,0.013540747122312922,-1
32,33,46,2020-03-05,-0.0018382323107202214,3.488804786618734e-06,0.0007140576483203726,-1
33,34,47,2020-03-06,-0.0022718871532689576,2.2588976974464234e-07,5.60206628966713e-05,-1
34,35,48,2020-03-07,-0.002684375940305268,2.1287171128210026e-08,6.215853969437328e-06,-1
35,36,49,2020-03-08,-0.003076641167836479,2.640505083642502e-09,8.977717284384507e-07,-1
36,37,50,2020-03-09,-0.0034507555598126383,4.0420869968874645e-10,1.5440772328110113e-07,-1
37,38,51,2020-03-10,-0.0038097950151488305,7.54577158600099e-11,3.1994071524644195e-08,-1
38,39,52,2020-03-11,-0.004159035838375147,1.7902326128839228e-11,8.199265367008366e-09,-1
39,40,53,2020-03-12,-0.004505182721350059,5.838890579316969e-12,2.779311915754877e-09,-1
40,41,54,2020-03-13,-0.0048548373434518675,2.778043094924795e-12,1.3695752457979238e-09,-1
41,42,55,2020-03-14,-0.0052131585133115,1.867851037255457e-12,9.470004758885166e-10,-1
42,43,56,2020-03-15,-0.005582313623817133,1.5484141248343137e-12,7.927880319151686e-10,-1
43,44,57,2020-03-16,-0.0059604861352802714,1.3065280109308202e-12,6.731585589511031e-10,-1
44,45,58,2020-03-17,-0.006341549498982084,9.27089363068796e-13,4.848677368849803e-10,-1
45,46,59,2020-03-18,-0.006714451847042944,4.624453063515401e-13,2.4833312951077705e-10,-1
46,47,60,2020-03-19,-0.007063726725460815,1.3700527757902423e-13,7.727097655456966e-11,-1
47,48,61,2020-03-20,-0.007370096862258343,1.9999922025985452e-14,1.1999953215591272e-11,-1
48,49,62,2020-03-21,-0.007611668228944507,1.1570739476221129e-15,7.613546575353503e-13,-1
49,50,63,2020-03-22,-0.007766281104781943,2.780788119221726e-17,2.0327561151510816e-14,-1
50,51,64,2020-03-23,-0.007814542234502926,3.112939330033062e-18,2.3596080121650608e-15,-1
51,52,65,2020-03-24,-0.007741592955092643,8.494702145954134e-17,6.005754417189573e-14,-1
52,53,66,2020-03-25,-0.007539468537078629,1.1926484338508209e-14,7.299008415167023e-12,-1
53,54,67,2020-03-26,-0.007208732961562752,7.650977429808455e-13,4.024414128079247e-10,-1
54,55,68,2020-03-27,-0.006758334761347954,2.1865849642186337e-11,9.883364038268224e-09,-1
55,56,69,2020-03-28,-0.006204459276620641,3.510924350885822e-10,1.362238648143699e-07,-1
56,57,70,2020-03-29,-0.005568495302302113,3.809347835629863e-09,1.251227945817767e-06,-1
57,58,71,2020-03-30,-0.004875063933603139,3.1952597782440937e-08,9.042585172430784e-06,-1
