,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.004261993675791143,3.327299885533208e-07,7.220240751607061e-05,1
1,2,15,2020-02-03,0.003430437793156515,3.997402106240801e-06,0.0007115375749108626,1
2,3,16,2020-02-04,0.0026213868311191924,6.770026023661204e-05,0.008868734090996177,1
3,4,17,2020-02-05,0.0018158384951599286,0.0013855904198202666,0.12608872820364425,0
4,5,18,2020-02-06,0.0010280600965873246,0.03216133842963376,1.0,0
5,6,19,2020-02-07,0.0002746511058342966,0.5013184018295948,1.0,0
6,7,20,2020-02-08,-0.0004238607024236261,0.2582821880935033,1.0,0
7,8,21,2020-02-09,-0.0010477944978495798,0.005525826498038894,0.39785950785880037,0
8,9,22,2020-02-10,-0.0015829214997546744,5.259474925773628e-05,0.007100291149794397,-1
9,10,23,2020-02-11,-0.0020217986951437837,4.5155877575291695e-07,9.57304604596184e-05,-1
10,11,24,2020-02-12,-0.0023682145501093986,3.8012927630837245e-09,1.2092161214026565e-06,-1
11,12,25,2020-02-13,-0.002635336910887425,3.048977584929415e-11,1.3476480925388015e-08,-1
12,13,26,2020-02-14,-0.0028418891764267636,2.610350009584385e-13,1.4722374054055932e-10,-1
13,14,27,2020-02-15,-0.003006262698814701,3.91237928965763e-15,2.5743455725947204e-12,-1
14,15,28,2020-02-16,-0.0031447452987991608,3.0640128755316363e-16,2.1999612446317148e-13,-1
15,16,29,2020-02-17,-0.0032728699751398897,3.1568230821972175e-16,2.2602853268532076e-13,-1
16,17,30,2020-02-18,-0.003401266062605208,1.6278844861523733e-15,1.098822028152852e-12,-1
17,18,31,2020-02-19,-0.003535489899887756,8.817182548366619e-15,5.634179648406269e-12,-1
18,19,32,2020-02-20,-0.0036770123838788843,2.631008336001065e-14,1.6391181933286635e-11,-1
19,20,33,2020-02-21,-0.0038259354043879206,3.753819933651837e-14,2.304845439262228e-11,-1
20,21,34,2020-02-22,-0.003981676492467911,2.473880005586532e-14,1.543701123485996e-11,-1
21,22,35,2020-02-23,-0.004142549022403635,8.009743877140654e-15,5.134245825247159e-12,-1
22,23,36,2020-02-24,-0.004304719740746119,1.5498843703601064e-15,1.049271718733792e-12,-1
23,24,37,2020-02-25,-0.004459599668190665,2.3697142863574634e-16,1.7085640004637311e-13,-1
24,25,38,2020-02-26,-0.004598137527698343,3.1228862380384114e-17,2.3890079720993846e-14,-1
25,26,39,2020-02-27,-0.004713469335834108,3.2577528805927455e-18,2.524758482459378e-15,-1
26,27,40,2020-02-28,-0.004802703722037304,2.0962522623304898e-19,1.733600620947315e-16,-1
