,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.02493202226253798,2.1685346615915326e-16,1.4225587380040452e-13,-1
1,2,15,2020-02-03,-0.0257647667373604,1.0738989761286641e-17,7.646160710036088e-15,-1
2,3,16,2020-02-04,-0.026388540478806073,6.981597440722917e-18,5.061658144524115e-15,-1
3,4,17,2020-02-05,-0.026995699715408755,4.657416684122669e-18,3.4138864294619166e-15,-1
4,5,18,2020-02-06,-0.027596696835650986,3.0055207574631786e-18,2.2451240058249944e-15,-1
5,6,19,2020-02-07,-0.028202262324301366,2.015977687640769e-18,1.5240791318564213e-15,-1
6,7,20,2020-02-08,-0.028820595417948184,1.6122537812803307e-18,1.2269251275543317e-15,-1
7,8,21,2020-02-09,-0.02945650914065963,1.7221754854177174e-18,1.3088533689174653e-15,-1
8,9,22,2020-02-10,-0.030116616434561906,2.458567702901082e-18,1.851301480284515e-15,-1
9,10,23,2020-02-11,-0.03081272448295703,4.433310241394812e-18,3.2629163376665814e-15,-1
10,11,24,2020-02-12,-0.031555582132976795,9.116896547024025e-18,6.555048617310274e-15,-1
11,12,25,2020-02-13,-0.03234867077702748,1.8373288504514356e-17,1.2934795107178107e-14,-1
12,13,26,2020-02-14,-0.03318600553701735,3.130728555186902e-17,2.1602027030789622e-14,-1
13,14,27,2020-02-15,-0.03404942547767415,3.844899053232417e-17,2.637600750517438e-14,-1
14,15,28,2020-02-16,-0.03490317904901073,2.812402583748512e-17,1.9602446008727128e-14,-1
15,16,29,2020-02-17,-0.035692807989955555,9.692540837571523e-18,6.93985923970121e-15,-1
16,17,30,2020-02-18,-0.03634623938527238,1.225358089812135e-18,9.34948222526659e-16,-1
17,18,31,2020-02-19,-0.03678409896790836,5.446894572106992e-20,4.3302811848250585e-17,-1
18,19,32,2020-02-20,-0.036928550302364534,6.5669878078215386e-21,5.299559160911981e-18,-1
19,20,33,2020-02-21,-0.03671348252019146,2.13473260206475e-19,1.658687231804311e-16,-1
20,21,34,2020-02-22,-0.036091904741001775,5.478942710323842e-17,3.7256810430202124e-14,-1
21,22,35,2020-02-23,-0.03504487692532632,5.558817611741414e-15,3.357525837491814e-12,-1
22,23,36,2020-02-24,-0.0335825067506705,2.0077236478563358e-13,1.070116704307427e-10,-1
23,24,37,2020-02-25,-0.03174458562659425,3.3031406628451334e-12,1.5392635488858322e-09,-1
24,25,38,2020-02-26,-0.029595469951299084,2.99912473091876e-11,1.2626315117167981e-08,-1
25,26,39,2020-02-27,-0.027217451596833652,1.6975077647164672e-10,6.246828574156599e-08,-1
26,27,40,2020-02-28,-0.024706763728438805,6.477139295631764e-10,2.1553397091370304e-07,-1
27,28,41,2020-02-29,-0.022163371116527726,1.7657815639969936e-09,5.385633770190831e-07,-1
28,29,42,2020-03-01,-0.019675123811276302,3.641903629313373e-09,1.0561520525008782e-06,-1
29,30,43,2020-03-02,-0.017302810533982683,6.183047931247211e-09,1.7312534207492191e-06,-1
