,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0023188715989772373,4.775482744327834e-07,0.00011174629621727132,1
1,2,15,2020-02-03,0.0018674375005057144,1.333284519324848e-06,0.000289322740693492,1
2,3,16,2020-02-04,0.0014855625132089737,6.710687609539042e-06,0.0012414772077647227,1
3,4,17,2020-02-05,0.001132564817614411,3.693494348775407e-05,0.005577176466650865,1
4,5,18,2020-02-06,0.0008127993903311179,0.000247630794053685,0.02872517211022746,1
5,6,19,2020-02-07,0.0005278403463847449,0.002388395567171618,0.21495560104544562,0
6,7,20,2020-02-08,0.0002765367211633937,0.037972961013754754,1.0,0
7,8,21,2020-02-09,5.508120399520929e-05,0.600970860698006,1.0,0
8,9,22,2020-02-10,-0.00014196868337473738,0.14231035963099195,1.0,0
9,10,23,2020-02-11,-0.0003200572887150289,0.0021525421320234186,0.1980338761461545,0
10,11,24,2020-02-12,-0.0004832618375301988,4.352921050630276e-05,0.006398793944426506,-1
11,12,25,2020-02-13,-0.0006341000844996706,1.9841895275995293e-06,0.0004107272322131026,-1
12,13,26,2020-02-14,-0.0007721310560263494,1.5257223482910653e-07,4.073678669937144e-05,-1
13,14,27,2020-02-15,-0.0008943571295535719,1.3297993605496594e-08,4.215463972942421e-06,-1
14,15,28,2020-02-16,-0.0009967538914735612,8.769890503433757e-10,3.38517773432543e-07,-1
15,16,29,2020-02-17,-0.0010743772608233662,3.114078866923264e-11,1.429362199917778e-08,-1
16,17,30,2020-02-18,-0.0011221953669897566,6.846034215814947e-13,3.7516267502665905e-10,-1
17,18,31,2020-02-19,-0.0011368827829936366,9.419291984513161e-14,5.48202793498666e-11,-1
18,19,32,2020-02-20,-0.001118125393279751,1.1019703716169202e-12,5.9396203030152e-10,-1
19,20,33,2020-02-21,-0.0010686401515368515,4.763098811349776e-11,2.148157563918749e-08,-1
20,21,34,2020-02-22,-0.0009931620719064358,1.0731914132886939e-09,4.0673954563641497e-07,-1
21,22,35,2020-02-23,-0.0008978848630516939,1.1252289790674823e-08,3.6457418921786427e-06,-1
22,23,36,2020-02-24,-0.0007893388477192151,6.567252351347214e-08,1.871666920133956e-05,-1
23,24,37,2020-02-25,-0.0006734973843525078,2.617572660757937e-07,6.67481028493274e-05,-1
24,25,38,2020-02-26,-0.0005547128179110263,9.452880948618703e-07,0.00021079924515419709,-1
25,26,39,2020-02-27,-0.0004353381120494863,5.104246158694336e-06,0.0009688358366831396,-1
26,27,40,2020-02-28,-0.00031556129065436024,8.188829597565779e-05,0.011300584844640775,-1
27,28,41,2020-02-29,-0.00019332028415422334,0.005357148592762484,0.42321473882823624,0
28,29,42,2020-03-01,-6.477149839817227e-05,0.33534387185791703,1.0,0
29,30,43,2020-03-02,7.532042800411161e-05,0.3378874906066931,1.0,0
30,31,44,2020-03-03,0.0002320495335590354,0.021782704606835224,1.0,0
31,32,45,2020-03-04,0.000408174855140361,0.0015744702215818504,0.15114914127185763,0
32,33,46,2020-03-05,0.000602960181099287,0.00015064514628290127,0.018679998139079758,1
33,34,47,2020-03-06,0.0008123620969800466,1.687733909290266e-05,0.0028016382894218415,1
34,35,48,2020-03-07,0.001029968381264281,1.958463233886289e-06,0.00040736035264834813,1
35,36,49,2020-03-08,0.0012483114111095555,2.1535525864107145e-07,5.620772250531965e-05,1
36,37,50,2020-03-09,0.001459056015156945,2.0870655534419323e-08,6.386420593532313e-06,1
37,38,51,2020-03-10,0.0016534767041852178,1.6455284800218655e-09,6.088455376080903e-07,1
38,39,52,2020-03-11,0.0018226867533410417,9.18423782119063e-11,3.995143452217924e-08,1
39,40,53,2020-03-12,0.001958474689755506,2.8521217634685045e-12,1.4831033170036223e-09,1
40,41,54,2020-03-13,0.0020540895169634103,3.796231970724137e-14,2.2777391824344822e-11,1
41,42,55,2020-03-14,0.0021050275115584356,3.676782470319578e-16,2.4450603427625195e-13,1
42,43,56,2020-03-15,0.002108569564936007,2.230562725870211e-16,1.4967075890589117e-13,1
43,44,57,2020-03-16,0.0020636949906243183,2.0948328039199076e-14,1.2736583447833039e-11,1
44,45,58,2020-03-17,0.001971039575515292,2.3652812564590327e-12,1.2370420971280741e-09,1
45,46,59,2020-03-18,0.0018324014979952867,1.312081187501169e-10,5.6419491062550265e-08,1
46,47,60,2020-03-19,0.001650011273482262,4.6233018432365235e-09,1.5857925322301276e-06,1
47,48,61,2020-03-20,0.0014272567755774295,1.3401511770549022e-07,3.618408178048236e-05,1
48,49,62,2020-03-21,0.0011684921381410465,3.920457356375242e-06,0.0007644891844931723,1
49,50,63,2020-03-22,0.0008778295418159645,0.00014417980262528755,0.018022475328160942,1
50,51,64,2020-03-23,0.0005573786437366502,0.00747643161197723,0.553255939286315,0
51,52,65,2020-03-24,0.00020599568708463273,0.2938451272034009,1.0,0
52,53,66,2020-03-25,-0.00018207433358329316,0.3927856111248671,1.0,0
53,54,67,2020-03-26,-0.0006152771811837299,0.019608804343792925,1.0,0
54,55,68,2020-03-27,-0.0011006478483597158,0.0010730022067222285,0.10837322287894507,0
55,56,69,2020-03-28,-0.001641059037652362,0.00010528523753562923,0.014108221829774318,-1
56,57,70,2020-03-29,-0.002234403294499673,1.6158724485868592e-05,0.0027146657136259233,-1
57,58,71,2020-03-30,-0.0028733757676746518,3.1402998193162598e-06,0.0006343405635018844,-1
58,59,72,2020-03-31,-0.0035454379440153214,6.498179575038572e-07,0.00014945813022588714,-1
59,60,73,2020-04-01,-0.0042328023468868065,1.255862899397909e-07,3.4033884573683336e-05,-1
60,61,74,2020-04-02,-0.004913650072883995,2.0196743618596965e-08,6.220597034527865e-06,-1
61,62,75,2020-04-03,-0.00556395909454029,2.438260429536222e-09,8.728972337739675e-07,-1
62,63,76,2020-04-04,-0.006159129615982724,2.0070093617107466e-10,8.529789787270674e-08,-1
63,64,77,2020-04-05,-0.006676577403282179,1.0054776651817963e-11,4.866511899479894e-09,-1
64,65,78,2020-04-06,-0.007098154738425719,2.6285168691555227e-13,1.4851120310728702e-10,-1
65,66,79,2020-04-07,-0.007413101515697272,2.9129901133876496e-15,1.855574702227933e-12,-1
66,67,80,2020-04-08,-0.007620585516614377,1.0868573906162761e-17,7.771030342906374e-15,-1
67,68,81,2020-04-09,-0.007728845952315966,2.4226662712929675e-20,1.860607696352999e-17,-1
68,69,82,2020-04-10,-0.007752901372849442,2.9774136253044906e-21,2.3402471094893294e-18,-1
69,70,83,2020-04-11,-0.007714043784040247,2.7515412701100316e-20,2.1104321541743944e-17,-1
70,71,84,2020-04-12,-0.007637420581329019,1.2791203679743533e-19,9.644567574526624e-17,-1
71,72,85,2020-04-13,-0.007548304893876662,1.1256169299485542e-19,8.498407821111584e-17,-1
72,73,86,2020-04-14,-0.007468742633552755,1.995979462795284e-20,1.5369041863523686e-17,-1
73,74,87,2020-04-15,-0.007413966065389588,1.096729069671523e-21,8.751897975978754e-19,-1
74,75,88,2020-04-16,-0.007391056083924341,1.1908020382462234e-22,9.716944632089184e-20,-1
75,76,89,2020-04-17,-0.00740016059223682,3.0604347459876414e-22,2.4697708400120265e-19,-1
76,77,90,2020-04-18,-0.00743568595377126,2.5890186208156173e-21,2.042735691823522e-18,-1
77,78,91,2020-04-19,-0.007487771393737663,8.099728106013352e-21,6.285389010266361e-18,-1
78,79,92,2020-04-20,-0.007542593260628422,5.759331367046984e-21,4.480759803562553e-18,-1
79,80,93,2020-04-21,-0.007583995373464021,1.1266722745692708e-21,8.979578028317088e-19,-1
80,81,94,2020-04-22,-0.0075952820451203615,4.26297684901947e-22,3.427433386611654e-19,-1
81,82,95,2020-04-23,-0.007559888326235258,1.2402521578678484e-20,9.57474665873979e-18,-1
