,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.0007741919143070065,5.646792338938469e-08,1.4701097151012435e-05,-1
1,2,15,2020-02-03,-0.0009103972350628917,2.250173313387314e-08,6.480499142555464e-06,-1
2,3,16,2020-02-04,-0.0010601418841654576,1.2561436486300696e-08,3.755869509403908e-06,-1
3,4,17,2020-02-05,-0.001226702419874777,8.904080861931013e-09,2.715744662888959e-06,-1
4,5,18,2020-02-06,-0.0014128444140624585,7.312850316340233e-09,2.2889221490144927e-06,-1
5,6,19,2020-02-07,-0.0016209433582334827,6.398111658993792e-09,2.0218032842420383e-06,-1
6,7,20,2020-02-08,-0.0018532613654191029,5.5018877256372025e-09,1.766105959929542e-06,-1
7,8,21,2020-02-09,-0.0021119311886037863,4.421859919640254e-09,1.445948193722363e-06,-1
8,9,22,2020-02-10,-0.002398086791318953,3.2318599574994465e-09,1.0697456459323169e-06,-1
9,10,23,2020-02-11,-0.002711795443912666,2.1260101489061887e-09,7.377255216704475e-07,-1
10,11,24,2020-02-12,-0.003052141432264116,1.274355836375389e-09,4.6131681276789083e-07,-1
11,12,25,2020-02-13,-0.0034171401394989115,7.125277221749884e-10,2.707605344264956e-07,-1
12,13,26,2020-02-14,-0.0038042269172383347,3.7909476318395413e-10,1.4936333669447793e-07,-1
13,14,27,2020-02-15,-0.004210551249057587,1.9401404935000358e-10,8.032181643090148e-08,-1
14,15,28,2020-02-16,-0.004632840331827273,9.561377375557269e-11,4.1305150262407405e-08,-1
15,16,29,2020-02-17,-0.005066411550509652,4.459326532823963e-11,2.042371552033375e-08,-1
16,17,30,2020-02-18,-0.005505503942017209,1.912385112256219e-11,9.045581580971915e-09,-1
17,18,31,2020-02-19,-0.005943794431348396,7.362501462937989e-12,3.6959757343948707e-09,-1
18,19,32,2020-02-20,-0.006374745349201668,2.4939388817623008e-12,1.3167997295704948e-09,-1
19,20,33,2020-02-21,-0.006791862197221975,7.315476367118103e-13,4.0966667655861374e-10,-1
20,21,34,2020-02-22,-0.00718886629629023,1.8383882673588795e-13,1.0901642425438155e-10,-1
21,22,35,2020-02-23,-0.00756045588473458,3.9080928392624945e-14,2.470802947231415e-11,-1
22,23,36,2020-02-24,-0.007901707432602963,6.918149042231615e-15,4.6282417092529504e-12,-1
23,24,37,2020-02-25,-0.00820814253932522,1.0018899402653608e-15,7.043286280065486e-13,-1
24,25,38,2020-02-26,-0.00847574082005415,1.1381877376855324e-16,8.42258925887294e-14,-1
25,26,39,2020-02-27,-0.008701092485088298,9.416357339057587e-18,7.29767693776963e-15,-1
26,27,40,2020-02-28,-0.008881358728157929,4.969652910322423e-19,3.980691981168261e-16,-1
27,28,41,2020-02-29,-0.009014248950177349,1.3320468525660724e-20,1.0989386533670097e-17,-1
28,29,42,2020-03-01,-0.009097871938166307,1.4720855081923388e-22,1.23360765586518e-19,-1
29,30,43,2020-03-02,-0.00913026095642928,3.988513446389147e-24,3.36630534875244e-21,-1
30,31,44,2020-03-03,-0.00910983149003288,5.455264316623543e-23,4.593332554597024e-20,-1
31,32,45,2020-03-04,-0.009035342400757554,9.3520139101362e-21,7.724763489772501e-18,-1
32,33,46,2020-03-05,-0.008905560229997342,7.194834760518162e-19,5.741478138893493e-16,-1
33,34,47,2020-03-06,-0.008719608141302812,2.3480989606319134e-17,1.784555210080254e-14,-1
34,35,48,2020-03-07,-0.008477876819401674,4.1439822634226913e-16,2.9712352828740696e-13,-1
35,36,49,2020-03-08,-0.008182153323817595,4.7709562157345246e-15,3.2251664018365385e-12,-1
36,37,50,2020-03-09,-0.007834829848050104,4.111640501310811e-14,2.5862218753245002e-11,-1
37,38,51,2020-03-10,-0.007439599225378294,2.896215956477035e-13,1.685597686669634e-10,-1
38,39,52,2020-03-11,-0.007001610587003438,1.7448002318363627e-12,9.38702524727963e-10,-1
