,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.014630010560836881,5.42650228539342e-05,0.0024961910512809734,-1
1,2,15,2020-02-03,-0.018595281406648366,3.030503418435269e-06,0.0001848607085245514,-1
2,3,16,2020-02-04,-0.022132675028942738,1.3288967952894507e-07,1.0559080306970963e-05,-1
3,4,17,2020-02-05,-0.025093906167467903,3.0448018835014536e-09,3.4406261283566425e-07,-1
4,5,18,2020-02-06,-0.02726621529967264,3.0614293353069115e-11,4.745215469725713e-09,-1
5,6,19,2020-02-07,-0.028523310894346662,2.0137012240046186e-13,4.2891836071298374e-11,-1
6,7,20,2020-02-08,-0.028834788754619693,2.7546264360058976e-14,6.72128850385439e-12,-1
7,8,21,2020-02-09,-0.028258165955921254,5.420140653012473e-13,1.1057086932145445e-10,-1
8,9,22,2020-02-10,-0.026906858909347086,2.0138635022068237e-11,3.2825975085971225e-09,-1
9,10,23,2020-02-11,-0.024926533377160227,3.6105931379868316e-10,4.657665148003013e-08,-1
10,11,24,2020-02-12,-0.022477291327877815,3.5838398104406946e-09,3.942223791484764e-07,-1
11,12,25,2020-02-13,-0.01971223463351444,2.5969472108599213e-08,2.3372524897739293e-06,-1
12,13,26,2020-02-14,-0.016758667252274234,1.7830005117640486e-07,1.3729103940583174e-05,-1
13,14,27,2020-02-15,-0.013706430967417449,1.501389520568443e-06,9.458753979581191e-05,-1
14,15,28,2020-02-16,-0.010605840577863703,1.9964771145953155e-05,0.001018203328443611,-1
15,16,29,2020-02-17,-0.007473879476328599,0.0005002833234610626,0.017509916321137194,-1
16,17,30,2020-02-18,-0.0043153360734652455,0.020652076716726288,0.43369361105125204,0
17,18,31,2020-02-19,-0.0011485711719905287,0.50120990726115,1.0,0
18,19,32,2020-02-20,0.00198050984557329,0.25844276823848883,1.0,0
19,20,33,2020-02-21,0.00504056929260889,0.009887774042045267,0.21753102892499587,0
20,21,34,2020-02-22,0.008038902084427207,0.00028824667065478277,0.01037688014357218,1
21,22,35,2020-02-23,0.011011936316703993,1.1249884561778988e-05,0.0005849939972125074,1
22,23,36,2020-02-24,0.014026528221254652,7.416590419424362e-07,5.043281485208566e-05,1
23,24,37,2020-02-25,0.017166268741746732,9.977308782909487e-08,8.181393201985779e-06,1
24,25,38,2020-02-26,0.020505902447944535,2.918905688904063e-08,2.568637006235575e-06,1
25,26,39,2020-02-27,0.02408993356167772,1.5357635472274543e-08,1.4589753698660815e-06,1
