,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.012189715509041436,1.4400928330320764e-10,6.091592683725683e-08,-1
1,2,15,2020-02-03,-0.013387150898315697,5.8598460986369805e-12,3.000241202502134e-09,-1
2,3,16,2020-02-04,-0.014330486735481552,1.128754550148503e-12,6.321025480831617e-10,-1
3,4,17,2020-02-05,-0.015193598626155902,2.0659640220461376e-13,1.2519741973599593e-10,-1
4,5,18,2020-02-06,-0.01597419633860839,3.2755042870913976e-14,2.1028737523126773e-11,-1
5,6,19,2020-02-07,-0.016668667331436293,4.265770243188876e-15,2.930584157070758e-12,-1
6,7,20,2020-02-08,-0.01727722330129553,4.576748492936079e-16,3.3318729028574656e-13,-1
7,8,21,2020-02-09,-0.017810332123839114,4.419139158749252e-17,3.376222317284428e-14,-1
8,9,22,2020-02-10,-0.018293148342048954,5.274397084134054e-18,4.1509505052135005e-15,-1
9,10,23,2020-02-11,-0.018760814101675245,1.7061154376044299e-18,1.3597740037707305e-15,-1
10,11,24,2020-02-12,-0.01925041615357209,3.3244943003604e-18,2.632999485885437e-15,-1
11,12,25,2020-02-13,-0.019798863263013416,2.7550368586650952e-17,2.1158683074547932e-14,-1
12,13,26,2020-02-14,-0.020443182857035287,3.6296345768969956e-16,2.64600360655791e-13,-1
13,14,27,2020-02-15,-0.02121767869820231,3.994449197716156e-15,2.752175497226432e-12,-1
14,15,28,2020-02-16,-0.022144334700347677,2.772801259802729e-14,1.799548017611971e-11,-1
15,16,29,2020-02-17,-0.023223359406720757,1.085988923807922e-13,6.711411549132959e-11,-1
16,17,30,2020-02-18,-0.024435167073324566,2.327304790764569e-13,1.3917282648772124e-10,-1
17,18,31,2020-02-19,-0.025745902635581602,2.7844883636041863e-13,1.6539860879808866e-10,-1
18,19,32,2020-02-20,-0.027112983240184456,1.9319712884957688e-13,1.1746385434054275e-10,-1
19,20,33,2020-02-21,-0.028489867263133836,8.177173043319298e-14,5.1025559790312416e-11,-1
20,21,34,2020-02-22,-0.029832483429561484,2.2665504658272238e-14,1.47779090371935e-11,-1
21,22,35,2020-02-23,-0.03109958289221213,4.437224238794297e-15,3.043935827812888e-12,-1
22,23,36,2020-02-24,-0.032255422970389996,6.378360315831202e-16,4.617932868661791e-13,-1
23,24,37,2020-02-25,-0.03327067841882732,6.52138614365555e-17,4.910603766172629e-14,-1
24,25,38,2020-02-26,-0.034117359157947405,4.295265967558005e-18,3.3889648484032663e-15,-1
25,26,39,2020-02-27,-0.03476995372319789,1.5666689184473066e-19,1.2815351752898968e-16,-1
26,27,40,2020-02-28,-0.03520817493905283,2.6369376724753523e-21,2.2203015202242467e-18,-1
27,28,41,2020-02-29,-0.035414829179947954,4.504907630718725e-23,3.878725470048822e-20,-1
28,29,42,2020-03-01,-0.03537043876650939,1.6393076875573036e-22,1.4032473805490518e-19,-1
29,30,43,2020-03-02,-0.03505020914248024,5.959987727329291e-20,4.917802595982433e-17,-1
30,31,44,2020-03-03,-0.03443166620058918,1.2380565049573272e-17,9.669221303716726e-15,-1
31,32,45,2020-03-04,-0.03350784494800986,7.987565664800319e-16,5.74305971299143e-13,-1
32,33,46,2020-03-05,-0.03229195350425765,2.0064944100239705e-14,1.3202733217957726e-11,-1
33,34,47,2020-03-06,-0.030819609945325784,2.380702764670541e-13,1.421279550508313e-10,-1
