,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.0033520645643559323,6.778081766164573e-14,3.8770627702461356e-11,-1
1,2,15,2020-02-03,-0.0034589019204612358,1.3390786596770746e-16,9.360159831142752e-14,-1
2,3,16,2020-02-04,-0.0034542845113609798,1.9769850598736016e-16,1.3680736614325323e-13,-1
3,4,17,2020-02-05,-0.003370329106214882,4.5101212243108195e-14,2.6384209162218293e-11,-1
4,5,18,2020-02-06,-0.0031954513378031823,1.4665938582168323e-11,6.716999870633092e-09,-1
5,6,19,2020-02-07,-0.0029202019068715964,2.264761574144138e-09,7.632246504865746e-07,-1
6,7,20,2020-02-08,-0.002538690339082773,2.0965325375336166e-07,5.1365047169573606e-05,-1
7,8,21,2020-02-09,-0.0020499593035242687,1.5846123845394806e-05,0.0026621488060263273,-1
8,9,22,2020-02-10,-0.0014586945138661295,0.0011909738620400933,0.12862517710033008,0
9,10,23,2020-02-11,-0.0007736579107480435,0.07058649804290416,1.0,0
10,11,24,2020-02-12,-6.584180600382345e-06,0.9879624458764446,1.0,0
11,12,25,2020-02-13,0.0008289069708721291,0.0952514279789578,1.0,0
12,13,26,2020-02-14,0.0017176176742756462,0.0038383768442104014,0.3454539159789361,0
13,14,27,2020-02-15,0.002643751164610155,0.00018106502378021245,0.02371951811520783,1
14,15,28,2020-02-16,0.0035906630797277995,1.2076877634745176e-05,0.0020892998308109155,1
15,16,29,2020-02-17,0.004540299376642453,1.0597472949089498e-06,0.00022217408637873002,1
16,17,30,2020-02-18,0.005474458274247393,1.1011007329912598e-07,2.818817876457625e-05,1
17,18,31,2020-02-19,0.006375758990834475,1.2354254342724118e-08,3.7309848115026836e-06,1
18,19,32,2020-02-20,0.007227693506561515,1.38386767302499e-09,4.802020825396716e-07,1
19,20,33,2020-02-21,0.008014825540800873,1.4403299952083957e-10,5.818933180641919e-08,1
20,21,34,2020-02-22,0.00872177877447781,1.2848698266045718e-11,5.923249900647076e-09,1
21,22,35,2020-02-23,0.009333613759421922,8.826163678366523e-13,4.554300458037126e-10,1
22,23,36,2020-02-24,0.009838428496992735,4.063212737252585e-14,2.3851058767672674e-11,1
