,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.0033749770572944213,0.0011347258806527168,0.13730183155897874,0
1,2,15,2020-02-03,-0.0019498253712456923,0.017585099511706937,1.0,0
2,3,16,2020-02-04,-0.0007168366712659491,0.279842516685494,1.0,0
3,4,17,2020-02-05,0.000394737730888453,0.484760640987681,1.0,0
4,5,18,2020-02-06,0.0013825641955845579,0.011379395182826508,0.9262823995876237,0
5,6,19,2020-02-07,0.002262267683180681,8.9983244425879e-05,0.01349748666388185,1
6,7,20,2020-02-08,0.003062470115967334,1.405205171660847e-06,0.00030071390673542126,1
7,8,21,2020-02-09,0.0038187107494139704,9.436690748150598e-08,2.4818496667636074e-05,1
8,9,22,2020-02-10,0.0045694331409738605,2.6100537240082818e-08,7.386452038943437e-06,1
9,10,23,2020-02-11,0.005345645372018509,1.5707363992962155e-08,4.633672377923835e-06,1
10,11,24,2020-02-12,0.006162826413771284,1.1241499943550058e-08,3.4174159828392176e-06,1
11,12,25,2020-02-13,0.007020609208640407,6.6288631161459886e-09,2.0748341553536942e-06,1
12,13,26,2020-02-14,0.007902160236658021,2.6888906182932184e-09,8.819561228001756e-07,1
13,14,27,2020-02-15,0.008778589403825683,6.913437396737253e-10,2.4750105880319363e-07,1
14,15,28,2020-02-16,0.00961335126446247,1.066067773946928e-10,4.168324996132488e-08,1
15,16,29,2020-02-17,0.010367731462307787,9.193481849918997e-12,4.229001650962739e-09,1
16,17,30,2020-02-18,0.011008602370312323,3.911015001299715e-13,2.0923930256953475e-10,1
17,18,31,2020-02-19,0.011510351728961685,6.680809026487002e-15,4.155463214474915e-12,1
18,19,32,2020-02-20,0.011858421399325919,3.504792415642726e-17,2.505926577184549e-14,1
19,20,33,2020-02-21,0.012050099043011481,7.581005314794591e-20,6.057223246520878e-17,1
20,21,34,2020-02-22,0.012091662656204451,8.003318283358443e-21,6.650757493470866e-18,1
21,22,35,2020-02-23,0.011996157433160862,3.13109893170589e-19,2.4453882656623e-16,1
22,23,36,2020-02-24,0.011783002702031975,1.2913890612191593e-17,9.465881818736437e-15,1
23,24,37,2020-02-25,0.011471841434331793,2.343576428591381e-16,1.605349853585096e-13,1
24,25,38,2020-02-26,0.011080041037791736,2.6547989114906717e-15,1.7123452979114832e-12,1
25,26,39,2020-02-27,0.010622169387145493,2.2850379894931007e-14,1.3664527177168741e-11,1
