,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.009501533335291587,1.5456391005045994e-11,7.326329336391801e-09,-1
1,2,15,2020-02-03,-0.010241537430011908,1.1757553489684993e-13,6.819381024017297e-11,-1
2,3,16,2020-02-04,-0.010753322360721448,9.224033316780702e-15,5.977173589273895e-12,-1
3,4,17,2020-02-05,-0.011215804956963945,9.73524271733444e-16,6.68811174680876e-13,-1
4,5,18,2020-02-06,-0.011652786345524281,2.425889386605169e-16,1.724807353876275e-13,-1
5,6,19,2020-02-07,-0.012088620202075804,2.4719558169388366e-16,1.752616674209635e-13,-1
6,7,20,2020-02-08,-0.012551422601764457,8.575208613195189e-16,5.908318734491485e-13,-1
7,8,21,2020-02-09,-0.013066679521021926,4.837658391956064e-15,3.1976921970829584e-12,-1
8,9,22,2020-02-10,-0.01364954217986635,2.3740010573800272e-14,1.495620666149417e-11,-1
9,10,23,2020-02-11,-0.014300970271296452,7.340807603185846e-14,4.383180642390183e-11,-1
10,11,24,2020-02-12,-0.015011222103316447,1.2794266939771222e-13,7.382292024247995e-11,-1
11,12,25,2020-02-13,-0.01576241962678861,1.2537800933119732e-13,7.246848939343205e-11,-1
12,13,26,2020-02-14,-0.01652665405910535,7.085421766193996e-14,4.244167637950204e-11,-1
13,14,27,2020-02-15,-0.017267893374749065,2.2234511225289135e-14,1.4052211094382734e-11,-1
14,15,28,2020-02-16,-0.01794430335324102,3.495509771614406e-15,2.3350005274384234e-12,-1
15,16,29,2020-02-17,-0.01851179936017924,2.3418466748940135e-16,1.6673948325245377e-13,-1
16,17,30,2020-02-18,-0.018926882663297263,5.357907643504932e-18,4.0666519014202435e-15,-1
17,18,31,2020-02-19,-0.019153597634943013,6.42014808949935e-20,5.1810595082259754e-17,-1
18,19,32,2020-02-20,-0.01916998093978982,3.809615290090065e-20,3.093407615553133e-17,-1
19,20,33,2020-02-21,-0.018971607509260403,3.4974217941268986e-18,2.693014781477712e-15,-1
20,21,34,2020-02-22,-0.018572952647744993,2.6166219987405386e-16,1.8525683751083014e-13,-1
21,22,35,2020-02-23,-0.018001444585498034,6.4820020291114835e-15,4.2392293270389105e-12,-1
22,23,36,2020-02-24,-0.017285387897637585,7.060504749228505e-14,4.236302849537103e-11,-1
23,24,37,2020-02-25,-0.016449816481774394,4.296766617028349e-13,2.369743313420782e-10,-1
24,25,38,2020-02-26,-0.015520610548727247,1.6749667771100501e-12,8.65957823765896e-10,-1
25,26,39,2020-02-27,-0.014529412213883186,4.583196840539254e-12,2.2758273910771047e-09,-1
26,27,40,2020-02-28,-0.013510330328961121,9.63154287724911e-12,4.65203520971132e-09,-1
27,28,41,2020-02-29,-0.012496437203598486,1.6478922194900912e-11,7.77805127599323e-09,-1
28,29,42,2020-03-01,-0.01151916148446874,2.3416681315878693e-11,1.0818506767935956e-08,-1
29,30,43,2020-03-02,-0.010601110475913594,2.9059239105127403e-11,1.3280072271043223e-08,-1
30,31,44,2020-03-03,-0.00975156384653861,3.300332640966388e-11,1.491750353716807e-08,-1
31,32,45,2020-03-04,-0.008965853592351395,3.521476111869646e-11,1.5776212981176013e-08,-1
32,33,46,2020-03-05,-0.008229224894583108,3.779405130114816e-11,1.6893940931613227e-08,-1
