,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.00355786910662113,1.0178142934333518e-17,7.72521048715914e-15,-1
1,2,15,2020-02-03,-0.0035230838497672706,1.2660440641381357e-18,9.951106344125747e-16,-1
2,3,16,2020-02-04,-0.0035409865546562674,7.638653536427003e-18,5.808962958886095e-15,-1
3,4,17,2020-02-05,-0.0036228147086375057,2.6144505395310435e-15,1.7281518066300197e-12,-1
4,5,18,2020-02-06,-0.0037829310707359733,4.629096589523066e-13,2.47656667539484e-10,-1
5,6,19,2020-02-07,-0.0040324556932441295,1.7637124929031517e-11,7.830883468489994e-09,-1
6,7,20,2020-02-08,-0.0043794381465025725,1.8612674163659208e-10,6.868076766390247e-08,-1
7,8,21,2020-02-09,-0.00482730622946542,7.270270146788507e-10,2.464621579761304e-07,-1
8,9,22,2020-02-10,-0.005374925359510751,1.3542059863025e-09,4.4011694554831247e-07,-1
9,10,23,2020-02-11,-0.006015594631271735,1.4915369827860223e-09,4.817664454398852e-07,-1
10,11,24,2020-02-12,-0.006737123623223112,1.1496655713035193e-09,3.7594064181625083e-07,-1
11,12,25,2020-02-13,-0.007527332357653592,7.028540424915008e-10,2.3967322848960176e-07,-1
12,13,26,2020-02-14,-0.008375773829484377,3.749669026054212e-10,1.3198834971710826e-07,-1
13,14,27,2020-02-15,-0.009274215008038022,1.8955079614339755e-10,6.97546929807703e-08,-1
14,15,28,2020-02-16,-0.010216336079649113,9.738216832063182e-11,3.807642781336704e-08,-1
15,16,29,2020-02-17,-0.011199180325857143,5.324333474843428e-11,2.188301058160649e-08,-1
16,17,30,2020-02-18,-0.012224454514896042,3.1505664727815503e-11,1.3326896179865958e-08,-1
17,18,31,2020-02-19,-0.013299607137033266,2.048168278942484e-11,8.950495378978655e-09,-1
18,19,32,2020-02-20,-0.014440182818515142,1.5238395972913543e-11,6.811562999892354e-09,-1
19,20,33,2020-02-21,-0.0156673415248096,1.3540377995764575e-11,6.1202508540855874e-09,-1
20,21,34,2020-02-22,-0.017004245982456312,1.4490070904944204e-11,6.4915517654150034e-09,-1
21,22,35,2020-02-23,-0.01846957953269205,1.7709721304973966e-11,7.845406538103467e-09,-1
22,23,36,2020-02-24,-0.020075335390630975,2.2376020691824824e-11,9.755945021635622e-09,-1
23,24,37,2020-02-25,-0.021827418474428324,2.658194389434101e-11,1.1430235874566634e-08,-1
24,25,38,2020-02-26,-0.023723379113188066,2.7874762359605458e-11,1.1930398289911136e-08,-1
25,26,39,2020-02-27,-0.025750607940229077,2.4662135287313237e-11,1.0703366714693945e-08,-1
26,27,40,2020-02-28,-0.027884709572698074,1.776016814123524e-11,7.849994318425977e-09,-1
27,28,41,2020-02-29,-0.03009094657532147,1.0126064638859563e-11,4.63773760459768e-09,-1
28,29,42,2020-03-01,-0.032327558305774974,4.508804223057517e-12,2.146190810175378e-09,-1
29,30,43,2020-03-02,-0.03454964596800884,1.5730693028329137e-12,7.928269286277885e-10,-1
30,31,44,2020-03-03,-0.03670859914212034,4.362043637499785e-13,2.3380553896998847e-10,-1
31,32,45,2020-03-04,-0.03875434925407745,9.791281962515307e-14,5.5712394366712094e-11,-1
32,33,46,2020-03-05,-0.04064586240313104,1.80735485326419e-14,1.1042938153444202e-11,-1
33,34,47,2020-03-06,-0.042358200745577605,2.7961823182519773e-15,1.839887965409801e-12,-1
34,35,48,2020-03-07,-0.0438839328477863,3.706306353060159e-16,2.5944144471421116e-13,-1
35,36,49,2020-03-08,-0.04522524165483034,4.334704401423807e-17,3.1990118482507696e-14,-1
36,37,50,2020-03-09,-0.04638679359656046,4.653370775195626e-18,3.5784421261254365e-15,-1
37,38,51,2020-03-10,-0.04737290303004518,4.624912206979549e-19,3.681430116755721e-16,-1
38,39,52,2020-03-11,-0.04818263129801766,3.797760131578562e-20,3.09037092403303e-17,-1
39,40,53,2020-03-12,-0.0488072378488181,1.934343064288806e-21,1.5997017141668427e-18,-1
40,41,54,2020-03-13,-0.04922866931032243,4.215399142678848e-23,3.5662276747063054e-20,-1
