,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.004758895997869478,2.344458250821163e-13,1.2847631214499972e-10,1
1,2,15,2020-02-03,0.004540923319018045,4.336495965828665e-11,1.8213283056480392e-08,1
2,3,16,2020-02-04,0.004130795566661122,5.537823432197376e-09,1.7333387342777788e-06,1
3,4,17,2020-02-05,0.0035702115360065,3.996766284852307e-07,9.432368432251445e-05,1
4,5,18,2020-02-06,0.0028691024424389346,2.1978295982689118e-05,0.003868180092953285,1
5,6,19,2020-02-07,0.0020480632173734323,0.0011330928746613724,0.13370495921004194,0
6,7,20,2020-02-08,0.0011345016403104097,0.04972576846350515,1.0,0
7,8,21,2020-02-09,0.00015782800518028748,0.7754600844102001,1.0,0
8,9,22,2020-02-10,-0.0008536091707408103,0.14436007054640795,1.0,0
9,10,23,2020-02-11,-0.0018747007737028765,0.004593029635064047,0.4547099338713406,0
10,11,24,2020-02-12,-0.0028843736746162448,0.00013334202624906618,0.02072682740804997,-1
11,12,25,2020-02-13,-0.0038645378808236743,5.381256936056867e-06,0.001092395158019544,-1
12,13,26,2020-02-14,-0.004801343664347479,3.0950484576251834e-07,7.551918236605447e-05,-1
13,14,27,2020-02-15,-0.005685702874427538,2.3758650794396598e-08,6.794974127197427e-06,-1
14,15,28,2020-02-16,-0.0065108048856617985,2.232878255776529e-09,7.475857674223954e-07,-1
15,16,29,2020-02-17,-0.007270328118137431,2.365604150009998e-10,9.036607853038192e-08,-1
16,17,30,2020-02-18,-0.007959349295738922,2.622281522893081e-11,1.1275810548440248e-08,-1
17,18,31,2020-02-19,-0.00857568660006567,2.8326600787244726e-12,1.3426808773154e-09,-1
18,19,32,2020-02-20,-0.009120651111732296,2.795904435733625e-13,1.5153802041676246e-10,-1
19,20,33,2020-02-21,-0.00960099228675311,2.519165296883806e-14,1.4686733680832588e-11,-1
20,21,34,2020-02-22,-0.01003049611434884,2.4596438387026093e-15,1.5495756183826438e-12,-1
21,22,35,2020-02-23,-0.010429271265309419,4.056542536624901e-16,2.7138269570020587e-13,-1
22,23,36,2020-02-24,-0.010819430469091723,2.040101810751557e-16,1.395429638554065e-13,-1
23,24,37,2020-02-25,-0.01122006761212324,3.504185251558652e-16,2.354812489047414e-13,-1
24,25,38,2020-02-26,-0.011644270586264051,1.125661406216121e-15,7.316799140404786e-13,-1
25,26,39,2020-02-27,-0.012095251595513959,3.4883815083842778e-15,2.1789684452154054e-12,-1
26,27,40,2020-02-28,-0.012565408871409226,6.947231501472366e-15,4.2239167528951986e-12,-1
27,28,41,2020-02-29,-0.013035273736662025,6.972757214379094e-15,4.23246362912811e-12,-1
28,29,42,2020-03-01,-0.013471629490246821,2.895366878259752e-15,1.8182903995471242e-12,-1
29,30,43,2020-03-02,-0.013828836284765174,4.096557265566978e-16,2.736500253398741e-13,-1
30,31,44,2020-03-03,-0.014055676760719005,2.348620795931583e-17,1.7074473186422608e-14,-1
31,32,45,2020-03-04,-0.014102349880849348,7.802610469197477e-18,5.836352630959713e-15,-1
32,33,46,2020-03-05,-0.013923733871390032,4.3101638162192416e-16,2.874879265418234e-13,-1
33,34,47,2020-03-06,-0.013485589830622535,8.61410537455669e-14,4.858355431249973e-11,-1
34,35,48,2020-03-07,-0.012772999488690519,7.767294137428866e-12,3.464213185293274e-09,-1
35,36,49,2020-03-08,-0.011794196533043044,3.185774448462277e-10,1.1882938692764292e-07,-1
36,37,50,2020-03-09,-0.010576027883882374,7.665345896141074e-09,2.376257227803733e-06,-1
37,38,51,2020-03-10,-0.009157644056935513,1.3494410627739462e-07,3.427580299445823e-05,-1
38,39,52,2020-03-11,-0.007585915940896509,2.0968782858987364e-06,0.0004508288314682283,-1
39,40,53,2020-03-12,-0.0059124728811436955,3.424224953922869e-05,0.005821182421668878,-1
40,41,54,2020-03-13,-0.004190693360938948,0.0006901696997642623,0.08696138217029704,0
41,42,55,2020-03-14,-0.0024713075323787707,0.01805097875116856,1.0,0
42,43,56,2020-03-15,-0.0007951240770860919,0.3758722407766031,1.0,0
43,44,57,2020-03-16,0.0008099490863375446,0.3401850302860294,1.0,0
44,45,58,2020-03-17,0.002326646118386913,0.009923298637222834,0.9228667732617236,0
45,46,59,2020-03-18,0.003744635911843559,0.00018439385979495106,0.028212260548627514,1
46,47,60,2020-03-19,0.005058648137752879,5.020207176409675e-06,0.001034162678340393,1
47,48,61,2020-03-20,0.0062669707493141266,2.143968510234614e-07,5.274162535177151e-05,1
48,49,62,2020-03-21,0.00736762804464828,1.2611276481453362e-08,3.8212167738803685e-06,1
49,50,63,2020-03-22,0.008355249517714701,8.811007954163509e-10,3.0838527839572283e-07,1
50,51,64,2020-03-23,0.009221146934037389,6.295523200620477e-11,2.562277942652534e-08,1
51,52,65,2020-03-24,0.009955709832769215,3.9002807578068244e-12,1.801929710106753e-09,1
52,53,66,2020-03-25,0.010551414057503405,1.712410917194597e-13,9.503880590430013e-11,1
53,54,67,2020-03-26,0.011003169481156193,4.087615468819055e-15,2.534321590667814e-12,1
54,55,68,2020-03-27,0.011308590608100404,4.0732572488151824e-17,2.904232418405225e-14,1
55,56,69,2020-03-28,0.011467779678346612,3.201236272016137e-19,2.496964292172587e-16,1
56,57,70,2020-03-29,0.011484867250797311,1.4665948965047047e-19,1.1527435886526979e-16,1
57,58,71,2020-03-30,0.011368772213584968,5.935349694316872e-18,4.4693183198206045e-15,1
58,59,72,2020-03-31,0.011133537036963528,2.2226483282575627e-16,1.5158461598716577e-13,1
59,60,73,2020-04-01,0.01079876927663822,3.2305466101656314e-15,2.025552724573851e-12,1
60,61,74,2020-04-02,0.01038776147100395,2.165976296358756e-14,1.2714280859625897e-11,1
61,62,75,2020-04-03,0.009925140140112435,8.09483638290728e-14,4.5816773927255206e-11,1
62,63,76,2020-04-04,0.009433159571325006,1.9602030109792303e-13,1.0820320620605351e-10,1
