,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.005647001367109054,1.7391591682144291e-13,1.0748003659565172e-10,1
1,2,15,2020-02-03,0.0053361035494468865,1.467943217732438e-12,8.264520315833626e-10,1
2,3,16,2020-02-04,0.004975084027454477,8.044061659196574e-12,4.0702951995534664e-09,1
3,4,17,2020-02-05,0.004588984542557565,4.210446572075567e-11,1.9999621217358943e-08,1
4,5,18,2020-02-06,0.0041832351406925075,2.19033507434831e-10,9.703184379363013e-08,1
5,6,19,2020-02-07,0.0037629078131928713,1.1307239069232542e-09,4.5612957376754995e-07,1
6,7,20,2020-02-08,0.003333291565221927,5.740984370299808e-09,2.118423232640629e-06,1
7,8,21,2020-02-09,0.0028999873171183885,2.9024828274683165e-08,9.410953567057435e-06,1
8,9,22,2020-02-10,0.00246831195703475,1.499019235984284e-07,4.242224437835524e-05,1
9,10,23,2020-02-11,0.00204453048273311,8.19912329366266e-07,0.00020415817001220022,1
10,11,24,2020-02-12,0.001636196360835082,4.956330885455179e-06,0.001050742147716498,1
11,12,25,2020-02-13,0.0012511381286556612,3.493920167789338e-05,0.005974603486919768,1
12,13,26,2020-02-14,0.0008953111396708745,0.00031521423231301786,0.04318434982688345,1
13,14,27,2020-02-15,0.0005719679473013005,0.004045719046216035,0.37625187129809123,0
14,15,28,2020-02-16,0.00028212506698820295,0.07158730634920729,1.0,0
15,16,29,2020-02-17,2.494786630476011e-05,0.8444167093845723,1.0,0
16,17,30,2020-02-18,-0.00020189673404162985,0.08492989845095816,1.0,0
17,18,31,2020-02-19,-0.0004029070757498285,0.0010031827713372732,0.11335965316111186,0
18,19,32,2020-02-20,-0.0005842413177827937,1.3303113417511525e-05,0.002500985322492167,-1
19,20,33,2020-02-21,-0.0007517727309608803,4.443209167909186e-07,0.00011863368478317526,-1
20,21,34,2020-02-22,-0.0009106191898218888,4.3140512558309e-08,1.3546120943309026e-05,-1
21,22,35,2020-02-23,-0.001066098636863349,1.0214631956403407e-08,3.636408976479613e-06,-1
