,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0007249882232921134,0.00221733483741195,0.1995601353670755,0
1,2,15,2020-02-03,0.00034013513649212016,0.07981391710855362,1.0,0
2,3,16,2020-02-04,-2.101070485014376e-05,0.9114083187585028,1.0,0
3,4,17,2020-02-05,-0.00040294239057478583,0.06356046651824453,1.0,0
4,5,18,2020-02-06,-0.0008160575706221099,0.002559425792622822,0.21755119237293988,0
5,6,19,2020-02-07,-0.0012714880999227472,0.0001843116299349147,0.021933083962254848,-1
6,7,20,2020-02-08,-0.00178014386208931,2.5765728513073592e-05,0.0038906250054741125,-1
7,8,21,2020-02-09,-0.0023525474277056,5.997670326692365e-06,0.0010076086148843174,-1
8,9,22,2020-02-10,-0.002999121589742119,1.9560994182360414e-06,0.0003697027900466118,-1
9,10,23,2020-02-11,-0.0037292346854827887,7.688006852387421e-07,0.00015606653910346465,-1
10,11,24,2020-02-12,-0.0045495949814161624,3.271800858828134e-07,7.120196074254608e-05,-1
11,12,25,2020-02-13,-0.005462498408017702,1.4152959387640604e-07,3.28348657793262e-05,-1
12,13,26,2020-02-14,-0.006464013883817361,5.991561788857752e-08,1.4679326382701493e-05,-1
13,14,27,2020-02-15,-0.007543761663512353,2.4056707955899055e-08,6.37502760831325e-06,-1
14,15,28,2020-02-16,-0.008686225597475162,8.900865572865481e-09,2.5723501505581243e-06,-1
15,16,29,2020-02-17,-0.009872123774472085,2.9628928902364617e-09,9.362741533147219e-07,-1
16,17,30,2020-02-18,-0.011079016163834953,8.735749957110175e-10,2.9701549854174594e-07,-1
17,18,31,2020-02-19,-0.01228262987321423,2.2594643384906728e-10,8.360018052415489e-08,-1
18,19,32,2020-02-20,-0.013459224340019523,5.1035545558488865e-11,2.0363182677837057e-08,-1
19,20,33,2020-02-21,-0.01458819541894704,1.0121901538003885e-11,4.4637585782597135e-09,-1
20,21,34,2020-02-22,-0.0156531143547067,1.791600185621671e-12,8.49218487984672e-10,-1
21,22,35,2020-02-23,-0.016642811624723575,2.9077074499838317e-13,1.4829307994917542e-10,-1
22,23,36,2020-02-24,-0.017551482182467642,4.5167587699238314e-14,2.4616335296084882e-11,-1
23,24,37,2020-02-25,-0.018377347009838823,7.115599266565551e-15,4.091469578275192e-12,-1
24,25,38,2020-02-26,-0.019122759078841443,1.2105797014906965e-15,7.408747773123062e-13,-1
25,26,39,2020-02-27,-0.019794535521111538,2.3358319313313706e-16,1.5182907553653908e-13,-1
26,27,40,2020-02-28,-0.020402202159714833,5.234965092912298e-17,3.5178965424370644e-14,-1
27,28,41,2020-02-29,-0.020954843290105805,1.3543050965949373e-17,9.398877370368865e-15,-1
28,29,42,2020-03-01,-0.021460452318337216,3.933192401115833e-18,2.796499797193357e-15,-1
