,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.015583054297032694,4.3419231769228745e-20,3.421435463415225e-17,-1
1,2,15,2020-02-03,-0.01541947361502845,6.297643444265403e-19,4.823994878307298e-16,-1
2,3,16,2020-02-04,-0.015166184025414956,2.199040584642824e-18,1.638285235558904e-15,-1
3,4,17,2020-02-05,-0.014891159379721778,2.8583535467755425e-18,2.112323271067126e-15,-1
4,5,18,2020-02-06,-0.014617580169748089,1.507044561985659e-18,1.13179046605123e-15,-1
5,6,19,2020-02-07,-0.014366318853576225,3.2040695257932593e-19,2.470337604386603e-16,-1
6,7,20,2020-02-08,-0.014152054122219603,2.562310299838595e-20,2.0344743780718445e-17,-1
7,8,21,2020-02-09,-0.013979916763308071,7.288062957618391e-22,5.976211625247081e-19,-1
8,9,22,2020-02-10,-0.013844000281283898,8.29566414569926e-24,6.910288233367483e-21,-1
9,10,23,2020-02-11,-0.013727394543874982,1.9028989336406345e-25,1.6079495989263362e-22,-1
10,11,24,2020-02-12,-0.013604444843664333,2.2470492870038162e-24,1.8875214010832054e-21,-1
11,12,25,2020-02-13,-0.013443205008796652,1.6433731344404925e-21,1.337705731434561e-18,-1
12,13,26,2020-02-14,-0.013207250256981537,9.032969756595873e-19,6.87408998476946e-16,-1
13,14,27,2020-02-15,-0.012859897502507362,2.1110481953753817e-16,1.4439569656367612e-13,-1
14,15,28,2020-02-16,-0.012367937736837212,2.3773079110341244e-14,1.4430259019977135e-11,-1
15,16,29,2020-02-17,-0.011705624303475526,1.51998152865616e-12,7.995102840731401e-10,-1
16,17,30,2020-02-18,-0.010855970522520639,6.345840002676724e-11,2.7223653611483148e-08,-1
17,18,31,2020-02-19,-0.00981098142998039,1.9741860934140767e-09,7.087328075356536e-07,-1
18,19,32,2020-02-20,-0.008573522068019203,5.1729034480770015e-08,1.4927003852225752e-05,-1
19,20,33,2020-02-21,-0.007160223456846296,1.2919153621190442e-06,0.00028809712575254685,-1
20,21,34,2020-02-22,-0.005603146627857741,3.434790473721992e-05,0.005976535424276266,-1
21,22,35,2020-02-23,-0.00394790986046201,0.0010411417623121028,0.12077244442820392,0
22,23,36,2020-02-24,-0.0022485558837929587,0.03268708875422575,1.0,0
23,24,37,2020-02-25,-0.0005627788291414058,0.5484152429050598,1.0,0
24,25,38,2020-02-26,0.0010539108311285932,0.2437419542913886,1.0,0
25,26,39,2020-02-27,0.0025527197066120993,0.006735034113027492,0.6330932066245842,0
26,27,40,2020-02-28,0.003894975321402518,9.828840550992999e-05,0.014743260826489498,1
27,28,41,2020-02-29,0.005053928805141159,1.334009625754433e-06,0.00029481612729172967,1
28,29,42,2020-03-01,0.006016911001531458,1.6963509951991974e-08,5.309578614973488e-06,1
29,30,43,2020-03-02,0.006783227093281209,1.732805969764371e-10,7.139160595429209e-08,1
30,31,44,2020-03-03,0.007361801558071687,1.1799782884659991e-12,6.336483409062415e-10,1
31,32,45,2020-03-04,0.007771911066565332,4.3950956515447955e-15,2.7689102604732212e-12,1
32,33,46,2020-03-05,0.00804019848059599,7.237542941568809e-18,5.247218632637386e-15,1
33,34,47,2020-03-06,0.008196897304614084,3.722621859050721e-21,3.011601083972033e-18,1
34,35,48,2020-03-07,0.008271507184872334,4.834282472217591e-25,4.070465841607212e-22,1
35,36,49,2020-03-08,0.00829007486448827,4.2018066808152196e-27,3.596746518777828e-24,1
36,37,50,2020-03-09,0.008273912571311205,8.584698206970478e-26,7.271239381303995e-23,1
37,38,51,2020-03-10,0.008237367385823752,1.0720351213129247e-24,9.015815370241697e-22,1
38,39,52,2020-03-11,0.008188475310916822,4.377550751614542e-24,3.668387529852986e-21,1
39,40,53,2020-03-12,0.008131269072705337,1.1656696761782866e-23,9.698371705803345e-21,1
40,41,54,2020-03-13,0.008067302202057803,2.935564033749707e-23,2.436518148012257e-20,1
