,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.010959200762580956,1.5729538040914403e-28,1.3495943639104558e-25,-1
1,2,15,2020-02-03,-0.010988389595034752,4.3667050955740575e-27,3.729166151620245e-24,-1
2,3,16,2020-02-04,-0.011037737393606379,2.7820312987803285e-26,2.3675086352620595e-23,-1
3,4,17,2020-02-05,-0.011095000597312358,1.84303240068924e-25,1.5647345081851647e-22,-1
4,5,18,2020-02-06,-0.011161809397091904,1.1638380970416209e-24,9.82279353903128e-22,-1
5,6,19,2020-02-07,-0.011239690666087623,6.702874936982731e-24,5.6371178220024765e-21,-1
6,7,20,2020-02-08,-0.011329969842268646,3.4766480989442346e-23,2.9064778107173804e-20,-1
7,8,21,2020-02-09,-0.011433964175459003,1.6313270742640135e-22,1.3605267799361873e-19,-1
8,9,22,2020-02-10,-0.011552935757155868,7.050608860571401e-22,5.844954745413692e-19,-1
9,10,23,2020-02-11,-0.011688113226459034,2.7905700841687582e-21,2.296639179270888e-18,-1
10,11,24,2020-02-12,-0.01184030724302392,9.843419424173509e-21,8.02238683070141e-18,-1
11,12,25,2020-02-13,-0.012009799090205118,2.9972497520025975e-20,2.4217777996180988e-17,-1
12,13,26,2020-02-14,-0.012195973327056209,7.645453487293485e-20,6.108717336347495e-17,-1
13,14,27,2020-02-15,-0.012397259844261554,1.588897372965776e-19,1.258974395983962e-16,-1
14,15,28,2020-02-16,-0.012611142026470484,2.622479210624708e-19,2.063891138761645e-16,-1
15,16,29,2020-02-17,-0.01283426413428601,3.3690322627730785e-19,2.6379522617513206e-16,-1
16,17,30,2020-02-18,-0.013062825067515946,3.346132024813716e-19,2.6233675074539534e-16,-1
17,18,31,2020-02-19,-0.013292950507296493,2.5886702628748543e-19,2.0398721671453851e-16,-1
18,19,32,2020-02-20,-0.013520902183165808,1.5876095787944036e-19,1.258974395983962e-16,-1
19,20,33,2020-02-21,-0.013743516641184377,7.99809430441197e-20,6.382479254920752e-17,-1
20,21,34,2020-02-22,-0.01395847981237035,3.515756441584559e-20,2.8196366661508165e-17,-1
21,22,35,2020-02-23,-0.0141644429247684,1.4604708060499226e-20,1.1859022945125371e-17,-1
22,23,36,2020-02-24,-0.01436122735663645,6.272955211653005e-21,5.118731452708852e-18,-1
23,24,37,2020-02-25,-0.01454979782776998,3.055781698446501e-21,2.5057409927261305e-18,-1
24,25,38,2020-02-26,-0.01473221140826568,1.846753616515551e-21,1.5235717336253296e-18,-1
25,26,39,2020-02-27,-0.014912090390916361,1.5057766647569458e-21,1.2467830784187511e-18,-1
26,27,40,2020-02-28,-0.015094209706788767,1.746901484091559e-21,1.4429406258596277e-18,-1
27,28,41,2020-02-29,-0.015283410290150566,2.819588127723961e-21,2.314881852861372e-18,-1
28,29,42,2020-03-01,-0.015483795234809878,5.7714831806284386e-21,4.7153017585734345e-18,-1
29,30,43,2020-03-02,-0.015698420337377426,1.3359131511170414e-20,1.0860973918581547e-17,-1
30,31,44,2020-03-03,-0.015929311210828793,3.146438189479483e-20,2.5360291807204635e-17,-1
31,32,45,2020-03-04,-0.016177656286544707,6.97850859593556e-20,5.582806876748448e-17,-1
32,33,46,2020-03-05,-0.016443715703161794,1.3906311989244774e-19,1.1041611719460351e-16,-1
33,34,47,2020-03-06,-0.01672698996258777,2.419905050041875e-19,1.9093050844830393e-16,-1
34,35,48,2020-03-07,-0.017026094648700592,3.5929799932634692e-19,2.809710354732033e-16,-1
35,36,49,2020-03-08,-0.01733845348888046,4.471764593431854e-19,3.483504618283414e-16,-1
36,37,50,2020-03-09,-0.0176601867204876,4.611879601836383e-19,3.5880423302287063e-16,-1
37,38,51,2020-03-10,-0.01798625781208275,3.9342620281280705e-19,3.068724381939895e-16,-1
38,39,52,2020-03-11,-0.018310830110037483,2.7951286635146724e-19,2.1941760008590179e-16,-1
39,40,53,2020-03-12,-0.01862858978697127,1.664664903202496e-19,1.3167499384331743e-16,-1
40,41,54,2020-03-13,-0.018935107238355987,8.256350852980544e-20,6.580311629825494e-17,-1
41,42,55,2020-03-14,-0.019226295119559415,3.352387381030932e-20,2.6953194543488693e-17,-1
42,43,56,2020-03-15,-0.01949811520822561,1.0893731812870904e-20,8.867497695676916e-18,-1
43,44,57,2020-03-16,-0.0197470807111748,2.7793501036295053e-21,2.2901844853907122e-18,-1
44,45,58,2020-03-17,-0.019970505138335714,5.513614313175711e-22,4.581813494249017e-19,-1
45,46,59,2020-03-18,-0.020166340060064004,8.36623316823127e-23,6.985804695473111e-20,-1
46,47,60,2020-03-19,-0.020333743007457807,9.568017173563428e-24,8.03713442579328e-21,-1
47,48,61,2020-03-20,-0.020473988478634318,8.342186903049042e-25,7.04914793307644e-22,-1
48,49,62,2020-03-21,-0.020590005447961014,5.822070530710121e-26,4.948759951103603e-23,-1
49,50,63,2020-03-22,-0.020685917937407552,3.682425810184544e-27,3.148474067707785e-24,-1
50,51,64,2020-03-23,-0.02076595736702059,2.660767252033325e-28,2.277616767740526e-25,-1
51,52,65,2020-03-24,-0.020833419724911012,2.917519611392731e-29,2.5061493461863558e-26,-1
52,53,66,2020-03-25,-0.020889694469486682,5.2555184939368504e-30,4.519745904785691e-27,-1
53,54,67,2020-03-26,-0.020934482423131593,1.026130957325553e-30,8.834987542573012e-28,-1
54,55,68,2020-03-27,-0.020966224317891583,1.1455133747730345e-31,9.885780424291287e-29,-1
55,56,69,2020-03-28,-0.020983019181990144,8.256176829403047e-33,7.141592957433635e-30,-1
56,57,70,2020-03-29,-0.020982864342245295,8.614520345186602e-33,7.442945578241224e-30,-1
57,58,71,2020-03-30,-0.020963266424469326,8.70324063488044e-31,7.50219342726694e-28,-1
58,59,72,2020-03-31,-0.020921189481621,1.7009272297920118e-28,1.4576946359317541e-25,-1
59,60,73,2020-04-01,-0.020852581248556542,1.4592615348322953e-26,1.2447500892119479e-23,-1
60,61,74,2020-04-02,-0.02075261100098988,5.638100567928636e-25,4.769833080467626e-22,-1
61,62,75,2020-04-03,-0.020615744814034113,1.2711089515554484e-23,1.0664604103550212e-20,-1
62,63,76,2020-04-04,-0.020435880558670978,2.0846428266812815e-22,1.7365074746255076e-19,-1
63,64,77,2020-04-05,-0.02020791970271858,2.812611494011102e-21,2.311966648077126e-18,-1
64,65,78,2020-04-06,-0.019929761280092256,3.1326834749148585e-20,2.5280755642562907e-17,-1
65,66,79,2020-04-07,-0.01960334018577112,2.6992066562066923e-19,2.1215764317784602e-16,-1
66,67,80,2020-04-08,-0.019234443067040374,1.6585590681652033e-18,1.2754319234190412e-15,-1
67,68,81,2020-04-09,-0.018831996856353655,6.791705347770639e-18,5.1956545910445385e-15,-1
68,69,82,2020-04-10,-0.01840733088815206,1.7583753167196576e-17,1.3381236160236594e-14,-1
69,70,83,2020-04-11,-0.017973982027551804,2.7704543292546846e-17,2.0972339272457962e-14,-1
70,71,84,2020-04-12,-0.017546861722123643,2.580786094615527e-17,1.9562358597185697e-14,-1
71,72,85,2020-04-13,-0.017140487262240295,1.3712425592386123e-17,1.0462580726990612e-14,-1
72,73,86,2020-04-14,-0.01676840694216578,3.922646894879651e-18,3.0086701683726924e-15,-1
73,74,87,2020-04-15,-0.016443841824050183,5.458548723988618e-19,4.2358338098151677e-16,-1
74,75,88,2020-04-16,-0.016178529081850156,3.215164187456711e-20,2.5882071709026523e-17,-1
75,76,89,2020-04-17,-0.015981245918146994,6.449208703150891e-22,5.352843223615239e-19,-1
76,77,90,2020-04-18,-0.015856674490642264,3.470985942916273e-24,2.9260411498784182e-21,-1
77,78,91,2020-04-19,-0.01580502809699158,2.5152264851956188e-26,2.1429729653866673e-23,-1
78,79,92,2020-04-20,-0.015823372616515105,2.199748870448035e-25,1.8653870421399335e-22,-1
79,80,93,2020-04-21,-0.01590706239388937,3.459740975105105e-23,2.895803196162973e-20,-1
80,81,94,2020-04-22,-0.01605063419196314,1.7131320870806524e-21,1.4167602360156994e-18,-1
81,82,95,2020-04-23,-0.01624727909326811,2.693634737270815e-20,2.1791505024520893e-17,-1
82,83,96,2020-04-24,-0.016488014258672135,1.7073916018964747e-19,1.348839365498215e-16,-1
83,84,97,2020-04-25,-0.01676216336628189,5.050276375060445e-19,3.924064743421966e-16,-1
84,85,98,2020-04-26,-0.01705876299172793,7.76664055546201e-19,5.995846508816672e-16,-1
85,86,99,2020-04-27,-0.01736699478999647,6.814496607287006e-19,5.274420374040142e-16,-1
86,87,100,2020-04-28,-0.01767656701831777,3.7407837027557974e-19,2.9215520718522776e-16,-1
87,88,101,2020-04-29,-0.017977895893105948,1.3646608983152703e-19,1.0849054141606399e-16,-1
88,89,102,2020-04-30,-0.018260602904247476,3.3931385858628694e-20,2.7246902844478842e-17,-1
89,90,103,2020-05-01,-0.018512917922188427,5.454995555736464e-21,4.4621863645924274e-18,-1
90,91,104,2020-05-02,-0.018720958749027804,4.602461768972922e-22,3.829248191785471e-19,-1
91,92,105,2020-05-03,-0.018868390832809265,1.4332643954584722e-23,1.2010755633941997e-20,-1
92,93,106,2020-05-04,-0.018936472516543047,3.489364114726874e-25,2.9554914051736623e-22,-1
93,94,107,2020-05-05,-0.01890424740930126,4.540176051265563e-24,3.822828235165604e-21,-1
94,95,108,2020-05-06,-0.018749468473580173,4.991926602925799e-21,4.088387887796229e-18,-1
95,96,109,2020-05-07,-0.018450671241251604,2.07043830227138e-18,1.5900966161444198e-15,-1
96,97,110,2020-05-08,-0.01798998001634838,2.5333819498533603e-16,1.8797694067911934e-13,-1
97,98,111,2020-05-09,-0.017358727361741724,1.2079734562713803e-14,8.624930477777655e-12,-1
98,99,112,2020-05-10,-0.016560636837668025,2.7547045501441814e-13,1.7519920938916995e-10,-1
99,100,113,2020-05-11,-0.015609153240988587,3.5434506826428086e-12,2.1225269589030425e-09,-1
100,101,114,2020-05-12,-0.01452500720276465,2.944339901676027e-11,1.6812180838570115e-08,-1
101,102,115,2020-05-13,-0.013333711344231572,1.7681466147759545e-10,9.795532245858788e-08,-1
102,103,116,2020-05-14,-0.012062681724443578,8.50265061504798e-10,4.5659233802807655e-07,-1
103,104,117,2020-05-15,-0.010739552943474189,3.6163748061815102e-09,1.8696657747958408e-06,-1
104,105,118,2020-05-16,-0.00938467289264838,1.5611954973937137e-08,7.85281335189038e-06,-1
105,106,119,2020-05-17,-0.008009313453004182,8.209282645256957e-08,4.014339213530652e-05,-1
106,107,120,2020-05-18,-0.006618549633589431,6.39711263035239e-07,0.00030386284994173853,-1
107,108,121,2020-05-19,-0.005211503220275893,8.767213711425837e-06,0.003910177315295924,-1
108,109,122,2020-05-20,-0.003782941015862525,0.0002288819554938327,0.09544377544092823,0
109,110,123,2020-05-21,-0.002323415329086917,0.010000621589593415,1.0,0
110,111,124,2020-05-22,-0.000822296228780723,0.32096113809832894,1.0,0
111,112,125,2020-05-23,0.0007236045515374065,0.3974832912749583,1.0,0
112,113,126,2020-05-24,0.002307221832401176,0.018448186052133563,1.0,0
113,114,127,2020-05-25,0.0039132254894554235,0.0006460933180787838,0.2577912339134347,0
114,115,128,2020-05-26,0.005519866332119924,3.014869083353623e-05,0.013084531821754723,1
115,116,129,2020-05-27,0.007104359022375925,1.8881136993475743e-06,0.000877972870196622,1
116,117,130,2020-05-28,0.008647638958638853,1.4722727884038123e-07,7.184691207410604e-05,1
117,118,131,2020-05-29,0.01013597654472157,1.4023135132540616e-08,7.067660106800471e-06,1
118,119,132,2020-05-30,0.011563166906106417,1.6542147635694236e-09,8.66808536110378e-07,1
119,120,133,2020-05-31,0.012929275425213793,2.443293114547779e-10,1.3413679198867307e-07,1
120,121,134,2020-06-01,0.014235827485584631,4.517148736188129e-11,2.552189035946293e-08,1
121,122,135,2020-06-02,0.015482809562342905,1.0137495192246148e-11,5.930434687463996e-09,1
122,123,136,2020-06-03,0.016663538604311027,2.583852832736895e-12,1.5606471109730847e-09,1
123,124,137,2020-06-04,0.017763829894334848,6.605151749428919e-13,4.081983781147072e-10,1
124,125,138,2020-06-05,0.01876269270757613,1.4097516955100955e-13,9.233873605591125e-11,1
125,126,139,2020-06-06,0.019632675605089123,2.034823778608432e-14,1.4447248828119868e-11,1
126,127,140,2020-06-07,0.020341491496361472,1.5360131644622273e-15,1.1258976495508126e-12,1
127,128,141,2020-06-08,0.02085369658002069,4.657575521081024e-17,3.511811942895092e-14,1
