,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0034438111845871222,2.8105505747648495e-18,1.363117028760952e-15,1
1,2,15,2020-02-03,0.0033658634685592415,2.726121809622371e-19,1.4530229245287239e-16,1
2,3,16,2020-02-04,0.003305158294474417,1.652155527253428e-19,9.053812289348786e-17,1
3,4,17,2020-02-05,0.0032480549719332143,1.169267979894932e-19,6.501129968215822e-17,1
4,5,18,2020-02-06,0.0031943565749704915,9.028581405990997e-20,5.083091331572932e-17,1
5,6,19,2020-02-07,0.0031439968956435524,6.696691782697002e-20,3.823811007919988e-17,1
6,7,20,2020-02-08,0.0030971967382541167,4.0985291277174795e-20,2.3976395397147255e-17,1
7,8,21,2020-02-09,0.003054479450348438,1.740910977576884e-20,1.0515102304564379e-17,1
8,9,22,2020-02-10,0.0030166808899894744,4.340429587888595e-21,2.782215365836589e-18,1
9,10,23,2020-02-11,0.0029847463765343696,5.259588866288253e-22,3.555482073610859e-19,1
10,11,24,2020-02-12,0.002959500531565544,2.5169972825373763e-23,1.7971360597316867e-20,1
11,12,25,2020-02-13,0.002941335421768581,3.9209335292526266e-25,2.9720676151734908e-22,1
12,13,26,2020-02-14,0.0029299271267048768,1.9585273607322262e-27,1.5726974706679776e-24,1
13,14,27,2020-02-15,0.00292437467229665,1.3052522936728775e-29,1.0833594037484884e-26,1
14,15,28,2020-02-16,0.0029234615502513597,4.901426985322701e-30,4.087790105759133e-27,1
15,16,29,2020-02-17,0.0029258596547690695,1.9060946502523908e-29,1.580152465059232e-26,1
16,17,30,2020-02-18,0.002930275833199455,3.113249399812726e-29,2.577770503044937e-26,1
17,18,31,2020-02-19,0.002935406974467659,1.0854571811092791e-29,9.02014917501811e-27,1
18,19,32,2020-02-20,0.002939970252683309,6.65192710643702e-31,5.594270696513534e-28,1
19,20,33,2020-02-21,0.002942552456347452,1.3693744300064882e-32,1.166707014365528e-29,1
20,21,34,2020-02-22,0.002941644301292068,1.0704810598157547e-31,9.056269766041284e-29,1
21,22,35,2020-02-23,0.002935927745942122,1.2635597257998571e-28,1.0335918557042831e-25,1
22,23,36,2020-02-24,0.0029244425857291446,4.599037116050393e-26,3.587248950519306e-23,1
23,24,37,2020-02-25,0.0029067543659581324,4.22589553791389e-24,3.1018073248287952e-21,1
24,25,38,2020-02-26,0.0028830056907299087,1.383496502072054e-22,9.532290899276452e-20,1
25,26,39,2020-02-27,0.002853776848550419,1.986671397740151e-21,1.303256436917539e-18,1
26,27,40,2020-02-28,0.0028199940379500326,1.374796273387579e-20,8.372509304930355e-18,1
27,28,41,2020-02-29,0.0027831520420347347,4.5559716792984595e-20,2.6424635739931065e-17,1
28,29,42,2020-03-01,0.0027451357493975545,7.073692821707974e-20,4.024931215551837e-17,1
29,30,43,2020-03-02,0.002708030837657067,4.9276935613691097e-20,2.8432791849099765e-17,1
30,31,44,2020-03-03,0.002673877262057707,1.4350040303513022e-20,8.710474464232405e-18,1
31,32,45,2020-03-04,0.002644523484079011,1.5374865092078951e-21,1.0178160690956266e-18,1
32,33,46,2020-03-05,0.0026216839913864817,4.930548975567077e-23,3.451384282896954e-20,1
33,34,47,2020-03-06,0.002606665258411541,4.164778795919829e-25,3.152737548511311e-22,1
34,35,48,2020-03-07,0.0026001649111322338,5.448768702626606e-27,4.353566193398659e-24,1
35,36,49,2020-03-08,0.002602166030419342,2.5534994079315864e-26,1.9993900364104322e-23,1
36,37,50,2020-03-09,0.002611968964759218,1.2964617856510741e-24,9.684569538813524e-22,1
37,38,51,2020-03-10,0.002628541847294746,2.4908079553844893e-23,1.7809276880999097e-20,1
38,39,52,2020-03-11,0.0026507673367818746,1.841984364299972e-22,1.2636012739097808e-19,1
39,40,53,2020-03-12,0.0026774427286030723,7.267663067716036e-22,4.883869581505176e-19,1
40,41,54,2020-03-13,0.0027072618347577164,1.887885359908989e-21,1.2422285668201147e-18,1
41,42,55,2020-03-14,0.0027390411404721823,3.3578882813700137e-21,2.182627382890509e-18,1
42,43,56,2020-03-15,0.0027717061732096156,3.981197296829495e-21,2.559909861861365e-18,1
43,44,57,2020-03-16,0.0028042675499190847,3.00281111040152e-21,1.9548300328713896e-18,1
44,45,58,2020-03-17,0.0028355459760051284,1.3545206038533113e-21,8.994016809585986e-19,1
45,46,59,2020-03-18,0.002864067003972466,3.377349671066417e-22,2.3067298253383627e-19,1
46,47,60,2020-03-19,0.0028883024345089,4.0316999170402226e-23,2.842348441513357e-20,1
47,48,61,2020-03-20,0.0029067643266538633,1.8378918017320827e-24,1.3618778250834733e-21,1
48,49,62,2020-03-21,0.0029181813370949454,3.111874346628101e-26,2.4334857390631752e-23,1
49,50,63,2020-03-22,0.002921609969747033,2.851128012591687e-27,2.2837535380859415e-24,1
50,51,64,2020-03-23,0.002916610687713777,8.028489069060648e-26,6.222079028522003e-23,1
51,52,65,2020-03-24,0.0029034791257231962,6.435310084326122e-24,4.6977763615580695e-21,1
52,53,66,2020-03-25,0.002883267811508557,1.545799213271943e-22,1.0635098587310967e-19,1
53,54,67,2020-03-26,0.002857535330153486,1.2048057292867525e-21,8.024006157049772e-19,1
54,55,68,2020-03-27,0.0028280169788282117,3.8715456538363664e-21,2.5010184923782927e-18,1
55,56,69,2020-03-28,0.0027963987231616424,5.861483884183361e-21,3.704457814803884e-18,1
