,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.005773055046476824,3.779990718641826e-24,2.759393224608533e-21,-1
1,2,15,2020-02-03,-0.005741318773355051,1.8156304737954244e-27,1.4942638799336342e-24,-1
2,3,16,2020-02-04,-0.00573252633967818,5.794391079592546e-29,4.8614941157781465e-26,-1
3,4,17,2020-02-05,-0.005732897939941175,7.055587824149174e-29,5.905527008812859e-26,-1
4,5,18,2020-02-06,-0.0057420536103052425,1.6599809482958495e-27,1.36782430139578e-24,-1
5,6,19,2020-02-07,-0.00575814809084643,1.8786424640977683e-26,1.525457680847388e-23,-1
6,7,20,2020-02-08,-0.005778161155563063,4.8229454857479634e-26,3.872825225055615e-23,-1
7,8,21,2020-02-09,-0.005798680348832155,2.990026812124258e-26,2.421921717820649e-23,-1
8,9,22,2020-02-10,-0.005816305685611653,4.721292569381276e-27,3.8667386143232645e-24,-1
9,10,23,2020-02-11,-0.005827818707758153,2.626581845774861e-28,2.187942677530459e-25,-1
10,11,24,2020-02-12,-0.005830691214719631,6.971195175480555e-29,5.841861557052704e-26,-1
11,12,25,2020-02-13,-0.005823441825710865,1.6393657745917968e-27,1.3524767640382324e-24,-1
12,13,26,2020-02-14,-0.005805852469732523,9.448265971553972e-26,7.520819713356961e-23,-1
13,14,27,2020-02-15,-0.005778571162225503,2.0243071636450673e-24,1.5000116082609948e-21,-1
14,15,28,2020-02-16,-0.005742175364740236,1.7791764979775835e-23,1.2543194310741964e-20,-1
15,16,29,2020-02-17,-0.005697359098643447,8.342557669424914e-23,5.647911542200667e-20,-1
16,17,30,2020-02-18,-0.005645343126579788,2.518433748198983e-22,1.63446350258114e-19,-1
17,18,31,2020-02-19,-0.005587896499692393,5.604684441097075e-22,3.5477652512144486e-19,-1
18,19,32,2020-02-20,-0.005526802821841797,1.0320762854049126e-21,6.388552206656408e-19,-1
19,20,33,2020-02-21,-0.005463087261836519,1.751765044664181e-21,1.0685766772451504e-18,-1
20,21,34,2020-02-22,-0.00539701020738121,3.006554893988235e-21,1.8069829029336057e-18,-1
21,22,35,2020-02-23,-0.005328934474222289,5.345962928072886e-21,3.1541181275630028e-18,-1
22,23,36,2020-02-24,-0.005260109343841912,8.748100140855355e-21,5.083228137642097e-18,-1
23,24,37,2020-02-25,-0.005192404582690424,1.058092977416663e-20,6.084034620145812e-18,-1
24,25,38,2020-02-26,-0.00512820937476046,7.49077434882329e-21,4.382102994061625e-18,-1
25,26,39,2020-02-27,-0.005070507046326446,2.4791921369161e-21,1.4999112428342405e-18,-1
26,27,40,2020-02-28,-0.005022913882338129,3.1560685906723975e-22,2.032508172393024e-19,-1
27,28,41,2020-02-29,-0.004988700881784457,1.4291913592492145e-23,1.0161550564261915e-20,-1
28,29,42,2020-03-01,-0.004969619544184779,4.1163677294178555e-25,3.132555842086988e-22,-1
29,30,43,2020-03-02,-0.004966414050690105,1.5972116647534782e-25,1.2426306751782061e-22,-1
30,31,44,2020-03-03,-0.0049793330626439645,3.6488496843193866e-24,2.6673091192374715e-21,-1
31,32,45,2020-03-04,-0.0050079890142672315,1.2822455261183817e-22,8.56540011447079e-20,-1
32,33,46,2020-03-05,-0.005051559589106686,1.7226273110643028e-21,1.052525287060289e-18,-1
33,34,47,2020-03-06,-0.005108366847401253,8.931960255108519e-21,5.1716049877078324e-18,-1
34,35,48,2020-03-07,-0.0051757672979310465,2.255206704486496e-20,1.2606605478079512e-17,-1
35,36,49,2020-03-08,-0.005250682510539145,3.566389971562837e-20,1.9615144843595603e-17,-1
36,37,50,2020-03-09,-0.005331191511232913,4.5813195155226576e-20,2.477319002172553e-17,-1
37,38,51,2020-03-10,-0.005416758268658946,6.037288808421655e-20,3.217874934888742e-17,-1
38,39,52,2020-03-11,-0.005508085479142654,9.829411990994489e-20,5.003170703416195e-17,-1
39,40,53,2020-03-12,-0.005607319060649385,2.247278959636753e-19,1.062962947908184e-16,-1
40,41,54,2020-03-13,-0.005717442277544855,7.11721972623313e-19,3.095990580911411e-16,-1
41,42,55,2020-03-14,-0.005841181209446309,2.700107380901876e-18,1.0800429523607504e-15,-1
42,43,56,2020-03-15,-0.005980245801802027,1.0365299847183654e-17,3.793699744069218e-15,-1
43,44,57,2020-03-16,-0.006135977080010107,3.5704768437339e-17,1.1889687889633888e-14,-1
44,45,58,2020-03-17,-0.006309048948883372,1.0069794831179302e-16,3.1820551666526595e-14,-1
45,46,59,2020-03-18,-0.006498395574235843,2.173103443830587e-16,6.562772400368373e-14,-1
46,47,60,2020-03-19,-0.006701404577583146,3.413077361560099e-16,9.761401254061883e-14,-1
47,48,61,2020-03-20,-0.006913702287319546,3.740934912720457e-16,1.0586845802998893e-13,-1
48,49,62,2020-03-21,-0.007128666258253218,2.709495649845579e-16,7.911727297549091e-14,-1
49,50,63,2020-03-22,-0.007337686633117307,1.2264869109881756e-16,3.8143742931732265e-14,-1
50,51,64,2020-03-23,-0.007530805271912652,3.15363341001816e-17,1.0659280925861382e-14,-1
51,52,65,2020-03-24,-0.007696926053315404,3.923600648284298e-18,1.5262806521825919e-15,-1
52,53,66,2020-03-25,-0.007825596968311775,1.9495208215023905e-19,9.377195151426499e-17,-1
53,54,67,2020-03-26,-0.007910084451985124,3.794518404915999e-21,2.2672658053158434e-18,-1
54,55,68,2020-03-27,-0.007948491128169994,1.1801063131242184e-22,7.894911234801022e-20,-1
55,56,69,2020-03-28,-0.007942675342313936,2.2492996136973813e-22,1.4710419473580874e-19,-1
56,57,70,2020-03-29,-0.007896281961003745,5.7116452674648204e-21,3.3641590625367793e-18,-1
57,58,71,2020-03-30,-0.00781506353293503,8.913015744558718e-20,4.618884711520803e-17,-1
58,59,72,2020-03-31,-0.007706234535578086,5.210172174801711e-19,2.349787650835572e-16,-1
59,60,73,2020-04-01,-0.007577379703085484,1.2965618559906295e-18,5.393697320921019e-16,-1
60,61,74,2020-04-02,-0.007436392471497315,1.5991957590294178e-18,6.556702612020612e-16,-1
61,62,75,2020-04-03,-0.007291089690928034,1.1308325788794023e-18,4.726880179715902e-16,-1
62,63,76,2020-04-04,-0.007147931538479946,5.482748743511388e-19,2.4343404421190563e-16,-1
63,64,77,2020-04-05,-0.007010563184944576,2.566180579520994e-19,1.2086710529543882e-16,-1
64,65,78,2020-04-06,-0.006878414496052596,1.9562725985163658e-19,9.381207426216534e-17,-1
65,66,79,2020-04-07,-0.006745830076157315,3.727479400557921e-19,1.7146405242566437e-16,-1
66,67,80,2020-04-08,-0.006603128771151305,1.866423927750627e-18,7.559016907390039e-16,-1
67,68,81,2020-04-09,-0.006440054502646516,1.844354573287384e-17,6.52901518943734e-15,-1
68,69,82,2020-04-10,-0.0062476968044246645,2.6197546631828888e-16,7.728276256389521e-14,-1
69,70,83,2020-04-11,-0.006019296268784313,4.222536695331712e-15,1.0387440270516012e-12,-1
70,71,84,2020-04-12,-0.005751011966658468,6.265786664636043e-14,1.3910046395492016e-11,-1
71,72,85,2020-04-13,-0.0054430608385728375,7.422405470194915e-13,1.4753662322244488e-10,-1
72,73,86,2020-04-14,-0.0050994021142240905,6.52551250947244e-12,1.141964689157677e-09,-1
73,74,87,2020-04-15,-0.004725471321975579,4.2430608417566484e-11,6.443021393976645e-09,-1
74,75,88,2020-04-16,-0.004328063069394296,2.0877499383948112e-10,2.797584917449047e-08,-1
75,76,89,2020-04-17,-0.0039153674442343,8.058506272228699e-10,9.589622463952151e-08,-1
76,77,90,2020-04-18,-0.003496905109008742,2.5576549767325816e-09,2.81342047440584e-07,-1
77,78,91,2020-04-19,-0.00308144786927517,7.170445561150472e-09,7.385558927984986e-07,-1
78,79,92,2020-04-20,-0.0026749030132558493,2.003186719720713e-08,1.8629636493402632e-06,-1
79,80,93,2020-04-21,-0.002278559677076262,6.832373012929588e-08,5.670869600731559e-06,-1
80,81,94,2020-04-22,-0.0018897767043274702,3.673581855643662e-07,2.6082431175070002e-05,-1
81,82,95,2020-04-23,-0.0015049500432710802,3.864802703060123e-06,0.0002164289513713669,-1
82,83,96,2020-04-24,-0.0011200533937812016,8.547313486879419e-05,0.003504398529620562,-1
83,84,97,2020-04-25,-0.0007312683516429094,0.003417878703785227,0.09228272500220114,0
84,85,98,2020-04-26,-0.0003365843124879583,0.13372204438702004,1.0,0
85,86,99,2020-04-27,6.392179136985914e-05,0.7716595335242027,1.0,0
86,87,100,2020-04-28,0.00046877655808153456,0.05302673636516719,0.9014545182078423,0
87,88,101,2020-04-29,0.0008768136043097321,0.0017195989504541632,0.049868369563170735,1
88,89,102,2020-04-30,0.0012872764853690672,6.580431947516289e-05,0.0028295857374320043,1
