,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.30810573861401575,2.337365533715655e-08,1.3019126022796198e-05,-1
1,2,15,2020-02-03,-0.2690368843089324,4.9480957329375125e-06,0.0024295150048723184,-1
2,3,16,2020-02-04,-0.21939823906475997,0.0003129272540791109,0.13643628277849235,0
3,4,17,2020-02-05,-0.16134837050596623,0.0075048106024953164,1.0,0
4,5,18,2020-02-06,-0.09982213466743335,0.08244714101041002,1.0,0
5,6,19,2020-02-07,-0.03980735208683738,0.44929009003241915,1.0,0
6,7,20,2020-02-08,0.013147375215541953,0.7763811509420878,1.0,0
7,8,21,2020-02-09,0.05179734821653934,0.19035879992918148,1.0,0
8,9,22,2020-02-10,0.062530345086606,0.088181526848056,1.0,0
9,10,23,2020-02-11,0.7406734512060689,0.07255408114744728,1.0,0
10,11,24,2020-02-12,1.2988685162360114,0.013841595332686642,1.0,0
11,12,25,2020-02-13,1.7356164616123169,0.002962623175269159,1.0,0
12,13,26,2020-02-14,2.0598863796810525,0.0007300830476991101,0.3095552122244227,0
13,14,27,2020-02-15,2.2861822824553832,0.00021863428626692344,0.09663635452998016,0
14,15,28,2020-02-16,2.420528921229558,9.285268528005534e-05,0.04271223522882546,1
15,16,29,2020-02-17,2.462985465007709,6.869363391843944e-05,0.03166776523640058,1
16,17,30,2020-02-18,2.4120810513746167,9.88326683281981e-05,0.04526536209431473,1
17,18,31,2020-02-19,2.266015639662008,0.0002551259920348319,0.11200031050329122,0
18,19,32,2020-02-20,2.02275024354496,0.0009637525194964759,0.40284855314952694,0
19,20,33,2020-02-21,1.679774710335422,0.004386125888858322,1.0,0
20,21,34,2020-02-22,1.2335818156118281,0.02137558383690714,1.0,0
21,22,35,2020-02-23,0.678306343211835,0.10886430106296381,1.0,0
22,23,36,2020-02-24,0.0,1.0,1.0,0
23,24,37,2020-02-25,0.0,1.0,1.0,0
24,25,38,2020-02-26,0.0,1.0,1.0,0
25,26,39,2020-02-27,0.0,1.0,1.0,0
26,27,40,2020-02-28,0.0,1.0,1.0,0
27,28,41,2020-02-29,0.0,1.0,1.0,0
28,29,42,2020-03-01,0.0,1.0,1.0,0
29,30,43,2020-03-02,0.0,1.0,1.0,0
30,31,44,2020-03-03,0.0,1.0,1.0,0
31,32,45,2020-03-04,0.0,1.0,1.0,0
32,33,46,2020-03-05,0.0,1.0,1.0,0
33,34,47,2020-03-06,0.0,1.0,1.0,0
34,35,48,2020-03-07,0.0,1.0,1.0,0
35,36,49,2020-03-08,0.0,1.0,1.0,0
36,37,50,2020-03-09,0.0,1.0,1.0,0
37,38,51,2020-03-10,0.0,1.0,1.0,0
