,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.00554250664549922,3.2322772060304395e-07,6.027505533504157e-05,1
1,2,15,2020-02-03,0.006552875984481473,5.450799031773525e-08,1.2046265860219491e-05,1
2,3,16,2020-02-04,0.007571701578766771,8.62561939850507e-09,2.2599122824083284e-06,1
3,4,17,2020-02-05,0.00858588927852538,1.352151798201831e-09,4.1646275384616394e-07,1
4,5,18,2020-02-06,0.009580688063501881,2.2881248840744053e-10,8.07708084078265e-08,1
5,6,19,2020-02-07,0.010542092788573596,4.3770154811698176e-11,1.7770682853549458e-08,1
6,7,20,2020-02-08,0.011457576089298196,9.409370160519895e-12,4.187169721431353e-09,1
7,8,21,2020-02-09,0.012317308672463325,2.1885808658933154e-12,1.054895977360578e-09,1
8,9,22,2020-02-10,0.013114328260614365,5.158571638861436e-13,2.718567253679977e-10,1
9,10,23,2020-02-11,0.013843370824936566,1.1167915665684684e-13,6.365711929440269e-11,1
10,11,24,2020-02-12,0.014500034637801987,1.958657576219891e-14,1.2084917245276728e-11,1
11,12,25,2020-02-13,0.015080701880569357,2.4517999229630497e-15,1.6108325493867237e-12,1
12,13,26,2020-02-14,0.015581651390015744,1.9320247743000073e-16,1.346621267687105e-13,1
13,14,27,2020-02-15,0.015998388554710422,8.20396747344147e-18,6.038120060452922e-15,1
14,15,28,2020-02-16,0.016325634217266592,1.5672704728751456e-19,1.2350091326256148e-16,1
15,16,29,2020-02-17,0.01655870114369252,1.077339121476458e-21,8.84495418732172e-19,1
16,17,30,2020-02-18,0.01669739392579574,2.1792019134646927e-24,1.8392464149642006e-21,1
17,18,31,2020-02-19,0.016748078168245042,1.1911936250589638e-26,1.02323532392565e-23,1
18,19,32,2020-02-20,0.016718627099246892,3.6192043302441684e-25,3.079942885037787e-22,1
19,20,33,2020-02-21,0.016615999854669616,9.478820059412521e-23,7.886378289431217e-20,1
20,21,34,2020-02-22,0.016447295813164377,6.2085536986290826e-21,5.059971264382702e-18,1
21,22,35,2020-02-23,0.01622111606166179,1.3114640192402372e-19,1.0386795032382678e-16,1
22,23,36,2020-02-24,0.015944393735449248,1.32552341510345e-18,1.0140254125541392e-15,1
23,24,37,2020-02-25,0.01561877727761254,8.594102906737742e-18,6.308071533545503e-15,1
24,25,38,2020-02-26,0.015241815729813802,4.29832910722206e-17,3.099095286307105e-14,1
25,26,39,2020-02-27,0.014812634557250012,1.8363496993697596e-16,1.2854447895588317e-13,1
26,27,40,2020-02-28,0.014333285978847332,7.256606958102142e-16,4.905466303677048e-13,1
27,28,41,2020-02-29,0.01380763458662526,2.826750983240224e-15,1.840214890089386e-12,1
28,29,42,2020-03-01,0.01324130300579146,1.1243780747889648e-14,6.9936316251873605e-12,1
29,30,43,2020-03-02,0.012638857530833046,4.571039863285484e-14,2.7243397585181484e-11,1
30,31,44,2020-03-03,0.01200229441195726,1.8653926521326902e-13,1.0246790603982373e-10,1
31,32,45,2020-03-04,0.011331296205441167,7.564051533076392e-13,3.918178694133571e-10,1
32,33,46,2020-03-05,0.010622772050625413,3.0412831373236885e-12,1.4354856408167809e-09,1
33,34,47,2020-03-06,0.00987409723646779,1.217416776295968e-11,5.368807983465219e-09,1
34,35,48,2020-03-07,0.009087838292118355,4.8820722654625214e-11,1.957710978450471e-08,1
35,36,49,2020-03-08,0.008273411875070715,1.9922759000383642e-10,7.152270481137728e-08,1
36,37,50,2020-03-09,0.007442548313130503,8.481651098289109e-10,2.714128351452515e-07,1
37,38,51,2020-03-10,0.00660603544642246,3.7801181901162375e-09,1.0622132114226628e-06,1
38,39,52,2020-03-11,0.005774020227748428,1.7188235594794586e-08,4.211117720724673e-06,1
39,40,53,2020-03-12,0.00495823592086731,7.73316832105567e-08,1.639431684063802e-05,1
40,41,54,2020-03-13,0.004170119254532272,3.4012694044949797e-07,6.292348398315712e-05,1
41,42,55,2020-03-14,0.003419484057495513,1.4835309377715244e-06,0.0002373649500434439,1
42,43,56,2020-03-15,0.0027155010777221065,6.725969951159942e-06,0.0009214578833089121,1
43,44,57,2020-03-16,0.0020650006060372677,3.519757533605692e-05,0.004153313889654717,1
44,45,58,2020-03-17,0.0014715662292329155,0.00025427504547264435,0.02517322950179179,1
45,46,59,2020-03-18,0.0009374750256103076,0.003069104875785274,0.21790644618075447,0
46,47,60,2020-03-19,0.0004631689454965661,0.06084307262960762,1.0,0
47,48,61,2020-03-20,4.571325078198258e-05,0.8212271584106234,1.0,0
48,49,62,2020-03-21,-0.0003194705711202188,0.09317150146452324,1.0,0
49,50,63,2020-03-22,-0.0006390350835467388,0.0014533788543468766,0.11627030834775012,0
50,51,64,2020-03-23,-0.0009243918218588646,2.465285257952404e-05,0.0029845095013185047,-1
51,52,65,2020-03-24,-0.0011916821777401081,8.189525461972129e-07,0.00013758402776113178,-1
52,53,66,2020-03-25,-0.0014570435982028717,6.67781389385589e-08,1.4290521732851604e-05,-1
53,54,67,2020-03-26,-0.0017340100950347537,1.5925995804715537e-08,3.9496469595694535e-06,-1
54,55,68,2020-03-27,-0.002034477575808732,1.0036368297113652e-08,2.6094557572495495e-06,-1
55,56,69,2020-03-28,-0.002369053910998326,1.1211650715375024e-08,2.881394233851381e-06,-1
56,57,70,2020-03-29,-0.0027463529916659187,1.4916418011358044e-08,3.714188084828153e-06,-1
57,58,71,2020-03-30,-0.0031742655086970033,1.8200515842957603e-08,4.40452483399574e-06,-1
58,59,72,2020-03-31,-0.0036588729207251997,1.7397290628516615e-08,4.244938913358054e-06,-1
59,60,73,2020-04-01,-0.004198256491741937,1.1982588018080305e-08,3.055559944610478e-06,-1
60,61,74,2020-04-02,-0.004779255534564286,5.706040818375804e-09,1.5349249801430913e-06,-1
61,62,75,2020-04-03,-0.005379011581716731,1.8120011758628763e-09,5.454123539347258e-07,-1
62,63,76,2020-04-04,-0.005968142248971099,3.7466403558596633e-10,1.2825027521040983e-07,-1
63,64,77,2020-04-05,-0.006516134793036582,4.917771934936746e-11,1.9671087739746986e-08,-1
64,65,78,2020-04-06,-0.006997469206377559,3.9167397248473686e-12,1.817367232329179e-09,-1
65,66,79,2020-04-07,-0.007396021677001419,1.693811833429433e-13,9.366779438864765e-11,-1
66,67,80,2020-04-08,-0.007703466286954542,3.3063928779298806e-15,2.1458489777764927e-12,-1
67,68,81,2020-04-09,-0.007919608513328286,2.3394139929157662e-17,1.6984145588568464e-14,-1
68,69,82,2020-04-10,-0.008053881980003185,6.170557293813894e-20,4.948786949638743e-17,-1
69,70,83,2020-04-11,-0.00812418457657429,3.0545720556577347e-22,2.532240234140262e-19,-1
70,71,84,2020-04-12,-0.008153661141964506,5.388666014156114e-23,4.504924787834511e-20,-1
71,72,85,2020-04-13,-0.008169082656853736,7.953293057173152e-23,6.625093116625235e-20,-1
72,73,86,2020-04-14,-0.008198421204653205,8.535376534051523e-22,7.016079510990352e-19,-1
73,74,87,2020-04-15,-0.008267415073506106,8.509755028093078e-20,6.782274757390183e-17,-1
74,75,88,2020-04-16,-0.008396632516768573,8.134096835663098e-18,5.994829367883703e-15,-1
75,76,89,2020-04-17,-0.008599709650827434,2.848464596602397e-16,1.9540467132692444e-13,-1
76,77,90,2020-04-18,-0.00888390449715701,3.788499347024919e-15,2.443582078831073e-12,-1
77,78,91,2020-04-19,-0.009250538762834503,2.3425806256398416e-14,1.4383445041428628e-11,-1
78,79,92,2020-04-20,-0.009694635527875094,7.843586511225975e-14,4.557123763022292e-11,-1
79,80,93,2020-04-21,-0.010203967266246597,1.5440076403853722e-13,8.569242404138816e-11,-1
80,81,94,2020-04-22,-0.010757653638898114,1.8630528370877043e-13,1.0246790603982373e-10,-1
81,82,95,2020-04-23,-0.01132934381202089,1.413540676477776e-13,7.901692381510767e-11,-1
82,83,96,2020-04-24,-0.011892558636932239,6.75570783705924e-14,3.945333376842596e-11,-1
83,84,97,2020-04-25,-0.012420091953026537,1.8946740186724895e-14,1.1709085435395985e-11,-1
84,85,98,2020-04-26,-0.012882968121145796,2.698541116373798e-15,1.7621473489920901e-12,-1
85,86,99,2020-04-27,-0.013250720190165549,1.564724825818427e-16,1.1000015525503541e-13,-1
86,87,100,2020-04-28,-0.01349153951999758,3.4493180989460625e-18,2.590437892308493e-15,-1
87,88,101,2020-04-29,-0.01357536110164347,2.498229343622094e-19,1.9511171173688553e-16,-1
88,89,102,2020-04-30,-0.013479040826088433,6.114488931404195e-18,4.536950787101912e-15,-1
89,90,103,2020-05-01,-0.013191863744060617,1.0034050872215609e-15,6.742882186128889e-13,-1
90,91,104,2020-05-02,-0.012717584133918236,6.553316454454134e-14,3.840243442310122e-11,-1
91,92,105,2020-05-03,-0.012074918604595447,1.6433783021333358e-12,8.167590161602679e-10,-1
92,93,106,2020-05-04,-0.011296740082403157,1.9701269650887356e-11,8.432143410579789e-09,-1
93,94,107,2020-05-05,-0.01042570688245906,1.300128754586419e-10,4.810476391969751e-08,-1
94,95,108,2020-05-06,-0.009507438502684123,5.060908256711894e-10,1.705526082511908e-07,-1
95,96,109,2020-05-07,-0.008588665727711622,1.164411960796484e-09,3.6096770784691e-07,-1
96,97,110,2020-05-08,-0.007717638103015843,1.496655504801948e-09,4.5498327345979217e-07,-1
97,98,111,2020-05-09,-0.006939687968854642,9.404474069296905e-10,2.962409331828525e-07,-1
98,99,112,2020-05-10,-0.006294691587304172,2.2769117643252274e-10,8.060267645711304e-08,-1
99,100,113,2020-05-11,-0.005813141214520931,1.5195952898465425e-11,6.655827369527856e-09,-1
100,101,114,2020-05-12,-0.0055109472988261144,2.3246827258648673e-13,1.2646274028704879e-10,-1
101,102,115,2020-05-13,-0.005387423784616474,5.5409821067103506e-15,3.5448466237125045e-12,-1
102,103,116,2020-05-14,-0.005427914773815021,2.19694935832031e-14,1.3533208047253109e-11,-1
103,104,117,2020-05-15,-0.0056073876886657565,4.626097164925759e-13,2.4564575945755776e-10,-1
104,105,118,2020-05-16,-0.005892211852212982,2.7265860001319277e-12,1.2978549360627976e-09,-1
105,106,119,2020-05-17,-0.006244380377524398,4.432880967324436e-12,2.043558125936565e-09,-1
106,107,120,2020-05-18,-0.006625953342184575,2.5713350052396162e-12,1.2265267974992969e-09,-1
107,108,121,2020-05-19,-0.006999787427170678,5.844413786968595e-13,3.068317238158512e-10,-1
108,109,122,2020-05-20,-0.007329672445858045,4.955111912235272e-14,2.938381363955516e-11,-1
109,110,123,2020-05-21,-0.007582574829058238,1.355425835027479e-15,9.02713606128301e-13,-1
110,111,124,2020-05-22,-0.0077305189454703865,1.6756700292405373e-17,1.2215634513163518e-14,-1
111,112,125,2020-05-23,-0.007751317541624255,5.86571467010049e-18,4.358225999884664e-15,-1
112,113,126,2020-05-24,-0.007629611099131428,6.733742296238552e-16,4.565477276849739e-13,-1
113,114,127,2020-05-25,-0.007359381549166825,1.1429250987001632e-13,6.491814560616928e-11,-1
114,115,128,2020-05-26,-0.0069453771946720606,7.627211590959732e-12,3.439872427522839e-09,-1
115,116,129,2020-05-27,-0.00640387610949821,2.3465411282228133e-10,8.236359360062074e-08,-1
116,117,130,2020-05-28,-0.005763276646224091,3.963431037112392e-09,1.1097606903914697e-06,-1
117,118,131,2020-05-29,-0.0050611828817108675,4.0362622828892315e-08,9.162315382158555e-06,-1
