,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.00013770976454596036,0.6673389188742922,1.0,0
1,2,15,2020-02-03,0.0006663128858905038,0.025584524440084293,1.0,0
2,3,16,2020-02-04,0.001075792688152054,0.0002791136604786218,0.03684300318317808,1
3,4,17,2020-02-05,0.00138374652390978,1.4855291364134832e-06,0.0003149321769196584,1
4,5,18,2020-02-06,0.0015774119677605836,4.999652259919051e-09,1.6498852457732869e-06,1
5,6,19,2020-02-07,0.001650182292066075,1.0570288155822697e-10,4.4395210254455324e-08,1
6,7,20,2020-02-08,0.0016007550802617178,1.6712034112576205e-09,6.016332280527434e-07,1
7,8,21,2020-02-09,0.0014331500561711838,3.515939555817306e-07,8.332776747287015e-05,1
8,9,22,2020-02-10,0.0011565184704412223,5.506648275797137e-05,0.00842517186196962,1
9,10,23,2020-02-11,0.0007838431645404856,0.005563487473015056,0.47845992267929477,0
10,11,24,2020-02-12,0.0003324299985402279,0.23649934484777524,1.0,0
11,12,25,2020-02-13,-0.00017744426664096947,0.5541404847465796,1.0,0
12,13,26,2020-02-14,-0.0007250486824767212,0.03553366360418713,1.0,0
13,14,27,2020-02-15,-0.0012852254454425289,0.001329701851514475,0.14626720366659224,0
14,15,28,2020-02-16,-0.0018270488414281682,5.025331668889538e-05,0.007739010770089888,-1
15,16,29,2020-02-17,-0.0023145411972013267,1.7467417840063937e-06,0.00036378121965596744,-1
16,17,30,2020-02-18,-0.002706383411572938,4.1234663734438347e-08,1.1669409836846051e-05,-1
17,18,31,2020-02-19,-0.002960669278721022,6.032201860392762e-10,2.286204505088857e-07,-1
18,19,32,2020-02-20,-0.0030421747955738892,5.172722917642619e-11,2.2459845004186385e-08,-1
19,20,33,2020-02-21,-0.0029254856522521245,1.998730054325379e-09,7.01554249068208e-07,-1
20,21,34,2020-02-22,-0.0025980886315438013,7.258001546967958e-07,0.00015967603403329507,-1
21,22,35,2020-02-23,-0.002061596456000532,0.00016602485475963974,0.022911429956830286,-1
22,23,36,2020-02-24,-0.0013290484283721745,0.01757927806056882,1.0,0
23,24,37,2020-02-25,-0.000425478527795575,0.4662581896148531,1.0,0
24,25,38,2020-02-26,0.0006085152412387195,0.3462362163447834,1.0,0
25,26,39,2020-02-27,0.0017168417399751885,0.020195310746873005,1.0,0
26,27,40,2020-02-28,0.0028327094437058113,0.0006924664847726047,0.08026548728304927,0
27,28,41,2020-02-29,0.0038908059790694963,2.018321913404386e-05,0.003431147252787456,1
28,29,42,2020-03-01,0.004837225663264393,5.013532127353091e-07,0.00011380717929091515,1
29,30,43,2020-03-02,0.005633245246730572,9.4211552681975e-09,2.9676639094822123e-06,1
30,31,44,2020-03-03,0.006260961906437516,1.1114543673534357e-10,4.634764711863827e-08,1
31,32,45,2020-03-04,0.006719926502465407,6.24706845291011e-13,3.41089937528892e-10,1
32,33,46,2020-03-05,0.007023275792098416,1.2184654620709761e-15,8.370857724427605e-13,1
33,34,47,2020-03-06,0.007198370357363854,9.282256640292754e-19,7.444369825514789e-16,1
34,35,48,2020-03-07,0.0072849379915764,3.864770413636963e-21,3.254136688282323e-18,1
35,36,49,2020-03-08,0.007328367643548517,2.1448407751720636e-21,1.812390455020394e-18,1
36,37,50,2020-03-09,0.007377327269654431,3.960884631486251e-20,3.2716907056076433e-17,1
37,38,51,2020-03-10,0.007481013151228114,1.0631358311236583e-17,8.239302691208353e-15,1
38,39,52,2020-03-11,0.007679678203308004,2.1907063820878126e-15,1.4940617525838883e-12,1
39,40,53,2020-03-12,0.008000082676208007,1.1655499494138032e-13,6.853433702553163e-11,1
40,41,54,2020-03-13,0.008455718760449885,1.8299409457240295e-12,9.332698823192551e-10,1
41,42,55,2020-03-14,0.009049795303217667,1.1126232951435856e-11,5.2293294871748525e-09,1
42,43,56,2020-03-15,0.00977517385076029,3.195252106094909e-11,1.4218871872122344e-08,1
43,44,57,2020-03-16,0.010613037944829843,4.9832689361992795e-11,2.1727052561828857e-08,1
44,45,58,2020-03-17,0.011534120274142341,4.533581779559444e-11,1.981175237667477e-08,1
45,46,59,2020-03-18,0.012496504731823874,2.4770194505024238e-11,1.1146587527260906e-08,1
46,47,60,2020-03-19,0.013448483672976816,8.136844439545427e-12,3.8812747976631685e-09,1
47,48,61,2020-03-20,0.014337240217846079,1.5535369329923735e-12,8.016250574240647e-10,1
48,49,62,2020-03-21,0.015114233852188732,1.5734017294291916e-13,9.094261996100727e-11,1
49,50,63,2020-03-22,0.015736184116314774,7.187272635038291e-15,4.686101758044966e-12,1
50,51,64,2020-03-23,0.016169222946910054,1.2977690367096994e-16,9.603490871651776e-14,1
51,52,65,2020-03-24,0.016390818832398204,2.174505976929758e-18,1.7287322516591575e-15,1
