,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.0020405754693703535,4.802405004769259e-13,2.756580472737555e-10,-1
1,2,15,2020-02-03,-0.002159282656740935,4.907291818909547e-12,2.5419771621951456e-09,-1
2,3,16,2020-02-04,-0.002324154573914796,1.3190440210535207e-11,6.542458344425462e-09,-1
3,4,17,2020-02-05,-0.0025167188217123755,2.2254131667706353e-11,1.068198320049905e-08,-1
4,5,18,2020-02-06,-0.002736426959003142,3.205098014669826e-11,1.4935756748361388e-08,-1
5,6,19,2020-02-07,-0.002985229629828216,4.7548448480977004e-11,2.1539447161882583e-08,-1
6,7,20,2020-02-08,-0.0032693714311382714,7.211693349107587e-11,3.180356766956446e-08,-1
7,8,21,2020-02-09,-0.0035964389552309186,1.0535998951216272e-10,4.593695542730295e-08,-1
8,9,22,2020-02-10,-0.003971118916307906,1.5229362249717001e-10,6.50293768062916e-08,-1
9,10,23,2020-02-11,-0.004395725467430337,2.2312416422340093e-10,9.39352731380518e-08,-1
10,11,24,2020-02-12,-0.004874808828061799,3.1747727613229986e-10,1.2953072866197834e-07,-1
11,12,25,2020-02-13,-0.0054137451511142,4.0335537885736324e-10,1.6093879616408792e-07,-1
12,13,26,2020-02-14,-0.006012875686265073,4.3044421284948713e-10,1.708863525012464e-07,-1
13,14,27,2020-02-15,-0.006665811164184746,3.6426281066789085e-10,1.4679791269916001e-07,-1
14,15,28,2020-02-16,-0.007358333290355871,2.2996794236108726e-10,9.658653579165664e-08,-1
15,16,29,2020-02-17,-0.008070727932992662,1.0351636916499255e-10,4.5340169694266736e-08,-1
16,17,30,2020-02-18,-0.008779422626844422,3.29853437914626e-11,1.5305199519238646e-08,-1
17,18,31,2020-02-19,-0.00946190506316044,7.510639896225117e-12,3.84544762686726e-09,-1
18,19,32,2020-02-20,-0.010100138172458301,1.2124038624080123e-12,6.728841436364469e-10,-1
19,20,33,2020-02-21,-0.010677571277172199,1.3317325904720312e-13,8.043664846451068e-11,-1
20,21,34,2020-02-22,-0.011178568276636625,9.1863688181125e-15,6.06300341995425e-12,-1
21,22,35,2020-02-23,-0.0115871580847094,3.3838456726585204e-16,2.419449655950842e-13,-1
22,23,36,2020-02-24,-0.011887166063887154,4.839036270621557e-18,3.716379855837356e-15,-1
23,24,37,2020-02-25,-0.012063896545038748,2.3234214439415432e-20,1.8889416339244747e-17,-1
