,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.007920756353919768,2.1011451469378488e-16,1.5968703116727651e-13,1
1,2,15,2020-02-03,0.008115292849758347,3.7363991716681214e-20,3.097474913312873e-17,1
2,3,16,2020-02-04,0.008177742260041152,1.6918180495605836e-22,1.4414289782256172e-19,1
3,4,17,2020-02-05,0.008175596130768178,2.1550338647892223e-22,1.833933818935628e-19,1
4,5,18,2020-02-06,0.008120806309926891,5.964466491599756e-21,5.0220807859269946e-18,1
5,6,19,2020-02-07,0.008031388491294393,4.1446014571428744e-20,3.4317300065143e-17,1
6,7,20,2020-02-08,0.007932213672083957,4.5058222051207525e-20,3.7263149636348626e-17,1
7,8,21,2020-02-09,0.007849509312363003,8.512967692571647e-21,7.142379894067612e-18,1
8,9,22,2020-02-10,0.007805675478523726,7.484997723663113e-22,6.339793071942657e-19,1
9,10,23,2020-02-11,0.007815834824216371,1.8829528371351135e-21,1.591095147379171e-18,1
10,11,24,2020-02-12,0.00788697803852869,2.1414986676094618e-19,1.7560289074397586e-16,1
11,12,25,2020-02-13,0.008013358887619944,1.2352677178420723e-17,9.795673002487633e-15,1
12,13,26,2020-02-14,0.008176424058152387,1.2940573057962065e-16,9.96424125463079e-14,1
13,14,27,2020-02-15,0.008351407159804041,2.6864184225670867e-16,2.0336187458832846e-13,1
14,15,28,2020-02-16,0.008511992004586395,1.339659843072214e-16,1.0301984193225326e-13,1
15,16,29,2020-02-17,0.008632611624008154,2.1099370539457578e-17,1.6647403355632028e-14,1
16,17,30,2020-02-18,0.008683949657637085,4.168527767474313e-18,3.3389907417469243e-15,1
17,18,31,2020-02-19,0.008634945121602447,2.941344943300229e-17,2.31189712543398e-14,1
18,19,32,2020-02-20,0.008457031074770444,3.5442830296044154e-15,2.5306180831375525e-12,1
19,20,33,2020-02-21,0.008132288070799805,3.6496821160354017e-13,2.3138984615664448e-10,1
20,21,34,2020-02-22,0.007655109549117086,1.7485047552830003e-11,9.581806058950842e-09,1
21,22,35,2020-02-23,0.007028655557478509,4.678491060795804e-10,2.1801768343308448e-07,1
22,23,36,2020-02-24,0.006262315848809846,9.006869915650906e-09,3.5036723971882024e-06,1
23,24,37,2020-02-25,0.0053766007068014035,1.540516178671438e-07,4.9142466099618874e-05,1
24,25,38,2020-02-26,0.004399559099443721,2.8543016198155093e-06,0.0006850323887557222,1
25,26,39,2020-02-27,0.003357678940249044,6.78902833147563e-05,0.011428685248946477,1
26,27,40,2020-02-28,0.002269200034350639,0.0022515884548239937,0.23866837621134332,0
27,28,41,2020-02-29,0.0011422972752493305,0.08214993584906495,1.0,0
28,29,42,2020-03-01,-1.660402152393371e-05,0.9787496872473276,1.0,0
29,30,43,2020-03-02,-0.0011928321496010661,0.07549538277688152,1.0,0
