,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.002945599550605157,3.981981525303224e-17,2.847116790591805e-14,-1
1,2,15,2020-02-03,-0.0030455785998007166,1.1072365545360702e-15,7.296688894392702e-13,-1
2,3,16,2020-02-04,-0.0031718513452859034,1.6724346963171382e-14,9.783742973455259e-12,-1
3,4,17,2020-02-05,-0.003326711238271039,1.374983284778427e-13,7.411159904955722e-11,-1
4,5,18,2020-02-06,-0.0035130623575144702,6.120809004287509e-13,3.109370974178055e-10,-1
5,6,19,2020-02-07,-0.003731491971076768,1.5783341408670241e-12,7.702270607431078e-10,-1
6,7,20,2020-02-08,-0.003980841191538746,2.631774371435358e-12,1.2474610520603597e-09,-1
7,8,21,2020-02-09,-0.0042592267010804164,3.18681820851854e-12,1.4914309215866766e-09,-1
8,9,22,2020-02-10,-0.004563860725017901,3.086390184140308e-12,1.4475169963618045e-09,-1
9,10,23,2020-02-11,-0.004889711075966724,2.541130717284944e-12,1.2095782214276333e-09,-1
10,11,24,2020-02-12,-0.00523032940490303,1.820859456109915e-12,8.831168362133088e-10,-1
11,12,25,2020-02-13,-0.005577898926359115,1.1058404197762746e-12,5.496026886288085e-10,-1
12,13,26,2020-02-14,-0.0059210099739845975,5.147714935282016e-13,2.6510731916702383e-10,-1
13,14,27,2020-02-15,-0.006242987130925591,1.5432924992579637e-13,8.302913646007844e-11,-1
14,15,28,2020-02-16,-0.006521913983937205,2.3470835717730543e-14,1.3519201373412793e-11,-1
15,16,29,2020-02-17,-0.00673185556343685,1.4079250240949676e-15,9.067037155171591e-13,-1
16,17,30,2020-02-18,-0.006844841454253288,5.338755543707663e-17,3.753145147226487e-14,-1
17,18,31,2020-02-19,-0.006834114473778886,8.833190748329391e-17,6.121401188592268e-14,-1
18,19,32,2020-02-20,-0.006677708688279771,1.9846551572436002e-14,1.1510999912012882e-11,-1
19,20,33,2020-02-21,-0.006363416461120536,4.5380217520454746e-12,2.0829519841888727e-09,-1
20,21,34,2020-02-22,-0.005890631916681167,3.9470295830989035e-10,1.4011955020001108e-07,-1
21,22,35,2020-02-23,-0.005271663772682638,1.6312108456609712e-08,4.4042692832846225e-06,-1
22,23,36,2020-02-24,-0.004530787540388934,4.110336178771932e-07,8.385085804694741e-05,-1
23,24,37,2020-02-25,-0.0037016919417254992,7.605743843626075e-06,0.00120754827506182,-1
24,25,38,2020-02-26,-0.0028235160848060267,0.00012198119464036913,0.014027837383642449,-1
25,26,39,2020-02-27,-0.0019364326410047923,0.001997935964756192,0.16383074911000775,0
26,27,40,2020-02-28,-0.0010766902526236702,0.03651662503758531,1.0,0
27,28,41,2020-02-29,-0.0002734818796615127,0.5155616549635034,1.0,0
28,29,42,2020-03-01,0.00045336728231507473,0.22228220422989217,1.0,0
29,30,43,2020-03-02,0.0010944219781646814,0.0031429909292538657,0.24835083549289128,0
