,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.009211165674861818,3.331113516229749e-15,2.1285815368708095e-12,-1
1,2,15,2020-02-03,-0.008938617466566146,6.138163742285478e-19,4.910530993828382e-16,-1
2,3,16,2020-02-04,-0.008864766604691888,1.232920928245574e-20,1.0282560541568087e-17,-1
3,4,17,2020-02-05,-0.008849549370087346,5.3302885254055734e-21,4.482772649866087e-18,-1
4,5,18,2020-02-06,-0.008861548275375117,6.770201165652029e-21,5.680198777982053e-18,-1
5,6,19,2020-02-07,-0.008864923177765527,6.211846713243672e-21,5.217951239124684e-18,-1
6,7,20,2020-02-08,-0.008821321505748604,7.757673396892122e-20,6.384565205642217e-17,-1
7,8,21,2020-02-09,-0.008695093163203157,2.2949596487783607e-17,1.705155019042322e-14,-1
8,9,22,2020-02-10,-0.008457594759436715,6.076450363661745e-15,3.785628576561267e-12,-1
9,10,23,2020-02-11,-0.008089024694851232,6.256210422226705e-13,3.178154894491166e-10,-1
10,11,24,2020-02-12,-0.007577926939258981,2.985034530104021e-11,1.253714502643689e-08,-1
11,12,25,2020-02-13,-0.006928963718427288,7.888646215214612e-10,2.7531375291098997e-07,-1
12,13,26,2020-02-14,-0.006167278301769837,1.2727367925618429e-08,3.7291188022062e-06,-1
13,14,27,2020-02-15,-0.005333569400111034,1.325590968184573e-07,3.2742096914158955e-05,-1
14,15,28,2020-02-16,-0.004479383812428926,9.113555756463391e-07,0.00018956195973443855,-1
15,16,29,2020-02-17,-0.0036622065025066343,3.991049698846972e-06,0.0007183889457924549,-1
16,17,30,2020-02-18,-0.002939653287747935,9.666968514014256e-06,0.0016047167733263664,-1
17,18,31,2020-02-19,-0.0023635499086270646,9.78251611910475e-06,0.0016141151596522837,-1
18,19,32,2020-02-20,-0.0019728875276298053,2.782197438443414e-06,0.000517488723550475,-1
19,20,33,2020-02-21,-0.0017948896078677173,3.898570567548813e-07,8.537869542931901e-05,-1
20,21,34,2020-02-22,-0.0018475065487558704,8.754783532185013e-07,0.00018385045417588527,-1
21,22,35,2020-02-23,-0.002139782856636404,7.382048236820565e-06,0.0012623302484963165,-1
22,23,36,2020-02-24,-0.002670417383839955,1.705199711666474e-05,0.0026430595530830344,-1
23,24,37,2020-02-25,-0.003421105298972327,1.2978002408509192e-05,0.00208945838776998,-1
24,25,38,2020-02-26,-0.0043555534981685054,5.176492155666066e-06,0.0009161551484286344,-1
25,26,39,2020-02-27,-0.005426342790186765,1.4250877777774195e-06,0.00028786773111103876,-1
26,27,40,2020-02-28,-0.0065807325765243185,3.0590340666633014e-07,7.005188012658961e-05,-1
27,28,41,2020-02-29,-0.0077637247883712915,5.318933953960614e-08,1.3882417619837202e-05,-1
28,29,42,2020-03-01,-0.008921500053728432,7.453279861147175e-09,2.2434372382052998e-06,-1
29,30,43,2020-03-02,-0.010007640764202698,8.15286588826604e-10,2.8371973291165816e-07,-1
30,31,44,2020-03-03,-0.010989866759701589,6.553432386940967e-11,2.6803538462588556e-08,-1
31,32,45,2020-03-04,-0.011850618539399782,3.6016737192687806e-12,1.6855833006177893e-09,-1
32,33,46,2020-03-05,-0.01258452681306842,1.3189386509805158e-13,7.337346883946402e-11,-1
33,34,47,2020-03-06,-0.01319777621551784,3.4188299154881807e-15,2.1812134860814593e-12,-1
34,35,48,2020-03-07,-0.013711474875681856,9.087785791104956e-17,6.552293555386673e-14,-1
35,36,49,2020-03-08,-0.014159819594544097,7.632366389076584e-18,5.792966089309127e-15,-1
36,37,50,2020-03-09,-0.014583466954401353,7.387287561808933e-18,5.621725834536598e-15,-1
37,38,51,2020-03-10,-0.015019966350344867,4.676627192935452e-17,3.4419976140004924e-14,-1
38,39,52,2020-03-11,-0.015507181631068102,4.89665752303483e-16,3.367702834485537e-13,-1
39,40,53,2020-03-12,-0.016088360905904306,4.703885000127374e-15,2.9540397800799913e-12,-1
40,41,54,2020-03-13,-0.016803361454748887,3.4547289314076706e-14,2.0210164248734873e-11,-1
41,42,55,2020-03-14,-0.01767673425434981,1.738047614494072e-13,9.628783784297158e-11,-1
42,43,56,2020-03-15,-0.018709854940473815,5.553676012594333e-13,2.849035794460893e-10,-1
43,44,57,2020-03-16,-0.019884878293595924,1.1197615238714422e-12,5.52042431268621e-10,-1
44,45,58,2020-03-17,-0.02116964539710127,1.457005291594502e-12,7.051905611317389e-10,-1
45,46,59,2020-03-18,-0.0225238802884955,1.2567776115546701e-12,6.175913983041546e-10,-1
46,47,60,2020-03-19,-0.023904591307838025,7.300382300138911e-13,3.6866930615701504e-10,-1
47,48,61,2020-03-20,-0.025266363399025358,2.8930873016639015e-13,1.5535878809935152e-10,-1
48,49,62,2020-03-21,-0.026569649100662007,7.801793382923086e-14,4.439220434883236e-11,-1
49,50,63,2020-03-22,-0.027779084684850845,1.3587914903684511e-14,8.19351268692176e-12,-1
50,51,64,2020-03-23,-0.02885218381544819,1.338356820302362e-15,8.87330571860466e-13,-1
51,52,65,2020-03-24,-0.02973526129502687,6.102922095900899e-17,4.4307214416240525e-14,-1
52,53,66,2020-03-25,-0.030373506960366354,1.011329928013489e-18,8.050186226987372e-16,-1
53,54,67,2020-03-26,-0.030730178999281665,7.672031207526082e-21,6.429162151906857e-18,-1
54,55,68,2020-03-27,-0.030784687007160073,2.0151845833277896e-21,1.7088765266619655e-18,-1
55,56,69,2020-03-28,-0.030526501535921534,2.763910173772119e-19,2.233239420407872e-16,-1
56,57,70,2020-03-29,-0.029952481448747164,4.792488317567415e-17,3.52247891341205e-14,-1
57,58,71,2020-03-30,-0.02906548120390437,2.9497346460914887e-15,1.892930788542524e-12,-1
58,59,72,2020-03-31,-0.027873475857983502,8.343843107781962e-14,4.7059275127890264e-11,-1
59,60,73,2020-04-01,-0.02638640650784127,1.4142760243356042e-12,6.85923871802768e-10,-1
60,61,74,2020-04-02,-0.02461409141881452,1.7472427231193328e-11,7.548088563875518e-09,-1
61,62,75,2020-04-03,-0.022573901633758216,1.7799110123062709e-10,6.83485828725608e-08,-1
62,63,76,2020-04-04,-0.020300137462332002,1.6333408479064298e-09,5.471691840486539e-07,-1
63,64,77,2020-04-05,-0.0178378366379712,1.4812846803181334e-08,4.3105384197257685e-06,-1
64,65,78,2020-04-06,-0.015228965092335373,1.4677684250919304e-07,3.58135495722431e-05,-1
65,66,79,2020-04-07,-0.012508299210838198,1.7595102732985918e-06,0.0003466235238398226,-1
66,67,80,2020-04-08,-0.009705289715848147,2.8274681595631014e-05,0.004071554149770866,-1
67,68,81,2020-04-09,-0.006847754397632064,0.000675489011576806,0.07092634621556462,0
68,69,82,2020-04-10,-0.003952164016229119,0.023055417055231266,1.0,0
69,70,83,2020-04-11,-0.0010276388013420136,0.5119710933940562,1.0,0
70,71,84,2020-04-12,0.0019077076530674177,0.23237435922769592,1.0,0
71,72,85,2020-04-13,0.004822902926759794,0.007497876258718282,0.5998301006974626,0
72,73,86,2020-04-14,0.007677874715983087,0.0002197256983566909,0.02702626089787298,1
73,74,87,2020-04-15,0.010433344791320229,9.541466470539616e-06,0.0015934249005801159,1
74,75,88,2020-04-16,0.013059782948644086,5.796597537991887e-07,0.0001234675275592272,1
75,76,89,2020-04-17,0.015535352790388101,4.281549366771057e-08,1.1346105821943301e-05,1
76,77,90,2020-04-18,0.01784026742363089,3.4626812454400456e-09,1.0976699548044945e-06,1
77,78,91,2020-04-19,0.019959195317213255,2.8860151835025373e-10,1.0678256178959388e-07,1
78,79,92,2020-04-20,0.0218794087300792,2.3693651381224466e-11,1.0069801837020399e-08,1
79,80,93,2020-04-21,0.023583578046138455,1.8124648824161798e-12,8.717956084421825e-10,1
80,81,94,2020-04-22,0.02504559406119744,1.2061590971949284e-13,6.730367762347701e-11,1
81,82,95,2020-04-23,0.026236477395431435,6.419504479188803e-15,3.992931786055435e-12,1
82,83,96,2020-04-24,0.027133571893202504,2.2726885005394073e-16,1.5977000158792034e-13,1
83,84,97,2020-04-25,0.027724771548429873,4.248617725453497e-18,3.2884301195010065e-15,1
84,85,98,2020-04-26,0.02800380930395723,9.59723685489501e-20,7.869734221013909e-17,1
85,86,99,2020-04-27,0.027965571745576005,2.000247796803125e-19,1.6302019543945469e-16,1
86,87,100,2020-04-28,0.027608849074116704,1.984578915955272e-17,1.480495871302633e-14,1
87,88,101,2020-04-29,0.026945356178405187,1.4106700987142229e-15,9.296315950526728e-13,1
88,89,102,2020-04-30,0.026002137052584185,3.627016242293364e-14,2.1181774854993247e-11,1
89,90,103,2020-05-01,0.02481833571663365,4.038828566476229e-13,2.116346168833544e-10,1
90,91,104,2020-05-02,0.023447087980691134,2.304835556404521e-12,1.0947968892921474e-09,1
91,92,105,2020-05-03,0.021958063206081808,7.457148263582678e-12,3.4153739047208665e-09,1
92,93,106,2020-05-04,0.020424254516016857,1.488427541688105e-11,6.504428357177019e-09,1
93,94,107,2020-05-05,0.018906558980876672,2.0076794664075273e-11,8.612944910888292e-09,1
94,95,108,2020-05-06,0.01744920003600347,2.0160819631245186e-11,8.62883080217294e-09,1
95,96,109,2020-05-07,0.01608254937469101,1.6885265013288685e-11,7.3282050157672895e-09,1
96,97,110,2020-05-08,0.01482128677723498,1.3266864809649296e-11,5.850687381055339e-09,1
97,98,111,2020-05-09,0.013664547155930296,1.1113677596459797e-11,4.967813885617529e-09,1
98,99,112,2020-05-10,0.012601992210369917,1.1205984997307073e-11,4.997869308798954e-09,1
99,100,113,2020-05-11,0.011618262787137713,1.4442906519677177e-11,6.325993055618604e-09,1
100,101,114,2020-05-12,0.010697003251001605,2.2645334311118754e-11,9.646912416536588e-09,1
101,102,115,2020-05-13,0.00982863304116831,3.877337459064373e-11,1.6013403705935862e-08,1
102,103,116,2020-05-14,0.009008035175074596,6.703049968990252e-11,2.722599028911278e-08,1
103,104,117,2020-05-15,0.008227144271288064,1.10869237777361e-10,4.3904218159834956e-08,1
104,105,118,2020-05-16,0.007480649822157022,1.6833505021472974e-10,6.51456644331004e-08,1
105,106,119,2020-05-17,0.006773136880028115,2.343135337311961e-10,8.833620221666093e-08,1
106,107,120,2020-05-18,0.006112542555078364,3.0952434881941746e-10,1.1390496036554562e-07,1
107,108,121,2020-05-19,0.005504989398274705,3.8371558785525167e-10,1.389050428036011e-07,1
108,109,122,2020-05-20,0.004955229127072205,4.117681155020051e-10,1.4782475346521984e-07,1
109,110,123,2020-05-21,0.004467832341773644,3.4564686872474713e-10,1.261611070845327e-07,1
110,111,124,2020-05-22,0.004050073533143525,1.9970368747788967e-10,7.648651230403175e-08,1
111,112,125,2020-05-23,0.003707644533548762,6.561190377675399e-11,2.6803538462588556e-08,1
112,113,126,2020-05-24,0.00344891315355584,8.507583132943528e-12,3.870950325489305e-09,1
113,114,127,2020-05-25,0.003287909373586211,3.0795827504391453e-13,1.6444971887345037e-10,1
114,115,128,2020-05-26,0.0032422928335020884,3.676579608175521e-14,2.1434459115663288e-11,1
115,116,129,2020-05-27,0.003332944991926481,2.119554820299371e-12,1.0110276492828e-09,1
116,117,130,2020-05-28,0.003576747775661233,2.2933340519740752e-10,8.668802716462004e-08,1
117,118,131,2020-05-29,0.00398246255008602,4.521172558930764e-09,1.4151270109453292e-06,1
118,119,132,2020-05-30,0.004553453721372189,2.3825749680971563e-08,6.575906911948151e-06,1
119,120,133,2020-05-31,0.005287859578202874,5.108381987418761e-08,1.3383960807037152e-05,1
120,121,134,2020-06-01,0.006172180333855443,5.753050126359687e-08,1.4900399827271588e-05,1
121,122,135,2020-06-02,0.007181908853358976,3.941709219198492e-08,1.0524363615259973e-05,1
122,123,136,2020-06-03,0.008289926745386374,1.8303955553139145e-08,5.198323377091517e-06,1
123,124,137,2020-06-04,0.009469562146353082,6.347544931740453e-09,1.9296536592490976e-06,1
124,125,138,2020-06-05,0.010695257983574449,1.7729677151328928e-09,5.886252814241204e-07,1
125,126,139,2020-06-06,0.011940697558022706,4.3442913534209056e-10,1.5509120131712634e-07,1
126,127,140,2020-06-07,0.013184682200020352,1.023464263712316e-10,4.0631531269378946e-08,1
127,128,141,2020-06-08,0.014411180461049852,2.4699492884382818e-11,1.0472584982978314e-08,1
128,129,142,2020-06-09,0.015601195816758178,6.180560527866104e-12,2.849238403346274e-09,1
129,130,143,2020-06-10,0.016731700478082846,1.5250373190687475e-12,7.36593025110205e-10,1
130,131,144,2020-06-11,0.01777621093326221,3.4038400659078927e-13,1.8006313948652753e-10,1
131,132,145,2020-06-12,0.018710304880917177,6.215092721208803e-14,3.561248129252644e-11,1
132,133,146,2020-06-13,0.0195182917664333,8.180269498713575e-15,5.022685472210135e-12,1
133,134,147,2020-06-14,0.020192159956664693,6.427613227325315e-16,4.3772046078085397e-13,1
134,135,148,2020-06-15,0.0207206488783486,2.276136848240717e-17,1.6934458150910933e-14,1
135,136,149,2020-06-16,0.02108543931414342,2.8056873934726246e-19,2.264189726532408e-16,1
136,137,150,2020-06-17,0.0212697145372267,2.762442715382925e-21,2.3370265372139544e-18,1
137,138,151,2020-06-18,0.021264518503780156,3.3284436952043955e-21,2.8125349224477143e-18,1
138,139,152,2020-06-19,0.021069961132530013,2.7293109542929973e-19,2.2080125620230348e-16,1
139,140,153,2020-06-20,0.020697101297095007,1.3788601227586488e-17,1.036902812314504e-14,1
140,141,154,2020-06-21,0.02017068820161166,2.461065125215413e-16,1.7252066527760044e-13,1
141,142,155,2020-06-22,0.019524144988594585,2.0713600100541228e-15,1.350526726555288e-12,1
142,143,156,2020-06-23,0.018789094816718314,1.056345739415062e-14,6.412018638249427e-12,1
143,144,157,2020-06-24,0.017988394367000272,3.888025542752756e-14,2.258942840339351e-11,1
144,145,158,2020-06-25,0.017133554130107965,1.1717298533626569e-13,6.561687178830878e-11,1
145,146,159,2020-06-26,0.01622923194214807,3.175041744324352e-13,1.6891222079805553e-10,1
146,147,160,2020-06-27,0.015281795699838847,8.321233649341714e-13,4.160616824670857e-10,1
147,148,161,2020-06-28,0.01429845876610016,2.3445319640346796e-12,1.111308150952438e-09,1
148,149,162,2020-06-29,0.013282304013690703,7.860141825150764e-12,3.5920848140938992e-09,1
149,150,163,2020-06-30,0.012234472498383964,3.2388434007426885e-11,1.3441200113082158e-08,1
150,151,164,2020-07-01,0.011158261453610936,1.5643894983641093e-10,6.101119043620027e-08,1
151,152,165,2020-07-02,0.010058578877348717,8.160889763693634e-10,2.8371973291165816e-07,1
152,153,166,2020-07-03,0.008938444016237652,4.374400259395802e-09,1.3735616814502817e-06,1
153,154,167,2020-07-04,0.0077991335752397905,2.4240602623909124e-08,6.6661657215750095e-06,1
154,155,168,2020-07-05,0.00664043873818021,1.5039036175443522e-07,3.6244077182818886e-05,1
155,156,169,2020-07-06,0.00546116419426305,1.2118999392445857e-06,0.0002472275876058955,1
156,157,170,2020-07-07,0.0042596493018374195,1.5473293972458487e-05,0.002460253741620899,1
157,158,171,2020-07-08,0.003033053310239301,0.00037686266472850314,0.04258548111432085,1
158,159,172,2020-07-09,0.0017758242899806897,0.016608389133414607,1.0,0
159,160,173,2020-07-10,0.00048219811451671293,0.48181818011044397,1.0,0
160,161,174,2020-07-11,-0.0008507175481872808,0.24537851673708228,1.0,0
161,162,175,2020-07-12,-0.0022279437804399883,0.01022005400274682,0.7665040502060114,0
162,163,176,2020-07-13,-0.00365829424206027,0.0004599138613828277,0.05105043861349388,0
163,164,177,2020-07-14,-0.005147208122282992,3.1896936683258844e-05,0.004561261945706015,-1
164,165,178,2020-07-15,-0.006691279689147826,3.1580832568428564e-06,0.0005779292360022427,-1
165,166,179,2020-07-16,-0.008278307260620283,4.0429405366556976e-07,8.81361036990942e-05,-1
166,167,180,2020-07-17,-0.009891632327030284,6.272537864591128e-08,1.618314769064511e-05,-1
167,168,181,2020-07-18,-0.011514566971412359,1.1431629399304029e-08,3.3951939315932964e-06,-1
168,169,182,2020-07-19,-0.013131573213024907,2.3805402652440133e-09,7.689145056738162e-07,-1
169,170,183,2020-07-20,-0.014729036584666804,5.46582182432656e-10,1.9458325694602552e-07,-1
170,171,184,2020-07-21,-0.016294035671285602,1.3226957684736135e-10,5.1849674124165646e-08,-1
171,172,185,2020-07-22,-0.017810671869377206,3.182233423585301e-11,1.3238091042114852e-08,-1
172,173,186,2020-07-23,-0.019257832164915622,7.054503826481315e-12,3.2380172563549237e-09,-1
173,174,187,2020-07-24,-0.020603319719423557,1.3037212974498078e-12,6.349122718580564e-10,-1
174,175,188,2020-07-25,-0.021802309113128086,1.7466238837997974e-13,9.65883007741288e-11,-1
175,176,189,2020-07-26,-0.022803653467961683,1.3906091504086116e-14,8.371467085459841e-12,-1
176,177,190,2020-07-27,-0.023560346100730583,5.121432820205907e-16,3.513302914661252e-13,-1
177,178,191,2020-07-28,-0.024036232751394354,8.62294529654473e-18,6.527569589484361e-15,-1
