,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.009622122358213525,4.907315617163187e-13,2.3702334430898194e-10,1
1,2,15,2020-02-03,0.009059112040526342,1.0646129979226247e-12,4.939804310360978e-10,1
2,3,16,2020-02-04,0.008490852335208094,2.151688254625508e-12,9.725630910907296e-10,1
3,4,17,2020-02-05,0.007916175536260834,4.378409834541777e-12,1.926500327198382e-09,1
4,5,18,2020-02-06,0.0073350114346979805,1.0396052515926004e-11,4.324757846625218e-09,1
5,6,19,2020-02-07,0.006743973862891179,3.26153576106448e-11,1.2785220183372762e-08,1
6,7,20,2020-02-08,0.006137453010026802,1.4504735096855758e-10,5.1201714891900824e-08,1
7,8,21,2020-02-09,0.005509513878653431,9.05946896543723e-10,2.926208475836225e-07,1
8,9,22,2020-02-10,0.004855601581008738,7.521627693944872e-09,2.1286206373863987e-06,1
9,10,23,2020-02-11,0.0041735718235203605,7.898259123502372e-08,1.911378707887574e-05,1
10,11,24,2020-02-12,0.00346466381188845,1.0210879354026145e-06,0.00020932302675753597,1
11,12,25,2020-02-13,0.002734570920577456,1.6146406334382063e-05,0.002470400169160456,1
12,13,26,2020-02-14,0.0019944267957455923,0.0003167484202737531,0.0357925714909341,1
13,14,27,2020-02-15,0.0012601824950684629,0.0076294683070236465,0.5416922497986789,0
14,15,28,2020-02-16,0.0005507237205883233,0.16852645204413677,1.0,0
15,16,29,2020-02-17,-0.00011363899907638819,0.7487273361662388,1.0,0
16,17,30,2020-02-18,-0.0007140184724506377,0.038916790958879864,1.0,0
17,18,31,2020-02-19,-0.001235131204350221,0.0005040325597753237,0.05342745133618431,0
18,19,32,2020-02-20,-0.0016642239155940644,4.4235886025253225e-06,0.0007741280054419314,-1
19,20,33,2020-02-21,-0.0019908272880935505,2.90963517178948e-08,7.623244150088438e-06,-1
20,21,34,2020-02-22,-0.0022070869041391017,1.0945277486167179e-10,3.91840934004785e-08,-1
21,22,35,2020-02-23,-0.0023081126602966648,6.203228259491717e-13,2.958939879777549e-10,-1
22,23,36,2020-02-24,-0.0022927943457144665,1.7862357626369459e-12,8.145235077624473e-10,-1
23,24,37,2020-02-25,-0.0021652449884863663,3.741917257926187e-10,1.2535422814052727e-07,-1
24,25,38,2020-02-26,-0.0019341893254721067,5.656051385303071e-08,1.4083567949404646e-05,-1
25,26,39,2020-02-27,-0.0016119904654428338,4.829439890074468e-06,0.0008306636610928085,-1
26,27,40,2020-02-28,-0.0012140804890423006,0.0003070651492349584,0.03500542701278526,-1
27,28,41,2020-02-29,-0.0007588665740396548,0.015389789755791356,0.954166964859064,0
28,29,42,2020-03-01,-0.00026716774693851274,0.364079358703168,1.0,0
29,30,43,2020-03-02,0.0002395016038718986,0.4163345558465984,1.0,0
30,31,44,2020-03-03,0.0007405670804134882,0.018925227014005678,1.0,0
31,32,45,2020-03-04,0.0012180303634022672,0.0004041307420345522,0.04405025088176619,1
32,33,46,2020-03-05,0.0016583186979670043,7.938505865835594e-06,0.0013177919737287086,1
33,34,47,2020-03-06,0.0020535267617117783,1.7205680196519694e-07,3.95730644519953e-05,1
34,35,48,2020-03-07,0.002401509079652146,4.3809113273336915e-09,1.2836070189087716e-06,1
35,36,49,2020-03-08,0.002704916437278801,1.477064613182853e-10,5.199267438403642e-08,1
36,37,50,2020-03-09,0.002969688102534761,8.170509137457642e-12,3.4397843468696673e-09,1
37,38,51,2020-03-10,0.0032028170592523597,9.305351163288369e-13,4.3549043444189564e-10,1
38,39,52,2020-03-11,0.003411392790658901,2.1918612694909928e-13,1.0959306347454964e-10,1
39,40,53,2020-03-12,0.0036015020896914738,8.115751825980754e-14,4.2688854604658766e-11,1
40,41,54,2020-03-13,0.0037755568694703523,3.108178874054912e-14,1.6815247708637074e-11,1
41,42,55,2020-03-14,0.0039316782270235155,8.184411137367575e-15,4.697851992848988e-12,1
42,43,56,2020-03-15,0.0040638230556243335,1.05223346870321e-15,6.355490150967388e-13,1
43,44,57,2020-03-16,0.0041627206712272075,5.051520380712507e-17,3.36431257355453e-14,1
44,45,58,2020-03-17,0.004217211322586541,1.4510592092274138e-18,1.0636264003636944e-15,1
45,46,59,2020-03-18,0.004216427449620894,1.5756528123156575e-18,1.1518022058027457e-15,1
46,47,60,2020-03-19,0.004151498002284553,2.4371325559842774e-16,1.5573277032739533e-13,1
47,48,61,2020-03-20,0.004017286472424544,4.175176547726605e-14,2.2337194530337337e-11,1
48,49,62,2020-03-21,0.003811776262311647,2.8859450650675244e-12,1.298675279280386e-09,1
49,50,63,2020-03-22,0.0035350111688757808,1.0551765420948366e-10,3.798635551541412e-08,1
50,51,64,2020-03-23,0.0031880202611314326,2.799793915811827e-09,8.483375564909836e-07,1
51,52,65,2020-03-24,0.00277148279218097,7.077203946578931e-08,1.7268377629652593e-05,1
52,53,66,2020-03-25,0.002286252720474175,2.138859894864052e-06,0.0004037278345109056,1
53,54,67,2020-03-26,0.0017346122312418954,9.240669047299293e-05,0.012105276451962074,1
54,55,68,2020-03-27,0.0011179016490215112,0.0058068745620301725,0.43551559215226293,0
55,56,69,2020-03-28,0.0004353493528157811,0.25909410901571933,1.0,0
56,57,70,2020-03-29,-0.00031466947878771803,0.4502672578140783,1.0,0
57,58,71,2020-03-30,-0.0011327218853373817,0.024544689107215474,1.0,0
58,59,72,2020-03-31,-0.002018158546296685,0.0011979599099817486,0.11260823153828436,0
59,60,73,2020-04-01,-0.0029680743765844544,8.922862330288825e-05,0.011867406899284137,-1
60,61,74,2020-04-02,-0.003975215502530382,9.624362614251725e-06,0.001578395468737283,-1
61,62,75,2020-04-03,-0.005026672248129277,1.314623028903349e-06,0.0002602953597228631,-1
62,63,76,2020-04-04,-0.006104675882733577,2.0395037643907711e-07,4.6092785075231426e-05,-1
63,64,77,2020-04-05,-0.007188199031900759,3.315111784017982e-08,8.586139520606574e-06,-1
64,65,78,2020-04-06,-0.008254108951492128,5.290178489667359e-09,1.534151762003534e-06,-1
65,66,79,2020-04-07,-0.00927917608713483,7.780684406148302e-10,2.544283800810495e-07,-1
66,67,80,2020-04-08,-0.010239966814879074,9.866507068033308e-11,3.5815420656960906e-08,-1
67,68,81,2020-04-09,-0.011112485660315294,1.0080531819755245e-11,4.203581768837937e-09,-1
68,69,82,2020-04-10,-0.011874770508130876,7.668649289933568e-13,3.604265166268777e-10,-1
69,70,83,2020-04-11,-0.012509975079293321,3.875259276268595e-14,2.0810142313562355e-11,-1
70,71,84,2020-04-12,-0.013008209742660206,1.0957440570555575e-15,6.607336664045012e-13,-1
71,72,85,2020-04-13,-0.013366888665239357,1.3840333484196243e-17,9.563670437579604e-15,-1
72,73,86,2020-04-14,-0.013592422326272308,6.865780349134545e-20,5.2248588456913885e-17,-1
73,74,87,2020-04-15,-0.013699492902257504,4.577923282880252e-22,3.6806503194357226e-19,-1
74,75,88,2020-04-16,-0.013708595027013272,2.65179051725016e-22,2.1426467379381293e-19,-1
75,76,89,2020-04-17,-0.013643463733079014,2.7144471116471357e-21,2.1471276653128843e-18,-1
76,77,90,2020-04-18,-0.01352844728969774,1.3586114470688155e-20,1.0597169287136762e-17,-1
77,78,91,2020-04-19,-0.013386415282467631,1.914834754930376e-20,1.4782524308062504e-17,-1
78,79,92,2020-04-20,-0.013236981104313022,8.079494070792274e-21,6.326243857430351e-18,-1
79,80,93,2020-04-21,-0.013096928277183114,1.0231030377667442e-21,8.1643622413786185e-19,-1
80,81,94,2020-04-22,-0.01297877611057357,3.480952728782323e-23,2.8857098121605455e-20,-1
81,82,95,2020-04-23,-0.012888532062348372,2.5090879573192184e-25,2.115161148020101e-22,-1
82,83,96,2020-04-24,-0.012824523037446653,2.87154502308767e-28,2.4465563596706945e-25,-1
83,84,97,2020-04-25,-0.012776708389642519,5.625822431993267e-31,4.855084758810189e-28,-1
84,85,98,2020-04-26,-0.01272800968057399,1.6095423297472898e-28,1.37776823426368e-25,-1
85,86,99,2020-04-27,-0.01265655681740407,7.555892543556518e-25,6.354505629131032e-22,-1
86,87,100,2020-04-28,-0.0125420688865577,6.18870326603123e-22,4.950962612824984e-19,-1
87,88,101,2020-04-29,-0.012369135405091767,1.1643907403027642e-19,8.802793996688898e-17,-1
88,89,102,2020-04-30,-0.01212920631305974,7.135878091370083e-18,5.037929932507279e-15,-1
89,90,103,2020-05-01,-0.011820587891697295,1.8482868320631603e-16,1.1939932935128015e-13,-1
90,91,104,2020-05-02,-0.011447851726352373,2.376109281235429e-15,1.4042805852101386e-12,-1
91,92,105,2020-05-03,-0.011020990804591367,1.6534684098874853e-14,9.143680306677794e-12,-1
92,93,106,2020-05-04,-0.010554318665445794,6.437111711869613e-14,3.411669207290895e-11,-1
93,94,107,2020-05-05,-0.010066725849663748,1.4035726259601935e-13,7.158220392396987e-11,-1
94,95,108,2020-05-06,-0.009581269479955036,1.6588374770942903e-13,8.39371763409711e-11,-1
95,96,109,2020-05-07,-0.009123339298350547,9.890755474092822e-14,5.15308360200236e-11,-1
96,97,110,2020-05-08,-0.008719536873815313,2.6000393558236348e-14,1.4170214489238809e-11,-1
97,98,111,2020-05-09,-0.008396021125074954,2.3790493052058718e-15,1.4042805852101386e-12,-1
98,99,112,2020-05-10,-0.008176321809027585,5.924322896882147e-17,3.9337504035297456e-14,-1
99,100,113,2020-05-11,-0.00807816199769004,1.3350746817834093e-18,9.799448164290225e-16,-1
100,101,114,2020-05-12,-0.008111801339922921,7.463765683979691e-18,5.254491041521703e-15,-1
101,102,115,2020-05-13,-0.008277959219096496,8.324688588711761e-16,5.061410661936751e-13,-1
102,103,116,2020-05-14,-0.008566863737901631,2.7485560579742524e-14,1.492465939480019e-11,-1
103,104,117,2020-05-15,-0.008959028674891345,2.2194272112651334e-13,1.1074941784213016e-10,-1
104,105,118,2020-05-16,-0.009428204275491734,5.958133624550657e-13,2.847987872535214e-10,-1
105,106,119,2020-05-17,-0.009943984577759492,6.594178228563176e-13,3.132234658567509e-10,-1
106,107,120,2020-05-18,-0.01047326499657678,3.3443300574493347e-13,1.6505658445756839e-10,-1
107,108,121,2020-05-19,-0.010982256655525331,7.939824803634739e-14,4.184287671515507e-11,-1
108,109,122,2020-05-20,-0.011439826696897809,8.354285367593156e-15,4.787005515630878e-12,-1
109,110,123,2020-05-21,-0.01181919792145207,3.398471927859585e-16,2.120646482984381e-13,-1
110,111,124,2020-05-22,-0.012100065389132232,4.302734379589621e-18,3.085060550165758e-15,-1
111,112,125,2020-05-23,-0.012269629506733161,1.7908245795172222e-20,1.3878890491258472e-17,-1
112,113,126,2020-05-24,-0.012325527133573305,6.007525630644084e-22,4.812028030145911e-19,-1
113,114,127,2020-05-25,-0.012278142465650515,7.861654602075726e-21,6.163537208027369e-18,-1
114,115,128,2020-05-26,-0.01214704044809999,2.2180606505695817e-19,1.6657635485777558e-16,-1
115,116,129,2020-05-27,-0.011954679560534044,2.0092791330637718e-18,1.4667737671365533e-15,-1
116,117,130,2020-05-28,-0.011718773319550563,7.64188859166071e-18,5.372247679937479e-15,-1
117,118,131,2020-05-29,-0.01145078061254407,1.7895803742406396e-17,1.2240729759805975e-14,-1
118,119,132,2020-05-30,-0.011156295812073256,3.682313350327321e-17,2.4708322580696323e-14,-1
119,120,133,2020-05-31,-0.010836164565161734,9.196009548697208e-17,6.041778273494066e-14,-1
120,121,134,2020-06-01,-0.010488033570098294,3.33771580857934e-16,2.0860723803620875e-13,-1
121,122,135,2020-06-02,-0.01010813322137537,1.7190389039959901e-15,1.027985264589602e-12,-1
122,123,136,2020-06-03,-0.009692376491000576,1.1173719500913888e-14,6.324325237517261e-12,-1
123,124,137,2020-06-04,-0.009238944949933757,7.827762455275415e-14,4.133058576385419e-11,-1
124,125,138,2020-06-05,-0.00874702922036271,5.314553049762681e-13,2.5616145699856125e-10,-1
125,126,139,2020-06-06,-0.008213164210975645,3.3377692285262477e-12,1.4919828451512328e-09,-1
126,127,140,2020-06-07,-0.007630357995735987,1.9937589065740808e-11,7.994973215362064e-09,-1
127,128,141,2020-06-08,-0.006988929641639942,1.2887743793406262e-10,4.600924534246036e-08,-1
128,129,142,2020-06-09,-0.006276196322404456,1.1260995844166854e-09,3.547213690912559e-07,-1
129,130,143,2020-06-10,-0.0054757768857261815,1.7072861691744126e-08,4.67796410353789e-06,-1
130,131,144,2020-06-11,-0.0045692870851640295,5.12537558895958e-07,0.0001086579624859431,-1
131,132,145,2020-06-12,-0.003542314943461188,2.9227506112067416e-05,0.004267215892361843,-1
132,133,146,2020-06-13,-0.0023896115296993233,0.002456164048693826,0.21123010818766905,0
133,134,147,2020-06-14,-0.0011165426819186453,0.14007189827445626,1.0,0
134,135,148,2020-06-15,0.00025966636935709084,0.7433907582306083,1.0,0
135,136,149,2020-06-16,0.0017118835898108078,0.05936131107112232,1.0,0
136,137,150,2020-06-17,0.003206808223080452,0.0024626189181790902,0.21123010818766905,0
137,138,151,2020-06-18,0.0047043290848255296,0.0001013331215427101,0.012970639557466893,1
138,139,152,2020-06-19,0.006159949766912875,4.436234986525943e-06,0.0007741280054419314,1
139,140,153,2020-06-20,0.007527771495874396,1.9080213596829673e-07,4.350288700077165e-05,1
140,141,154,2020-06-21,0.0087636292887991,7.3665593379347e-09,2.0994694113113893e-06,1
141,142,155,2020-06-22,0.009831607497260822,2.370641253870439e-10,8.164604559902655e-08,1
142,143,156,2020-06-23,0.010710103181434566,5.987678608447386e-12,2.562726444415481e-09,1
143,144,157,2020-06-24,0.011394967498666612,1.0967051939274297e-13,5.669965852604812e-11,1
144,145,158,2020-06-25,0.011896435061061182,1.2655588591492831e-15,7.593353154895699e-13,1
145,146,159,2020-06-26,0.012233882093267813,7.203816771420169e-18,5.078690823851219e-15,1
146,147,160,2020-06-27,0.012430273487290942,1.787983603939978e-20,1.3874752766574229e-17,1
147,148,161,2020-06-28,0.01250994865488414,1.3657158333159176e-22,1.1144241199857888e-19,1
148,149,162,2020-06-29,0.012497835463665683,3.091137096322736e-22,2.4914564996361255e-19,1
149,150,163,2020-06-30,0.012419607557416643,4.427080844189966e-21,3.484112624377503e-18,1
150,151,164,2020-07-01,0.012301999595557353,1.825972605632244e-20,1.4114768241537245e-17,1
151,152,165,2020-07-02,0.012171766544564448,1.6656956426154574e-20,1.2959112099548258e-17,1
152,153,166,2020-07-03,0.01205312280439076,3.520647042701196e-21,2.7742698696485427e-18,1
153,154,167,2020-07-04,0.011964730431063652,2.0305190042589112e-22,1.648781431458236e-19,1
154,155,168,2020-07-05,0.011916160627843881,8.654649091592705e-24,7.226631991479908e-21,1
155,156,169,2020-07-06,0.011908281578156083,4.259699117226494e-24,3.573887559353029e-21,1
156,157,170,2020-07-07,0.011933368009276597,2.1847961359673216e-23,1.819935181260779e-20,1
157,158,171,2020-07-08,0.011976658256148846,6.504775617385715e-23,5.3339160062562864e-20,1
158,159,172,2020-07-09,0.012016059513117305,4.2476517206513227e-23,3.504312669537341e-20,1
159,160,173,2020-07-10,0.01202200551659503,3.0531399729066876e-23,2.5371593174854574e-20,1
160,161,174,2020-07-11,0.011959262314435233,2.789258454276932e-21,2.2035141788787762e-18,1
161,162,175,2020-07-12,0.011790531461396568,2.662192877476089e-18,1.9327520290476407e-15,1
162,163,176,2020-07-13,0.011482566659056902,1.0173580351439014e-15,6.155016112620604e-13,1
163,164,177,2020-07-14,0.011009486600342523,1.3364607781957088e-13,6.829314576580071e-11,1
164,165,178,2020-07-15,0.010355801861373878,8.068810790894649e-12,3.405038153757542e-09,1
165,166,179,2020-07-16,0.009518684960676189,2.8622225477362567e-10,9.731556662303273e-08,1
