,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.004841623304742978,1.294613826982088e-10,4.103925831533219e-08,-1
1,2,15,2020-02-03,-0.005347719626116615,2.3950825426371164e-11,8.310936422950795e-09,-1
2,3,16,2020-02-04,-0.005804176545175432,1.6509581349668448e-11,5.979274434112178e-09,-1
3,4,17,2020-02-05,-0.006271542110697438,1.0845672017535723e-11,4.056281334558361e-09,-1
4,5,18,2020-02-06,-0.006748234126535166,6.224002071329491e-12,2.4149128036758425e-09,-1
5,6,19,2020-02-07,-0.007232620745874794,3.017315843118445e-12,1.2099436530904965e-09,-1
6,7,20,2020-02-08,-0.007721719401804083,1.2553855262430521e-12,5.31028077600811e-10,-1
7,8,21,2020-02-09,-0.008211331507175235,4.721147802137329e-13,2.0773050329404244e-10,-1
8,9,22,2020-02-10,-0.008697491401199377,1.7332012381502723e-13,8.163377831687783e-11,-1
9,10,23,2020-02-11,-0.009176599553538793,6.772619036593867e-14,3.3524464231139643e-11,-1
10,11,24,2020-02-12,-0.009647230942384025,2.9898270836313e-14,1.5457406022373823e-11,-1
11,12,25,2020-02-13,-0.010110470091442237,1.5292056876967766e-14,8.120082201669885e-12,-1
12,13,26,2020-02-14,-0.01056775746216312,8.952497813853955e-15,4.84330131729499e-12,-1
13,14,27,2020-02-15,-0.011019315712747469,5.5983428704976415e-15,3.140670350349177e-12,-1
14,15,28,2020-02-16,-0.011463428908710509,3.324219470410759e-15,1.914750414956597e-12,-1
15,16,29,2020-02-17,-0.011897102240336084,1.6737679947783969e-15,9.975657248879246e-13,-1
16,17,30,2020-02-18,-0.012314206232041658,6.581501357385746e-16,4.060786337507005e-13,-1
17,18,31,2020-02-19,-0.012707335436356479,1.9631150399959722e-16,1.277987891037378e-13,-1
18,19,32,2020-02-20,-0.01307022618785803,4.4717807863267713e-17,3.0586980578475116e-14,-1
19,20,33,2020-02-21,-0.013400732807727071,8.14375676566004e-18,5.871648628040889e-15,-1
20,21,34,2020-02-22,-0.013701192078523904,1.324637905496687e-18,9.974523428390053e-16,-1
21,22,35,2020-02-23,-0.013975811836366989,2.3122287388555113e-19,1.7827283576575992e-16,-1
22,23,36,2020-02-24,-0.014229706236995725,5.529119502115771e-20,4.356946167667228e-17,-1
23,24,37,2020-02-25,-0.014466081331483686,2.1830911693555764e-20,1.746472935484461e-17,-1
24,25,38,2020-02-26,-0.014684554644404485,1.2961385889612036e-20,1.0459838412916914e-17,-1
25,26,39,2020-02-27,-0.014881944215037078,7.83723177633482e-21,6.3638322023838735e-18,-1
26,27,40,2020-02-28,-0.015051242314516747,2.9298889405670606e-21,2.417158375967825e-18,-1
27,28,41,2020-02-29,-0.015181153348394665,4.491855769958008e-22,3.7641751352248103e-19,-1
28,29,42,2020-03-01,-0.015256244570734165,3.4063988353095255e-23,2.8886262123424774e-20,-1
29,30,43,2020-03-02,-0.015259022510032078,2.858478591435014e-23,2.426848324128327e-20,-1
30,31,44,2020-03-03,-0.015172133935968,3.3319710713795277e-21,2.7422121917453513e-18,-1
31,32,45,2020-03-04,-0.014982088462595662,6.911294146079716e-19,5.266406139312744e-16,-1
32,33,46,2020-03-05,-0.014683754094005715,4.6087544206298014e-17,3.1477792692901544e-14,-1
33,34,47,2020-03-06,-0.014282019584766287,1.0458319009415102e-15,6.285449724658476e-13,-1
34,35,48,2020-03-07,-0.013790052693772507,1.0229412838808179e-14,5.493194694439992e-12,-1
35,36,49,2020-03-08,-0.01322432565765287,5.275811800468669e-14,2.6273542766333972e-11,-1
36,37,50,2020-03-09,-0.012603029994347323,1.683900228038356e-13,7.964848078621424e-11,-1
37,38,51,2020-03-10,-0.011944455211850585,3.7938096857966526e-13,1.6996267392369004e-10,-1
38,39,52,2020-03-11,-0.011263462239755712,6.902552851159069e-13,3.0070303037421e-10,-1
39,40,53,2020-03-12,-0.010571925127042341,1.1709118035666489e-12,4.976375165158258e-10,-1
40,41,54,2020-03-13,-0.009875326396917029,2.2051698349558823e-12,8.975041228270441e-10,-1
41,42,55,2020-03-14,-0.009171499646343038,5.609968948628762e-12,2.1991078278624746e-09,-1
42,43,56,2020-03-15,-0.008454302619900553,2.1586105573977616e-11,7.598309162040121e-09,-1
43,44,57,2020-03-16,-0.007716407490898801,1.2009957730347805e-10,3.843186473711298e-08,-1
44,45,58,2020-03-17,-0.006952405694139065,8.330671438034297e-10,2.390902702715843e-07,-1
45,46,59,2020-03-18,-0.006159942972460685,6.230421868993632e-09,1.607448842200357e-06,-1
46,47,60,2020-03-19,-0.005344943811896953,4.5743332195211906e-08,9.926303086360984e-06,-1
47,48,61,2020-03-20,-0.0045219825165239355,3.1698200777970203e-07,5.959261746258398e-05,-1
48,49,62,2020-03-21,-0.0037134331079513466,2.0259843178516284e-06,0.0003322614281276671,-1
49,50,63,2020-03-22,-0.00294490296845736,1.1666848041462958e-05,0.0016216918777633511,-1
50,51,64,2020-03-23,-0.0022407665778771237,5.957012563092128e-05,0.007148415075710554,-1
51,52,65,2020-03-24,-0.0016195440564816617,0.0002765542288116327,0.02737886865235164,-1
