,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.0035338728911737086,2.7307841469714614e-18,1.3380842320160162e-15,-1
1,2,15,2020-02-03,-0.0034574607620818086,2.2070217849437525e-18,1.1035108924718762e-15,-1
2,3,16,2020-02-04,-0.0033876573184589832,2.5417474252422e-18,1.2556232280696468e-15,-1
3,4,17,2020-02-05,-0.0033187302162455846,1.9474585180156395e-18,9.83466551597898e-16,-1
4,5,18,2020-02-06,-0.0032531717846880854,1.0179626501327283e-18,5.446100178210097e-16,-1
5,6,19,2020-02-07,-0.0031932286839009187,3.5681554849187895e-19,1.9829579019973924e-16,-1
6,7,20,2020-02-08,-0.0031407916794688874,7.808503262927448e-20,4.692910461019396e-17,-1
7,8,21,2020-02-09,-0.0030974565374976264,9.204505764536345e-21,5.826452148951506e-18,-1
8,9,22,2020-02-10,-0.003064454392090507,4.738044126062701e-22,3.226608049848699e-19,-1
9,10,23,2020-02-11,-0.003042521964851993,9.088169632826955e-24,6.652540171229331e-21,-1
10,11,24,2020-02-12,-0.0030317545294311844,1.5978929141757494e-25,1.2335733297436786e-22,-1
11,12,25,2020-02-13,-0.0030316963910187755,1.549009951664027e-25,1.200482712539621e-22,-1
12,13,26,2020-02-14,-0.003041656241258881,5.4707594017848136e-24,4.026478919713623e-21,-1
13,14,27,2020-02-15,-0.003060557855196795,1.3029074963844839e-22,9.120352474691387e-20,-1
14,15,28,2020-02-16,-0.003086636173833706,9.567854752936188e-22,6.439166248726054e-19,-1
15,16,29,2020-02-17,-0.0031175210852428833,2.426455677356751e-21,1.5941813800233854e-18,-1
16,17,30,2020-02-18,-0.0031504681911739543,2.3716791219909816e-21,1.5605648622700659e-18,-1
17,18,31,2020-02-19,-0.0031824096828764865,8.834868372133011e-22,5.95470128281765e-19,-1
18,19,32,2020-02-20,-0.003210078332545046,1.1230847763835055e-22,7.895285977976044e-20,-1
19,20,33,2020-02-21,-0.0032304322901410836,4.185782589819867e-24,3.0974791164667014e-21,-1
20,21,34,2020-02-22,-0.0032409769548419343,1.0099843537971062e-25,7.877877959617429e-23,-1
21,22,35,2020-02-23,-0.003240124779162167,1.5872377439705762e-25,1.2269347760892555e-22,-1
22,23,36,2020-02-24,-0.0032269735365010287,1.7874863897100032e-23,1.2894000162541142e-20,-1
23,24,37,2020-02-25,-0.0032010402037465587,1.6105004314227187e-21,1.0742037877589533e-18,-1
24,25,38,2020-02-26,-0.0031622922566206806,5.455046673654829e-20,3.3112133309084817e-17,-1
25,26,39,2020-02-27,-0.003111444461043486,7.948362215228632e-19,4.2841672340082326e-16,-1
26,27,40,2020-02-28,-0.0030502406347687363,5.720512461455151e-18,2.64287675719228e-15,-1
27,28,41,2020-02-29,-0.0029813267748281125,2.232234401069008e-17,9.732541988660875e-15,-1
28,29,42,2020-03-01,-0.002907930692729665,4.913896994691443e-17,2.0451672718125214e-14,-1
29,30,43,2020-03-02,-0.0028336179329068556,6.156758917031992e-17,2.5365846738171805e-14,-1
30,31,44,2020-03-03,-0.002761926077929745,4.362706439614394e-17,1.8323367046380456e-14,-1
31,32,45,2020-03-04,-0.0026961031006650805,1.6712887970841947e-17,7.420522259053825e-15,-1
32,33,46,2020-03-05,-0.002639299705062142,3.0189859533911724e-18,1.4672271733481098e-15,-1
33,34,47,2020-03-06,-0.002594666310769744,1.9570544032223616e-19,1.1353981251348947e-16,-1
34,35,48,2020-03-07,-0.002565153531846043,3.528125432363173e-21,2.3038659073331517e-18,-1
35,36,49,2020-03-08,-0.0025535207967887657,1.0926698353384297e-22,7.70332233913593e-20,-1
36,37,50,2020-03-09,-0.0025615314591642675,1.677938383911451e-21,1.1175069636850263e-18,-1
37,38,51,2020-03-10,-0.0025889893246766127,1.9322386578161534e-19,1.1245628988490013e-16,-1
38,39,52,2020-03-11,-0.0026332954764217596,5.4026058204376074e-18,2.5122117065034876e-15,-1
39,40,53,2020-03-12,-0.0026895678082445793,3.472353318454939e-17,1.475750160343349e-14,-1
40,41,54,2020-03-13,-0.002751051806072411,6.164970595487475e-17,2.5365846738171805e-14,-1
41,42,55,2020-03-14,-0.002809938233091392,3.267690399461947e-17,1.4018391813691755e-14,-1
42,43,56,2020-03-15,-0.0028584068500281594,5.2280383104178395e-18,2.446721929275549e-15,-1
43,44,57,2020-03-16,-0.0028889653420655424,3.5664710467579e-19,1.9829579019973924e-16,-1
44,45,58,2020-03-17,-0.0028947759742616857,1.422838362431764e-19,8.337832803850137e-17,-1
45,46,59,2020-03-18,-0.0028702871055565978,5.352259179253521e-18,2.494152777532141e-15,-1
46,47,60,2020-03-19,-0.002811890422800334,6.157164097968868e-16,2.278150716248481e-13,-1
47,48,61,2020-03-20,-0.002718371337420009,3.224840719259781e-14,1.0079132418600692e-11,-1
