,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.004950239278725388,5.826724492375083e-11,1.9228190824837775e-08,-1
1,2,15,2020-02-03,-0.005353532181567544,5.564010870023743e-12,2.1977842936593785e-09,-1
2,3,16,2020-02-04,-0.005723895803886636,4.1960528676202355e-13,1.9511645834434095e-10,-1
3,4,17,2020-02-05,-0.006054567784149854,3.59463539183942e-14,1.92312993463409e-11,-1
4,5,18,2020-02-06,-0.006351144299614826,4.654966987110481e-15,2.7091907864983e-12,-1
5,6,19,2020-02-07,-0.006623801163267785,1.2804765123733017e-15,7.913344846467004e-13,-1
6,7,20,2020-02-08,-0.006883384461617889,7.41659439450758e-16,4.694704251723298e-13,-1
7,8,21,2020-02-09,-0.007139470204799643,7.606022450747954e-16,4.79940016642196e-13,-1
8,9,22,2020-02-10,-0.00739953407311642,1.0666683751992214e-15,6.613343926235173e-13,-1
9,10,23,2020-02-11,-0.007666004440956094,1.4650615947742255e-15,9.024779423809229e-13,-1
10,11,24,2020-02-12,-0.007934153423879077,1.411877866701126e-15,8.711286437545948e-13,-1
11,12,25,2020-02-13,-0.008198393567302814,7.919653483423229e-16,4.973542387589788e-13,-1
12,13,26,2020-02-14,-0.008452044542293485,2.486646727362082e-16,1.6138337260579912e-13,-1
13,14,27,2020-02-15,-0.00868490746487495,4.489609833072158e-17,3.021507417657563e-14,-1
14,15,28,2020-02-16,-0.008890865337589622,5.121463460462636e-18,3.636239056928472e-15,-1
15,16,29,2020-02-17,-0.009068625714739653,3.769570985576118e-19,2.8196390972109363e-16,-1
16,17,30,2020-02-18,-0.009214334300626927,1.3551658279255279e-20,1.0732913357170182e-17,-1
17,18,31,2020-02-19,-0.009318087938951114,1.4022276860514434e-22,1.1596422963645437e-19,-1
18,19,32,2020-02-20,-0.009363035232361264,8.136360375444348e-25,6.956588121004917e-22,-1
19,20,33,2020-02-21,-0.00933105162876784,1.1618484522315894e-22,9.631723668999876e-20,-1
20,21,34,2020-02-22,-0.009198089485834903,7.400429828087759e-19,5.461517213128766e-16,-1
21,22,35,2020-02-23,-0.008938913477787316,7.710013920119336e-16,4.849598755755062e-13,-1
22,23,36,2020-02-24,-0.008529348033256699,2.42008151451023e-13,1.1737395345374616e-10,-1
23,24,37,2020-02-25,-0.007949783162735365,3.417188770725343e-11,1.1823473146709686e-08,-1
24,25,38,2020-02-26,-0.0071814771208655774,2.8587761030637818e-09,6.946825930444989e-07,-1
25,26,39,2020-02-27,-0.006211520372834087,1.7922397875756633e-07,3.315643607014977e-05,-1
26,27,40,2020-02-28,-0.005038189083907614,1.0203401933895077e-05,0.0013366456533402552,-1
27,28,41,2020-02-29,-0.0036746227571981495,0.0005815599534037839,0.051758835852936766,0
28,29,42,2020-03-01,-0.0021532436263485603,0.02913290392956604,1.0,0
29,30,43,2020-03-02,-0.000519190010878397,0.5814827732086201,1.0,0
30,31,44,2020-03-03,0.00118172862216055,0.22991712455790933,1.0,0
31,32,45,2020-03-04,0.002902728018490846,0.008564212811434062,0.4795959174403075,0
32,33,46,2020-03-05,0.004599728518449223,0.00023855052364080376,0.023139400793157964,1
33,34,47,2020-03-06,0.006233634568150166,8.131984007837388e-06,0.0011222137930815596,1
34,35,48,2020-03-07,0.0077757342133926806,3.615454398919881e-07,6.271380283099595e-05,1
35,36,49,2020-03-08,0.009209826088613008,2.049627056304198e-08,4.3452093593649e-06,1
