,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.010686729841518097,1.2666230927726949e-14,9.841661430843839e-12,1
1,2,15,2020-02-03,0.010355822101341531,9.119860998420059e-18,7.514765462698128e-15,1
2,3,16,2020-02-04,0.010267298361290752,1.3329133508653871e-18,1.1103168212708674e-15,1
3,4,17,2020-02-05,0.010321963761490147,1.2621529539039714e-18,1.0526355635559121e-15,1
4,5,18,2020-02-06,0.010448244597574752,9.890711047356215e-20,8.298306568731864e-17,1
5,6,19,2020-02-07,0.01058061895025578,4.448417154351078e-22,3.7767061640440654e-19,1
6,7,20,2020-02-08,0.010678689063309392,2.321524079029778e-24,1.996510707965609e-21,1
7,8,21,2020-02-09,0.010734337529424117,3.528502331212647e-24,3.0274550001804514e-21,1
8,9,22,2020-02-10,0.010762863007445288,1.872222435818391e-23,1.6026224050605427e-20,1
9,10,23,2020-02-11,0.010786134463616374,6.553205016603348e-23,5.59643708417926e-20,1
10,11,24,2020-02-12,0.01081796238632679,1.5268114087399957e-22,1.3008433202464763e-19,1
11,12,25,2020-02-13,0.010859051103229937,1.3309024312626303e-22,1.1352597738670235e-19,1
12,13,26,2020-02-14,0.009661006680701212,1.3076504170866536e-08,8.34280966101285e-06,1
13,14,27,2020-02-15,0.008341903397053617,2.0541048754640914e-06,0.0011626233595126757,1
14,15,28,2020-02-16,0.006940254504880354,5.553775553446697e-05,0.028657481855784955,1
15,16,29,2020-02-17,0.005496911204757273,0.0007206564194684019,0.32789867085812285,0
16,17,30,2020-02-18,0.0040566691830778365,0.006224808009387674,1.0,0
17,18,31,2020-02-19,0.0026696637981574447,0.04099629892124155,1.0,0
18,19,32,2020-02-20,0.0013916763007448272,0.2109220767112363,1.0,0
19,20,33,2020-02-21,0.00028160883331189885,0.7605856187176171,1.0,0
20,21,34,2020-02-22,-0.0006043792342511734,0.43273587705319483,1.0,0
21,22,35,2020-02-23,-0.001214722003974264,0.07246582626618829,1.0,0
22,23,36,2020-02-24,-0.0015022014336351518,0.02029182285187959,1.0,0
23,24,37,2020-02-25,-0.0014231922079369417,0.028002683939311174,1.0,0
24,25,38,2020-02-26,-0.0009363980151214868,0.10886430106296381,1.0,0
25,26,39,2020-02-27,0.0,1.0,1.0,0
26,27,40,2020-02-28,0.0,1.0,1.0,0
27,28,41,2020-02-29,0.0,1.0,1.0,0
28,29,42,2020-03-01,0.0,1.0,1.0,0
29,30,43,2020-03-02,0.0,1.0,1.0,0
30,31,44,2020-03-03,0.0,1.0,1.0,0
31,32,45,2020-03-04,0.0,1.0,1.0,0
32,33,46,2020-03-05,0.0,1.0,1.0,0
33,34,47,2020-03-06,-0.00331025547692125,0.10886430106296381,1.0,0
34,35,48,2020-03-07,-0.006481526369043602,0.0207131365826575,1.0,0
35,36,49,2020-03-08,-0.009268825084544371,0.0038808617185626367,1.0,0
36,37,50,2020-03-09,-0.011523065913449253,0.0007174761237973377,0.327169112451586,0
37,38,51,2020-03-10,-0.017761562192854283,0.00040139740877089295,0.18945957693986148,0
38,39,52,2020-03-11,-0.022725790181031515,6.259742876776875e-05,0.03211248095786537,-1
39,40,53,2020-03-12,-0.02639868326920602,7.409251068426592e-06,0.004060269585497773,-1
40,41,54,2020-03-13,-0.02876983034213494,1.001603568907493e-06,0.000580930069966346,-1
41,42,55,2020-03-14,-0.0298323926868039,3.071361211398943e-07,0.00018428167268393658,-1
42,43,56,2020-03-15,-0.029581607487200075,4.148749676063411e-07,0.0002460208557905603,-1
43,44,57,2020-03-16,-0.028014000846259057,2.0352174375698745e-06,0.0011539682871021188,-1
44,45,58,2020-03-17,-0.025126943433366182,1.6735848783887096e-05,0.008903471553027936,-1
45,46,59,2020-03-18,-0.02091838419679525,0.00013007499673394233,0.06477734837350328,0
46,47,60,2020-03-19,-0.015386682687361455,0.0006024791289660802,0.2771403993243969,0
47,48,61,2020-03-20,-0.012350024566211938,0.003306045558217272,1.0,0
48,49,62,2020-03-21,-0.008924292733764914,0.017130360166762996,1.0,0
49,50,63,2020-03-22,-0.00494856667615378,0.08790268543837247,1.0,0
50,51,64,2020-03-23,-0.0003120863730113436,2.4447704879574967e-06,0.001378850555208028,-1
51,52,65,2020-03-24,0.002660627853405166,0.14079534610599306,1.0,0
52,53,66,2020-03-25,0.004265085285826365,0.03428526452410711,1.0,0
53,54,67,2020-03-26,0.0051672981762129104,0.012069120683323557,1.0,0
54,55,68,2020-03-27,0.0055719819578133835,0.0068273955969176845,1.0,0
55,56,69,2020-03-28,0.005567572947500738,0.006874336894923161,1.0,0
56,57,70,2020-03-29,0.00520522079683533,0.012013446081302578,1.0,0
57,58,71,2020-03-30,0.004521572827330677,0.030900137285633955,1.0,0
58,59,72,2020-03-31,0.0035467831673052456,0.09402884597669026,1.0,0
59,60,73,2020-04-01,0.0023077850853929723,0.27884445358553334,1.0,0
60,61,74,2020-04-02,0.0008297914964042764,0.6959794537535885,1.0,0
61,62,75,2020-04-03,-0.0008629516576709011,0.6788260487950615,1.0,0
62,63,76,2020-04-04,-0.002746758960529499,0.16842849441283173,1.0,0
