,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.00011118158184231706,0.3656716042432191,1.0,0
1,2,15,2020-02-03,0.0003026308310302053,0.0038430778666879123,1.0,0
2,3,16,2020-02-04,0.0004223367881970993,1.7680384376367107e-05,0.006753906831772235,1
3,4,17,2020-02-05,0.0004974005884404689,4.153763905934395e-08,1.8401174103289367e-05,1
4,5,18,2020-02-06,0.000528173407154763,5.025284651399357e-10,2.477465333139883e-07,1
5,6,19,2020-02-07,0.0005173439573925984,2.5977033816871924e-09,1.2235182927746676e-06,1
6,7,20,2020-02-08,0.00046945747466851326,1.810006806278392e-07,7.656328790557597e-05,1
7,8,21,2020-02-09,0.00038995296590110573,1.166300702280721e-05,0.004478594696757969,1
8,9,22,2020-02-10,0.00028511035898260936,0.0006782611639069288,0.23806966853133202,0
9,10,23,2020-02-11,0.00016192984867952013,0.03633229447128573,1.0,0
10,11,24,2020-02-12,2.718384652985364e-05,0.714959888167324,1.0,0
11,12,25,2020-02-13,-0.00011329937383975174,0.15712644481751664,1.0,0
12,13,26,2020-02-14,-0.00025501712479275205,0.005700775103166938,1.0,0
13,14,27,2020-02-15,-0.00039401884127622056,0.00020243203878310954,0.0742925582334012,0
14,15,28,2020-02-16,-0.0005266467232688975,8.744436473752755e-06,0.003392841351816069,-1
15,16,29,2020-02-17,-0.000649252467569216,3.9641054032832605e-07,0.0001645103742362553,-1
16,17,30,2020-02-18,-0.0007576806747177423,1.555355582715714e-08,7.061314345529341e-06,-1
17,18,31,2020-02-19,-0.0008479318553163723,4.0349015021606006e-10,2.001311145071658e-07,-1
18,19,32,2020-02-20,-0.0009169072469842778,5.242991084511618e-12,2.8731591143123667e-09,-1
19,20,33,2020-02-21,-0.0009636525638250092,2.7999260060865864e-14,1.780752939871069e-11,-1
20,21,34,2020-02-22,-0.0009897481895161922,1.046534534895133e-16,7.597840723338666e-14,-1
21,22,35,2020-02-23,-0.0009991937648884072,4.809554080235038e-18,3.636022884657689e-15,-1
22,23,36,2020-02-24,-0.0009973112919461004,7.668354668359252e-18,5.766602710606157e-15,-1
23,24,37,2020-02-25,-0.0009898293294279049,1.2879636212668336e-17,9.608208614650578e-15,-1
24,25,38,2020-02-26,-0.0009822797450305739,6.3544177283328475e-18,4.791230967162967e-15,-1
25,26,39,2020-02-27,-0.00097978482987238,3.289427896347032e-18,2.499965201223744e-15,-1
26,27,40,2020-02-28,-0.0009870293498116512,3.3376427349939725e-17,2.4665179811605457e-14,-1
27,28,41,2020-02-29,-0.001007865808969042,2.2784821212676552e-15,1.5630387351896115e-12,-1
28,29,42,2020-03-01,-0.0010458368966476759,1.0290418747375693e-13,6.400640460867681e-11,-1
29,30,43,2020-03-02,-0.0011039316316307987,1.749867952092897e-12,9.974247326929512e-10,-1
30,31,44,2020-03-03,-0.0011825313584022416,1.090331176452013e-11,5.88778835284087e-09,-1
31,32,45,2020-03-04,-0.001278180338780275,2.8003007312845066e-11,1.475758485386935e-08,-1
32,33,46,2020-03-05,-0.0013858402803744955,3.581890433906154e-11,1.8625830256312e-08,-1
33,34,47,2020-03-06,-0.0015009894777405996,2.7388240991269543e-11,1.4460991243390318e-08,-1
34,35,48,2020-03-07,-0.0016197514491277465,1.4048380295310863e-11,7.501835077696002e-09,-1
35,36,49,2020-03-08,-0.001739102984176807,5.204474914826215e-12,2.857256728239592e-09,-1
36,37,50,2020-03-09,-0.0018567530554964376,1.4780144353144968e-12,8.45826780318405e-10,-1
37,38,51,2020-03-10,-0.0019712041579094818,3.3682505914581944e-13,2.0310551066492913e-10,-1
38,39,52,2020-03-11,-0.0020807583618587264,6.34655793978047e-14,3.991984944121915e-11,-1
39,40,53,2020-03-12,-0.002181045777865724,9.11466016502511e-15,5.878955806441196e-12,-1
40,41,54,2020-03-13,-0.002264649206289466,7.650859175443166e-16,5.416808296213762e-13,-1
41,42,55,2020-03-14,-0.0023219879769452154,2.7287901548611097e-17,2.0220335047520824e-14,-1
42,43,56,2020-03-15,-0.002343525758907297,1.643109345203643e-18,1.256978649080787e-15,-1
43,44,57,2020-03-16,-0.002321144409569177,6.941875015354095e-17,5.0675687612084893e-14,-1
44,45,58,2020-03-17,-0.0022483077187044663,6.154273622811365e-14,3.87719238237116e-11,-1
45,46,59,2020-03-18,-0.002120519068047291,1.951064371871571e-11,1.0360151814638041e-08,-1
46,47,60,2020-03-19,-0.0019378809329277714,2.0176353696501426e-09,9.62412071323118e-07,-1
47,48,61,2020-03-20,-0.0017054036507475631,9.562550050133404e-08,4.121459071607497e-05,-1
48,49,62,2020-03-21,-0.0014309580472920344,2.773902230058249e-06,0.001104013087563183,-1
49,50,63,2020-03-22,-0.0011243927129574443,6.20560911224082e-05,0.02320897807978067,-1
50,51,64,2020-03-23,-0.0007977659064676731,0.0012843772913696384,0.4379726563570467,0
51,52,65,2020-03-24,-0.00046470559009342724,0.02720039617917672,1.0,0
52,53,66,2020-03-25,-0.0001389680984533347,0.4320092962284924,1.0,0
53,54,67,2020-03-26,0.00016849966165644205,0.2909637120069276,1.0,0
54,55,68,2020-03-27,0.00045161010318136414,0.005463119857782403,1.0,0
