,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.006827838439798967,7.165011277999928e-15,4.320501800633957e-12,-1
1,2,15,2020-02-03,-0.006576778161484508,6.678201875579214e-19,5.042042416062307e-16,-1
2,3,16,2020-02-04,-0.00651208110648277,2.024252426153546e-20,1.623155671693631e-17,-1
3,4,17,2020-02-05,-0.006500506132440853,6.698168876393612e-21,5.418818621002432e-18,-1
4,5,18,2020-02-06,-0.006549307230896528,3.0938344770628496e-19,2.372971043907206e-16,-1
5,6,19,2020-02-07,-0.006662599281636938,2.2721141804136967e-17,1.6177452964545522e-14,-1
6,7,20,2020-02-08,-0.006842400713657276,5.962171329521814e-16,3.899260049507266e-13,-1
7,8,21,2020-02-09,-0.0070907166206324555,6.648864827188967e-15,4.035860950103703e-12,-1
8,9,22,2020-02-10,-0.007409985340369127,4.183987620370253e-14,2.3179291416851203e-11,-1
9,10,23,2020-02-11,-0.00780280205488061,1.8026401683386055e-13,9.31964967031059e-11,-1
10,11,24,2020-02-12,-0.00827184416704575,5.836730203082425e-13,2.8571279296970915e-10,-1
11,12,25,2020-02-13,-0.008817689957606458,1.4838671695276287e-12,6.899982338303474e-10,-1
12,13,26,2020-02-14,-0.00943742295072614,3.0195217827445607e-12,1.3436871933213295e-09,-1
13,14,27,2020-02-15,-0.0101257877944085,4.872855480713298e-12,2.109946423148858e-09,-1
14,15,28,2020-02-16,-0.010875496500029277,6.016661844079462e-12,2.57513126926601e-09,-1
15,16,29,2020-02-17,-0.011674431131642873,5.475841305234465e-12,2.35461176125082e-09,-1
16,17,30,2020-02-18,-0.01250152177055615,3.5116571381802268e-12,1.5556641122138404e-09,-1
17,18,31,2020-02-19,-0.013326728717171304,1.5049194191246366e-12,6.982826104738313e-10,-1
18,19,32,2020-02-20,-0.014114856007355224,4.0276741273186955e-13,2.0057817154047103e-10,-1
19,20,33,2020-02-21,-0.014830210818880044,6.201327934874935e-14,3.3797237245068396e-11,-1
20,21,34,2020-02-22,-0.015440522270186736,4.916978829887335e-15,2.9993570862312744e-12,-1
21,22,35,2020-02-23,-0.01592200771591002,1.727679937955454e-16,1.1765500377476642e-13,-1
22,23,36,2020-02-24,-0.016262075184616684,2.2951914953629e-18,1.700736898063909e-15,-1
23,24,37,2020-02-25,-0.01646002690614042,1.607126966683642e-20,1.2905229542469646e-17,-1
