,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.008327511583567692,2.2322937724808704e-19,1.6117161037311885e-16,-1
1,2,15,2020-02-03,-0.008192497735614777,1.1069614592072569e-17,7.095622953518517e-15,-1
2,3,16,2020-02-04,-0.00799305155707143,1.587880111817415e-16,9.320856256368226e-14,-1
3,4,17,2020-02-05,-0.007758252798716266,1.0030750612515488e-15,5.44669758259591e-13,-1
4,5,18,2020-02-06,-0.007502563122245659,3.0334026576535804e-15,1.5743359793222082e-12,-1
5,6,19,2020-02-07,-0.0072424669156164875,4.375806477520102e-15,2.222909690580212e-12,-1
6,7,20,2020-02-08,-0.006996519828980084,2.7376876186125366e-15,1.4318106245343566e-12,-1
7,8,21,2020-02-09,-0.006784797851417629,6.112236027537604e-16,3.4045154673384455e-13,-1
8,9,22,2020-02-10,-0.006627412737634666,3.852978561360975e-17,2.3926996866051655e-14,-1
9,10,23,2020-02-11,-0.006542770444468881,1.1810422436018567e-18,8.184622748160867e-16,-1
10,11,24,2020-02-12,-0.0065462232335296916,1.4842861980253521e-18,1.0167360456473662e-15,-1
11,12,25,2020-02-13,-0.006649719820764811,1.6546066176289264e-16,9.695994779305508e-14,-1
12,13,26,2020-02-14,-0.006860738576457128,1.2230945420762551e-14,5.809699074862212e-12,-1
13,14,27,2020-02-15,-0.0071799745834824485,2.435514576701501e-13,9.595927432203914e-11,-1
14,15,28,2020-02-16,-0.007600272262103704,1.6333630476479694e-12,5.866833545415315e-10,-1
15,16,29,2020-02-17,-0.008107336660360133,4.665585376479552e-12,1.6002957841324861e-09,-1
16,17,30,2020-02-18,-0.00867958544409783,6.58837645686958e-12,2.1873409836807004e-09,-1
17,18,31,2020-02-19,-0.009288118525460583,4.9706890277439515e-12,1.6900342694329435e-09,-1
18,19,32,2020-02-20,-0.009898942359773998,2.0479268116165557e-12,7.249660913122607e-10,-1
19,20,33,2020-02-21,-0.010476759799421618,4.539493088414682e-13,1.7386258528628232e-10,-1
20,21,34,2020-02-22,-0.01098900326373492,5.084269097077114e-14,2.196404249937313e-11,-1
21,22,35,2020-02-23,-0.011408794765042236,2.5243563594400457e-15,1.3227627323465839e-12,-1
22,23,36,2020-02-24,-0.011715573661423832,4.634057537652564e-17,2.8545794431939794e-14,-1
23,24,37,2020-02-25,-0.01189577939902049,4.118394662565126e-19,2.93229699974637e-16,-1
24,25,38,2020-02-26,-0.011945065881676412,4.559421265818385e-20,3.4150065280979705e-17,-1
25,26,39,2020-02-27,-0.011870760956603141,7.431662206900269e-19,5.224458531450889e-16,-1
26,27,40,2020-02-28,-0.011691769483570315,2.0097369588043706e-17,1.2641245470879492e-14,-1
27,28,41,2020-02-29,-0.01143485705745068,1.7480016279368014e-16,1.0225809523430288e-13,-1
28,29,42,2020-03-01,-0.011131505726475333,4.925076505360003e-16,2.762967919506962e-13,-1
29,30,43,2020-03-02,-0.010815077910318233,5.029496516466854e-16,2.8165180492214383e-13,-1
30,31,44,2020-03-03,-0.010516087048279011,1.9540847649233788e-16,1.1372773331854065e-13,-1
31,32,45,2020-03-04,-0.010258281486003622,2.78615914737837e-17,1.738563307964103e-14,-1
32,33,46,2020-03-05,-0.010056475170946062,1.269809148982942e-18,8.761683127982301e-16,-1
33,34,47,2020-03-06,-0.009917432798061045,1.572348522195738e-20,1.1918401798243695e-17,-1
34,35,48,2020-03-07,-0.009840715755307776,9.604448693296361e-23,7.702767852023682e-20,-1
35,36,49,2020-03-08,-0.00981922945472305,1.1156756396730189e-23,9.148540245318756e-21,-1
36,37,50,2020-03-09,-0.009838016947021628,3.7576485080114794e-23,3.051210588505321e-20,-1
37,38,51,2020-03-10,-0.009874997153287523,5.407170918805106e-23,4.374401273313331e-20,-1
38,39,52,2020-03-11,-0.00990383960131236,1.6639483998638637e-23,1.3594458426887768e-20,-1
39,40,53,2020-03-12,-0.009896979599094802,3.1940309403347844e-23,2.6031352163728492e-20,-1
40,41,54,2020-03-13,-0.009825460251891278,1.2124577399297105e-20,9.202554246066502e-18,-1
41,42,55,2020-03-14,-0.009658276994739857,1.0507149952230118e-17,6.756097419283966e-15,-1
42,43,56,2020-03-15,-0.009364129875926693,3.5620185645886474e-15,1.8295201932247524e-12,-1
43,44,57,2020-03-16,-0.008915407349871236,5.322286567997875e-13,2.0171466092711946e-10,-1
44,45,58,2020-03-17,-0.008290634159080778,4.514269140147675e-11,1.3542807420443025e-08,-1
45,46,59,2020-03-18,-0.0074774953579190085,2.6392584914653318e-09,5.700798341565116e-07,-1
46,47,60,2020-03-19,-0.006475920478565907,1.2296256672221907e-07,2.0165860942443928e-05,-1
47,48,61,2020-03-20,-0.005300075618081401,5.154297211710837e-06,0.0006597500430989871,-1
48,49,62,2020-03-21,-0.003978304972179665,0.00021369084250732608,0.019659557510674,-1
49,50,63,2020-03-22,-0.0025512142397107924,0.00864329389410846,0.49528345145398195,0
50,51,64,2020-03-23,-0.0010671957491572746,0.22552022939088898,1.0,0
51,52,65,2020-03-24,0.0004221371735382665,0.6168935161723867,1.0,0
52,53,66,2020-03-25,0.001865511174068353,0.033294201637816205,1.0,0
53,54,67,2020-03-26,0.003214209418521588,0.0006400161118529636,0.05248132117194301,0
54,55,68,2020-03-27,0.004427006043455971,1.0073683645839991e-05,0.0012390630884383188,1
55,56,69,2020-03-28,0.0054737103259762335,1.5601957452488544e-07,2.5431190647556326e-05,1
56,57,70,2020-03-29,0.006338539925797395,2.225357473208978e-09,4.895786441059752e-07,1
57,58,71,2020-03-30,0.007020753057875394,2.606994389550004e-11,7.951332888127513e-09,1
58,59,72,2020-03-31,0.007534248231845839,2.2637530200473225e-13,8.98709948958787e-11,1
59,60,73,2020-04-01,0.007904372969815207,1.354847687750089e-15,7.261983606340477e-13,1
60,61,74,2020-04-02,0.008163110480367745,5.645165983140213e-18,3.733449600008589e-15,1
61,62,75,2020-04-03,0.008344524467626764,2.2432332121382137e-20,1.691397841952213e-17,1
62,63,76,2020-04-04,0.008480474271481664,3.599659733194052e-22,2.8581298281560774e-19,1
63,64,77,2020-04-05,0.008596959419346782,2.8717761822423853e-22,2.2859338410649386e-19,1
64,65,78,2020-04-06,0.008712861896346746,4.0290793513769394e-21,3.118507417965751e-18,1
65,66,79,2020-04-07,0.008840988155094836,7.68742697199791e-20,5.66563367836246e-17,1
66,67,80,2020-04-08,0.008989002007078573,8.1221267741899335e-19,5.693610868707144e-16,1
67,68,81,2020-04-09,0.009159457719622448,4.0509225476667295e-18,2.726270874579709e-15,1
68,69,82,2020-04-10,0.00935023817231371,9.433672096654775e-18,6.1130195186322944e-15,1
69,70,83,2020-04-11,0.009554195826621545,1.0481329676493933e-17,6.749976311662093e-15,1
70,71,84,2020-04-12,0.009760044093415526,5.639651963759198e-18,3.733449600008589e-15,1
71,72,85,2020-04-13,0.00995429160463502,1.4408159210519193e-18,9.883997218416166e-16,1
72,73,86,2020-04-14,0.010123118806915911,1.5568614973554236e-19,1.1349520315721037e-16,1
73,74,87,2020-04-15,0.0102535237574027,5.740663287078317e-21,4.408829404476147e-18,1
74,75,88,2020-04-16,0.010334719509164276,7.308238865862303e-23,5.890440525885016e-20,1
75,76,89,2020-04-17,0.010359138882285256,5.5858952963209036e-24,4.586020038279462e-21,1
76,77,90,2020-04-18,0.010323381982767183,2.0509610533750328e-22,1.636666920593276e-19,1
77,78,91,2020-04-19,0.01022768524003953,2.5441051543630454e-20,1.91316707608101e-17,1
78,79,92,2020-04-20,0.010075022876213584,1.104747490337339e-18,7.677995057844505e-16,1
79,80,93,2020-04-21,0.009870624026649837,1.865852006051522e-17,1.1773526158185103e-14,1
80,81,94,2020-04-22,0.00962094691775017,1.556247397578256e-16,9.150734697760146e-14,1
81,82,95,2020-04-23,0.009333809100853166,7.498891150755087e-16,4.124390132915298e-13,1
82,83,96,2020-04-24,0.009018353479072653,2.3151545278747457e-15,1.2224015907178657e-12,1
83,84,97,2020-04-25,0.008684696321191994,4.933750404206414e-15,2.481676453315826e-12,1
84,85,98,2020-04-26,0.00834320850385521,7.68478848392971e-15,3.757861568641628e-12,1
85,86,99,2020-04-27,0.008003993306621639,9.153183167044613e-15,4.448447019183682e-12,1
86,87,100,2020-04-28,0.0076752701214632775,8.67456000679599e-15,4.224510723309647e-12,1
87,88,101,2020-04-29,0.007362057927674633,6.883432429086854e-15,3.41418248482708e-12,1
88,89,102,2020-04-30,0.007066100398986691,4.934356026984285e-15,2.481676453315826e-12,1
89,90,103,2020-05-01,0.006785789984879749,3.535676742050623e-15,1.8208735221560708e-12,1
90,91,104,2020-05-02,0.006516462348215957,2.9901683689165005e-15,1.5548875518365803e-12,1
91,92,105,2020-05-03,0.006251097685037703,3.749586219046288e-15,1.916038557932653e-12,1
92,93,106,2020-05-04,0.005981375482119776,8.401567617657059e-15,4.0999649974166446e-12,1
93,94,107,2020-05-05,0.00569929422621696,3.425975427015639e-14,1.5416889421570374e-11,1
94,95,108,2020-05-06,0.005398561476350992,2.1246469424092666e-13,8.477341300212974e-11,1
95,96,109,2020-05-07,0.005074612675149378,1.5997948144682195e-12,5.783577471713002e-10,1
96,97,110,2020-05-08,0.004724487079842146,1.2417339768671185e-11,3.961131386206108e-09,1
97,98,111,2020-05-09,0.004347336059294353,9.040861713425645e-11,2.6128090351800116e-08,1
98,99,112,2020-05-10,0.00394520018477318,5.873655660504537e-10,1.486034882107648e-07,1
99,100,113,2020-05-11,0.003523630973518171,3.3479001509149544e-09,7.097548319939703e-07,1
100,101,114,2020-05-12,0.003091008000217234,1.6887659415719535e-08,3.1463282119332963e-06,1
101,102,115,2020-05-13,0.002657052648750406,7.742946069380964e-08,1.3240437778641448e-05,1
102,103,116,2020-05-14,0.0022324686356258246,3.330666697084111e-07,5.1625333804803725e-05,1
103,104,117,2020-05-15,0.0018286708013380444,1.3823498310089657e-06,0.0001935289763412552,1
104,105,118,2020-05-16,0.0014557743431062261,5.661116321994498e-06,0.0007189617728933013,1
105,106,119,2020-05-17,0.0011209713488053571,2.3336830888934493e-05,0.002613725059560663,1
106,107,120,2020-05-18,0.0008284933171218285,9.853781340842447e-05,0.009853781340842447,1
107,108,121,2020-05-19,0.0005801719171234246,0.00043548851768381475,0.03745201252080807,1
108,109,122,2020-05-20,0.00037627558740037923,0.0021281285877895054,0.14860037000342033,0
109,110,123,2020-05-21,0.00021588537067240108,0.012383527994748388,0.6315599277321677,0
110,111,124,2020-05-22,9.663558471199199e-05,0.09022179935356514,1.0,0
111,112,125,2020-05-23,1.4865952290427025e-05,0.6726319209644036,1.0,0
112,113,126,2020-05-24,-3.3642992925067587e-05,0.11731125987765843,1.0,0
113,114,127,2020-05-25,-5.2788251108461807e-05,0.0008997703901578386,0.07042710059144282,0
114,115,128,2020-05-26,-4.5896489462550435e-05,0.009340861858044577,0.5230882640504964,0
115,116,129,2020-05-27,-1.622525080430662e-05,0.4845208763647483,1.0,0
116,117,130,2020-05-28,3.328777550463039e-05,0.30544189289799306,1.0,0
117,118,131,2020-05-29,0.00010063493848753962,0.027167168215382995,1.0,0
118,119,132,2020-05-30,0.00018516938593784763,0.0026876273515079744,0.1800710325510343,0
119,120,133,2020-05-31,0.0002875584769065429,0.000366258661734321,0.031864503570885924,1
120,121,134,2020-06-01,0.0004093774586127378,6.744513471756831e-05,0.006879403741191967,1
121,122,135,2020-06-02,0.0005520338545282983,1.563006199733306e-05,0.0018599773776826342,1
122,123,136,2020-06-03,0.0007152822243047717,4.211925516125556e-06,0.0005601860936446989,1
123,124,137,2020-06-04,0.000897188753387461,1.2010243750246627e-06,0.00017294751000355142,1
124,125,138,2020-06-05,0.0010932046433022892,3.2544080256115285e-07,5.0768765199539846e-05,1
125,126,139,2020-06-06,0.0012961872073711835,7.614760639890333e-08,1.3097388300611373e-05,1
126,127,140,2020-06-07,0.001496942196932772,1.4128556009441972e-08,2.6985541978034167e-06,1
127,128,141,2020-06-08,0.001684968091421322,1.8657354762405588e-09,4.216562176303663e-07,1
128,129,142,2020-06-09,0.0018494815455728237,1.4922884393792197e-10,4.2082533990494e-08,1
129,130,143,2020-06-10,0.001980099514128434,5.805308096154536e-12,1.950583520307924e-09,1
130,131,144,2020-06-11,0.002066588806837579,1.0210641148152576e-13,4.2578373587796244e-11,1
131,132,145,2020-06-12,0.0020993857488734993,5.617367972661438e-15,2.8030666183580577e-12,1
132,133,146,2020-06-13,0.00207115004162163,8.603412234237499e-14,3.630639962848224e-11,1
133,134,147,2020-06-14,0.001977648178939971,1.4749523138672578e-11,4.6608493118205345e-09,1
134,135,148,2020-06-15,0.0018181927890519858,1.5634661086751021e-09,3.582637575317316e-07,1
135,136,149,2020-06-16,0.001595845693394869,9.524276366717643e-08,1.5905541532418464e-05,1
136,137,150,2020-06-17,0.001316889557728881,4.482290066831681e-06,0.0005871799987549502,1
137,138,151,2020-06-18,0.0009908118247896286,0.0002052681846301685,0.01908994117060567,1
138,139,152,2020-06-19,0.0006288564505305755,0.009600782418619102,0.5280430330240505,0
139,140,153,2020-06-20,0.0002428648282336198,0.2779973053029841,1.0,0
140,141,154,2020-06-21,-0.00015499780722993766,0.4880017734585338,1.0,0
141,142,155,2020-06-22,-0.0005526483555540995,0.023554151651310317,1.0,0
142,143,156,2020-06-23,-0.0009384601545470913,0.0006014732072207199,0.050523749406540475,0
143,144,157,2020-06-24,-0.001301650361037577,1.6477547335850737e-05,0.0019113954909586854,-1
144,145,158,2020-06-25,-0.0016331703242767664,5.19390818472449e-07,7.894740440781225e-05,-1
145,146,159,2020-06-26,-0.00192590748525312,1.6825284555793028e-08,3.1463282119332963e-06,-1
146,147,160,2020-06-27,-0.002174375403288952,4.881216789303272e-10,1.2447102812723343e-07,-1
147,148,161,2020-06-28,-0.0023754659522016624,1.0919390196052103e-11,3.5051242529327247e-09,-1
148,149,162,2020-06-29,-0.002529795804394755,1.5855953595054376e-13,6.453373113187132e-11,-1
149,150,163,2020-06-30,-0.002642035121818882,1.2389592212678267e-15,6.65321101820823e-13,-1
150,151,164,2020-07-01,-0.0027203814285625535,4.1447948328104335e-18,2.781157332815801e-15,-1
151,152,165,2020-07-02,-0.0027749810388522384,5.409139729150505e-21,4.1650375914458886e-18,-1
152,153,166,2020-07-03,-0.002817188352881823,4.169936306757245e-23,3.3818183447801256e-20,-1
153,154,167,2020-07-04,-0.0028594674282193615,2.1666557296647025e-21,1.689991469138468e-18,-1
154,155,168,2020-07-05,-0.0029134074156858176,1.0749698273110138e-18,7.481789998084656e-16,-1
155,156,169,2020-07-06,-0.002987928766343585,1.4230612093367353e-16,8.410291747180106e-14,-1
