,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.008175574047329104,5.04698337140697e-18,3.9114121128404016e-15,1
1,2,15,2020-02-03,0.008020370494370044,1.8499147995223505e-18,1.4503332028255227e-15,1
2,3,16,2020-02-04,0.007888116907421,4.928495296416399e-19,3.9625102183187854e-16,1
3,4,17,2020-02-05,0.00776057766356231,8.1506949929332e-20,6.69987128419109e-17,1
4,5,18,2020-02-06,0.007618866798435443,3.7347875265459563e-20,3.088669284453506e-17,1
5,6,19,2020-02-07,0.0074355822213773935,1.2381837472362288e-18,9.818797115583294e-16,1
6,7,20,2020-02-08,0.007184180474876211,5.149327409808521e-16,3.522139948309028e-13,1
7,8,21,2020-02-09,0.0068491016320947826,1.2168889361738148e-13,7.276995838319412e-11,1
8,9,22,2020-02-10,0.006421680292650903,1.1010992973776264e-11,6.078068121524498e-09,1
9,10,23,2020-02-11,0.005902248241435686,4.4235454950334844e-10,2.3046672029124453e-07,1
10,11,24,2020-02-12,0.00530733087431341,8.528536898440223e-09,4.136340395743508e-06,1
11,12,25,2020-02-13,0.004670749062092046,7.975138416834376e-08,3.716414502244819e-05,1
12,13,26,2020-02-14,0.0040353206011745964,3.573185400317594e-07,0.00016222261717441878,1
13,14,27,2020-02-15,0.0034466358897896187,7.037932602999118e-07,0.00031318800083346074,1
14,15,28,2020-02-16,0.0029484367319039377,4.877695724914127e-07,0.00021949630762113572,1
15,16,29,2020-02-17,0.0025782091459501002,8.294128583565294e-08,3.856769791357862e-05,1
16,17,30,2020-02-18,0.0023631549499196687,4.2315776302049216e-09,2.0861677716910265e-06,1
17,18,31,2020-02-19,0.002314408840335486,1.3755118558525457e-09,7.015110464847983e-07,1
18,19,32,2020-02-20,0.0024216015326201244,7.1325230555703445e-09,3.4735387280627577e-06,1
19,20,33,2020-02-21,0.0026533795763329098,1.9682284978136523e-08,9.349085364614848e-06,1
20,21,34,2020-02-22,0.002967858204850532,1.4262835432903217e-08,6.846161007793544e-06,1
21,22,35,2020-02-23,0.003325815539598052,3.352063460413646e-09,1.6592714129047546e-06,1
22,23,36,2020-02-24,0.0036891465823760522,3.1115077963679033e-10,1.6335415930931493e-07,1
23,24,37,2020-02-25,0.004023907563610758,1.3962442599246997e-11,7.651418544387353e-09,1
24,25,38,2020-02-26,0.004308820281196228,3.772871476491787e-13,2.199584070794712e-10,1
25,26,39,2020-02-27,0.004538635768370221,7.246903200534316e-15,4.695993273946237e-12,1
26,27,40,2020-02-28,0.004717995792908308,1.2349011291951321e-16,8.681354938241779e-14,1
27,28,41,2020-02-29,0.004857169726632332,2.8769848280019946e-18,2.2469251506695576e-15,1
28,29,42,2020-03-01,0.004969862687350382,2.0563520229426309e-19,1.6738705466753014e-16,1
29,30,43,2020-03-02,0.005071685005146157,1.1790916004671e-19,9.66855112383022e-17,1
30,31,44,2020-03-03,0.005178894401542933,6.05034419745202e-19,4.840275357961616e-16,1
31,32,45,2020-03-04,0.0052992851687150965,5.938760633101168e-18,4.590661969387203e-15,1
32,33,46,2020-03-05,0.005401148610359249,6.382537515804763e-18,4.927318962201277e-15,1
33,34,47,2020-03-06,0.00537003926674917,3.743934363601885e-17,2.7517917572473855e-14,1
34,35,48,2020-03-07,0.005026007496519344,5.069663809647601e-11,2.7122701381614665e-08,1
35,36,49,2020-03-08,0.004257443560457445,1.4299603398539169e-06,0.0006334724305552852,1
36,37,50,2020-03-09,0.003119716598782505,0.0012176924575722761,0.4444577470138808,0
37,38,51,2020-03-10,0.0017744932567067071,0.08049346701033229,1.0,0
38,39,52,2020-03-11,0.00039178014802519556,0.7073659200288787,1.0,0
39,40,53,2020-03-12,-0.0008943153374593052,0.3939184414748341,1.0,0
40,41,54,2020-03-13,-0.0019872331884205397,0.053031669275722004,1.0,0
41,42,55,2020-03-14,-0.0028193172452654724,0.0040671582095527445,1.0,0
42,43,56,2020-03-15,-0.0033435315045391083,0.00032396476117055534,0.12602229209534602,0
43,44,57,2020-03-16,-0.003526662462075473,0.00010035349996306237,0.04074352098500332,-1
44,45,58,2020-03-17,-0.0033446961355946365,0.0003014966943297499,0.11788520748293221,0
45,46,59,2020-03-18,-0.0027889755839977377,0.0030824666917001913,1.0,0
46,47,60,2020-03-19,-0.001900647549364094,0.03342066770965408,1.0,0
47,48,61,2020-03-20,-0.0008283174656703215,0.26818943509851584,1.0,0
48,49,62,2020-03-21,0.00017022999247486188,0.7563000743998858,1.0,0
49,50,63,2020-03-22,0.0008620128558463195,0.026515714218617144,1.0,0
50,51,64,2020-03-23,0.0011639808108182999,0.00023646825572449953,0.09293202449972832,0
51,52,65,2020-03-24,0.0011162075548556663,0.0006101821925138739,0.23186923315527208,0
52,53,66,2020-03-25,0.0007999270314379783,0.024265803380828843,1.0,0
53,54,67,2020-03-26,0.0002918480616015443,0.4416951803001802,1.0,0
54,55,68,2020-03-27,-0.0003440807468237631,0.4048142518903657,1.0,0
55,56,69,2020-03-28,-0.0010565392570916943,0.02338992677300878,1.0,0
56,57,70,2020-03-29,-0.0018162119051242484,0.0006968634773936832,0.26271753097741857,0
57,58,71,2020-03-30,-0.002612248187825791,2.510396514502839e-05,0.01044324950033181,-1
58,59,72,2020-03-31,-0.0034207512696340227,1.598408143895336e-06,0.0007064963996017386,-1
59,60,73,2020-04-01,-0.00416422771169601,1.2762719788876293e-07,5.896376542460847e-05,-1
60,61,74,2020-04-02,-0.004680419615956502,5.745405989313219e-09,2.8152489347634774e-06,-1
61,62,75,2020-04-03,-0.004737673295012966,2.596916368906883e-09,1.3010551008223484e-06,-1
62,63,76,2020-04-04,-0.004108600227754263,9.70415893197242e-06,0.004163084181816168,-1
63,64,77,2020-04-05,-0.0026578057263324665,0.023640052801332963,1.0,0
64,65,78,2020-04-06,-0.0003861312168802604,0.8066943827690822,1.0,0
65,66,79,2020-04-07,0.0025881933246224187,0.22322127255016402,1.0,0
66,67,80,2020-04-08,0.0060804021982448575,0.02464742231889243,1.0,0
67,68,81,2020-04-09,0.00988761012199418,0.0022555897050136192,0.8029899349848484,0
68,69,82,2020-04-10,0.013810136386681967,0.00016662897804248778,0.0668182201950376,0
69,70,83,2020-04-11,0.017648362676902805,8.5475306856432e-06,0.0036839857255122196,1
70,71,84,2020-04-12,0.02118095442859704,2.425211940392168e-07,0.00011058966448188286,1
71,72,85,2020-04-13,0.02416076748229897,2.758290755803119e-09,1.3791453779015594e-06,1
72,73,86,2020-04-14,0.026356032503911254,8.018597049333631e-12,4.458339959429499e-09,1
73,74,87,2020-04-15,0.02762101216047215,5.9595102911838534e-15,3.873681689269505e-12,1
74,75,88,2020-04-16,0.027958227361130603,2.026342823550016e-16,1.412360948014361e-13,1
75,76,89,2020-04-17,0.027535461931832598,3.5033568210289736e-15,2.3087121450580936e-12,1
76,77,90,2020-04-18,0.026622158061040332,3.4719880008654384e-14,2.1422165965339755e-11,1
77,78,91,2020-04-19,0.025484442122655087,9.501540038356157e-14,5.719927103090406e-11,1
78,79,92,2020-04-20,0.024311704883825908,1.1194034310622331e-13,6.72761462068402e-11,1
79,80,93,2020-04-21,0.023204863626326663,7.116919189095847e-14,4.3199699477811786e-11,1
80,81,94,2020-04-22,0.022205128614164654,2.4141536309861064e-14,1.499189404842372e-11,1
81,82,95,2020-04-23,0.02133254407024794,3.767014034245126e-15,2.478695234533293e-12,1
82,83,96,2020-04-24,0.020605183913817205,2.2049260685253877e-16,1.5324236176251445e-13,1
83,84,97,2020-04-25,0.020037914896290896,4.006997668504386e-18,3.1094301907594037e-15,1
84,85,98,2020-04-26,0.019632012578868083,2.1120196095159066e-20,1.7572003151172344e-17,1
85,86,99,2020-04-27,0.019367806857157742,4.074136492529038e-23,3.491534974097386e-20,1
86,87,100,2020-04-28,0.019208183291647626,5.90579967219985e-26,5.084893517764071e-23,1
87,88,101,2020-04-29,0.019112408686268203,4.075920998923593e-28,3.5215957430699842e-25,1
88,89,102,2020-04-30,0.019040010319323716,1.090729264061996e-28,9.434808134136265e-26,1
89,90,103,2020-05-01,0.018954029735140498,4.673071301131309e-27,4.03286053287632e-24,1
90,91,104,2020-05-02,0.018819774106878125,3.8228184068775914e-24,3.2838010115078512e-21,1
91,92,105,2020-05-03,0.018606322194621765,2.6814927535332445e-21,2.260498391228525e-18,1
92,93,106,2020-05-04,0.018292675028177878,5.995211402917129e-19,4.802164333736621e-16,1
93,94,107,2020-05-05,0.017872844857708958,4.043580749508177e-17,2.9599011086399855e-14,1
94,95,108,2020-05-06,0.017355161112115425,9.62146460991253e-16,6.475245682471132e-13,1
95,96,109,2020-05-07,0.016757169542346694,9.595932351014065e-15,6.179780434053058e-12,1
96,97,110,2020-05-08,0.01610056477721586,4.5800535672373806e-14,2.8075728367165144e-11,1
97,98,111,2020-05-09,0.015409233471281866,1.1248365317076167e-13,6.7490191902457e-11,1
98,99,112,2020-05-10,0.014709553255173409,1.4348027714354126e-13,8.494032406897643e-11,1
99,100,113,2020-05-11,0.014029714792491581,9.13060490563067e-14,5.514885363000924e-11,1
100,101,114,2020-05-12,0.013398275364278848,2.6968202970087637e-14,1.6720285841454336e-11,1
101,102,115,2020-05-13,0.012841272220392722,3.466174842842783e-15,2.287675396276237e-12,1
102,103,116,2020-05-14,0.012377157296817284,1.998746828493225e-16,1.395125286288271e-13,1
103,104,117,2020-05-15,0.012009157593617018,7.151257717461728e-18,5.50646844244553e-15,1
104,105,118,2020-05-16,0.011696053799030192,8.99570555032451e-19,7.142590206957661e-16,1
105,106,119,2020-05-17,0.011217683810357058,1.5071032414329581e-15,1.006744965277216e-12,1
106,107,120,2020-05-18,0.009888555657402728,9.107610526798211e-09,4.398975884443536e-06,1
107,108,121,2020-05-19,0.006689910460951327,0.0030408652987383737,1.0,0
108,109,122,2020-05-20,0.0014933047964507643,0.6403471520931976,1.0,0
109,110,123,2020-05-21,-0.004777015483525391,0.2662112319437213,1.0,0
110,111,124,2020-05-22,-0.011235021152014104,0.030797662502404125,1.0,0
111,112,125,2020-05-23,-0.01736991052786938,0.002862604218262712,1.0,0
112,113,126,2020-05-24,-0.022903276173279707,0.00021041024276267873,0.08353286637678346,0
113,114,127,2020-05-25,-0.02765067572129506,1.1465241843877889e-05,0.0048727277836481024,-1
114,115,128,2020-05-26,-0.03145562767002147,4.5467999969956254e-07,0.00020551535986420227,-1
