,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.006600792228801131,3.678563490617437e-15,2.045281300783295e-12,1
1,2,15,2020-02-03,0.006320364881242699,2.980078295268511e-15,1.6748040019409032e-12,1
2,3,16,2020-02-04,0.0060758253632599134,7.730821973632847e-15,4.166450487730869e-12,1
3,4,17,2020-02-05,0.005825906623217323,1.653923659929144e-14,8.650020741429423e-12,1
4,5,18,2020-02-06,0.005573680747845155,2.8016320955577993e-14,1.4204274724478042e-11,1
5,6,19,2020-02-07,0.005322978615180642,3.6759928693900574e-14,1.841672427564419e-11,1
6,7,20,2020-02-08,0.005079197493143697,3.6512064310978935e-14,1.8329056284111425e-11,1
7,8,21,2020-02-09,0.004849243671559228,2.6341780728651317e-14,1.340796639088352e-11,1
8,9,22,2020-02-10,0.004639489938166692,1.3275057801569402e-14,7.009230519228644e-12,1
9,10,23,2020-02-11,0.004453950542364931,4.582289253367058e-15,2.524841378605249e-12,1
10,11,24,2020-02-12,0.004294557716097855,1.015555931835472e-15,5.930846641919156e-13,1
11,12,25,2020-02-13,0.0041630385780741875,1.239558493030956e-16,7.722449411582856e-14,1
12,13,26,2020-02-14,0.004061655231691073,6.642838602092039e-18,4.517130249422586e-15,1
13,14,27,2020-02-15,0.0039921261045209305,1.1466840316953988e-19,8.45106131359509e-17,1
14,15,28,2020-02-16,0.003954157930198203,8.515036609102109e-22,6.726878921190666e-19,1
15,16,29,2020-02-17,0.003942426426237766,6.386061130268839e-23,5.268500432471792e-20,1
16,17,30,2020-02-18,0.003945026684462328,9.853166697462393e-23,8.059890358524237e-20,1
17,18,31,2020-02-19,0.003944209671469357,9.920242621461148e-23,8.104838221733757e-20,1
18,19,32,2020-02-20,0.0039170964243196845,8.881541832352621e-21,6.7410902507556394e-18,1
19,20,33,2020-02-21,0.0038380738026869018,6.718833703475109e-17,4.2866159028171197e-14,1
20,21,34,2020-02-22,0.0036841894752464312,1.3192823496856446e-13,6.213819867019385e-11,1
21,22,35,2020-02-23,0.003438132723307002,5.826749822649397e-11,2.0044019389913926e-08,1
22,23,36,2020-02-24,0.003088531292885627,1.0058169668396153e-08,2.454193399088661e-06,1
23,24,37,2020-02-25,0.002630426355002293,9.877432560531124e-07,0.0001649531237608698,1
24,25,38,2020-02-26,0.002067348895845314,6.97692203555382e-05,0.007744383459464739,1
25,26,39,2020-02-27,0.0014125954606198671,0.003889757147747283,0.2489444574558261,0
26,27,40,2020-02-28,0.0006879867819611625,0.13232121875513433,1.0,0
27,28,41,2020-02-29,-7.89956039268054e-05,0.8592362815302972,1.0,0
28,29,42,2020-03-01,-0.0008577787681707083,0.06753732757492659,1.0,0
29,30,43,2020-03-02,-0.0016190120894923146,0.0016801985275457319,0.12937528662102135,0
30,31,44,2020-03-03,-0.0023388929254996842,3.4964144147319704e-05,0.004090804865236405,-1
31,32,45,2020-03-04,-0.003002146511779929,8.679632539658184e-07,0.00014842171642815495,-1
32,33,46,2020-03-05,-0.0036027337936772514,2.8633090416194702e-08,6.27064680114664e-06,-1
33,34,47,2020-03-06,-0.004143109748928458,1.3563479044032236e-09,3.8249010904170907e-07,-1
34,35,48,2020-03-07,-0.004629537219454198,1.0224603341979902e-10,3.4150175162212875e-08,-1
35,36,49,2020-03-08,-0.00507030626509683,1.3222529825693612e-11,4.90555856533233e-09,-1
