,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.010630864254151225,2.1434875296986613e-27,1.740511874115313e-24,-1
1,2,15,2020-02-03,-0.010669800308145226,5.41298297236851e-26,4.276256548171123e-23,-1
2,3,16,2020-02-04,-0.010723365449046085,3.834686415791785e-25,2.9680472858228415e-22,-1
3,4,17,2020-02-05,-0.010784561312868906,1.4720942260956897e-24,1.1270192147900063e-21,-1
4,5,18,2020-02-06,-0.010852532539462325,3.425392874073051e-24,2.5827462270510805e-21,-1
5,6,19,2020-02-07,-0.010926332054047137,5.4239317510212405e-24,4.067948813265931e-21,-1
6,7,20,2020-02-08,-0.01100508525916561,6.809732369309265e-24,5.0800603475047116e-21,-1
7,8,21,2020-02-09,-0.011088372533895748,8.132407846541488e-24,6.0423790299803254e-21,-1
8,9,22,2020-02-10,-0.01117655397773977,1.1321747418754993e-23,8.400736584716205e-21,-1
9,10,23,2020-02-11,-0.011271098997633332,2.2546926557426544e-23,1.661708487282336e-20,-1
10,11,24,2020-02-12,-0.011374014249986672,6.72966933924619e-23,4.8588212629357495e-20,-1
11,12,25,2020-02-13,-0.011487103649091137,2.5486373551368503e-22,1.7671576042350106e-19,-1
12,13,26,2020-02-14,-0.01161139015727701,9.689558002475856e-22,6.45324562964892e-19,-1
13,14,27,2020-02-15,-0.011746704755231369,3.041696729044335e-21,1.9649360869626403e-18,-1
14,15,28,2020-02-16,-0.011891822208347913,6.913101205395819e-21,4.362166860604762e-18,-1
15,16,29,2020-02-17,-0.012044215551908682,1.0730552088154691e-20,6.652942294655908e-18,-1
16,17,30,2020-02-18,-0.012200478588111999,1.1128371034488482e-20,6.866204928279394e-18,-1
17,18,31,2020-02-19,-0.012357014981844997,7.86426669943636e-21,4.94662375394547e-18,-1
18,19,32,2020-02-20,-0.012511015841029477,3.97201468854724e-21,2.5540054447358756e-18,-1
19,20,33,2020-02-21,-0.012660483114607605,1.559255357262826e-21,1.0228715143644139e-18,-1
20,21,34,2020-02-22,-0.012805114851945748,5.669598826318495e-22,3.8269792077649845e-19,-1
21,22,35,2020-02-23,-0.012946769541678024,2.644394622271966e-22,1.8272766839899285e-19,-1
22,23,36,2020-02-24,-0.013088785369308678,2.308541155862344e-22,1.609053185636054e-19,-1
23,24,37,2020-02-25,-0.013236702652959384,4.593931645880819e-22,3.128467450844838e-19,-1
24,25,38,2020-02-26,-0.013397615064625197,1.843282806186002e-21,1.2036636724394592e-18,-1
25,26,39,2020-02-27,-0.013578777132895181,1.081407780142139e-20,6.693914159079841e-18,-1
26,27,40,2020-02-28,-0.013787390927733617,6.991011588229581e-20,4.00584964005555e-17,-1
27,28,41,2020-02-29,-0.014030172291059973,4.2130020595941984e-19,2.3297901389555916e-16,-1
28,29,42,2020-03-01,-0.01431291623659307,2.1773980852869124e-18,1.1366018005197683e-15,-1
29,30,43,2020-03-02,-0.014639277399621689,9.116045700206974e-18,4.494210530202038e-15,-1
30,31,44,2020-03-03,-0.01501023766799649,2.995127696187402e-17,1.401719761815704e-14,-1
31,32,45,2020-03-04,-0.01542383065461243,7.551388533579427e-17,3.345265120375686e-14,-1
32,33,46,2020-03-05,-0.015875484974326698,1.4441607547190629e-16,6.114214595348093e-14,-1
33,34,47,2020-03-06,-0.01635813027803379,2.1022802271420966e-16,8.682417338096859e-14,-1
34,35,48,2020-03-07,-0.016863423165015178,2.3535521024087514e-16,9.696634661924055e-14,-1
35,36,49,2020-03-08,-0.01738248373118733,2.0344474201216119e-16,8.422612319303473e-14,-1
36,37,50,2020-03-09,-0.017905242324903894,1.3650939225048843e-16,5.828951049095856e-14,-1
37,38,51,2020-03-10,-0.018421871644376753,7.187449142678893e-17,3.205602317634786e-14,-1
38,39,52,2020-03-11,-0.018923470187802424,3.0153678450655517e-17,1.4081767836456126e-14,-1
39,40,53,2020-03-12,-0.01940246331407647,1.0442637342001123e-17,5.106449660238549e-15,-1
40,41,54,2020-03-13,-0.019853264136023646,3.1478790384528533e-18,1.6180098257647666e-15,-1
41,42,55,2020-03-14,-0.0202728902290007,8.828438171232593e-19,4.749699736123135e-16,-1
42,43,56,2020-03-15,-0.020662416553605623,2.513409418963764e-19,1.404995865200744e-16,-1
43,44,57,2020-03-16,-0.021026450810424265,8.207315727514969e-20,4.6781699646835325e-17,-1
44,45,58,2020-03-17,-0.02137123771639356,3.4428547145049426e-20,2.0140700079853914e-17,-1
45,46,59,2020-03-18,-0.021703066451146138,1.9892084708241995e-20,1.1895466655528713e-17,-1
46,47,60,2020-03-19,-0.022027510277458372,1.5717456571563992e-20,9.587648508654035e-18,-1
47,48,61,2020-03-20,-0.022348872663266777,1.5624224205929592e-20,9.54640098982298e-18,-1
48,49,62,2020-03-21,-0.02267034859797452,1.7264242301378344e-20,1.0496659319238033e-17,-1
49,50,63,2020-03-22,-0.02299383715824363,1.886476074833382e-20,1.1394315491993626e-17,-1
50,51,64,2020-03-23,-0.0233208364988763,1.9404064059812055e-20,1.1661842499947045e-17,-1
51,52,65,2020-03-24,-0.02365380642612459,1.9083436426637722e-20,1.1507312165262547e-17,-1
52,53,66,2020-03-25,-0.02399538468977004,1.8831765850747713e-20,1.1393218339702367e-17,-1
53,54,67,2020-03-26,-0.02434707160404664,1.9258810372840387e-20,1.1593803844449912e-17,-1
54,55,68,2020-03-27,-0.024708560660954684,2.0678648169352037e-20,1.2324474308933814e-17,-1
55,56,69,2020-03-28,-0.025076337372931197,2.271422872597452e-20,1.346953763450289e-17,-1
56,57,70,2020-03-29,-0.025444644520133484,2.3525099306392123e-20,1.3926858789384137e-17,-1
57,58,71,2020-03-30,-0.02580698975787712,2.037453947036294e-20,1.2163600063806676e-17,-1
58,59,72,2020-03-31,-0.0261547953661068,1.2861834983562289e-20,7.910028514890808e-18,-1
59,60,73,2020-04-01,-0.02647720138126427,5.0881964322498285e-21,3.2411811273431406e-18,-1
60,61,74,2020-04-02,-0.026760077730225283,1.027753836722796e-21,6.834563014206593e-19,-1
61,62,75,2020-04-03,-0.02698488016795114,7.904040268667875e-23,5.651388792097531e-20,-1
62,63,76,2020-04-04,-0.027129247304358162,2.0593205522625488e-24,1.5650836197195371e-21,-1
63,64,77,2020-04-05,-0.02716761909459905,2.881268796824645e-25,2.238745855132749e-22,-1
64,65,78,2020-04-06,-0.02707508148079524,2.662586140116314e-23,1.9543382268453743e-20,-1
65,66,79,2020-04-07,-0.026832050936786637,8.598878298309427e-21,5.391496693040011e-18,-1
66,67,80,2020-04-08,-0.026426150889051647,8.976345606381185e-19,4.811321245020316e-16,-1
67,68,81,2020-04-09,-0.025853884377103464,3.441022821563597e-17,1.6000756120270725e-14,-1
68,69,82,2020-04-10,-0.025120131927077547,6.341187329622193e-16,2.4540394965637886e-13,-1
69,70,83,2020-04-11,-0.02423547109940125,6.791807604828378e-15,2.282047355222335e-12,-1
70,71,84,2020-04-12,-0.023215236833285323,4.7747779117471436e-14,1.4133342618771545e-11,-1
71,72,85,2020-04-13,-0.02208210897298802,2.353210569509193e-13,6.071283269333718e-11,-1
72,73,86,2020-04-14,-0.02086633707987331,8.361686090983744e-13,1.9649962313811798e-10,-1
73,74,87,2020-04-15,-0.019603952260716078,2.1740492704891293e-12,4.913351351305432e-10,-1
74,75,88,2020-04-16,-0.0183302890008967,4.253484698564476e-12,9.230061795884912e-10,-1
75,76,89,2020-04-17,-0.017074089232116677,6.583042862062103e-12,1.402188129619228e-09,-1
76,77,90,2020-04-18,-0.01585496862798067,8.698350750854663e-12,1.7918602546760604e-09,-1
77,78,91,2020-04-19,-0.01468009029758838,1.0975569185164329e-11,2.228040544588359e-09,-1
78,79,92,2020-04-20,-0.013545308251102856,1.5268053996156674e-11,3.0536107992313346e-09,-1
79,80,93,2020-04-21,-0.012440256566265864,2.712449031465215e-11,5.170105814156951e-09,-1
80,81,94,2020-04-22,-0.011349216220118698,6.973416930800036e-11,1.2412682136824064e-08,-1
81,82,95,2020-04-23,-0.010254650412649374,2.804177628702828e-10,4.374517100776412e-08,-1
82,83,96,2020-04-24,-0.009137245951749626,1.7950174774666665e-09,2.2617220216079998e-07,-1
83,84,97,2020-04-25,-0.007974111439811247,1.7927533655499432e-08,1.864463500171941e-06,-1
84,85,98,2020-04-26,-0.006742083786817558,2.6864658188677605e-07,2.2297666296602412e-05,-1
85,86,99,2020-04-27,-0.005424798731657789,5.901898468339295e-06,0.0003954271973787328,-1
86,87,100,2020-04-28,-0.004020887875801114,0.00018686901061831112,0.009530319541533867,-1
87,88,101,2020-04-29,-0.0025454511933727226,0.007726798041914534,0.19316995104786336,0
88,89,102,2020-04-30,-0.0010238696788712881,0.23618073601331782,1.0,0
89,90,103,2020-05-01,0.0005132107135665163,0.5462758986548186,1.0,0
90,91,104,2020-05-02,0.002033448686357453,0.02778393241127528,0.5043805624486802,0
91,92,105,2020-05-03,0.0035051201291411475,0.0007262482286521712,0.02977617737473902,1
92,93,106,2020-05-04,0.004898393860029151,2.0535083939415845e-05,0.001211569952425535,1
93,94,107,2020-05-05,0.006184886267643817,6.799736527487715e-07,5.3717918567152945e-05,1
94,95,108,2020-05-06,0.007341367647276844,2.4079161626011993e-08,2.3597578393491752e-06,1
95,96,109,2020-05-07,0.008350476771422014,8.347471922793856e-10,1.1102137657315829e-07,1
96,97,110,2020-05-08,0.009203634962662605,2.7208343206757964e-11,5.170105814156951e-09,1
97,98,111,2020-05-09,0.009904039724329409,8.269297545112097e-13,1.9569612815379913e-10,1
98,99,112,2020-05-10,0.010465547531236404,2.3691479358390537e-14,7.415433039176239e-12,1
99,100,113,2020-05-11,0.010910146511975567,6.413840877375027e-16,2.4757425786667605e-13,1
100,101,114,2020-05-12,0.01126014643356159,1.69757962957819e-17,8.13140642567953e-15,1
101,102,115,2020-05-13,0.011533057378167209,4.908699855565963e-19,2.6801501211390157e-16,1
102,103,116,2020-05-14,0.011742582841879937,1.7878299103534282e-20,1.0834249256741775e-17,1
103,104,117,2020-05-15,0.011899769713939449,8.780974279291333e-22,5.865690818566611e-19,1
104,105,118,2020-05-16,0.01201437604894119,4.6779959260842874e-23,3.405581034189361e-20,1
105,106,119,2020-05-17,0.012094182124088904,1.8666458511419588e-24,1.4205174927190307e-21,1
106,107,120,2020-05-18,0.012145488224336422,4.6418381538299183e-26,3.6809776559871254e-23,1
107,108,121,2020-05-19,0.012174717350948328,1.192620791621475e-27,9.71985945171502e-25,1
108,109,122,2020-05-20,0.01218880293717193,1.0385285762200556e-28,8.609401896864262e-26,1
109,110,123,2020-05-21,0.012194557757509824,4.6399260750652163e-29,3.8798084093324295e-26,1
110,111,124,2020-05-22,0.012199267840125165,4.2568276087016605e-29,3.571478363700693e-26,1
111,112,125,2020-05-23,0.012210433796312117,1.6706024105302362e-28,1.3815881935085053e-25,1
112,113,126,2020-05-24,0.012234516001305951,7.88670627406199e-27,6.340911844345841e-24,1
113,114,127,2020-05-25,0.012277539853123605,7.140408441205571e-25,5.490974091287084e-22,1
114,115,128,2020-05-26,0.01234315932174993,2.5795148228516043e-23,1.895943394795929e-20,1
115,116,129,2020-05-27,0.01242955195859167,2.546336605525952e-22,1.7671576042350106e-19,1
116,117,130,2020-05-28,0.012529767466200754,6.981474617155921e-22,4.677587993494467e-19,1
117,118,131,2020-05-29,0.012632830190577522,5.365065999973104e-22,3.6321496819817917e-19,1
118,119,132,2020-05-30,0.01272485665809229,1.0850505181147446e-22,7.693008173433539e-20,1
119,120,133,2020-05-31,0.01279159322661057,6.228378885114417e-24,4.665055784950698e-21,1
120,121,134,2020-06-01,0.012821830921861732,4.534823745460877e-25,3.500883931495797e-22,1
121,122,135,2020-06-02,0.012810766219064542,1.4745073535449513e-24,1.1270192147900063e-21,1
122,123,136,2020-06-03,0.01275845026490981,5.017442188821158e-23,3.6426630290841607e-20,1
123,124,137,2020-06-04,0.01266960353344222,9.01749680374252e-22,6.014670368096261e-19,1
124,125,138,2020-06-05,0.012553006037920937,4.973871989244107e-21,3.1733303291377404e-18,1
125,126,139,2020-06-06,0.012419812749629059,9.348915821819964e-21,5.833723472815658e-18,1
126,127,140,2020-06-07,0.012281213796828106,6.641641112054257e-21,4.204158823930345e-18,1
127,128,141,2020-06-08,0.012147796733418599,1.8462402072486152e-21,1.203748615126097e-18,1
128,129,142,2020-06-09,0.01202876786344673,1.93894123222656e-22,1.3630756862552716e-19,1
129,130,143,2020-06-10,0.01193156514658573,6.4147998258626465e-24,4.7982702697452595e-21,1
130,131,144,2020-06-11,0.011861351040231647,4.7192586708377495e-26,3.737652867303498e-23,1
131,132,145,2020-06-12,0.011820550297372966,5.792032071811147e-29,4.830554747890497e-26,1
132,133,146,2020-06-13,0.011809050076194172,8.476986318329105e-31,7.247823302171385e-28,1
133,134,147,2020-06-14,0.011824354353501867,9.70031292527488e-29,8.051259727978151e-26,1
134,135,148,2020-06-15,0.011862645829107347,1.3165243473223837e-26,1.0571690508998742e-23,1
135,136,149,2020-06-16,0.011920266829562468,4.192786495232587e-25,3.2410239608147896e-22,1
136,137,150,2020-06-17,0.011993418842202619,4.764530159017622e-24,3.578162149422234e-21,1
137,138,151,2020-06-18,0.012078805395074362,2.541836961019006e-23,1.8707920033099884e-20,1
138,139,152,2020-06-19,0.012173469485253252,6.922259947210757e-23,4.9909494219389556e-20,1
139,140,153,2020-06-20,0.0122735886986716,9.658409468051655e-23,6.867129131784726e-20,1
140,141,154,2020-06-21,0.012375142157698832,7.06512340724636e-23,5.079823729810133e-20,1
141,142,155,2020-06-22,0.012474256517027105,2.8287154468667393e-23,2.07344842255332e-20,1
142,143,156,2020-06-23,0.012567217133418095,6.610341692048216e-24,4.937925243960018e-21,1
143,144,157,2020-06-24,0.01265124585643222,9.31566428293296e-25,7.14511450500958e-22,1
144,145,158,2020-06-25,0.012723425556646274,7.664147425563215e-26,6.016355729067124e-23,1
145,146,159,2020-06-26,0.012780082478846846,3.1709156542083854e-27,2.5716125955630005e-24,1
146,147,160,2020-06-27,0.012817509884829673,4.635374443646869e-29,3.8798084093324295e-26,1
147,148,161,2020-06-28,0.012832644123827605,8.712682865898805e-31,7.44063116747758e-28,1
148,149,162,2020-06-29,0.012822950358205853,2.309102361641813e-29,1.9442641885024064e-26,1
149,150,163,2020-06-30,0.012785921699478208,1.4574192926385695e-26,1.1659354341108556e-23,1
150,151,164,2020-07-01,0.012719492276541159,2.6109405534074947e-24,1.9764819989294737e-21,1
151,152,165,2020-07-02,0.012622381238998781,1.4319552295554176e-22,1.0095284368365694e-19,1
152,153,166,2020-07-03,0.012493898223363744,3.3467630016997356e-21,2.1586621360963295e-18,1
153,154,167,2020-07-04,0.012334146484980702,3.945120667930058e-20,2.296060228735294e-17,1
154,155,168,2020-07-05,0.012145393861624488,2.559933032160135e-19,1.4284426319453554e-16,1
155,156,169,2020-07-06,0.011932722928965932,9.604919059794324e-19,5.138631696989964e-16,1
156,157,170,2020-07-07,0.011703426969724533,2.1686446329470604e-18,1.1342011430313126e-15,1
157,158,171,2020-07-08,0.01146583986864854,3.130999785648735e-18,1.6124648896090986e-15,1
158,159,172,2020-07-09,0.011227832945053608,3.1023390764903064e-18,1.6008069634689981e-15,1
159,160,173,2020-07-10,0.010995457903204359,2.2665765757449545e-18,1.1808863959631213e-15,1
