,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.023392765886743005,1.0404980897520399e-16,4.4637368050362515e-14,1
1,2,15,2020-02-03,0.022714038832033434,7.117990249292323e-17,3.12479771943933e-14,1
2,3,16,2020-02-04,0.02208151714593624,5.559326689117215e-17,2.451663069900692e-14,1
3,4,17,2020-02-05,0.021480156859494552,4.154182210700041e-17,1.8527652659722183e-14,1
4,5,18,2020-02-06,0.020910415757452908,2.943844641034268e-17,1.3257944998559146e-14,1
5,6,19,2020-02-07,0.020372976059418867,1.9631148368810406e-17,8.991065952915166e-15,1
6,7,20,2020-02-08,0.019868376611451345,1.2254814517957215e-17,5.710743565368062e-15,1
7,8,21,2020-02-09,0.0193968244324178,7.10905223490291e-18,3.4336722294581054e-15,1
8,9,22,2020-02-10,0.018958225031037237,3.804373785063968e-18,1.8755562760365363e-15,1
9,10,23,2020-02-11,0.01855200382544185,1.8708025672066736e-18,9.615925195442301e-16,1
10,11,24,2020-02-12,0.01817712698976193,8.525131424190785e-19,4.646196626183978e-16,1
11,12,25,2020-02-13,0.017832040234713773,3.687931320095854e-19,2.0763053332139657e-16,1
12,13,26,2020-02-14,0.017514471602068905,1.5784624121529495e-19,9.249789735216284e-17,1
13,14,27,2020-02-15,0.017221457853626207,7.044356631791455e-20,4.353412398447119e-17,1
14,15,28,2020-02-16,0.016949387476956384,3.479588373806964e-20,2.226936559236457e-17,1
15,16,29,2020-02-17,0.016694081618041628,2.0204426245654215e-20,1.3415739027114398e-17,1
16,17,30,2020-02-18,0.016450936681920984,1.4581100669511917e-20,9.929729555937616e-18,1
17,18,31,2020-02-19,0.016215253072297955,1.3495270500437614e-20,9.244260292799765e-18,1
18,19,32,2020-02-20,0.01598283781354003,1.5871864017189516e-20,1.0697636347585734e-17,1
19,20,33,2020-02-21,0.01575037145831845,2.2582056769223487e-20,1.4858993354149054e-17,1
20,21,34,2020-02-22,0.015515392988254752,3.6066644691405795e-20,2.3046585957808304e-17,1
21,22,35,2020-02-23,0.015276341759764039,6.022201788931786e-20,3.745809512715571e-17,1
22,23,36,2020-02-24,0.015032651335575867,9.930726006211547e-20,5.998158507751775e-17,1
23,24,37,2020-02-25,0.01478479084088011,1.5424506049022953e-19,9.072184887257689e-17,1
24,25,38,2020-02-26,0.014534231831372408,2.159548208644649e-19,1.2503784128052517e-16,1
25,26,39,2020-02-27,0.014283263089618633,2.6296307577762507e-19,1.509408054963568e-16,1
26,27,40,2020-02-28,0.014034586786208697,2.716099738088956e-19,1.5563251499249719e-16,1
27,28,41,2020-02-29,0.013791223493170874,2.3505855883400493e-19,1.3586384700605484e-16,1
28,29,42,2020-03-01,0.013556158229233124,1.7079132886624225e-19,9.957134472901923e-17,1
29,30,43,2020-03-02,0.013331923180578197,1.0596044230694847e-19,6.357626538416908e-17,1
30,31,44,2020-03-03,0.013120241031766068,5.737076056398974e-20,3.5799354591929597e-17,1
31,32,45,2020-03-04,0.012922039160977674,2.768288326030768e-20,1.7993874119199993e-17,1
32,33,46,2020-03-05,0.012737757035685126,1.2172342006853139e-20,8.377599665260582e-18,1
33,34,47,2020-03-06,0.012567445508093368,5.040184621663091e-21,3.558370342894142e-18,1
34,35,48,2020-03-07,0.01241074715159582,2.056345010232076e-21,1.486737442397791e-18,1
35,36,49,2020-03-08,0.01226676567724307,8.627324225946696e-22,6.375592602974609e-19,1
36,37,50,2020-03-09,0.012134160501508012,3.815662268672909e-22,2.8693780260420277e-19,1
37,38,51,2020-03-10,0.012011345498280585,1.7947036737307868e-22,1.3675641993828596e-19,1
38,39,52,2020-03-11,0.011896759810211235,9.057174092021745e-23,6.983081224948766e-20,1
39,40,53,2020-03-12,0.01178884621695561,5.0214134031999756e-23,3.931766694705581e-20,1
40,41,54,2020-03-13,0.01168586942850889,3.192915266900034e-23,2.525595976117927e-20,1
41,42,55,2020-03-14,0.011586079360041333,2.469706764707407e-23,1.9634168779423886e-20,1
42,43,56,2020-03-15,0.011487582369857034,2.4891269876389722e-23,1.976366828185344e-20,1
43,44,57,2020-03-16,0.011388127629964093,3.4686148660681816e-23,2.7402057441938636e-20,1
44,45,58,2020-03-17,0.01128511563265291,6.853186770408543e-23,5.324926120607438e-20,1
45,46,59,2020-03-18,0.01117587523945249,1.856754807823162e-22,1.4129904087534263e-19,1
46,47,60,2020-03-19,0.011058018353060235,6.347362803577782e-22,4.72243792586187e-19,1
47,48,61,2020-03-20,0.010929707652340599,2.4364895835038e-21,1.7469630313722247e-18,1
48,49,62,2020-03-21,0.010789816097509853,9.34835133287047e-21,6.459710771013495e-18,1
49,50,63,2020-03-22,0.010637961436832833,3.275864292029312e-20,2.109656604066877e-17,1
50,51,64,2020-03-23,0.010474689879804423,9.825979123233876e-20,5.95454334867973e-17,1
51,52,65,2020-03-24,0.010301386652859346,2.4220581898306673e-19,1.397527575532295e-16,1
52,53,66,2020-03-25,0.010119917341234796,4.855492857625645e-19,2.70936501455511e-16,1
53,54,67,2020-03-26,0.009932311692022225,8.016130803878869e-19,4.3848235497217416e-16,1
54,55,68,2020-03-27,0.009740639966411136,1.1130922550905787e-18,5.921650797081878e-16,1
55,56,69,2020-03-28,0.009547084598287982,1.3408507609330158e-18,7.026057987289003e-16,1
56,57,70,2020-03-29,0.00935397352892066,1.4458732412864816e-18,7.532999587102569e-16,1
57,58,71,2020-03-30,0.009163560281956577,1.4301842185695786e-18,7.4655616209332e-16,1
