,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.012988014598926356,2.969015522228208e-17,2.0872179121264303e-14,-1
1,2,15,2020-02-03,-0.013318814958971912,3.6682477550454146e-19,2.8685697444455144e-16,-1
2,3,16,2020-02-04,-0.013529834158497827,1.9397251518924295e-20,1.5769965484885452e-17,-1
3,4,17,2020-02-05,-0.01367252800424251,5.056242338638768e-22,4.242187322117926e-19,-1
4,5,18,2020-02-06,-0.013737374715299164,1.3680911305315262e-23,1.169717916604455e-20,-1
5,6,19,2020-02-07,-0.013714867098103949,8.471599870575511e-23,7.175445090377458e-20,-1
6,7,20,2020-02-08,-0.013594555427666926,3.4422579585004015e-20,2.781344430468324e-17,-1
7,8,21,2020-02-09,-0.013368183593231199,6.555585467702147e-18,4.844577660631887e-15,-1
8,9,22,2020-02-10,-0.013034734289527955,3.641072767729134e-16,2.432236608843062e-13,-1
9,10,23,2020-02-11,-0.012601039371589294,7.621192600783392e-15,4.512973462586254e-12,-1
10,11,24,2020-02-12,-0.012082507913575641,7.379393531617332e-14,3.933216752352038e-11,-1
11,12,25,2020-02-13,-0.011502287890243046,3.7178257248614685e-13,1.7882741736583665e-10,-1
12,13,26,2020-02-14,-0.010888809107450182,1.0192103217005054e-12,4.6068306540862847e-10,-1
13,14,27,2020-02-15,-0.010273600677337458,1.4735094058744627e-12,6.498176479906381e-10,-1
14,15,28,2020-02-16,-0.009689070440244016,1.0429218320103284e-12,4.693148244046478e-10,-1
15,16,29,2020-02-17,-0.009166847729758754,3.305744274679809e-13,1.5999802289450275e-10,-1
16,17,30,2020-02-18,-0.008731790005252246,4.138226100363883e-14,2.300853711802319e-11,-1
17,18,31,2020-02-19,-0.008398801761491229,1.6593740441870077e-15,1.045405647837815e-12,-1
18,19,32,2020-02-20,-0.00817196227470891,1.6590361572813418e-17,1.1762566355124714e-14,-1
19,20,33,2020-02-21,-0.008045213900170933,5.790153620762093e-20,4.649493357471961e-17,-1
20,21,34,2020-02-22,-0.008000959256201966,1.8957340650447633e-21,1.569667805857064e-18,-1
21,22,35,2020-02-23,-0.008015271959874552,4.4957071356901516e-21,3.704462679808685e-18,-1
22,23,36,2020-02-24,-0.008062409397580373,1.0292338719467819e-20,8.408840733805207e-18,-1
23,24,37,2020-02-25,-0.00811770916496083,4.631697797876777e-21,3.8072555898547106e-18,-1
24,25,38,2020-02-26,-0.008156757880683164,6.083622590003053e-22,5.098075730422559e-19,-1
25,26,39,2020-02-27,-0.00815601057019944,6.526241401474197e-22,5.462464053033903e-19,-1
26,27,40,2020-02-28,-0.008094732136313051,7.928287162198652e-20,6.334701442596722e-17,-1
27,28,41,2020-02-29,-0.007959147083894315,1.712347293870092e-17,1.2106295367661549e-14,-1
28,29,42,2020-03-01,-0.0077391700603292495,1.5343175394429022e-15,9.696886849279141e-13,-1
29,30,43,2020-03-02,-0.0074305366433615435,6.117183083856202e-14,3.303278865282349e-11,-1
30,31,44,2020-03-03,-0.007036066301166367,1.2982186278977663e-12,5.751108521587105e-10,-1
31,32,45,2020-03-04,-0.0065687202645204135,1.6210218568551748e-11,6.143672837481112e-09,-1
32,33,46,2020-03-05,-0.006054267195504582,1.1678242495809757e-10,3.9472459635836977e-08,-1
33,34,47,2020-03-06,-0.005526909302668907,4.558097058255388e-10,1.422126282175681e-07,-1
34,35,48,2020-03-07,-0.005021973833683304,8.672140679774705e-10,2.5756257818930876e-07,-1
35,36,49,2020-03-08,-0.004572161437588619,6.879744482299339e-10,2.070803089172101e-07,-1
36,37,50,2020-03-09,-0.00420617639957851,1.7877065107498849e-10,5.881554420367121e-08,-1
37,38,51,2020-03-10,-0.003946483333570549,1.2690954656334487e-11,4.886017542688778e-09,-1
38,39,52,2020-03-11,-0.0038047040621045996,4.894150453595377e-13,2.3051448636434225e-10,-1
39,40,53,2020-03-12,-0.0037779078140270923,1.9718808184308637e-13,9.859404092154319e-11,-1
40,41,54,2020-03-13,-0.0038483684735925996,1.0638246426948536e-12,4.776572645699893e-10,-1
41,42,55,2020-03-14,-0.003986404093513178,3.3711770323568948e-12,1.4260078846869664e-09,-1
42,43,56,2020-03-15,-0.004148565265083052,2.2026832279274547e-12,9.53761837692588e-10,-1
43,44,57,2020-03-16,-0.004279210668386069,3.245243786247608e-13,1.5771884801163373e-10,-1
44,45,58,2020-03-17,-0.004317302277158511,9.421089776758656e-14,4.9816826494988425e-11,-1
45,46,59,2020-03-18,-0.004205050145464162,5.315455535323645e-12,2.1952831360886655e-09,-1
46,47,60,2020-03-19,-0.0038968921322650235,3.043349089015259e-09,8.399643485682115e-07,-1
47,48,61,2020-03-20,-0.00336028627732875,1.1589018856410834e-06,0.00019442563737979849,-1
48,49,62,2020-03-21,-0.0025777205256495204,0.0002629519185857577,0.025243384184232737,-1
