,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0,1.0,1.0,0
1,2,15,2020-02-03,0.0,1.0,1.0,0
2,3,16,2020-02-04,0.0,1.0,1.0,0
3,4,17,2020-02-05,0.0,1.0,1.0,0
4,5,18,2020-02-06,-0.39301287192255857,0.10886430106296381,1.0,0
5,6,19,2020-02-07,-0.6994634210734001,0.02175381199430886,1.0,0
6,7,20,2020-02-08,-0.9427660321915243,0.004599403619223544,1.0,0
7,8,21,2020-02-09,-1.132403127103962,0.0010382366309348529,0.5596095440738857,0
8,9,22,2020-02-10,-1.2779560061484148,0.00026347693561509957,0.15228966878552755,0
9,10,23,2020-02-11,-1.4244293332545335,6.166578290833221e-05,0.036629475047549334,-1
10,11,24,2020-02-12,-1.0724847840700835,0.011478246173352467,1.0,0
11,12,25,2020-02-13,-0.720540234885634,0.11708972463655275,1.0,0
12,13,26,2020-02-14,-0.3685956857011839,0.44107790295464566,1.0,0
13,14,27,2020-02-15,-0.016651136516734,0.9725938444297055,1.0,0
14,15,28,2020-02-16,0.335293412667716,0.4844378429271048,1.0,0
15,16,29,2020-02-17,0.6872379618521659,0.13702137646174803,1.0,0
16,17,30,2020-02-18,1.0391825110366157,0.015328548815457508,1.0,0
17,18,31,2020-02-19,1.3911270602210661,0.00013720777019614582,0.08040375333494146,0
18,19,32,2020-02-20,1.2895952187256408,0.00038519867332154105,0.2203336411399215,0
19,20,33,2020-02-21,1.1577138631048989,0.0012861461513823,0.6868020448381482,0
20,21,34,2020-02-22,0.9771145199902104,0.005129801170094525,1.0,0
21,22,35,2020-02-23,0.7390759258178894,0.02269542226698607,1.0,0
22,23,36,2020-02-24,0.43196215945182637,0.10886430106296399,1.0,0
23,24,37,2020-02-25,0.0,1.0,1.0,0
24,25,38,2020-02-26,0.0,1.0,1.0,0
25,26,39,2020-02-27,0.0,1.0,1.0,0
26,27,40,2020-02-28,0.0,1.0,1.0,0
27,28,41,2020-02-29,0.0,1.0,1.0,0
28,29,42,2020-03-01,0.0,1.0,1.0,0
29,30,43,2020-03-02,0.0,1.0,1.0,0
30,31,44,2020-03-03,0.0,1.0,1.0,0
31,32,45,2020-03-04,0.0,1.0,1.0,0
32,33,46,2020-03-05,0.0,1.0,1.0,0
33,34,47,2020-03-06,0.0,1.0,1.0,0
34,35,48,2020-03-07,0.0,1.0,1.0,0
35,36,49,2020-03-08,0.0,1.0,1.0,0
36,37,50,2020-03-09,0.0,1.0,1.0,0
37,38,51,2020-03-10,0.0,1.0,1.0,0
38,39,52,2020-03-11,0.0,1.0,1.0,0
