,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.012195954912851845,2.9454118890883855e-20,2.3946198658288575e-17,-1
1,2,15,2020-02-03,-0.012102812548936097,1.0178876467225683e-21,8.590971738338477e-19,-1
2,3,16,2020-02-04,-0.012091780506819434,4.838658121345631e-22,4.098343428779749e-19,-1
3,4,17,2020-02-05,-0.012180921706845446,5.195367284922047e-20,4.203052133501936e-17,-1
4,5,18,2020-02-06,-0.012373430256488545,5.502772768094794e-18,4.0115213479411045e-15,-1
5,6,19,2020-02-07,-0.012667871791850324,1.5711420910371873e-16,1.0793746165425477e-13,-1
6,7,20,2020-02-08,-0.013057391715057848,1.4876433054330324e-15,9.773816516695023e-13,-1
7,8,21,2020-02-09,-0.013525626757190157,5.597648505984973e-15,3.5041279647465934e-12,-1
8,9,22,2020-02-10,-0.01404179386071535,8.75872497684498e-15,5.395374585736508e-12,-1
9,10,23,2020-02-11,-0.014554613039059895,5.1353255382168475e-15,3.240390414614831e-12,-1
10,11,24,2020-02-12,-0.014993637516493909,9.081792049466198e-16,6.039391712895022e-13,-1
11,12,25,2020-02-13,-0.015272352692502938,5.251340909930897e-17,3.675938636951628e-14,-1
12,13,26,2020-02-14,-0.01529656506068705,3.1954170025946e-17,2.2559644038317876e-14,-1
13,14,27,2020-02-15,-0.014977715504742362,9.820558890217531e-15,6.0298231585935645e-12,-1
14,15,28,2020-02-16,-0.014245740675132552,6.417856686145532e-12,2.9843033590576723e-09,-1
15,16,29,2020-02-17,-0.01306172124952487,1.4982534488200394e-09,5.049114122523533e-07,-1
16,17,30,2020-02-18,-0.011422486250647394,1.5797964834825295e-07,3.933693243871498e-05,-1
17,18,31,2020-02-19,-0.009358553747986604,1.0403307808248328e-05,0.0018786759407378893,-1
18,19,32,2020-02-20,-0.006930949379442918,0.0005322631679461007,0.06493610648942429,0
19,20,33,2020-02-21,-0.004231190335057814,0.021422136903589697,1.0,0
20,21,34,2020-02-22,-0.0013750827660004412,0.4183714263856997,1.0,0
21,22,35,2020-02-23,0.0015130551689764259,0.3635141448463808,1.0,0
22,23,36,2020-02-24,0.0043128041750874705,0.013675267552555504,0.9982945313365518,0
23,24,37,2020-02-25,0.00691876629176166,0.0002291149456210148,0.02955582798511091,1
24,25,38,2020-02-26,0.009247470030672396,3.4343845457147898e-06,0.000669704986414384,1
25,26,39,2020-02-27,0.011244630915551031,5.339679510656353e-08,1.4417134678772154e-05,1
26,27,40,2020-02-28,0.012888458382911375,8.384684019999019e-10,2.8843313028796624e-07,1
27,28,41,2020-02-29,0.014188683810043356,1.2615758308843386e-11,5.6644754806706805e-09,1
28,29,42,2020-03-01,0.015181388633003792,1.70152207064326e-13,9.307325726418632e-11,1
29,30,43,2020-03-02,0.015917235597554685,1.9184292085364962e-15,1.2508158439657955e-12,1
30,31,44,2020-03-03,0.016451096362066642,1.8303020329532978e-17,1.3104962555945612e-14,1
31,32,45,2020-03-04,0.016839488784523352,1.7448523999452837e-19,1.366219429157157e-16,1
32,33,46,2020-03-05,0.017133843173582956,2.5516899090278023e-21,2.1230060043111313e-18,1
33,34,47,2020-03-06,0.017375060000263204,1.9669895479137097e-22,1.6778420843703944e-19,1
34,35,48,2020-03-07,0.01759223808747404,2.81084260552613e-22,2.3892162146972103e-19,1
35,36,49,2020-03-08,0.0178071551027762,2.1809981661608736e-21,1.8211334687443295e-18,1
36,37,50,2020-03-09,0.018036825228281525,1.8413026157205195e-20,1.506185539659385e-17,1
37,38,51,2020-03-10,0.018288534609048255,8.633578131855581e-20,6.889595349220754e-17,1
