,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.00030763673191962123,1.265750820477722e-13,6.01231639726918e-11,1
1,2,15,2020-02-03,0.00028604095717003414,2.65313392380454e-12,1.050641033826598e-09,1
2,3,16,2020-02-04,0.00026604012241149516,1.7431775915993168e-10,5.246964550713943e-08,1
3,4,17,2020-02-05,0.00024068882076781696,5.318971655890263e-09,1.3031480556931146e-06,1
4,5,18,2020-02-06,0.00021105417752315955,8.70299731260353e-08,1.8798474195223624e-05,1
5,6,19,2020-02-07,0.0001790269598911005,8.29569461568574e-07,0.0001592773366211662,1
6,7,20,2020-02-08,0.00014713216446441449,4.585378094396342e-06,0.0008070265446137562,1
7,8,21,2020-02-09,0.00011814375941627697,1.3147822740280726e-05,0.0022219820431074425,1
8,9,22,2020-02-10,9.466773241105602e-05,1.4955537139244731e-05,0.0024826191651146252,1
9,10,23,2020-02-11,7.888154148068617e-05,4.486891531148422e-06,0.0007941798010132707,1
10,11,24,2020-02-12,7.234236333204841e-05,8.011451217641937e-07,0.00015462100850048937,1
11,12,25,2020-02-13,7.584230677246623e-05,2.4905177286461295e-06,0.0004557647443422417,1
12,13,26,2020-02-14,8.92687355064407e-05,1.4631187582334015e-05,0.0024434083262497804,1
13,14,27,2020-02-15,0.00011161292565981716,2.1782735357947802e-05,0.003528803127987544,1
14,15,28,2020-02-16,0.00014104445877281062,1.1222214937012431e-05,0.0019077765392921133,1
15,16,29,2020-02-17,0.0001750102660406863,2.816300711785358e-06,0.0005097504288331498,1
16,17,30,2020-02-18,0.00021026219079662013,3.8823161526657933e-07,7.686985982278271e-05,1
17,18,31,2020-02-19,0.00024315910473666816,2.8420932661433445e-08,6.451551714145392e-06,1
18,19,32,2020-02-20,0.0002701668162965465,9.74022044485658e-10,2.639599740556133e-07,1
19,20,33,2020-02-21,0.000288351021988699,1.6356148576977307e-11,5.806432744826944e-09,1
20,21,34,2020-02-22,0.0002956054207507523,8.308085530683192e-13,3.6057091203165055e-10,1
21,22,35,2020-02-23,0.00029082208308532333,7.584085905269951e-12,2.806111784949882e-09,1
22,23,36,2020-02-24,0.0002739843622257622,8.437270050040184e-10,2.3539983439612114e-07,1
23,24,37,2020-02-25,0.0002461571395114174,6.03338099834608e-08,1.3394105816328297e-05,1
24,25,38,2020-02-26,0.00020935750701896343,2.2058327818866965e-06,0.00040807906464903883,1
25,26,39,2020-02-27,0.00016644170264791026,5.0326014394797554e-05,0.007750206216798824,1
26,27,40,2020-02-28,0.00012079669758356105,0.0008519040059791894,0.11330323279523219,0
27,28,41,2020-02-29,7.604076290091171e-05,0.011909277034956816,1.0,0
28,29,42,2020-03-01,3.559789086870875e-05,0.1356592520520659,1.0,0
29,30,43,2020-03-02,2.3271868934470086e-06,0.8974329586973128,1.0,0
30,31,44,2020-03-03,-2.1849640987971773e-05,0.11161034695755706,1.0,0
31,32,45,2020-03-04,-3.606277777236722e-05,0.0011355616704095102,0.1453518938124173,0
32,33,46,2020-03-05,-4.040377835203297e-05,7.151325028119028e-05,0.010870014042740923,-1
33,34,47,2020-03-06,-3.5532107768548444e-05,0.0011897240617149266,0.1510949558377957,0
34,35,48,2020-03-07,-2.2566023024793603e-05,0.06277103547063057,1.0,0
35,36,49,2020-03-08,-2.8370831249243824e-06,0.8345810351311092,1.0,0
36,37,50,2020-03-09,2.2553474386566903e-05,0.16143284570126476,1.0,0
37,38,51,2020-03-10,5.279185824409522e-05,0.008079209607194961,0.8806338471842508,0
38,39,52,2020-03-11,8.729521700586583e-05,0.0004431350486844103,0.06292517691318626,0
39,40,53,2020-03-12,0.00012583271291443063,4.24398494688303e-05,0.006578176667668696,1
40,41,54,2020-03-13,0.0001684500243628913,7.228831738898192e-06,0.0012505878908293873,1
41,42,55,2020-03-14,0.0002153689487027141,1.8723010393924813e-06,0.00034824799332700153,1
42,43,56,2020-03-15,0.000266803424725947,6.136135468952885e-07,0.00011904102809768596,1
43,44,57,2020-03-16,0.00032273260844427695,2.1956662273926966e-07,4.501115766155028e-05,1
44,45,58,2020-03-17,0.00038266224705190316,7.613742735043848e-08,1.6674096589746028e-05,1
45,46,59,2020-03-18,0.0004455274826020681,2.3249758158629563e-08,5.347444376484799e-06,1
46,47,60,2020-03-19,0.0005098114420142309,5.927435222383819e-09,1.440366759039268e-06,1
47,48,61,2020-03-20,0.0005737215476726155,1.2198000075439336e-09,3.2568660201423027e-07,1
48,49,62,2020-03-21,0.0006353738445662373,1.984921399675663e-10,5.915065771033476e-08,1
49,50,63,2020-03-22,0.0006928974726978046,2.5148463923808194e-11,8.751665445485251e-09,1
50,51,64,2020-03-23,0.0007446295593842216,2.362700090219911e-12,9.450800360879643e-10,1
51,52,65,2020-03-24,0.0007890153115114437,1.4772160518855958e-13,6.9429154438623e-11,1
52,53,66,2020-03-25,0.0008245068349717645,5.046041863888319e-15,2.9367963647830016e-12,1
53,54,67,2020-03-26,0.0008496967516854989,6.979632222028781e-17,4.571659105428852e-14,1
54,55,68,2020-03-27,0.0008635052001630671,4.945835437499617e-19,3.575839021312223e-16,1
55,56,69,2020-03-28,0.0008653175040170465,1.6129513881991438e-19,1.1806804161617732e-16,1
56,57,70,2020-03-29,0.0008551877553542489,1.7462914559023907e-17,1.1962096472931375e-14,1
57,58,71,2020-03-30,0.000833908396323859,1.8864550594581157e-15,1.1356459457937856e-12,1
58,59,72,2020-03-31,0.0008026917912903831,6.903012700560545e-14,3.4031852613763485e-11,1
59,60,73,2020-04-01,0.0007628721697081809,1.0978431183054638e-12,4.6548548216151666e-10,1
60,61,74,2020-04-02,0.0007158910170304855,9.643684266808537e-12,3.519944757385116e-09,1
61,62,75,2020-04-03,0.0006633362403014582,5.424135681958056e-11,1.7628440966363682e-08,1
62,63,76,2020-04-04,0.000607283093235334,2.0689942138770715e-10,6.144912815214902e-08,1
63,64,77,2020-04-05,0.0005500184665032985,5.546456096732921e-10,1.5807399875688824e-07,1
64,65,78,2020-04-06,0.0004935878781930982,1.1121225715468833e-09,2.9916097174611163e-07,1
65,66,79,2020-04-07,0.0004392842355543352,1.9017505700038818e-09,4.963568987710132e-07,1
66,67,80,2020-04-08,0.0003873741172688186,3.466003249883928e-09,8.734328189707498e-07,1
67,68,81,2020-04-09,0.0003370895341628471,9.301190825401699e-09,2.213683416445604e-06,1
68,69,82,2020-04-10,0.0002867214785610171,5.532158121614554e-08,1.2336712611200456e-05,1
69,70,83,2020-04-11,0.00023381407243908996,1.0239233071766485e-06,0.00019454542836356322,1
70,71,84,2020-04-12,0.00017545022007768119,6.460074564622945e-05,0.009883914083873105,1
71,72,85,2020-04-13,0.00010860143278281189,0.009062211170340104,0.9787188063967311,0
72,73,86,2020-04-14,3.031609020354495e-05,0.4883037787740191,1.0,0
73,74,87,2020-04-15,-6.21179112249408e-05,0.250144486693135,1.0,0
74,75,88,2020-04-16,-0.000171078583426352,0.01654475722744599,1.0,0
75,76,89,2020-04-17,-0.0002983617878381457,0.001357266942824313,0.17101563479586343,0
76,77,90,2020-04-18,-0.0004447856525559655,0.0001604869313639381,0.023912552773226774,-1
77,78,91,2020-04-19,-0.0006103143288329756,2.5059119610479912e-05,0.003959340898455826,-1
78,79,92,2020-04-20,-0.0007944443130241334,4.787717490143274e-06,0.000837850560775073,-1
79,80,93,2020-04-21,-0.0009966162624336196,1.0713716743659855e-06,0.00020248924645517127,-1
80,81,94,2020-04-22,-0.0012162198786873526,2.7429602216773405e-07,5.568209250005001e-05,-1
81,82,95,2020-04-23,-0.0014523989620988241,7.919823760976677e-08,1.7186017561319387e-05,-1
82,83,96,2020-04-24,-0.001703886960214772,2.530738966076878e-08,5.7700848426552815e-06,-1
83,84,97,2020-04-25,-0.0019692106193897017,8.786852813120369e-09,2.1088446751488885e-06,-1
84,85,98,2020-04-26,-0.0022469637902598864,3.258877736786242e-09,8.244960674069192e-07,-1
85,86,99,2020-04-27,-0.0025359023439877784,1.2706697779605944e-09,3.379981609375181e-07,-1
86,87,100,2020-04-28,-0.002834991860669213,5.13593931865972e-10,1.4740145844553396e-07,-1
87,88,101,2020-04-29,-0.0031434087243276676,2.1327856124566972e-10,6.291717556747257e-08,-1
88,89,102,2020-04-30,-0.0034606539236599976,9.106769808729085e-11,2.88684602936712e-08,-1
89,90,103,2020-05-01,-0.0037865966492399202,4.0574031588381967e-11,1.3673448645284722e-08,-1
90,91,104,2020-05-02,-0.00412107936551284,1.916930865235256e-11,6.766765954280454e-09,-1
91,92,105,2020-05-03,-0.004463802956828661,9.719366669380822e-12,3.537849467654619e-09,-1
92,93,106,2020-05-04,-0.004814427151103475,5.29632814086798e-12,1.9861230528254925e-09,-1
93,94,107,2020-05-05,-0.005172953343376402,3.072958795579344e-12,1.1892350538892062e-09,-1
94,95,108,2020-05-06,-0.0055396201389163804,1.8615237998654815e-12,7.684166016167593e-10,-1
95,96,109,2020-05-07,-0.0059148596372912985,1.1535426602663206e-12,4.867950026323873e-10,-1
