,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.002998863985197107,8.719864957319894e-06,0.0015434160974456212,1
1,2,15,2020-02-03,0.0022131289190418743,0.0004583584272475911,0.05500301126971093,0
2,3,16,2020-02-04,0.0012929888198619033,0.02376600006319931,1.0,0
3,4,17,2020-02-05,0.0003202507050042359,0.554391748442546,1.0,0
4,5,18,2020-02-06,-0.000680576371672275,0.23323284797853994,1.0,0
5,6,19,2020-02-07,-0.0016870379985600248,0.00918099820376968,0.7427810139855564,0
6,7,20,2020-02-08,-0.0026775806993183547,0.00029013145628083923,0.03597630057882407,-1
7,8,21,2020-02-09,-0.003630984783778141,1.0984058462578281e-05,0.001878273997100886,-1
8,9,22,2020-02-10,-0.004527805816905011,4.881844790893258e-07,0.00011228243019054494,-1
9,10,23,2020-02-11,-0.005351216210723365,2.290761451552e-08,6.658598267321044e-06,-1
10,11,24,2020-02-12,-0.006089142548625781,1.0382080019612742e-09,3.675256326942911e-07,-1
11,12,25,2020-02-13,-0.006733958729165296,4.3759967850462134e-11,1.8510466400745483e-08,-1
12,13,26,2020-02-14,-0.007279930345447149,1.724467746392842e-12,8.639583409428139e-10,-1
13,14,27,2020-02-15,-0.00772436959866669,6.46631978683716e-14,3.821594994020761e-11,-1
14,15,28,2020-02-16,-0.008074754282412068,2.3595455722548337e-15,1.545502349826916e-12,-1
15,16,29,2020-02-17,-0.008350927512366034,8.463055112278043e-17,6.042621350166523e-14,-1
16,17,30,2020-02-18,-0.008575082765953845,3.264057602183376e-18,2.474155662454999e-15,-1
17,18,31,2020-02-19,-0.00876529113028013,1.9759541250511237e-19,1.5570518505402854e-16,-1
18,19,32,2020-02-20,-0.008936790395171436,4.078740297942268e-20,3.271149718949699e-17,-1
19,20,33,2020-02-21,-0.009102583945505623,4.947201485643018e-20,3.952813987028771e-17,-1
20,21,34,2020-02-22,-0.009268114681118838,1.5679812681696625e-19,1.2371372205858636e-16,-1
21,22,35,2020-02-23,-0.00942809565012751,3.5705983630866027e-19,2.792207919933723e-16,-1
22,23,36,2020-02-24,-0.00956590006378125,2.7494030115768813e-19,2.1555319610762748e-16,-1
23,24,37,2020-02-25,-0.00965494536001377,6.461381652878436e-20,5.1303370323854784e-17,-1
24,25,38,2020-02-26,-0.009662873283909502,4.6171520811811154e-20,3.6937216649448925e-17,-1
25,26,39,2020-02-27,-0.009555871914185892,7.477823023228059e-18,5.5635003292816756e-15,-1
26,27,40,2020-02-28,-0.00929742746166066,6.412482363434365e-15,4.052688853690519e-12,-1
27,28,41,2020-02-29,-0.008847897547317055,2.2547462680974235e-12,1.1115899101720297e-09,-1
28,29,42,2020-03-01,-0.008172616231751601,3.348248910245936e-10,1.2622898391627178e-07,-1
29,30,43,2020-03-02,-0.007252360955723999,2.86451694257962e-08,8.163873286351917e-06,-1
30,31,44,2020-03-03,-0.006089514074091055,1.7754921887497777e-06,0.0003657513908824542,-1
31,32,45,2020-03-04,-0.004710522652621102,9.237709765607901e-05,0.013025170769507141,-1
32,33,46,2020-03-05,-0.003168498082878689,0.0041729927425356245,0.3736697909667298,0
33,34,47,2020-03-06,-0.0015387352421151364,0.12508754828948998,1.0,0
34,35,48,2020-03-07,9.65160225135918e-05,0.9182069389582439,1.0,0
35,36,49,2020-03-08,0.001661116156577036,0.07803807693300686,1.0,0
36,37,50,2020-03-09,0.003091141984409549,0.0016572182563978333,0.169036262152579,0
37,38,51,2020-03-10,0.0043364891537376075,2.0582624219826592e-05,0.003293219875172255,1
38,39,52,2020-03-11,0.005362089349147643,1.8144698646888573e-07,4.5180299630752546e-05,1
39,40,53,2020-03-12,0.0061492185134652535,9.210918404193998e-10,3.290984205026108e-07,1
40,41,54,2020-03-13,0.006694635444473501,1.7832586468812254e-12,8.880628061468503e-10,1
41,42,55,2020-03-14,0.007012087619368044,9.11223834938298e-16,6.123424170785362e-13,1
42,43,56,2020-03-15,0.007128748873268101,2.3503355750124003e-18,1.7933060437344615e-15,1
