,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0016268011204963876,2.5856642075122607e-05,0.0038526396691932687,1
1,2,15,2020-02-03,0.0020560851266097145,6.971565118042504e-08,1.701061888802371e-05,1
2,3,16,2020-02-04,0.0023232890847308023,9.640815098098212e-10,3.2202917537809164e-07,1
3,4,17,2020-02-05,0.0025078968848635743,7.181358235922541e-12,3.2818807138166013e-09,1
4,5,18,2020-02-06,0.002603999677573321,5.483175788623727e-14,3.2021746605562566e-11,1
5,6,19,2020-02-07,0.0026079317116956117,4.0747005709046306e-14,2.3999986362628274e-11,1
6,7,20,2020-02-08,0.002517679159740124,4.8873513295008e-12,2.2823930708768737e-09,1
7,8,21,2020-02-09,0.0023311053088375393,8.043801476793658e-10,2.734892502109844e-07,1
8,9,22,2020-02-10,0.002046358897860092,8.840604425821304e-08,2.1129044577712917e-05,1
9,10,23,2020-02-11,0.0016646417280873462,8.563610330918774e-06,0.0013701776529470037,1
10,11,24,2020-02-12,0.0011905484414229824,0.000879172615810831,0.08879643419689394,0
11,12,25,2020-02-13,0.0006298488699199263,0.0693737916386647,1.0,0
12,13,26,2020-02-14,-1.1644706776612602e-05,0.9746768970892894,1.0,0
13,14,27,2020-02-15,-0.0007295053808807082,0.09355210576287876,1.0,0
14,15,28,2020-02-16,-0.001521615016136818,0.004635105994497571,0.37080847955980567,0
15,16,29,2020-02-17,-0.0023858268329070204,0.00028568749443788914,0.032282686871481475,-1
16,17,30,2020-02-18,-0.00331659720615502,2.5400385710311015e-05,0.003810057856546652,-1
17,18,31,2020-02-19,-0.00430424972458873,3.113816505915383e-06,0.0005573731545588536,-1
18,19,32,2020-02-20,-0.0053367454615376765,4.859312717485775e-07,0.0001010737045237041,-1
19,20,33,2020-02-21,-0.006401117909591618,8.94070866611404e-08,2.1278886625351417e-05,-1
20,21,34,2020-02-22,-0.007485534327987955,1.863229743361595e-08,5.012088009642691e-06,-1
21,22,35,2020-02-23,-0.008581762012113872,4.318318791923489e-09,1.282540681201276e-06,-1
22,23,36,2020-02-24,-0.009683680524943889,1.0792835002324654e-09,3.57242838576946e-07,-1
23,24,37,2020-02-25,-0.010787063914869137,2.8631240342426496e-10,1.0529988195528201e-07,-1
24,25,38,2020-02-26,-0.011890323966822892,8.22555963139507e-11,3.290223852558028e-08,-1
25,26,39,2020-02-27,-0.012994980831252759,2.6450703052159833e-11,1.126799950022009e-08,-1
26,27,40,2020-02-28,-0.014103301392946003,9.89721796424036e-12,4.4636453018724025e-09,-1
27,28,41,2020-02-29,-0.01521881575146434,4.442255759516939e-12,2.096744718491995e-09,-1
