,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.021851554610899937,3.4308164251805216e-18,2.350109251248657e-15,-1
1,2,15,2020-02-03,-0.022316806355350098,1.8442000696286537e-20,1.421878253683692e-17,-1
2,3,16,2020-02-04,-0.02262756211571322,1.3393157339940678e-21,1.0687739557272662e-18,-1
3,4,17,2020-02-05,-0.022914003282043766,2.556270110125507e-22,2.0705787892016607e-19,-1
4,5,18,2020-02-06,-0.023204237271243922,4.1415910108912707e-22,3.3381223547783643e-19,-1
5,6,19,2020-02-07,-0.02353016103971874,5.2105105640554625e-21,4.100671813911649e-18,-1
6,7,20,2020-02-08,-0.023921593064643247,1.3103062801457717e-19,9.709369535880169e-17,-1
7,8,21,2020-02-09,-0.024399021849826244,2.4979636633383457e-18,1.7185990003767818e-15,-1
8,9,22,2020-02-10,-0.02496869001217096,2.4988739434023987e-17,1.621769189268157e-14,-1
9,10,23,2020-02-11,-0.02561901419463625,1.1364262460190793e-16,7.057206987778482e-14,-1
10,11,24,2020-02-12,-0.02632002921971022,2.2114431842960182e-16,1.333500240130499e-13,-1
11,12,25,2020-02-13,-0.027027435408780432,1.7457235683510998e-16,1.0596542059891176e-13,-1
12,13,26,2020-02-14,-0.027682485216147763,5.154367648275141e-17,3.2884865595995403e-14,-1
13,14,27,2020-02-15,-0.028215500790187163,5.105596275198055e-18,3.4411718894834893e-15,-1
14,15,28,2020-02-16,-0.02855548248616048,2.0036361556106183e-19,1.464658029751362e-16,-1
15,16,29,2020-02-17,-0.02863955070959291,4.482731475060724e-20,3.388944995145907e-17,-1
16,17,30,2020-02-18,-0.028419560632265084,1.875821192257855e-18,1.3036957286192093e-15,-1
17,18,31,2020-02-19,-0.02786756179373333,2.6585492884394177e-16,1.5871539251983324e-13,-1
18,19,32,2020-02-20,-0.02698597409871474,1.4299896802022115e-14,7.250047678625212e-12,-1
19,20,33,2020-02-21,-0.02581117661118311,2.832026006110484e-13,1.2319313126580606e-10,-1
20,21,34,2020-02-22,-0.024409773234680132,2.4738809161228807e-12,9.433931491094356e-10,-1
21,22,35,2020-02-23,-0.022869657880719835,1.0664137779120292e-11,3.648366937684812e-09,-1
22,23,36,2020-02-24,-0.021290572246707676,2.3533233151625784e-11,7.577701074823502e-09,-1
23,24,37,2020-02-25,-0.019769343464606116,2.585027967668322e-11,8.224311433237836e-09,-1
24,25,38,2020-02-26,-0.018389911565168907,1.2876895671406578e-11,4.36526763260683e-09,-1
25,26,39,2020-02-27,-0.01721963691050425,2.46961557358491e-12,9.433931491094356e-10,-1
26,27,40,2020-02-28,-0.016310127258020463,1.4111927205012754e-13,6.265695679025663e-11,-1
27,28,41,2020-02-29,-0.01569540332144834,1.82428395533732e-15,1.0070047433462005e-12,-1
28,29,42,2020-03-01,-0.015389106952490933,1.2237547407039191e-17,8.076781288645866e-15,-1
29,30,43,2020-03-02,-0.01538306535851649,1.0595899012708892e-17,7.025081045425996e-15,-1
30,31,44,2020-03-03,-0.01564568696294027,4.086542788650122e-16,2.382454445783021e-13,-1
31,32,45,2020-03-04,-0.016125423068026692,5.9082910417512596e-15,3.137302543169919e-12,-1
32,33,46,2020-03-05,-0.01676076469334533,2.284429367262218e-14,1.1376458248965844e-11,-1
33,34,47,2020-03-06,-0.017492833708938706,3.4317534566354604e-14,1.654105166098292e-11,-1
34,35,48,2020-03-07,-0.018268516926396243,2.6096682361115047e-14,1.2791720926009353e-11,-1
35,36,49,2020-03-08,-0.019039448404930312,1.1297805616193677e-14,5.80707208672355e-12,-1
36,37,50,2020-03-09,-0.019767606300861496,2.840281367730202e-15,1.5365922199420392e-12,-1
