,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.006523545590667836,0.7276333361238425,1.0,0
1,2,15,2020-02-03,-0.04541137951229213,0.005687457537508314,1.0,0
2,3,16,2020-02-04,-0.07319786011555865,0.00019214980940068351,0.09492200584393766,0
3,4,17,2020-02-05,-0.1018210856974402,1.5761240470310094e-05,0.00841650241114559,-1
4,5,18,2020-02-06,-0.1319754561724453,2.4602655020051186e-06,0.001370367884616851,-1
5,6,19,2020-02-07,-0.16266733595451535,4.5828082273771346e-07,0.0002667194388333492,-1
6,7,20,2020-02-08,-0.18888971153913245,4.720727262649024e-08,2.9221301755797457e-05,-1
7,8,21,2020-02-09,-0.20183369415017274,3.1734547400072888e-09,2.1040004926248323e-06,-1
8,9,22,2020-02-10,-0.19561108947617445,2.732812430919614e-08,1.7216718314793567e-05,-1
9,10,23,2020-02-11,-0.1704641045059862,1.2448099212595589e-05,0.006684629277163831,-1
10,11,24,2020-02-12,-0.1299496405715802,0.002163581290244534,0.9563029302880841,0
11,12,25,2020-02-13,-0.07850033889484419,0.07924106945835009,1.0,0
12,13,26,2020-02-14,-0.020533948660950287,0.6583338761301367,1.0,0
13,14,27,2020-02-15,0.03972368867990666,0.4050489978245818,1.0,0
14,15,28,2020-02-16,0.09814668655829992,0.04196139959010185,1.0,0
15,16,29,2020-02-17,0.15058911370608627,0.0015300903123115675,0.6916008211648285,0
16,17,30,2020-02-18,0.1928285987864177,1.9525194384152323e-05,0.010406928606753189,1
17,18,31,2020-02-19,0.2205669779083473,1.251343556811861e-07,7.533088212007403e-05,1
18,19,32,2020-02-20,0.2297548980818794,1.0186159667812678e-08,6.58025914540699e-06,1
19,20,33,2020-02-21,0.21798689323015408,1.1782631388298305e-07,7.104926727143878e-05,1
20,21,34,2020-02-22,0.1877064695237862,2.5248856735424198e-06,0.0014038364344895855,1
21,22,35,2020-02-23,0.14732036086349065,3.144637899976801e-05,0.016509348974878203,1
22,23,36,2020-02-24,0.10498427884224326,0.0004064101184013642,0.19345121635904935,0
23,24,37,2020-02-25,0.06445439257162956,0.007871713294151258,1.0,0
24,25,38,2020-02-26,0.026767369913741863,0.17953130250584443,1.0,0
25,26,39,2020-02-27,-0.007796944489290929,0.6596092947201765,1.0,0
26,27,40,2020-02-28,-0.03883164011080997,0.028193366553758245,1.0,0
27,28,41,2020-02-29,-0.06547305909397064,0.0004023277069582115,0.1923126439260251,0
28,29,42,2020-03-01,-0.08638633498299693,4.531039557130226e-06,0.002483009677307364,-1
29,30,43,2020-03-02,-0.10000160544046854,4.1990789358599436e-08,2.611827098104885e-05,-1
30,31,44,2020-03-03,-0.10500304997682314,1.8594607054916913e-09,1.2476981333849248e-06,-1
31,32,45,2020-03-04,-0.10089325580878467,3.368945228066054e-08,2.115697603225482e-05,-1
32,33,46,2020-03-05,-0.08808516033980922,7.796826136166478e-06,0.004210286113529898,-1
33,34,47,2020-03-06,-0.06773296685995879,0.0009792773973772739,0.4534054349856778,0
34,35,48,2020-03-07,-0.04148046936292842,0.04560850754924285,1.0,0
35,36,49,2020-03-08,-0.011291228323639393,0.5869950230216187,1.0,0
36,37,50,2020-03-09,0.02070394324346386,0.3285374798152696,1.0,0
37,38,51,2020-03-10,0.052291387283257315,0.017075937323669212,1.0,0
38,39,52,2020-03-11,0.08129924362683695,0.0002932552877543331,0.14252206984860588,0
39,40,53,2020-03-12,0.10577518091782062,2.0990841433589528e-06,0.0011733880361376545,1
40,41,54,2020-03-13,0.12420463621008793,5.3124015861344285e-09,3.495560243676454e-06,1
41,42,55,2020-03-14,0.1357823165844009,3.5744061723596166e-12,2.6915278477867913e-09,1
42,43,56,2020-03-15,0.1406360693496576,5.778406502987738e-15,4.778742177970859e-12,1
43,44,57,2020-03-16,0.13981822563770901,1.8597980957384413e-14,1.5157354480268298e-11,1
44,45,58,2020-03-17,0.1349609607214964,4.844795584069511e-13,3.7208030085653846e-10,1
45,46,59,2020-03-18,0.127644411308521,4.5037620503774595e-12,3.359806489581585e-09,1
46,47,60,2020-03-19,0.11910131885003772,1.8211487540406138e-11,1.3239751441875262e-08,1
47,48,61,2020-03-20,0.11015013763437533,4.130281673990057e-11,2.953151396902891e-08,1
48,49,62,2020-03-21,0.10131918222902221,5.950263646917595e-11,4.218736925664575e-08,1
49,50,63,2020-03-22,0.092949951466414,5.7819534356540005e-11,4.110968892749994e-08,1
50,51,64,2020-03-23,0.08525995641637645,4.04149915720309e-11,2.8937133965574125e-08,1
51,52,65,2020-03-24,0.07833612862458979,2.206971194167475e-11,1.5912262309947495e-08,1
52,53,66,2020-03-25,0.07215783150426447,1.0582716085954307e-11,7.778296323176415e-09,1
53,54,67,2020-03-26,0.06664213301891382,5.357073305844495e-12,3.991019612854149e-09,1
54,55,68,2020-03-27,0.061673639862079056,3.6399630271963765e-12,2.7372521964516753e-09,1
55,56,69,2020-03-28,0.05713008692129763,4.090503576563208e-12,3.0596966752692794e-09,1
56,57,70,2020-03-29,0.05288898220031055,7.735244669239827e-12,5.708610565898993e-09,1
57,58,71,2020-03-30,0.04883829793142462,2.0227715399757494e-11,1.4644865949424425e-08,1
58,59,72,2020-03-31,0.04489941595053853,5.707661386894398e-11,4.063854907468811e-08,1
59,60,73,2020-04-01,0.04103812211687162,1.4836719854781724e-10,1.041537733805677e-07,1
60,61,74,2020-04-02,0.03724959359564204,3.4276417548827117e-10,2.3822110196434846e-07,1
61,62,75,2020-04-03,0.033506810085005556,7.790659842151916e-10,5.321020672189758e-07,1
62,63,76,2020-04-04,0.0297317971567844,2.2741723121640893e-09,1.5191471045256117e-06,1
63,64,77,2020-04-05,0.025775029974696887,1.3932013164823373e-08,8.888624399157313e-06,1
64,65,78,2020-04-06,0.021406702000288724,3.185551941308733e-07,0.00018731045414895352,1
65,66,79,2020-04-07,0.016289996982622162,3.5899892279907624e-05,0.01873974377011178,1
66,67,80,2020-04-08,0.009947196990614969,0.011168964187885535,1.0,0
67,68,81,2020-04-09,0.0017015192885631123,0.7110681783316023,1.0,0
68,69,82,2020-04-10,-0.009452541289295166,0.15341299668572592,1.0,0
69,70,83,2020-04-11,-0.025175029448480907,0.014320594556295444,1.0,0
70,71,84,2020-04-12,-0.04884730109527933,0.0029781707826595834,1.0,0
71,72,85,2020-04-13,-0.09118688812320025,0.001953249390933928,0.867242729574664,0
72,73,86,2020-04-14,0.21764808150109083,0.26787275923738846,1.0,0
73,74,87,2020-04-15,0.48194041245689473,0.05613716389369408,1.0,0
74,75,88,2020-04-16,0.701684193353536,0.012457665306797767,1.0,0
75,76,89,2020-04-17,0.8768099374028768,0.0029002927966212595,1.0,0
76,77,90,2020-04-18,1.0071539072177957,0.0007684135920129632,0.3588491474700538,0
77,78,91,2020-04-19,1.092419188427149,0.00027156269974349106,0.13279416017456713,0
78,79,92,2020-04-20,1.1321471230373221,0.00015702636903644918,0.07835615814918814,0
79,80,93,2020-04-21,1.1256631433732185,0.00017222733449589304,0.08542475790996294,0
80,81,94,2020-04-22,1.0719957651810577,0.00035178872457329553,0.16956216524432843,0
81,82,95,2020-04-23,0.9697426842877984,0.0011302467315026312,0.5142622628336971,0
82,83,96,2020-04-24,0.8168188168908297,0.004681567824557742,1.0,0
83,84,97,2020-04-25,0.609915690098022,0.02176959552422873,1.0,0
84,85,98,2020-04-26,0.34297211197924765,0.10886430106296392,1.0,0
85,86,99,2020-04-27,0.0,1.0,1.0,0
86,87,100,2020-04-28,0.0,1.0,1.0,0
87,88,101,2020-04-29,0.0,1.0,1.0,0
88,89,102,2020-04-30,0.0,1.0,1.0,0
89,90,103,2020-05-01,0.0,1.0,1.0,0
90,91,104,2020-05-02,0.0,1.0,1.0,0
91,92,105,2020-05-03,0.0,1.0,1.0,0
92,93,106,2020-05-04,0.0,1.0,1.0,0
93,94,107,2020-05-05,0.0,1.0,1.0,0
94,95,108,2020-05-06,0.0,1.0,1.0,0
95,96,109,2020-05-07,0.0,1.0,1.0,0
96,97,110,2020-05-08,0.0,1.0,1.0,0
97,98,111,2020-05-09,0.0,1.0,1.0,0
98,99,112,2020-05-10,0.0,1.0,1.0,0
99,100,113,2020-05-11,0.0,1.0,1.0,0
100,101,114,2020-05-12,0.0,1.0,1.0,0
101,102,115,2020-05-13,0.0,1.0,1.0,0
102,103,116,2020-05-14,0.0,1.0,1.0,0
103,104,117,2020-05-15,0.0,1.0,1.0,0
104,105,118,2020-05-16,0.0,1.0,1.0,0
105,106,119,2020-05-17,0.0,1.0,1.0,0
106,107,120,2020-05-18,0.0,1.0,1.0,0
