,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.00010566455851952824,0.9692783758495217,1.0,0
1,2,15,2020-02-03,0.004897511989907972,0.11090067026206804,1.0,0
2,3,16,2020-02-04,0.010323815834300202,0.003911924603618836,0.2933943452714127,0
3,4,17,2020-02-05,0.015898476330858415,0.00014421535505463413,0.017594273316665365,1
4,5,18,2020-02-06,0.021520900679347647,7.790505682125466e-06,0.0013477574830077057,1
5,6,19,2020-02-07,0.027085379541636027,6.232180180120763e-07,0.0001339918738725964,1
6,7,20,2020-02-08,0.03249554050902455,6.779883840882703e-08,1.715310611743324e-05,1
7,8,21,2020-02-09,0.03768007322902253,8.82907170020691e-09,2.7281831553639353e-06,1
8,9,22,2020-02-10,0.04258981677371902,1.206755655628915e-09,4.4770634823832745e-07,1
9,10,23,2020-02-11,0.04718002077106122,1.580730014210919e-10,6.923597462243825e-08,1
10,11,24,2020-02-12,0.05141806146938769,1.8795072327029575e-11,9.397536163514787e-09,1
11,12,25,2020-02-13,0.055293730830396,1.9775371212080248e-12,1.1034657136340778e-09,1
12,13,26,2020-02-14,0.05879911474435216,1.8932965271208825e-13,1.1340846197454087e-10,1
13,14,27,2020-02-15,0.06191547796076478,1.7644954364632405e-14,1.159273501756349e-11,1
14,15,28,2020-02-16,0.06461991232419395,1.7061359416226724e-15,1.18747061536938e-12,1
15,16,29,2020-02-17,0.06689137485967554,1.6695501894788673e-16,1.2254498390774885e-13,1
16,17,30,2020-02-18,0.06870739356211984,1.36611698509894e-17,1.047811727570887e-14,1
17,18,31,2020-02-19,0.07002411341633821,6.711059386638903e-19,5.395691746857679e-16,1
18,19,32,2020-02-20,0.07077690422868196,1.9478037200124046e-20,1.615138243718534e-17,1
19,20,33,2020-02-21,0.07087662686724105,8.179804557374252e-21,6.838316609964875e-18,1
20,21,34,2020-02-22,0.07022297935378344,1.1609632651858176e-18,9.276096488834683e-16,1
21,22,35,2020-02-23,0.06873641830939477,3.218100034314543e-16,2.3234682247751e-13,1
22,23,36,2020-02-24,0.06637845389366559,2.971628199691236e-14,1.9077853042017736e-11,1
23,24,37,2020-02-25,0.06316931906091397,1.0359774430889501e-12,5.884351876745236e-10,1
24,25,38,2020-02-26,0.059194660642905045,1.7106665279298138e-11,8.587545970207666e-09,1
25,26,39,2020-02-27,0.054611428678141546,1.564113942265089e-10,6.866460206543741e-08,1
26,27,40,2020-02-28,0.049626952612523714,8.798850603617822e-10,3.3787586317892436e-07,1
27,28,41,2020-02-29,0.0444637804403883,3.243856230314168e-09,1.083447980924932e-06,1
28,29,42,2020-03-01,0.03934125558355773,8.053363815605419e-09,2.5126495104688905e-06,1
29,30,43,2020-03-02,0.03445643399019202,1.3565245828481481e-08,4.042443256887481e-06,1
30,31,44,2020-03-03,0.029967683447653756,1.5645509176050907e-08,4.584134188582916e-06,1
31,32,45,2020-03-04,0.025976716398289707,1.2692035969233547e-08,3.832994862708531e-06,1
32,33,46,2020-03-05,0.022522097452399924,7.823891732612087e-09,2.4488781123075833e-06,1
33,34,47,2020-03-06,0.019582473148689168,4.235985312599173e-09,1.3766005987744726e-06,1
34,35,48,2020-03-07,0.0170939405783862,2.4687720364834297e-09,8.492575805502999e-07,1
35,36,49,2020-03-08,0.014975508041047985,1.963982082890039e-09,6.893577110944037e-07,1
36,37,50,2020-03-09,0.013145918631582432,2.4175468542611742e-09,8.340536647201051e-07,1
37,38,51,2020-03-10,0.01153744942190555,4.307844386296056e-09,1.3914337367736262e-06,1
38,39,52,2020-03-11,0.010098158453486729,9.147701842809313e-09,2.808344465742459e-06,1
39,40,53,2020-03-12,0.008793320549364816,1.95090677265084e-08,5.6186115052344185e-06,1
40,41,54,2020-03-13,0.007596088084544552,3.886736376350388e-08,1.0533055579909552e-05,1
41,42,55,2020-03-14,0.006481907327636642,7.458306318859747e-08,1.8794931923526565e-05,1
42,43,56,2020-03-15,0.005426846496558304,1.7032372672669278e-07,3.968542832731942e-05,1
43,44,57,2020-03-16,0.004394811452721059,8.001728934280189e-07,0.00016883648051331198,1
44,45,58,2020-03-17,0.0033256273386455754,1.8475866700337033e-05,0.0029007110719529144,1
45,46,59,2020-03-18,0.0021437087450279866,0.0026327240034891486,0.21588336828611018,0
46,47,60,2020-03-19,0.000767775104076672,0.30182620906873836,1.0,0
47,48,61,2020-03-20,-0.0008738521804149845,0.3523117118225111,1.0,0
48,49,62,2020-03-21,-0.002826690291334927,0.02646109959761165,1.0,0
49,50,63,2020-03-22,-0.005100974907472412,0.002336599006522581,0.19627431654789682,0
50,51,64,2020-03-23,-0.0076599853394389295,0.00026101456286017167,0.028972616477479056,-1
51,52,65,2020-03-24,-0.010417879588437784,3.1144132807035245e-05,0.004592916144704988,-1
52,53,66,2020-03-25,-0.013250744450621584,3.4005116454448614e-06,0.0006290946544072994,-1
53,54,67,2020-03-26,-0.016015836293603192,2.985806934597606e-07,6.837497880228517e-05,-1
54,55,68,2020-03-27,-0.018574484768035904,1.8497257091227966e-08,5.382701813547338e-06,-1
55,56,69,2020-03-28,-0.020799913120557206,6.897083805592254e-10,2.7312451870145327e-07,-1
56,57,70,2020-03-29,-0.02259387613978495,1.2789685581461656e-11,6.509949960963983e-09,-1
57,58,71,2020-03-30,-0.0239014979861972,9.45982785528869e-14,5.893472753844853e-11,-1
58,59,72,2020-03-31,-0.024723397158204277,2.5756562821198174e-16,1.875077773383227e-13,-1
59,60,73,2020-04-01,-0.02510438132522169,1.4301899404310904e-18,1.138431192583148e-15,-1
60,61,74,2020-04-02,-0.02511638532618074,1.193971379138856e-18,9.52789160552807e-16,-1
61,62,75,2020-04-03,-0.02484359414556945,9.49000817357247e-18,7.316796301824375e-15,-1
62,63,76,2020-04-04,-0.02436727670504852,3.444087744478025e-17,2.6071744225698647e-14,-1
63,64,77,2020-04-05,-0.023758662273423485,5.337310029614273e-17,3.997645212181091e-14,-1
64,65,78,2020-04-06,-0.023071341656141515,6.342152762949751e-17,4.737588113923464e-14,-1
65,66,79,2020-04-07,-0.022333024206635348,1.1872807432648033e-16,8.785877500159545e-14,-1
66,67,80,2020-04-08,-0.0215483542007063,5.1920050016332265e-16,3.7070915711661236e-13,-1
67,68,81,2020-04-09,-0.02070657523395723,4.3516245854312516e-15,2.95475309350782e-12,-1
68,69,82,2020-04-10,-0.019794633872040276,4.4763238383016204e-14,2.8469419611598307e-11,-1
69,70,83,2020-04-11,-0.018797217755708872,4.030319311221187e-13,2.353706477753173e-10,-1
70,71,84,2020-04-12,-0.01770818404292234,2.699325390903461e-12,1.4846289649969036e-09,-1
71,72,85,2020-04-13,-0.016542030553853334,1.2081599225672815e-11,6.161615605093135e-09,-1
72,73,86,2020-04-14,-0.015332362379436961,3.444051032144847e-11,1.6531444954295264e-08,-1
73,74,87,2020-04-15,-0.014125646138811353,6.183994069001232e-11,2.8446372717405667e-08,-1
74,75,88,2020-04-16,-0.012965052950072945,7.1911508043821e-11,3.250400163580709e-08,-1
75,76,89,2020-04-17,-0.01188342265417762,5.716174947163595e-11,2.6408728255895808e-08,-1
76,77,90,2020-04-18,-0.010901155248147906,3.2587411724066635e-11,1.567454503927605e-08,-1
77,78,91,2020-04-19,-0.010032226724177659,1.3627062397766756e-11,6.922547698065512e-09,-1
78,79,92,2020-04-20,-0.00928929941015661,4.091413651541249e-12,2.188906303574568e-09,-1
79,80,93,2020-04-21,-0.008676566879106692,8.40103794139658e-13,4.822195778361637e-10,-1
80,81,94,2020-04-22,-0.008190944356646919,1.1085558417291336e-13,6.839789543468755e-11,-1
81,82,95,2020-04-23,-0.007824396587127516,8.346221914986889e-15,5.6003149049562025e-12,-1
82,83,96,2020-04-24,-0.007569363563520075,3.1250569750719186e-16,2.259416192976997e-13,-1
83,84,97,2020-04-25,-0.00741629761959936,6.1421760065406566e-18,4.784755109095171e-15,-1
84,85,98,2020-04-26,-0.007351425371927815,2.4439078519677756e-19,1.9868970836498015e-16,-1
85,86,99,2020-04-27,-0.007364773829930726,5.404965319117852e-19,4.350997081889871e-16,-1
86,87,100,2020-04-28,-0.007439474171747201,7.348630802789853e-18,5.695188872162136e-15,-1
87,88,101,2020-04-29,-0.007551019047643687,2.810060565489905e-17,2.1356460297723275e-14,-1
88,89,102,2020-04-30,-0.0076648184724710825,1.6987767588278923e-17,1.2995642205033376e-14,-1
89,90,103,2020-05-01,-0.007743442447330049,2.66921815056897e-18,2.1060131207989176e-15,-1
90,91,104,2020-05-02,-0.0077623235823760005,1.1409846881197269e-18,9.127877504957815e-16,-1
91,92,105,2020-05-03,-0.007717591209085286,8.52697200519981e-18,6.591349360019453e-15,-1
92,93,106,2020-05-04,-0.007623887936629369,1.1119175068282298e-16,8.250427900665465e-14,-1
93,94,107,2020-05-05,-0.007502710018313988,5.50723226741683e-16,3.9266566066682e-13,-1
94,95,108,2020-05-06,-0.007380530462606614,7.591641546448544e-16,5.359698931792672e-13,-1
95,96,109,2020-05-07,-0.007289044564735422,3.3004034008586383e-16,2.3795908520190784e-13,-1
96,97,110,2020-05-08,-0.007268349646272843,1.9825359825984328e-16,1.451216339262053e-13,-1
97,98,111,2020-05-09,-0.007367369367078487,3.836796586359111e-15,2.6320424582423503e-12,-1
98,99,112,2020-05-10,-0.007636277560537642,4.776745433771249e-13,2.7800658424548673e-10,-1
99,100,113,2020-05-11,-0.008116807188680327,2.2784446947448782e-11,1.1187163451197352e-08,-1
100,101,114,2020-05-12,-0.008825362675615738,2.5948002126689323e-10,1.0924108895336205e-07,-1
101,102,115,2020-05-13,-0.00975142724986185,9.034306602036569e-10,3.4420708153759327e-07,-1
102,103,116,2020-05-14,-0.010860529382477517,1.3161020880548745e-09,4.843255684041938e-07,-1
103,104,117,2020-05-15,-0.01210315451844872,1.047075778888004e-09,3.9579464441966553e-07,-1
104,105,118,2020-05-16,-0.013431534166670398,5.437263454963256e-10,2.185779908895229e-07,-1
105,106,119,2020-05-17,-0.014807272080797214,2.0286078502794696e-10,8.702727677698925e-08,-1
106,107,120,2020-05-18,-0.016195163808081132,5.667264023172694e-11,2.6239432427289575e-08,-1
107,108,121,2020-05-19,-0.01755363553116091,1.195028180187193e-11,6.106594000756556e-09,-1
108,109,122,2020-05-20,-0.01883680636431615,1.87768613143784e-12,1.0496265474737525e-09,-1
109,110,123,2020-05-21,-0.020004264942063008,2.2270566345983068e-13,1.3250986975859926e-10,-1
110,111,124,2020-05-22,-0.021028541471930312,2.1070101967488833e-14,1.3716636380835231e-11,-1
111,112,125,2020-05-23,-0.021891863603177165,1.5944473336710577e-15,1.1113297915687273e-12,-1
