,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.20527390067654191,0.005010609510131251,1.0,0
1,2,15,2020-02-03,-0.2038821172413823,0.0053362074295198745,1.0,0
2,3,16,2020-02-04,-0.19015864521963763,0.009833320881983807,1.0,0
3,4,17,2020-02-05,-0.16613438660602012,0.025524858839072375,1.0,0
4,5,18,2020-02-06,-0.13335337141822964,0.07521037777830451,1.0,0
5,6,19,2020-02-07,-0.09301725087051743,0.2144564099531806,1.0,0
6,7,20,2020-02-08,-0.04608409744925616,0.5330390433489682,1.0,0
7,8,21,2020-02-09,0.006666820822298476,0.92573767830056,1.0,0
8,9,22,2020-02-10,0.06458891088631086,0.3358773389509381,1.0,0
9,10,23,2020-02-11,0.12713429752670447,0.0323204523597703,1.0,0
10,11,24,2020-02-12,0.19382785361167254,4.568748632233381e-06,0.002183861846207556,1
11,12,25,2020-02-13,0.14832109386672054,3.589199672303139e-07,0.00018197242338576915,1
12,13,26,2020-02-14,0.12137405108799434,6.302847720967349e-08,3.3531149875546294e-05,1
13,14,27,2020-02-15,0.10263318568158313,1.338996081155774e-08,7.3324240831239486e-06,1
14,15,28,2020-02-16,0.08878962588455347,2.908150320406233e-09,1.634380480068303e-06,1
15,16,29,2020-02-17,0.07824353664746,6.460514908507537e-10,3.7341776171173563e-07,1
16,17,30,2020-02-18,0.07001288680735905,1.5819234158671854e-10,9.47572126104444e-08,1
17,18,31,2020-02-19,0.06341532746107002,4.65150037805811e-11,2.8560212321276795e-08,1
18,19,32,2020-02-20,0.057969019879817785,1.7882120177355895e-11,1.1140560870492723e-08,1
19,20,33,2020-02-21,0.05333041263888178,9.576951707154547e-12,6.071787382335983e-09,1
20,21,34,2020-02-22,0.04925482663776615,7.233891012508389e-12,4.636924139017877e-09,1
21,22,35,2020-02-23,0.045575890846799215,7.321239702186126e-12,4.68559340939912e-09,1
22,23,36,2020-02-24,0.04218971062479022,8.979367757331054e-12,5.7108778936625506e-09,1
23,24,37,2020-02-25,0.03903621536825727,1.197195095867109e-11,7.542329103962787e-09,1
24,25,38,2020-02-26,0.03609453416117091,1.5406674483183565e-11,9.659984900956095e-09,1
25,26,39,2020-02-27,0.03337174726891475,1.6946360456487197e-11,1.0574528924848012e-08,1
26,27,40,2020-02-28,0.030887746015906797,1.4292496057592379e-11,8.989980020225607e-09,1
27,28,41,2020-02-29,0.028674529695550753,8.16208935182951e-12,5.207413006467227e-09,1
28,29,42,2020-03-01,0.02676098457827058,2.7869854008662974e-12,1.8226884521665585e-09,1
29,30,43,2020-03-02,0.025168336923417706,4.951020135814383e-13,3.3270855312672657e-10,1
30,31,44,2020-03-03,0.02390058842207671,3.960590184337938e-14,2.7724131290365565e-11,1
31,32,45,2020-03-04,0.022998830514305738,9.491248301132077e-16,7.004541246235473e-13,1
32,33,46,2020-03-05,0.02260211568323309,1.1128102805310486e-17,8.512998646062522e-15,1
33,34,47,2020-03-06,0.022969608337250192,2.741863189016771e-15,2.0043019911712596e-12,1
34,35,48,2020-03-07,0.024392486801823713,1.0715202233037043e-11,6.761292609046375e-09,1
35,36,49,2020-03-08,0.026598490023679717,4.538195817306902e-10,2.6548445531245376e-07,1
36,37,50,2020-03-09,0.028959909445263506,1.0067713358157805e-09,5.788935180940738e-07,1
37,38,51,2020-03-10,0.031200184388259847,5.692795690767863e-10,3.3025320641603587e-07,1
38,39,52,2020-03-11,0.033222855392024304,1.4678946214691511e-10,8.822046675029599e-08,1
39,40,53,2020-03-12,0.034932894265824965,2.085112049326491e-11,1.2969396946810774e-08,1
40,41,54,2020-03-13,0.036231885112868206,1.9906488475896687e-12,1.3078562928664123e-09,1
41,42,55,2020-03-14,0.03704186338331277,2.2180145306322318e-13,1.5082498808299177e-10,1
42,43,56,2020-03-15,0.03729920485854134,9.304307963930077e-14,6.438581111039613e-11,1
43,44,57,2020-03-16,0.03695326095283631,2.5826164082132876e-13,1.7458486919521824e-10,1
44,45,58,2020-03-17,0.03595768831852126,1.4836610149339841e-12,9.777326088414956e-10,1
45,46,59,2020-03-18,0.034332654418480546,4.359473819333557e-12,2.820579561108811e-09,1
46,47,60,2020-03-19,0.03225244607428512,2.4875081705685555e-12,1.629317851722404e-09,1
47,48,61,2020-03-20,0.030110742087040152,1.195620070054119e-13,8.249778483373422e-11,1
48,49,62,2020-03-21,0.028471394467274508,3.450640025913109e-15,2.5155165788906563e-12,1
49,50,63,2020-03-22,0.02741332985505004,1.0787172497100652e-15,7.93935895786608e-13,1
50,51,64,2020-03-23,0.02661204547522355,3.293736181958525e-16,2.4505397193771424e-13,1
51,52,65,2020-03-24,0.02603566937609295,2.326403448105383e-17,1.7703930240081965e-14,1
52,53,66,2020-03-25,0.025821213066155074,1.8517759309222807e-18,1.4277192427410784e-15,1
53,54,67,2020-03-26,0.02604677081778931,4.675895019910766e-17,3.53965253007245e-14,1
54,55,68,2020-03-27,0.026616916042427774,2.746029631084094e-15,2.0046016306913886e-12,1
55,56,69,2020-03-28,0.02728870933474799,1.3708474072161467e-14,9.71930811716248e-12,1
