,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.014597747458943627,6.919277353110402e-25,5.9090628595562835e-22,1
1,2,15,2020-02-03,0.014501372915769146,1.331584544540297e-23,1.1265205246810913e-20,1
2,3,16,2020-02-04,0.014374919358785253,1.340368686581601e-22,1.101783060370076e-19,1
3,4,17,2020-02-05,0.014226074158549217,1.1461246792734972e-21,8.997078732296953e-19,1
4,5,18,2020-02-06,0.014053698494230023,7.8504456233395e-21,6.060544021218094e-18,1
5,6,19,2020-02-07,0.013857784784559245,4.135567264206079e-20,3.126488851739796e-17,1
6,7,20,2020-02-08,0.013640199786572936,1.63075629079102e-19,1.216544192930101e-16,1
7,8,21,2020-02-09,0.013405130454832867,4.699029970421388e-19,3.4349909083780344e-16,1
8,9,22,2020-02-10,0.013158903384176619,9.627172877494352e-19,6.90268295316345e-16,1
9,10,23,2020-02-11,0.012909034473971084,1.352500300153793e-18,9.629802137095006e-16,1
10,11,24,2020-02-12,0.012663227106794132,1.2456996228203677e-18,8.881838310709221e-16,1
11,12,25,2020-02-13,0.01242884512457094,7.247412137527839e-19,5.239878975432628e-16,1
12,13,26,2020-02-14,0.01221224963309992,2.6005455851672727e-19,1.9244037330237817e-16,1
13,14,27,2020-02-15,0.012017876705510256,5.767482320191186e-20,4.354449151744346e-17,1
14,15,28,2020-02-16,0.011847307481188228,8.35421454826205e-21,6.441099416710041e-18,1
15,16,29,2020-02-17,0.011698431369812395,9.46709513051087e-22,7.450603867712054e-19,1
16,17,30,2020-02-18,0.011563168172435918,1.5861136015527594e-22,1.2942686988670517e-19,1
17,18,31,2020-02-19,0.01141665661103677,4.1585710775779786e-22,3.326856862062383e-19,1
18,19,32,2020-02-20,0.011204205977779156,1.905768406247414e-19,1.414080157435581e-16,1
19,20,33,2020-02-21,0.010848693353143759,5.387474177681301e-16,3.2275102389988326e-13,1
20,21,34,2020-02-22,0.010267075044195304,7.749325480334675e-13,3.533692419032612e-10,1
21,22,35,2020-02-23,0.009389751853546157,4.1758327347003876e-10,1.273628984083618e-07,1
22,23,36,2020-02-24,0.008179880017340225,9.956883252616167e-08,1.8320665184813746e-05,1
23,24,37,2020-02-25,0.006637834898369763,1.324963304444622e-05,0.0014839589009779768,1
24,25,38,2020-02-26,0.004788020840099535,0.0011766122991958413,0.08353947324290474,0
25,26,39,2020-02-27,0.0026903382992987316,0.057454146584010185,1.0,0
26,27,40,2020-02-28,0.00044911873241969605,0.7464480281662531,1.0,0
27,28,41,2020-02-29,-0.001800722858569945,0.20520869503778152,1.0,0
28,29,42,2020-03-01,-0.003917486328230219,0.008087642795273162,0.42055742535420443,0
29,30,43,2020-03-02,-0.005769655529069335,0.00013216966141683508,0.012027439188931992,-1
30,31,44,2020-03-03,-0.007256882578091341,1.0597387952142057e-06,0.0001529053456732975,-1
31,32,45,2020-03-04,-0.008323288508885612,3.96742893086642e-09,9.997920905783378e-07,-1
32,33,46,2020-03-05,-0.008969532149074574,9.732952804993261e-12,3.939206895853316e-09,-1
33,34,47,2020-03-06,-0.0092467660477214,1.8271780625487768e-13,8.861813603361567e-11,-1
34,35,48,2020-03-07,-0.009243096929752129,1.9081726436800111e-13,9.216473868974454e-11,-1
35,36,49,2020-03-08,-0.009060694347591063,4.223359537387953e-13,1.976532263497562e-10,-1
36,37,50,2020-03-09,-0.00879117375907514,2.8955970678709857e-13,1.3754086072387183e-10,-1
37,38,51,2020-03-10,-0.008508264155206228,3.614747083389093e-14,1.8796684833623284e-11,-1
38,39,52,2020-03-11,-0.00828304819171566,7.956172456935379e-16,4.71801026696268e-13,-1
39,40,53,2020-03-12,-0.008169318806261346,2.7008479018668484e-17,1.804166398447055e-14,-1
40,41,54,2020-03-13,-0.008184186865207867,3.973663070427738e-17,2.6265912895527347e-14,-1
41,42,55,2020-03-14,-0.008313579153323609,1.3037017356457093e-16,8.213320934567969e-14,-1
42,43,56,2020-03-15,-0.008520664622350262,1.0301542855697875e-16,6.54147971336815e-14,-1
43,44,57,2020-03-16,-0.008751704656705729,1.9078801519082054e-17,1.2859112223861304e-14,-1
44,45,58,2020-03-17,-0.008954002276962627,8.810693870419513e-19,6.326078198961211e-16,-1
45,46,59,2020-03-18,-0.009083569215421035,8.375578863550059e-21,6.449195724933545e-18,-1
46,47,60,2020-03-19,-0.00912152395111541,3.9669414585381153e-22,3.1814870497475686e-19,-1
47,48,61,2020-03-20,-0.009089667888482578,4.755580497588186e-21,3.699841627123608e-18,-1
48,49,62,2020-03-21,-0.009068425641112147,7.475964403874564e-21,5.7863964485989124e-18,-1
49,50,63,2020-03-22,-0.009198585269364117,1.94122415415825e-18,1.366621804527408e-15,-1
50,51,64,2020-03-23,-0.00964151535269635,1.4471510144867137e-13,7.105511481129764e-11,-1
51,52,65,2020-03-24,-0.010507193618561738,1.5391401497618918e-10,5.248467910688051e-08,-1
52,53,66,2020-03-25,-0.011807313035362024,6.530036651385244e-09,1.5606787596810734e-06,-1
53,54,67,2020-03-26,-0.013475750373309787,3.7064813547270295e-08,7.412962709454059e-06,-1
54,55,68,2020-03-27,-0.015415181928355618,5.979632541254011e-08,1.1540690804620241e-05,-1
55,56,69,2020-03-28,-0.017526655338316165,4.0329503625484374e-08,7.985241717845906e-06,-1
56,57,70,2020-03-29,-0.01970970676361136,1.3230662281696835e-08,2.9239763642550006e-06,-1
57,58,71,2020-03-30,-0.021856391198579926,2.117261956121179e-09,5.695434661965972e-07,-1
58,59,72,2020-03-31,-0.023846845225014693,1.465592529184119e-10,5.0123264498096874e-08,-1
59,60,73,2020-04-01,-0.02554908134693332,3.4368371345175854e-12,1.4640926193044914e-09,-1
60,61,74,2020-04-02,-0.026838034693870447,1.8080760692087216e-14,9.74553001303501e-12,-1
61,62,75,2020-04-03,-0.02762105375708524,1.830351901631474e-17,1.235487533601245e-14,-1
62,63,76,2020-04-04,-0.02787154013315828,3.176728855584133e-19,2.338072437709922e-16,-1
63,64,77,2020-04-05,-0.027657215799764056,3.656752700120879e-18,2.5560701373844943e-15,-1
64,65,78,2020-04-06,-0.02712428454001632,3.042513549119871e-17,2.026314023713834e-14,-1
65,66,79,2020-04-07,-0.02643008403539984,8.141995264743365e-17,5.219018964700497e-14,-1
66,67,80,2020-04-08,-0.0256770927661717,1.333598761977991e-16,8.388336212841564e-14,-1
67,68,81,2020-04-09,-0.024908811538139185,1.8457506334979505e-16,1.148056894035725e-13,-1
68,69,82,2020-04-10,-0.024140639565843544,2.422775016765013e-16,1.492429410327248e-13,-1
69,70,83,2020-04-11,-0.023378741645983716,3.171657862934071e-16,1.9315396385268494e-13,-1
70,71,84,2020-04-12,-0.022624318188904396,4.2239034291148867e-16,2.5470137677562765e-13,-1
71,72,85,2020-04-13,-0.021876434328685586,5.766736538422413e-16,3.448508449976603e-13,-1
72,73,86,2020-04-14,-0.02113323925784426,8.101404271768144e-16,4.796031328886742e-13,-1
