,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.08621799109865336,6.280561268573376e-07,0.00020474629735549204,-1
1,2,15,2020-02-03,-0.09798601078962152,1.6782016448736935e-08,6.276474151827614e-06,-1
2,3,16,2020-02-04,-0.10312300583459072,8.077463626123976e-10,3.376379795719822e-07,-1
3,4,17,2020-02-05,-0.1002181834731616,7.864966138601593e-09,3.035876929500215e-06,-1
4,5,18,2020-02-06,-0.08901793419741146,2.4749425965689865e-06,0.0007870317457089377,-1
5,6,19,2020-02-07,-0.07038172105795532,0.0004488038091312631,0.1216258322745723,0
6,7,20,2020-02-08,-0.04588524553930899,0.025824375196665507,1.0,0
7,8,21,2020-02-09,-0.01749477894725725,0.39963924530239237,1.0,0
8,9,22,2020-02-10,0.012659394408277354,0.5462502799465891,1.0,0
9,10,23,2020-02-11,0.04229583726959198,0.04646817991851625,1.0,0
10,11,24,2020-02-12,0.06901874653860945,0.001109280027703028,0.2795385669811631,0
11,12,25,2020-02-13,0.09055703000404623,8.704895632930723e-06,0.002672402959309732,1
12,13,26,2020-02-14,0.10495356503879118,2.5774826980155628e-08,9.510911155677426e-06,1
13,14,27,2020-02-15,0.11102673847657935,3.1578370714489037e-10,1.3610277777944776e-07,1
14,15,28,2020-02-16,0.10868988265512732,1.723582216613571e-09,6.963272155118827e-07,1
15,16,29,2020-02-17,0.09921544940772943,6.926803988414724e-08,2.4659422198756417e-05,1
16,17,30,2020-02-18,0.0849205593141869,1.4640884459000695e-06,0.0004699723911339223,1
17,18,31,2020-02-19,0.06829905734089378,1.757532489146058e-05,0.005307748117221096,1
18,19,32,2020-02-20,0.051329455877497966,0.0001637933973756902,0.04586215126519326,1
19,20,33,2020-02-21,0.035304317812912225,0.00148171887826439,0.3630211251747755,0
20,21,34,2020-02-22,0.020987024761708585,0.014859059991198268,1.0,0
21,22,35,2020-02-23,0.00883028212456017,0.16371781257804008,1.0,0
22,23,36,2020-02-24,-0.0007102849657174617,0.8752163667916422,1.0,0
23,24,37,2020-02-25,-0.007261352540109598,0.0304714783680682,1.0,0
24,25,38,2020-02-26,-0.010718002284189213,7.108836151569933e-05,0.02033127139349001,-1
25,26,39,2020-02-27,-0.011230905697007049,1.3450315027407518e-05,0.004102346083359293,-1
26,27,40,2020-02-28,-0.009130389009441114,0.0018472756684023224,0.4451934360849597,0
27,28,41,2020-02-29,-0.0046880204965447205,0.17205784577019934,1.0,0
28,29,42,2020-03-01,0.001831717255405123,0.6677602398398479,1.0,0
29,30,43,2020-03-02,0.010172489766575608,0.06797357132549457,1.0,0
30,31,44,2020-03-03,0.020176243691224133,0.00511662253587508,1.0,0
31,32,45,2020-03-04,0.0316237018208106,0.000431621819425772,0.11740113488380999,0
32,33,46,2020-03-05,0.04404887771315264,3.995593642010484e-05,0.011667133434670613,1
33,34,47,2020-03-06,0.0568105539830709,3.6384775754793224e-06,0.001149758913851466,1
34,35,48,2020-03-07,0.06921893642652364,2.946891732096349e-07,0.0001004890080644855,1
35,36,49,2020-03-08,0.08061450324066259,2.0226285497647e-08,7.544404490622331e-06,1
36,37,50,2020-03-09,0.09056912583017589,1.0705187009065252e-09,4.421242234743949e-07,1
37,38,51,2020-03-10,0.09885511320551625,3.6231101998512216e-11,1.6883693531306693e-08,1
38,39,52,2020-03-11,0.10534490776774537,5.75405630262906e-13,2.986355221064482e-10,1
39,40,53,2020-03-12,0.10995262091333144,3.0040142967594084e-15,1.838456749616758e-12,1
40,41,54,2020-03-13,0.11269644684224907,5.1949196107383815e-18,3.688392923624251e-15,1
41,42,55,2020-03-14,0.11374748294472913,6.716781047408905e-20,5.024152223461861e-17,1
42,43,56,2020-03-15,0.11339201457505538,2.2902899343544163e-19,1.6925242614879136e-16,1
43,44,57,2020-03-16,0.11200816490582272,1.4247643718805127e-18,1.0258303477539691e-15,1
44,45,58,2020-03-17,0.11001547297464115,2.336200948942617e-18,1.6750560803918564e-15,1
45,46,59,2020-03-18,0.107814655477612,1.421267377134805e-18,1.0247337789141944e-15,1
46,47,60,2020-03-19,0.10569363263830518,4.697975313083941e-19,3.4436159044905286e-16,1
47,48,61,2020-03-20,0.10380459876530441,1.088428192353569e-19,8.097905751110553e-17,1
48,49,62,2020-03-21,0.10218359598244582,2.1301445674915293e-20,1.6146495821585793e-17,1
49,50,63,2020-03-22,0.10078213571669455,4.444696986038247e-21,3.440195467193603e-18,1
50,51,64,2020-03-23,0.09951667483147834,1.5445867623810386e-21,1.2094114349443532e-18,1
51,52,65,2020-03-24,0.09827704302581716,1.5398420204457173e-21,1.2072361440294423e-18,1
52,53,66,2020-03-25,0.09692789437134042,5.483081767456171e-21,4.221972960941251e-18,1
53,54,67,2020-03-26,0.09535445322328827,5.436342848264589e-20,4.082693479046706e-17,1
54,55,68,2020-03-27,0.09349140259697902,8.95531433206669e-19,6.51946883374455e-16,1
55,56,69,2020-03-28,0.09132754460415703,1.5860721317669e-17,1.0848733381285596e-14,1
56,57,70,2020-03-29,0.08884252202456498,2.1017274353469205e-16,1.374529742716886e-13,1
57,58,71,2020-03-30,0.0860332150789745,1.832973500704687e-15,1.1437754644397248e-12,1
58,59,72,2020-03-31,0.08292461545866153,9.87394498835749e-15,5.904619103037779e-12,1
59,60,73,2020-04-01,0.07955367114968816,3.2115282790098714e-14,1.8337826473146367e-11,1
60,61,74,2020-04-02,0.07599745276964058,6.705023399704776e-14,3.774928174033789e-11,1
61,62,75,2020-04-03,0.07235207653461609,9.846338487037434e-14,5.484410537279851e-11,1
62,63,76,2020-04-04,0.06871356817123739,1.1285504320386213e-13,6.22959838485319e-11,1
63,64,77,2020-04-05,0.06516003134024811,1.1124278243309032e-13,6.151725868549895e-11,1
64,65,78,2020-04-06,0.061733260937213416,1.0823295758576897e-13,6.006929146010178e-11,1
65,66,79,2020-04-07,0.05842540653323436,1.2688276163738897e-13,6.978551890056394e-11,1
66,67,80,2020-04-08,0.0551789653438807,2.1872396917085105e-13,1.1854839129060127e-10,1
67,68,81,2020-04-09,0.05191403787781678,6.029735351567015e-13,3.123402912111714e-10,1
68,69,82,2020-04-10,0.048536398259512996,2.5984207388003224e-12,1.3096040523553624e-09,1
69,70,83,2020-04-11,0.04494957671442998,1.6282076745506606e-11,7.782832684352157e-09,1
70,71,84,2020-04-12,0.041083213976528254,1.3456677921727829e-10,6.042048386855795e-08,1
71,72,85,2020-04-13,0.03694300485806277,1.2079921617021594e-09,4.928608019744811e-07,1
72,73,86,2020-04-14,0.03260908938808478,1.01513096625322e-08,3.857497671762236e-06,1
73,74,87,2020-04-15,0.02817384619825453,7.691824047535661e-08,2.722905712827624e-05,1
74,75,88,2020-04-16,0.023713721360511995,5.376928229411754e-07,0.00017743863157058788,1
75,76,89,2020-04-17,0.0192778285303001,3.7817931552118758e-06,0.0011912648438917408,1
76,77,90,2020-04-18,0.014901502492158106,3.100363289489761e-05,0.009239082602679487,1
77,78,91,2020-04-19,0.010604267254547203,0.00038209968862208655,0.10469531468245172,0
78,79,92,2020-04-20,0.006374195307037658,0.009361878954562516,1.0,0
79,80,93,2020-04-21,0.002140402183314346,0.3099347890521734,1.0,0
80,81,94,2020-04-22,-0.0022391646356130068,0.30655468858565715,1.0,0
81,82,95,2020-04-23,-0.006972787970292188,0.011634778048387388,1.0,0
82,83,96,2020-04-24,-0.012359350287096957,0.0008437520825691669,0.2193755414679834,0
83,84,97,2020-04-25,-0.018826386074921122,0.00016174680050717484,0.04545085094251613,-1
84,85,98,2020-04-26,-0.02697091990810801,5.9046879377962575e-05,0.017064548140231183,-1
85,86,99,2020-04-27,-0.03760197644254919,3.3207225299137727e-05,0.009796131463245629,-1
86,87,100,2020-04-28,-0.051948698356558305,2.6646647514148838e-05,0.007967347606730502,-1
87,88,101,2020-04-29,-0.07235133305870182,3.158042305615222e-05,0.009379385647677211,-1
88,89,102,2020-04-30,-0.10479869728814822,6.990261598875356e-05,0.02006205078877227,-1
89,90,103,2020-05-01,-0.19485056567544823,0.0017013899167750402,0.4134377497763348,0
90,91,104,2020-05-02,0.18282904859165186,0.45340116614172443,1.0,0
91,92,105,2020-05-03,0.5083421718188735,0.1023133494627667,1.0,0
92,93,106,2020-05-04,0.781440364193817,0.024025156884105565,1.0,0
93,94,107,2020-05-05,1.0017970552404771,0.005877799437899299,1.0,0
94,95,108,2020-05-06,1.1689841193992918,0.0016085442680801763,0.392484801411563,0
95,96,109,2020-05-07,1.2824415495087869,0.0005645419078384272,0.15016814748502164,0
96,97,110,2020-05-08,1.3414333820092126,0.0003045812769604258,0.08406443244107752,0
97,98,111,2020-05-09,1.3449752065231861,0.000292990245959759,0.081451288376813,0
98,99,112,2020-05-10,1.2917193151034605,0.0005109336591297945,0.13693022064678492,0
99,100,113,2020-05-11,1.179756976095112,0.001422835153761273,0.3514402829790344,0
100,101,114,2020-05-12,1.0062516953542155,0.005290679957242551,1.0,0
101,102,115,2020-05-13,0.7664713732781365,0.022852767664225282,1.0,0
102,103,116,2020-05-14,0.4504118861664456,0.10886430106296369,1.0,0
103,104,117,2020-05-15,0.0,1.0,1.0,0
104,105,118,2020-05-16,0.0,1.0,1.0,0
105,106,119,2020-05-17,0.0,1.0,1.0,0
106,107,120,2020-05-18,0.0,1.0,1.0,0
107,108,121,2020-05-19,0.0,1.0,1.0,0
108,109,122,2020-05-20,0.0,1.0,1.0,0
109,110,123,2020-05-21,0.0,1.0,1.0,0
110,111,124,2020-05-22,0.0,1.0,1.0,0
111,112,125,2020-05-23,0.0,1.0,1.0,0
112,113,126,2020-05-24,0.0,1.0,1.0,0
113,114,127,2020-05-25,0.0,1.0,1.0,0
114,115,128,2020-05-26,0.0,1.0,1.0,0
115,116,129,2020-05-27,0.0,1.0,1.0,0
116,117,130,2020-05-28,0.0,1.0,1.0,0
117,118,131,2020-05-29,0.0,1.0,1.0,0
118,119,132,2020-05-30,0.0,1.0,1.0,0
119,120,133,2020-05-31,0.0,1.0,1.0,0
120,121,134,2020-06-01,0.0,1.0,1.0,0
121,122,135,2020-06-02,0.0,1.0,1.0,0
122,123,136,2020-06-03,0.0,1.0,1.0,0
123,124,137,2020-06-04,0.0,1.0,1.0,0
124,125,138,2020-06-05,0.0,1.0,1.0,0
125,126,139,2020-06-06,0.0,1.0,1.0,0
126,127,140,2020-06-07,0.0,1.0,1.0,0
127,128,141,2020-06-08,0.0,1.0,1.0,0
128,129,142,2020-06-09,0.0,1.0,1.0,0
129,130,143,2020-06-10,0.0,1.0,1.0,0
130,131,144,2020-06-11,0.0,1.0,1.0,0
131,132,145,2020-06-12,0.0,1.0,1.0,0
132,133,146,2020-06-13,0.0,1.0,1.0,0
133,134,147,2020-06-14,0.0,1.0,1.0,0
134,135,148,2020-06-15,0.0,1.0,1.0,0
135,136,149,2020-06-16,0.0,1.0,1.0,0
136,137,150,2020-06-17,0.0,1.0,1.0,0
137,138,151,2020-06-18,0.0,1.0,1.0,0
138,139,152,2020-06-19,0.0,1.0,1.0,0
139,140,153,2020-06-20,0.0,1.0,1.0,0
140,141,154,2020-06-21,0.0,1.0,1.0,0
141,142,155,2020-06-22,0.0,1.0,1.0,0
142,143,156,2020-06-23,0.0,1.0,1.0,0
143,144,157,2020-06-24,0.0,1.0,1.0,0
144,145,158,2020-06-25,0.0,1.0,1.0,0
145,146,159,2020-06-26,0.0,1.0,1.0,0
146,147,160,2020-06-27,0.0,1.0,1.0,0
147,148,161,2020-06-28,0.0,1.0,1.0,0
148,149,162,2020-06-29,0.0,1.0,1.0,0
149,150,163,2020-06-30,0.0,1.0,1.0,0
150,151,164,2020-07-01,0.0,1.0,1.0,0
151,152,165,2020-07-02,0.0,1.0,1.0,0
152,153,166,2020-07-03,0.0,1.0,1.0,0
153,154,167,2020-07-04,0.0,1.0,1.0,0
154,155,168,2020-07-05,0.0,1.0,1.0,0
155,156,169,2020-07-06,0.0,1.0,1.0,0
156,157,170,2020-07-07,0.0,1.0,1.0,0
157,158,171,2020-07-08,0.0,1.0,1.0,0
158,159,172,2020-07-09,0.0,1.0,1.0,0
159,160,173,2020-07-10,0.0,1.0,1.0,0
160,161,174,2020-07-11,0.0,1.0,1.0,0
161,162,175,2020-07-12,0.0,1.0,1.0,0
162,163,176,2020-07-13,0.0,1.0,1.0,0
163,164,177,2020-07-14,0.0,1.0,1.0,0
164,165,178,2020-07-15,0.0,1.0,1.0,0
165,166,179,2020-07-16,0.0,1.0,1.0,0
166,167,180,2020-07-17,0.0,1.0,1.0,0
167,168,181,2020-07-18,0.0,1.0,1.0,0
168,169,182,2020-07-19,0.0,1.0,1.0,0
169,170,183,2020-07-20,0.0,1.0,1.0,0
170,171,184,2020-07-21,0.0,1.0,1.0,0
171,172,185,2020-07-22,0.0,1.0,1.0,0
172,173,186,2020-07-23,0.0,1.0,1.0,0
173,174,187,2020-07-24,0.0,1.0,1.0,0
174,175,188,2020-07-25,0.0,1.0,1.0,0
175,176,189,2020-07-26,0.0,1.0,1.0,0
176,177,190,2020-07-27,0.0,1.0,1.0,0
177,178,191,2020-07-28,0.0,1.0,1.0,0
178,179,192,2020-07-29,-0.2784010260802739,0.10886430106296381,1.0,0
179,180,193,2020-07-30,-0.4850952256091738,0.022217502419355575,1.0,0
180,181,194,2020-07-31,-0.6382672212365373,0.005062438446439817,1.0,0
181,182,195,2020-08-01,-0.7447604534966004,0.0013847567165226882,0.34341966569762666,0
182,183,196,2020-08-02,-0.8085064935633833,0.0005377848001185714,0.14358854163165855,0
183,184,197,2020-08-03,-0.8321942814912334,0.0003605873514958236,0.09916152166135149,0
184,185,198,2020-08-04,-0.8178437650764514,0.000463021322903,0.12501575718381,0
185,186,199,2020-08-05,-0.767077440969674,0.00105811089445005,0.2698182780847627,0
186,187,200,2020-08-06,-0.6812622380732261,0.0035430968526533827,0.8084548721372254,0
187,188,201,2020-08-07,-0.561567002334782,0.014304109325818909,1.0,0
188,189,202,2020-08-08,-0.40900052319778263,0.060898593241156755,1.0,0
189,190,203,2020-08-09,-0.22445132000309398,0.2530275168437016,1.0,0
190,191,204,2020-08-10,-0.008717265114407678,0.9552768761007416,1.0,0
191,192,205,2020-08-11,0.23748174061221167,4.423090558247494e-07,0.0001486158427571158,1
192,193,206,2020-08-12,0.19225864853487518,9.113886831965482e-09,3.481504769810814e-06,1
193,194,207,2020-08-13,0.16673002731714287,8.045262718242221e-10,3.3709650789434906e-07,1
194,195,208,2020-08-14,0.14891370767796613,1.2413978411953543e-10,5.5862902853790944e-08,1
195,196,209,2020-08-15,0.1353883701367906,2.5525165235995384e-11,1.199682766091783e-08,1
