,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0,1.0,1.0,0
1,2,15,2020-02-03,0.0,1.0,1.0,0
2,3,16,2020-02-04,-0.6881862525073095,0.10886430106296381,1.0,0
3,4,17,2020-02-05,-1.2533905447162563,0.021353144187094445,1.0,0
4,5,18,2020-02-06,-1.708245095748849,0.004371450559491177,1.0,0
5,6,19,2020-02-07,-2.059110040691822,0.0009547982406432303,0.35423014727863844,0
6,7,20,2020-02-08,-2.3109633639628053,0.0002481366931075912,0.09851026716371371,0
7,8,21,2020-02-09,-2.470009648169482,9.063375523848568e-05,0.036797304626825185,-1
8,9,22,2020-02-10,-2.5536525624758544,5.100842812791111e-05,0.02116849767308311,-1
9,10,23,2020-02-11,-1.8263152644372382,0.017398069756386338,1.0,0
10,11,24,2020-02-12,-1.0989779663986228,0.18687973820313206,1.0,0
11,12,25,2020-02-13,-0.3716406683600075,0.6660205369642707,1.0,0
12,13,26,2020-02-14,0.35569662967860793,0.6796381927450985,1.0,0
13,14,27,2020-02-15,1.0830339277172234,0.19386874721174183,1.0,0
14,15,28,2020-02-16,1.810371225755839,0.01870021911684994,1.0,0
15,16,29,2020-02-17,2.5377085237944543,6.449504779799492e-05,0.026571959692773907,1
16,17,30,2020-02-18,2.470984761247713,0.00010179452352665524,0.04122678202829537,1
17,18,31,2020-02-19,2.3181252124155955,0.00026559028766632615,0.10490816362819883,0
18,19,32,2020-02-20,2.070222882005473,0.0009916077139398732,0.3659032464438132,0
19,20,33,2020-02-21,1.7222940694708624,0.00445225656449329,1.0,0
20,21,34,2020-02-22,1.269204658016824,0.021489363251634936,1.0,0
21,22,35,2020-02-23,0.7028495173656553,0.10886430106296381,1.0,0
22,23,36,2020-02-24,0.0,1.0,1.0,0
23,24,37,2020-02-25,0.0,1.0,1.0,0
24,25,38,2020-02-26,0.0,1.0,1.0,0
25,26,39,2020-02-27,0.0,1.0,1.0,0
26,27,40,2020-02-28,0.0,1.0,1.0,0
27,28,41,2020-02-29,0.0,1.0,1.0,0
28,29,42,2020-03-01,0.0,1.0,1.0,0
29,30,43,2020-03-02,0.0,1.0,1.0,0
30,31,44,2020-03-03,0.0,1.0,1.0,0
31,32,45,2020-03-04,0.0,1.0,1.0,0
32,33,46,2020-03-05,0.0,1.0,1.0,0
33,34,47,2020-03-06,0.0,1.0,1.0,0
34,35,48,2020-03-07,0.0,1.0,1.0,0
35,36,49,2020-03-08,0.0,1.0,1.0,0
36,37,50,2020-03-09,0.0,1.0,1.0,0
37,38,51,2020-03-10,0.0,1.0,1.0,0
38,39,52,2020-03-11,0.0,1.0,1.0,0
