,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.8818736302186154,0.10886430106296381,1.0,0
1,2,15,2020-02-03,-1.582200452658498,0.021602088372547693,1.0,0
2,3,16,2020-02-04,-2.1405263647834807,0.004515485967656201,1.0,0
3,4,17,2020-02-05,-2.5667238156132237,0.001022469840965762,0.4321038481524192,0
4,5,18,2020-02-06,-2.8664853327301296,0.00028261211853137743,0.12547978062793158,0
5,6,19,2020-02-07,-3.0447587299058854,0.00011471776950420606,0.05345848058896002,0
6,7,20,2020-02-08,-3.1086908818760426,8.067938855634014e-05,0.038322709564261564,-1
7,8,21,2020-02-09,-3.087919634684446,9.011667027728004e-05,0.0424449517005989,-1
8,9,22,2020-02-10,-2.056823277231785,0.0330134929972609,1.0,0
9,10,23,2020-02-11,-1.0257269197791241,0.3239183241499727,1.0,0
10,11,24,2020-02-12,0.005369437673537395,0.9959660709360354,1.0,0
11,12,25,2020-02-13,1.0364657951261986,0.3186552385510445,1.0,0
12,13,26,2020-02-14,2.06756215257886,0.03190412568046996,1.0,0
13,14,27,2020-02-15,3.0986585100315214,7.99583453586497e-05,0.03806017239071726,1
14,15,28,2020-02-16,3.112208371078088,7.435002732665937e-05,0.03553931306214318,1
15,16,29,2020-02-17,3.0430168370040063,0.00010907462616235814,0.05093785041782125,0
16,17,30,2020-02-18,2.8606548588368668,0.0002752246222219239,0.12247495688875613,0
17,18,31,2020-02-19,2.558166605588113,0.0010104567763407415,0.4284336731684744,0
18,19,32,2020-02-20,2.1308302663878402,0.004495780329823709,1.0,0
19,20,33,2020-02-21,1.5731811096166117,0.021576938578067775,1.0,0
20,21,34,2020-02-22,0.8756150955595892,0.10886430106296381,1.0,0
21,22,35,2020-02-23,0.0,1.0,1.0,0
22,23,36,2020-02-24,0.0,1.0,1.0,0
23,24,37,2020-02-25,0.0,1.0,1.0,0
24,25,38,2020-02-26,0.0,1.0,1.0,0
25,26,39,2020-02-27,-0.8422409708282083,0.10886430106296381,1.0,0
26,27,40,2020-02-28,-1.5391580718246405,0.021303132138808415,1.0,0
27,28,41,2020-02-29,-2.105556454316658,0.004322451558740541,1.0,0
28,29,42,2020-03-01,-2.551379359697988,0.0009176008795673959,0.391815575575278,0
29,30,43,2020-03-02,-2.8992742163725347,0.00021286516103087938,0.09642791794698835,0
30,31,44,2020-03-03,-2.2562170927694556,0.012098158692359985,1.0,0
31,32,45,2020-03-04,-1.6131599691663778,0.09486726057062407,1.0,0
32,33,46,2020-03-05,-0.9701028455632987,0.33427461829937055,1.0,0
33,34,47,2020-03-06,-0.32704572196022014,0.7491994219002608,1.0,0
